magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.038 0.038 20.227001 -245.97299 -80.378 -43.1 -218.0 -29.5
0.048 0.048 20.227001 -245.97299 -80.378 -43.1 -218.0 -29.5
0.058 0.058 -43.699997 -213.4 -79.7 -43.1 -218.0 -29.5
0.068 0.068 -43.699997 -213.4 -79.7 -43.1 -218.0 -29.5
0.078 0.078 -43.8 -213.3 -79.4 -43.1 -218.0 -29.5
0.088 0.088 -43.8 -213.3 -79.4 -43.1 -218.0 -29.5
0.098 0.098 -43.3 -212.6 -78.9 -43.1 -218.0 -29.5
0.108 0.108 -43.3 -212.6 -78.9 -43.1 -218.0 -29.5
0.118 0.118 -43.3 -212.3 -79.0 -43.1 -218.0 -29.5
0.128 0.128 -43.3 -212.3 -79.0 -43.1 -218.0 -29.5
0.138 0.138 -43.399998 -211.8 -78.8 -43.1 -218.0 -29.5
0.148 0.148 -43.399998 -211.8 -78.8 -43.1 -218.0 -29.5
0.158 0.158 -43.399998 -211.4 -78.8 -43.1 -218.0 -29.5
0.168 0.168 -43.399998 -211.4 -78.8 -43.1 -218.0 -29.5
0.178 0.178 -43.6 -211.2 -78.8 -43.1 -218.0 -29.5
0.188 0.188 -43.6 -211.2 -78.8 -43.1 -218.0 -29.5
0.198 0.198 -43.5 -211.0 -78.8 -43.1 -218.0 -29.5
0.208 0.208 -43.5 -211.0 -78.8 -43.1 -218.0 -29.5
0.218 0.218 -43.3 -210.9 -78.9 -43.1 -218.0 -29.5
0.228 0.228 -43.3 -210.9 -78.9 -43.1 -218.0 -29.5
0.238 0.238 -43.1 -210.9 -79.0 -43.1 -218.0 -29.5
0.248 0.248 -43.1 -210.9 -79.0 -43.1 -218.0 -29.5
0.258 0.258 -43.0 -210.9 -79.0 -43.1 -218.0 -29.5
0.268 0.268 -43.0 -210.9 -79.0 -43.1 -218.0 -29.5
0.278 0.278 -42.8 -210.9 -78.9 -43.1 -218.0 -29.5
0.288 0.288 -42.8 -210.9 -78.9 -43.1 -218.0 -29.5
0.323 0.298 -42.6 -210.9 -79.0 -43.1 -218.0 -29.5
0.323 0.308 -42.6 -210.9 -79.0 -43.1 -218.0 -29.5
0.323 0.318 -42.6 -211.0 -78.9 -43.1 -218.0 -29.5
0.328 0.328 -42.6 -211.0 -78.9 -43.1 -218.0 -29.5
0.341 0.339 -42.6 -211.1 -79.0 -43.1 -218.0 -29.5
0.349 0.349 -42.6 -211.1 -79.0 -43.1 -218.0 -29.5
0.358 0.358 -42.899998 -211.2 -79.1 -43.1 -218.0 -29.5
0.368 0.368 -42.899998 -211.2 -79.1 -43.1 -218.0 -29.5
0.378 0.378 -43.0 -211.4 -79.0 -43.1 -218.0 -29.5
0.388 0.388 -43.0 -211.4 -79.0 -43.1 -218.0 -29.5
0.398 0.398 -43.1 -211.5 -79.0 -43.1 -218.0 -29.5
0.408 0.408 -43.1 -211.5 -79.0 -43.1 -218.0 -29.5
0.418 0.418 -43.1 -211.7 -79.0 -43.1 -218.0 -29.5
0.428 0.428 -43.1 -211.7 -79.0 -43.1 -218.0 -29.5
0.438 0.438 -43.1 -211.8 -79.2 -43.1 -218.0 -29.5
0.448 0.448 -43.1 -211.8 -79.2 -43.1 -218.0 -29.5
0.458 0.458 -43.1 -211.8 -79.2 -43.1 -218.0 -29.5
0.468 0.468 -43.1 -211.8 -79.2 -43.1 -218.0 -29.5
0.478 0.478 -43.1 -212.0 -79.2 -43.1 -218.0 -29.5
0.488 0.488 -43.1 -212.0 -79.2 -43.1 -218.0 -29.5
0.498 0.498 -43.1 -212.1 -79.2 -43.1 -218.0 -29.5
0.508 0.508 -43.1 -212.1 -79.2 -43.1 -218.0 -29.5
0.518 0.518 -43.1 -212.2 -79.2 -43.1 -218.0 -29.5
0.529 0.528 -43.1 -212.2 -79.2 -43.1 -218.0 -29.5
0.538 0.538 -43.1 -212.4 -79.1 -43.1 -218.0 -29.5
0.548 0.548 -43.1 -212.4 -79.1 -43.1 -218.0 -29.5
0.558 0.558 -43.1 -212.5 -79.2 -43.1 -218.0 -29.5
0.568 0.568 -43.1 -212.5 -79.2 -43.1 -218.0 -29.5
0.578 0.578 -43.1 -212.6 -79.2 -43.1 -218.0 -29.5
0.588 0.588 -43.1 -212.6 -79.2 -43.1 -218.0 -29.5
0.598 0.598 -43.1 -212.6 -79.2 -43.1 -218.0 -29.5
0.608 0.608 -43.1 -212.6 -79.2 -43.1 -218.0 -29.5
0.618 0.618 -43.1 -212.7 -79.2 -43.1 -218.0 -29.5
0.628 0.628 -43.1 -212.7 -79.2 -43.1 -218.0 -29.5
0.638 0.638 -43.1 -212.7 -79.3 -43.1 -218.0 -29.5
0.648 0.648 -43.1 -212.7 -79.3 -43.1 -218.0 -29.5
0.658 0.658 -43.1 -212.8 -79.2 -43.1 -218.0 -29.5
0.668 0.668 -43.1 -212.8 -79.2 -43.1 -218.0 -29.5
0.678 0.678 -43.1 -212.8 -79.2 -43.1 -218.0 -29.5
0.688 0.688 -43.1 -212.8 -79.2 -43.1 -218.0 -29.5
0.699 0.698 -43.1 -213.0 -79.2 -43.1 -218.0 -29.5
0.708 0.708 -43.1 -213.0 -79.2 -43.1 -218.0 -29.5
0.719 0.718 -43.199997 -213.1 -79.3 -43.1 -218.0 -29.5
0.728 0.728 -43.199997 -213.1 -79.3 -43.1 -218.0 -29.5
0.738 0.738 -43.199997 -213.2 -79.3 -43.1 -218.0 -29.5
0.748 0.748 -43.199997 -213.2 -79.3 -43.1 -218.0 -29.5
0.759 0.758 -43.199997 -213.4 -79.4 -43.1 -218.0 -29.5
0.768 0.768 -43.199997 -213.4 -79.4 -43.1 -218.0 -29.5
0.778 0.778 -43.3 -213.6 -79.4 -43.1 -218.0 -29.5
0.789 0.788 -43.3 -213.6 -79.4 -43.1 -218.0 -29.5
0.798 0.798 -43.3 -213.7 -79.5 -43.1 -218.0 -29.5
0.808 0.808 -43.3 -213.7 -79.5 -43.1 -218.0 -29.5
0.818 0.818 -43.399998 -213.8 -79.5 -43.1 -218.0 -29.5
0.828 0.828 -43.399998 -213.8 -79.5 -43.1 -218.0 -29.5
0.838 0.838 -43.5 -214.0 -79.4 -43.1 -218.0 -29.5
0.848 0.848 -43.5 -214.0 -79.4 -43.1 -218.0 -29.5
0.859 0.858 -43.6 -214.0 -79.4 -43.1 -218.0 -29.5
0.869 0.868 -43.6 -214.0 -79.4 -43.1 -218.0 -29.5
0.878 0.878 -43.699997 -214.1 -79.5 -43.1 -218.0 -29.5
0.888 0.888 -43.699997 -214.1 -79.5 -43.1 -218.0 -29.5
0.898 0.898 -43.8 -214.2 -79.4 -43.1 -218.0 -29.5
0.908 0.908 -43.8 -214.2 -79.4 -43.1 -218.0 -29.5
0.918 0.918 -43.899998 -214.3 -79.4 -43.1 -218.0 -29.5
0.928 0.928 -43.899998 -214.3 -79.4 -43.1 -218.0 -29.5
0.939 0.938 -43.899998 -214.3 -79.4 -43.1 -218.0 -29.5
0.948 0.948 -43.899998 -214.3 -79.4 -43.1 -218.0 -29.5
0.959 0.958 -43.899998 -214.3 -79.4 -43.1 -218.0 -29.5
0.968 0.968 -43.899998 -214.3 -79.4 -43.1 -218.0 -29.5
0.978 0.978 -43.899998 -214.3 -79.5 -43.1 -218.0 -29.5
0.988 0.988 -43.899998 -214.3 -79.5 -43.1 -218.0 -29.5
0.999 0.998 -43.8 -214.3 -79.5 -43.1 -218.0 -29.5
1.008 1.008 -43.8 -214.3 -79.5 -43.1 -218.0 -29.5
1.019 1.018 -43.8 -214.3 -79.5 -43.1 -218.0 -29.5
1.028 1.028 -43.8 -214.3 -79.5 -43.1 -218.0 -29.5
1.038 1.038 -43.899998 -214.3 -79.4 -43.1 -218.0 -29.5
1.049 1.048 -43.899998 -214.3 -79.4 -43.1 -218.0 -29.5
1.058 1.058 -43.899998 -214.3 -79.3 -43.1 -218.0 -29.5
1.068 1.068 -43.899998 -214.3 -79.3 -43.1 -218.0 -29.5
1.079 1.078 -44.0 -214.3 -79.3 -43.1 -218.0 -29.5
1.088 1.088 -44.0 -214.3 -79.3 -43.1 -218.0 -29.5
1.098 1.098 -44.0 -214.2 -79.3 -43.1 -218.0 -29.5
1.108 1.108 -44.0 -214.2 -79.3 -43.1 -218.0 -29.5
1.118 1.118 -44.0 -214.2 -79.3 -43.1 -218.0 -29.5
1.128 1.128 -44.0 -214.2 -79.3 -43.1 -218.0 -29.5
1.138 1.138 -44.1 -214.1 -79.4 -43.1 -218.0 -29.5
1.148 1.148 -44.1 -214.1 -79.4 -43.1 -218.0 -29.5
1.158 1.158 -44.1 -214.1 -79.3 -43.1 -218.0 -29.5
1.168 1.168 -44.1 -214.1 -79.3 -43.1 -218.0 -29.5
1.179 1.178 -44.199997 -214.0 -79.2 -43.1 -218.0 -29.5
