accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.100 0.017 0.107739076 3.5314474 9.118318
0.101 0.038 0.107739076 3.5314474 9.118318
0.101 0.071 -0.094570965 3.181894 8.289924
0.101 0.090 -0.09696517 3.7074213 9.613917
0.122 0.110 -0.35075054 3.7337575 9.093178
0.139 0.130 -0.32920274 3.714604 8.953117
0.209 0.150 -0.17477672 3.8402996 8.690952
0.209 0.170 -0.21667525 3.915717 8.556877
0.209 0.190 -0.1388637 4.0797195 8.754398
0.212 0.210 -0.272939 4.021062 8.761581
0.238 0.231 -0.39384618 4.1276035 8.53892
0.278 0.250 -0.8822633 4.1012673 8.613141
0.278 0.270 -0.9588778 3.9827545 8.797494
0.291 0.290 -0.8283938 3.8881836 8.779537
0.311 0.310 -0.5422867 4.0186677 8.449138
0.331 0.330 -0.22026655 4.0019083 7.678205
0.351 0.350 -1.1671734 3.8630445 8.175002
0.371 0.370 1.067814 4.5753193 7.141904
0.391 0.390 -0.18674773 3.8546648 8.485051
0.411 0.410 -0.32800564 3.9564183 8.72088
0.431 0.430 -0.62249243 3.916914 8.671799
0.451 0.450 -0.65242 3.8618474 8.774749
0.471 0.470 -0.6847417 3.8905778 9.2787285
0.491 0.490 -0.7110779 4.027047 9.386468
0.511 0.510 -0.6943185 4.104859 8.89805
0.531 0.530 -0.6356605 4.262876 8.413225
0.551 0.550 -0.5662287 4.200627 8.15106
0.571 0.570 -0.6380547 4.2305546 7.86615
0.596 0.590 -0.6835446 4.4280763 8.010999
0.611 0.610 -0.37469256 4.404134 7.835025
0.631 0.630 -0.50996494 4.128801 8.149862
0.651 0.650 -0.60333884 3.738546 8.455123
0.671 0.670 -0.34117374 3.6834793 9.041702
0.691 0.690 -0.12449849 3.763685 9.552865
0.711 0.710 -0.25378537 3.5697548 9.131485
0.731 0.730 -0.5470751 3.4500446 8.887277
0.751 0.750 -0.79966336 3.751714 8.823831
0.771 0.770 -0.8379706 3.7110126 9.293094
0.791 0.790 -0.61890113 3.2034419 9.721656
0.811 0.810 -0.521936 2.9735985 9.739613
0.831 0.830 -0.25977087 2.7377696 9.14226
0.851 0.850 -0.25857377 2.693477 9.69532
0.872 0.870 0.38307226 3.5936968 9.379285
0.891 0.890 0.15442601 3.5122938 10.317812
0.912 0.910 -0.049081136 3.5350387 12.479776
0.931 0.930 -0.8810662 3.6403837 14.062344
0.951 0.950 -1.0354922 2.0159178 11.2312
0.971 0.970 -1.0055647 2.3714569 11.220427
0.992 0.990 -0.6823475 2.8766334 9.700109
1.012 1.010 -0.61291564 2.6898856 9.003395
1.032 1.030 0.21547815 2.597709 9.734824
1.053 1.050 -0.12449849 2.3535004 9.66659
1.072 1.070 -0.7206547 1.5346833 9.989806
1.092 1.090 -1.2198458 1.6879122 10.067618
1.112 1.110 -1.4161704 1.4772224 10.670957
1.132 1.130 -1.6567876 1.8770541 10.235212
1.152 1.150 -1.7369933 1.6460136 9.552865
1.172 1.170 -1.1563994 1.5286977 9.431957
1.192 1.190 -1.0905589 1.4664485 8.911219
1.213 1.210 -0.51116204 1.7824832 8.39886
1.237 1.230 -0.6967127 2.1440077 8.110358
1.252 1.250 -0.7410054 2.5246856 8.123527
1.271 1.270 -1.0582372 2.7042508 7.5968018
1.291 1.290 -0.8774749 2.7605145 8.591593
1.311 1.310 -0.6871359 2.6431987 8.248025
1.331 1.330 -0.6823475 3.0071173 7.8146744
1.351 1.350 -1.9069817 1.2366052 8.040926
1.372 1.370 -0.8583213 3.3662477 8.069656
1.392 1.390 -0.2669535 2.6635494 9.607931
1.412 1.410 -0.4297592 2.8491 10.433931
1.432 1.430 -0.11133038 3.4129345 8.479065
1.452 1.450 -0.18794483 2.755726 7.8529816
1.472 1.470 -0.5243302 2.9628246 8.404845
1.492 1.490 -0.49200845 3.2190042 9.220071
1.513 1.510 -0.36990416 2.4229321 10.445902
1.532 1.530 -0.94690675 2.8383262 11.394006
1.552 1.550 -1.5562311 3.0430303 11.135432
1.572 1.570 -1.4951789 3.205836 11.1174755
1.592 1.590 -1.4460979 3.4955344 12.391191
1.611 1.610 -0.79008657 2.5510218 13.548787
1.632 1.630 -1.2138603 1.5526398 13.584701
1.651 1.650 -0.8762778 1.6460136 11.314998
1.672 1.670 -0.16998832 2.0410569 9.752781
1.692 1.690 0.59376204 2.4432828 9.646238
1.711 1.710 0.93852705 2.717419 9.618706
1.731 1.730 0.58777654 2.2050598 8.760384
1.751 1.750 0.81402856 1.3335704 10.109517
1.772 1.770 1.0007763 1.1671734 10.327389
1.795 1.790 0.62249243 1.0761937 9.67856
1.812 1.810 0.50158525 1.423353 8.828619
1.831 1.830 0.37349546 1.638831 7.9212165
1.851 1.850 0.35314476 1.7190368 7.4232225
1.871 1.870 0.38067806 1.7369933 6.9024835
1.892 1.890 0.33518824 1.4975731 7.111976
1.911 1.910 -0.22505496 1.447295 6.823475
1.931 1.930 0.0011971008 1.5143325 6.977901
1.951 1.950 0.18076223 2.4073699 6.853402
1.971 1.970 0.22026655 2.6563668 6.6989765
1.991 1.990 -0.021547815 2.6767175 6.8773446
2.011 2.010 0.034715924 2.8287494 7.762002
2.031 2.030 0.1316811 3.144784 8.858546
2.051 2.050 0.15562311 3.25372 8.90643
2.071 2.070 -0.020350715 3.3291376 8.72088
2.091 2.090 -0.046686932 3.549404 9.068039
2.111 2.110 -0.24420857 3.5745432 10.158598
2.131 2.130 -0.80684596 3.1950622 11.088745
2.152 2.150 -0.6919243 3.2237926 12.427104
2.172 2.170 -1.0426749 2.6503813 13.063962
2.192 2.190 -1.4999673 1.970428 13.488933
2.212 2.210 -1.685518 2.3918076 13.504495
2.233 2.231 -2.1260512 1.2318168 12.925097
2.251 2.250 -2.1643584 0.91099375 12.014104
2.271 2.270 -1.8698715 0.7529764 11.399991
2.291 2.290 -1.6663644 1.0247183 10.90918
2.312 2.310 -1.9524715 1.2916719 9.999383
2.332 2.330 -2.078167 1.1252748 10.401609
2.351 2.350 -2.822764 0.9744401 10.109517
2.372 2.370 -2.8778305 1.1168951 9.247604
2.393 2.390 -2.542642 1.6053122 8.4587145
2.412 2.410 -2.348712 1.6651673 7.9152308
2.432 2.430 -1.9213469 1.6364368 7.382521
2.452 2.450 -1.483208 1.5239093 7.0700774
2.472 2.470 -1.2114661 1.520318 6.612785
2.492 2.490 -1.0271125 1.5346833 6.3901243
2.512 2.510 -0.9780314 1.6364368 6.266823
2.532 2.530 -0.8379706 1.8507179 6.5469446
2.552 2.550 -1.0187328 1.7753005 6.742072
2.571 2.570 -0.9864111 1.839944 7.301118
2.592 2.590 -1.0905589 2.1667526 7.643489
2.612 2.610 -1.2090719 2.2050598 7.872135
2.632 2.630 -1.2318168 2.3906105 8.832211
2.652 2.650 -1.2210429 2.0350714 10.024523
2.672 2.670 -1.5179238 2.0937295 10.708067
2.692 2.690 -1.6903064 2.15957 11.122264
2.712 2.710 -1.4688427 2.5091233 11.518504
2.732 2.730 -1.4437037 2.859874 11.281479
2.752 2.750 -1.1552023 3.0226796 11.160571
2.772 2.770 -1.0881647 2.791639 12.084733
2.792 2.790 -1.1611878 2.4468741 13.807362
2.812 2.810 -1.3910311 1.9644425 13.753491
