gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.122 0.111 -0.0983493 0.115453534 -0.3036 -0.075295255 0.037055086 0.011924091
0.139 0.131 -0.0030543262 0.05375614 -0.32742378 -0.075295255 0.037055086 0.011924091
0.209 0.151 0.09101892 -0.06658431 -0.43554693 -0.075295255 0.037055086 0.011924091
0.209 0.171 -0.008552114 -0.106901415 -0.40866885 -0.075295255 0.037055086 0.011924091
0.209 0.191 -0.21197024 0.07696902 -0.33536503 -0.075295255 0.037055086 0.011924091
0.212 0.211 -0.27916542 0.29443705 -0.24556783 -0.075295255 0.037055086 0.011924091
0.238 0.231 -0.29565877 0.44898596 -0.19486602 -0.075295255 0.037055086 0.011924091
0.278 0.251 -0.36957347 0.34697145 -0.19058995 -0.075295255 0.037055086 0.011924091
0.278 0.271 -0.34147367 0.11484267 -0.1966986 -0.075295255 0.037055086 0.011924091
0.292 0.291 -0.17531833 -0.013439035 -0.18509217 -0.075295255 0.037055086 0.011924091
0.312 0.311 -0.070249505 0.0030543262 -0.16982053 -0.075295255 0.037055086 0.011924091
0.332 0.331 -0.13500121 -0.108123146 -0.1337795 -0.075295255 0.037055086 0.011924091
0.352 0.351 -0.48747048 0.050701816 -0.13622294 -0.075295255 0.037055086 0.011924091
0.371 0.371 -0.8344419 0.31031954 -0.01282817 -0.075295255 0.037055086 0.011924091
0.391 0.391 -0.6133087 0.7275405 -0.11362094 -0.075295255 0.037055086 0.011924091
0.413 0.411 -0.41233405 0.81306165 -0.1881465 -0.075295255 0.037055086 0.011924091
0.432 0.431 -0.4251622 0.5748242 -0.14660765 -0.075295255 0.037055086 0.011924091
0.451 0.451 -0.5235115 0.21685717 -0.019547688 -0.075295255 0.037055086 0.011924091
0.471 0.471 -0.5717699 0.03481932 0.034208454 -0.075295255 0.037055086 0.011924091
0.491 0.491 -0.45570546 0.226631 0.064751714 -0.075295255 0.037055086 0.011924091
0.513 0.511 -0.21380283 0.28038713 0.18509217 -0.075295255 0.037055086 0.011924091
0.532 0.531 -0.07513642 0.10140363 0.29932398 -0.075295255 0.037055086 0.011924091
0.551 0.551 -0.17531833 -0.08307768 0.32620203 -0.075295255 0.037055086 0.011924091
0.572 0.571 -0.39400807 -0.19058995 0.23640485 -0.075295255 0.037055086 0.011924091
0.596 0.591 -0.73364913 -0.17654006 0.13072516 -0.075295255 0.037055086 0.011924091
0.612 0.611 -0.8717047 -0.095294975 0.15943582 -0.075295255 0.037055086 0.011924091
0.631 0.631 -0.86315256 -0.03726278 0.23151793 -0.075295255 0.037055086 0.011924091
0.651 0.651 -0.6969972 0.06719518 0.27000242 -0.075295255 0.037055086 0.011924091
0.672 0.671 -0.44593164 0.16371189 0.24862215 -0.075295255 0.037055086 0.011924091
0.691 0.691 -0.24801129 0.33414328 0.14782938 -0.075295255 0.037055086 0.011924091
0.711 0.711 -0.11728613 0.24312437 0.09101892 -0.075295255 0.037055086 0.011924091
0.731 0.731 -0.15088372 0.16249016 0.12889257 -0.075295255 0.037055086 0.011924091
0.751 0.751 -0.50579643 0.23823744 0.22785273 -0.075295255 0.037055086 0.011924091
0.771 0.771 -0.72509706 0.24007004 0.24862215 -0.075295255 0.037055086 0.011924091
