linear-acceleration.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.101 0.090 -0.004761666 0.17901182 0.46447945
0.122 0.110 -0.00105232 0.011198282 0.027272224
0.139 0.130 0.0036283135 -0.041375637 -0.099630356
0.209 0.150 0.0055776536 -0.12262201 -0.27749825
0.209 0.170 0.009065211 -0.16385627 -0.35808277
0.209 0.190 0.002135992 -0.06220579 -0.1335125
0.212 0.210 0.004585564 -0.06777716 -0.14767075
0.238 0.231 0.013032198 -0.13662672 -0.28271103
0.278 0.250 0.020843685 -0.09683323 -0.20336246
0.278 0.270 0.010090709 -0.041927576 -0.09257984
0.291 0.290 0.014512837 -0.06817508 -0.15394592
0.311 0.310 0.025161862 -0.1864376 -0.3919859
0.331 0.330 0.029131562 -0.5291829 -1.0153213
0.351 0.350 0.088315964 -0.29230952 -0.61858463
0.371 0.370 -0.15712821 -0.6732526 -1.0509224
0.391 0.390 0.009720743 -0.20064211 -0.4416647
0.411 0.410 0.007690549 -0.09275985 -0.20446968
0.431 0.430 0.0176875 -0.11129141 -0.2463913
0.451 0.450 0.013405561 -0.07937336 -0.18035316
0.471 0.470 -0.018862069 0.10719705 0.2558117
0.491 0.490 -0.029997528 0.16988087 0.39598465
0.511 0.510 -0.0012132525 0.007165909 0.015544891
0.531 0.530 0.02378428 -0.15949059 -0.3147869
0.551 0.550 0.038167298 -0.28321552 -0.5495291
0.571 0.570 0.060724974 -0.40265322 -0.74869156
0.596 0.590 0.046762943 -0.30288744 -0.5479164
0.611 0.610 0.03378129 -0.39696932 -0.70622444
0.631 0.630 0.03658527 -0.29617357 -0.58462524
0.651 0.650 0.035312295 -0.2187984 -0.49484634
0.671 0.670 0.0013116598 -0.014131308 -0.034683228
0.691 0.690 -0.005618863 0.16921544 0.42948627
0.711 0.710 -2.899766E-5 3.9315224E-4 0.0010061264
0.731 0.730 0.014756978 -0.093042135 -0.23967552
0.751 0.750 0.015372753 -0.072152376 -0.16973114
0.771 0.770 -0.019615829 0.08687472 0.21750546
0.791 0.790 -0.0270316 0.13991785 0.42461872
0.811 0.810 -0.019970834 0.11377764 0.37265778
0.831 0.830 0.0070770085 -0.07449317 -0.24871254
0.851 0.850 -0.006659031 0.06934786 0.24964046
0.872 0.870 0.009329766 0.087534666 0.22846317
0.891 0.890 0.0154945105 0.3524058 1.0352373
0.912 0.910 -0.011972323 0.86237025 3.044425
0.931 0.930 -0.2873426 1.1872137 4.5860662
0.951 0.950 -0.14920545 0.2904718 1.6183071
0.971 0.970 -0.14898348 0.35135698 1.6624012
0.992 0.990 -0.02247405 0.09474659 0.31948757
1.012 1.010 0.025397599 -0.111442804 -0.37293148
1.032 1.030 0.0057946593 0.06988406 0.2618885
1.053 1.050 -0.41817844 -0.05339718 0.16443253
1.072 1.070 -1.0338498 -0.7648696 0.46172428
1.092 1.090 -1.4905486 -0.5240092 0.5175133
1.112 1.110 -1.6245507 -0.6670377 1.1038713
1.132 1.130 -1.7748594 -0.25509942 0.6638813
1.152 1.150 -1.7553494 -0.4881214 -0.018733978
1.172 1.170 -1.1748593 -0.5886817 -0.143363
1.192 1.190 -1.1460559 -0.63683414 -0.66706467
1.213 1.210 -0.5910249 -0.31832612 -1.1797943
1.237 1.230 -0.783615 0.042032957 -1.4679785
1.252 1.250 -0.80884874 0.4145782 -1.4531765
1.271 1.270 -1.021673 0.5803549 -1.9770231
1.291 1.290 -0.8027345 0.621536 -0.978652
1.311 1.310 -0.5818852 0.4616146 -1.3123102
1.331 1.330 -0.51933634 0.76706123 -1.7313175
1.351 1.350 -1.6926558 -1.0252528 -1.498909
1.372 1.370 -0.62748885 1.1056759 -1.4700985
1.392 1.390 -0.063776135 0.388654 0.070952415
1.412 1.410 -0.19315282 0.53050256 0.9082546
1.432 1.430 0.27470124 1.018605 -1.0229635
1.452 1.450 0.3616721 0.26637268 -1.616519
1.472 1.470 0.10625112 0.3918264 -1.0377569
1.492 1.490 0.15236384 0.5885303 -0.20520306
1.513 1.510 0.2827363 -0.27407217 1.04002
1.532 1.530 -0.25175697 0.0361073 2.021987
1.552 1.550 -0.7612556 0.1281712 1.8058023
1.572 1.570 -0.6428878 0.23638797 1.8101463
1.592 1.590 -0.63997823 0.57613564 3.0639362
1.612 1.610 -0.020941019 -0.25439978 4.18351
1.632 1.630 -0.43353188 -1.1501442 4.1902113
1.652 1.650 -0.11522341 -1.0363849 1.9130878
1.672 1.670 0.44272906 -0.6851208 0.35262585
1.692 1.690 1.0356106 -0.30732584 0.24361515
1.711 1.710 1.3324548 -0.020708084 0.21031284
1.731 1.730 1.0285892 -0.46936727 -0.6642399
1.751 1.750 1.2210183 -1.1971236 0.6437712
1.772 1.770 1.3156629 -1.2039807 0.8169279
1.795 1.790 0.8762374 -1.1842273 0.13935184
1.812 1.810 0.7494607 -0.7959039 -0.7204046
1.831 1.830 0.64906263 -0.5701679 -1.6294255
1.851 1.850 0.65709054 -0.48545456 -2.1276007
1.871 1.870 0.70576704 -0.4542861 -2.6506839
1.892 1.890 0.6469728 -0.6471629 -2.45219
1.911 1.910 0.06792335 -0.65802336 -2.75004
1.931 1.930 0.26082405 -0.6239178 -2.589275
1.951 1.950 0.4044811 0.15459228 -2.688366
1.971 1.970 0.43965933 0.2711432 -2.810648
1.991 1.990 0.23179622 0.19138718 -2.605763
2.011 2.010 0.34396723 0.27811503 -1.7020893
2.031 2.030 0.5139361 0.50890565 -0.579484
2.051 2.050 0.6377078 0.48970985 -0.49028397
