magnetometer-calibrated.txt

All values are in micro-Tesla (uT).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.101 0.085 11.83 -32.75 -28.15
0.122 0.105 11.59 -32.88 -29.74
0.139 0.125 11.85 -32.39 -28.79
0.208 0.145 11.8 -32.300003 -28.7
0.208 0.165 11.8 -32.699997 -28.499996
0.208 0.185 11.8 -32.5 -29.2
0.208 0.205 11.8 -32.699997 -29.499996
0.237 0.225 11.9 -32.5 -29.399998
0.248 0.245 12.0 -32.40001 -29.600002
0.279 0.265 12.1 -32.300003 -29.600002
0.286 0.285 12.3 -32.199997 -29.499996
0.306 0.305 12.3 -32.09999 -29.499996
0.326 0.325 12.3 -32.0 -29.499996
0.347 0.345 12.4 -32.0 -29.600002
0.366 0.365 12.6 -31.800003 -29.600002
0.386 0.385 12.7 -31.800003 -29.600002
0.406 0.405 12.8 -31.699997 -29.7
0.426 0.425 12.9 -31.5 -29.8
0.447 0.445 13.0 -31.399994 -29.7
0.466 0.465 13.1 -31.199997 -29.8
0.486 0.485 13.3 -31.0 -29.8
0.506 0.505 13.4 -30.899994 -29.899998
0.526 0.525 13.5 -30.800003 -29.999996
0.546 0.545 13.6 -30.699997 -30.100002
0.570 0.565 13.6 -30.600006 -30.100002
0.596 0.585 13.7 -30.5 -30.2
0.611 0.605 13.7 -30.399994 -30.3
0.626 0.625 13.7 -30.300003 -30.399998
0.646 0.645 13.8 -30.199997 -30.399998
0.666 0.665 13.8 -30.0 -30.499996
0.686 0.685 13.8 -29.899994 -30.499996
0.706 0.705 13.8 -29.800003 -30.600002
0.726 0.725 13.8 -29.600006 -30.7
0.746 0.745 13.9 -29.5 -30.8
0.766 0.765 13.9 -29.199997 -30.999996
0.786 0.785 14.0 -29.0 -31.2
0.806 0.805 14.1 -28.800003 -31.3
0.826 0.825 14.2 -28.600006 -31.399998
0.846 0.845 14.2 -28.399994 -31.499996
0.866 0.865 14.2 -28.300003 -31.600002
0.886 0.885 14.2 -28.199997 -31.7
0.906 0.905 14.1 -28.199997 -31.8
0.926 0.925 14.1 -28.100006 -31.899998
0.947 0.945 14.0 -28.0 -31.999996
0.966 0.965 13.9 -27.899994 -32.100002
0.987 0.985 13.8 -27.899994 -32.3
1.007 1.005 13.6 -27.800003 -32.3
1.027 1.025 13.4 -27.699997 -32.499996
1.047 1.045 13.2 -27.699997 -32.600002
1.067 1.065 13.0 -27.600006 -32.8
1.087 1.085 12.7 -27.5 -32.900005
1.107 1.105 12.6 -27.399994 -33.100002
1.127 1.125 12.4 -27.300003 -33.2
1.147 1.145 12.2 -27.199997 -33.3
1.167 1.165 12.0 -27.100006 -33.400005
1.187 1.185 11.9 -27.0 -33.499996
