magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.101 0.085 -3.3000002 -235.9 -88.4 -12.6 -206.7 -49.7
0.122 0.105 -3.3000002 -235.9 -88.4 -12.6 -206.7 -49.7
0.139 0.125 -3.3000002 -235.9 -88.4 -12.6 -206.7 -49.7
0.208 0.145 -0.8000002 -239.0 -78.4 -12.6 -206.7 -49.7
0.208 0.165 -0.8000002 -239.4 -78.2 -12.6 -206.7 -49.7
0.208 0.185 -0.8000002 -239.2 -78.9 -12.6 -206.7 -49.7
0.208 0.205 -0.8000002 -239.4 -79.2 -12.6 -206.7 -49.7
0.237 0.225 -0.70000076 -239.2 -79.1 -12.6 -206.7 -49.7
0.248 0.245 -0.6000004 -239.1 -79.3 -12.6 -206.7 -49.7
0.279 0.265 -0.5 -239.0 -79.3 -12.6 -206.7 -49.7
0.286 0.285 -0.3000002 -238.9 -79.2 -12.6 -206.7 -49.7
0.306 0.305 -0.3000002 -238.79999 -79.2 -12.6 -206.7 -49.7
0.326 0.325 -0.3000002 -238.7 -79.2 -12.6 -206.7 -49.7
0.347 0.345 -0.20000076 -238.7 -79.3 -12.6 -206.7 -49.7
0.366 0.365 0.0 -238.5 -79.3 -12.6 -206.7 -49.7
0.386 0.385 0.09999943 -238.5 -79.3 -12.6 -206.7 -49.7
0.406 0.405 0.19999981 -238.4 -79.4 -12.6 -206.7 -49.7
0.426 0.425 0.29999924 -238.2 -79.5 -12.6 -206.7 -49.7
0.447 0.445 0.39999962 -238.09999 -79.4 -12.6 -206.7 -49.7
0.466 0.465 0.5 -237.9 -79.5 -12.6 -206.7 -49.7
0.486 0.485 0.6999998 -237.7 -79.5 -12.6 -206.7 -49.7
0.506 0.505 0.79999924 -237.59999 -79.6 -12.6 -206.7 -49.7
0.526 0.525 0.8999996 -237.5 -79.7 -12.6 -206.7 -49.7
0.546 0.545 1.0 -237.4 -79.8 -12.6 -206.7 -49.7
0.571 0.565 1.0 -237.3 -79.8 -12.6 -206.7 -49.7
0.596 0.585 1.0999994 -237.2 -79.9 -12.6 -206.7 -49.7
0.611 0.605 1.0999994 -237.09999 -80.0 -12.6 -206.7 -49.7
0.626 0.625 1.0999994 -237.0 -80.1 -12.6 -206.7 -49.7
0.646 0.645 1.1999998 -236.9 -80.1 -12.6 -206.7 -49.7
0.666 0.665 1.1999998 -236.7 -80.2 -12.6 -206.7 -49.7
0.686 0.685 1.1999998 -236.59999 -80.2 -12.6 -206.7 -49.7
0.706 0.705 1.1999998 -236.5 -80.3 -12.6 -206.7 -49.7
0.726 0.725 1.1999998 -236.3 -80.4 -12.6 -206.7 -49.7
0.746 0.745 1.2999992 -236.2 -80.5 -12.6 -206.7 -49.7
0.766 0.765 1.2999992 -235.9 -80.7 -12.6 -206.7 -49.7
0.786 0.785 1.3999996 -235.7 -80.9 -12.6 -206.7 -49.7
0.806 0.805 1.5 -235.5 -81.0 -12.6 -206.7 -49.7
0.826 0.825 1.5999994 -235.3 -81.1 -12.6 -206.7 -49.7
0.846 0.845 1.5999994 -235.09999 -81.2 -12.6 -206.7 -49.7
0.866 0.865 1.5999994 -235.0 -81.3 -12.6 -206.7 -49.7
0.886 0.885 1.5999994 -234.9 -81.4 -12.6 -206.7 -49.7
0.906 0.905 1.5 -234.9 -81.5 -12.6 -206.7 -49.7
0.927 0.925 1.5 -234.8 -81.6 -12.6 -206.7 -49.7
0.947 0.945 1.3999996 -234.7 -81.7 -12.6 -206.7 -49.7
0.967 0.965 1.2999992 -234.59999 -81.8 -12.6 -206.7 -49.7
0.987 0.985 1.1999998 -234.59999 -82.0 -12.6 -206.7 -49.7
1.007 1.005 1.0 -234.5 -82.0 -12.6 -206.7 -49.7
1.027 1.025 0.79999924 -234.4 -82.2 -12.6 -206.7 -49.7
1.047 1.045 0.5999994 -234.4 -82.3 -12.6 -206.7 -49.7
1.067 1.065 0.39999962 -234.3 -82.5 -12.6 -206.7 -49.7
1.087 1.085 0.09999943 -234.2 -82.600006 -12.6 -206.7 -49.7
1.107 1.105 0.0 -234.09999 -82.8 -12.6 -206.7 -49.7
1.127 1.125 -0.20000076 -234.0 -82.9 -12.6 -206.7 -49.7
1.147 1.145 -0.40000057 -233.9 -83.0 -12.6 -206.7 -49.7
1.167 1.165 -0.6000004 -233.8 -83.100006 -12.6 -206.7 -49.7
1.187 1.185 -0.70000076 -233.7 -83.2 -12.6 -206.7 -49.7
1.207 1.205 -1.0 -233.7 -83.4 -12.6 -206.7 -49.7
1.227 1.225 -1.1000004 -233.59999 -83.5 -12.6 -206.7 -49.7
1.247 1.245 -1.3000002 -233.59999 -83.600006 -12.6 -206.7 -49.7
1.267 1.266 -1.5 -233.59999 -83.7 -12.6 -206.7 -49.7
1.287 1.285 -1.7000008 -233.59999 -83.8 -12.6 -206.7 -49.7
1.306 1.305 -1.8000002 -233.59999 -83.9 -12.6 -206.7 -49.7
1.327 1.325 -2.0 -233.59999 -84.0 -12.6 -206.7 -49.7
1.347 1.345 -2.2000008 -233.59999 -84.100006 -12.6 -206.7 -49.7
1.367 1.365 -2.4000006 -233.59999 -84.100006 -12.6 -206.7 -49.7
1.387 1.385 -2.6000004 -233.59999 -84.100006 -12.6 -206.7 -49.7
1.407 1.405 -2.8000002 -233.7 -84.2 -12.6 -206.7 -49.7
1.430 1.425 -3.0 -233.7 -84.2 -12.6 -206.7 -49.7
1.447 1.445 -3.1000004 -233.7 -84.3 -12.6 -206.7 -49.7
1.467 1.465 -3.2000008 -233.7 -84.3 -12.6 -206.7 -49.7
1.487 1.485 -3.2000008 -233.59999 -84.3 -12.6 -206.7 -49.7
1.507 1.505 -3.3000002 -233.59999 -84.3 -12.6 -206.7 -49.7
1.527 1.525 -3.3000002 -233.59999 -84.2 -12.6 -206.7 -49.7
1.547 1.545 -3.3000002 -233.59999 -84.3 -12.6 -206.7 -49.7
1.567 1.565 -3.3000002 -233.59999 -84.2 -12.6 -206.7 -49.7
1.587 1.585 -3.3000002 -233.59999 -84.2 -12.6 -206.7 -49.7
1.607 1.605 -3.2000008 -233.59999 -84.100006 -12.6 -206.7 -49.7
1.627 1.625 -3.1000004 -233.7 -84.0 -12.6 -206.7 -49.7
1.647 1.645 -3.0 -233.59999 -84.0 -12.6 -206.7 -49.7
1.667 1.665 -3.0 -233.7 -83.9 -12.6 -206.7 -49.7
1.687 1.685 -2.9000006 -233.8 -83.8 -12.6 -206.7 -49.7
1.707 1.705 -2.9000006 -233.8 -83.7 -12.6 -206.7 -49.7
1.727 1.725 -2.9000006 -233.9 -83.600006 -12.6 -206.7 -49.7
1.747 1.745 -2.9000006 -234.0 -83.600006 -12.6 -206.7 -49.7
1.767 1.765 -2.9000006 -234.09999 -83.5 -12.6 -206.7 -49.7
1.787 1.785 -2.9000006 -234.09999 -83.4 -12.6 -206.7 -49.7
1.808 1.805 -2.9000006 -234.09999 -83.4 -12.6 -206.7 -49.7
1.827 1.825 -2.9000006 -234.09999 -83.4 -12.6 -206.7 -49.7
1.847 1.845 -2.8000002 -234.09999 -83.3 -12.6 -206.7 -49.7
1.866 1.865 -2.8000002 -234.09999 -83.2 -12.6 -206.7 -49.7
1.886 1.885 -2.7000008 -234.09999 -83.2 -12.6 -206.7 -49.7
1.906 1.905 -2.7000008 -234.09999 -83.100006 -12.6 -206.7 -49.7
1.926 1.925 -2.6000004 -234.09999 -83.0 -12.6 -206.7 -49.7
1.946 1.945 -2.5 -234.09999 -83.0 -12.6 -206.7 -49.7
1.966 1.965 -2.5 -234.09999 -82.9 -12.6 -206.7 -49.7
1.986 1.985 -2.4000006 -234.09999 -82.9 -12.6 -206.7 -49.7
2.006 2.005 -2.3000002 -234.09999 -82.7 -12.6 -206.7 -49.7
2.026 2.025 -2.2000008 -234.09999 -82.600006 -12.6 -206.7 -49.7
2.046 2.045 -2.2000008 -234.09999 -82.5 -12.6 -206.7 -49.7
2.066 2.065 -2.1000004 -234.2 -82.4 -12.6 -206.7 -49.7
2.086 2.085 -2.1000004 -234.2 -82.3 -12.6 -206.7 -49.7
2.106 2.105 -2.0 -234.2 -82.3 -12.6 -206.7 -49.7
2.126 2.125 -2.0 -234.2 -82.2 -12.6 -206.7 -49.7
2.147 2.145 -1.9000006 -234.09999 -82.100006 -12.6 -206.7 -49.7
2.167 2.165 -1.8000002 -234.09999 -82.100006 -12.6 -206.7 -49.7
2.187 2.185 -1.8000002 -234.0 -82.0 -12.6 -206.7 -49.7
2.207 2.205 -1.7000008 -234.0 -82.0 -12.6 -206.7 -49.7
2.228 2.225 -1.7000008 -233.9 -81.9 -12.6 -206.7 -49.7
2.247 2.246 -1.6000004 -233.8 -81.8 -12.6 -206.7 -49.7
2.266 2.265 -1.5 -233.8 -81.8 -12.6 -206.7 -49.7
2.287 2.285 -1.5 -233.7 -81.7 -12.6 -206.7 -49.7
2.307 2.305 -1.4000006 -233.59999 -81.7 -12.6 -206.7 -49.7
2.327 2.325 -1.3000002 -233.5 -81.6 -12.6 -206.7 -49.7
2.347 2.345 -1.2000008 -233.5 -81.5 -12.6 -206.7 -49.7
2.367 2.365 -1.1000004 -233.4 -81.4 -12.6 -206.7 -49.7
2.387 2.385 -1.0 -233.3 -81.3 -12.6 -206.7 -49.7
2.407 2.405 -0.9000006 -233.3 -81.1 -12.6 -206.7 -49.7
2.427 2.425 -0.8000002 -233.3 -80.9 -12.6 -206.7 -49.7
2.447 2.445 -0.8000002 -233.2 -80.8 -12.6 -206.7 -49.7
2.467 2.465 -0.8000002 -233.2 -80.6 -12.6 -206.7 -49.7
2.487 2.485 -0.8000002 -233.09999 -80.5 -12.6 -206.7 -49.7
2.507 2.505 -0.8000002 -233.2 -80.4 -12.6 -206.7 -49.7
2.528 2.525 -0.8000002 -233.2 -80.2 -12.6 -206.7 -49.7
2.547 2.545 -0.8000002 -233.2 -80.0 -12.6 -206.7 -49.7
2.567 2.565 -0.8000002 -233.09999 -79.9 -12.6 -206.7 -49.7
2.587 2.585 -0.70000076 -233.09999 -79.7 -12.6 -206.7 -49.7
2.609 2.605 -0.8000002 -233.0 -79.5 -12.6 -206.7 -49.7
2.627 2.625 -0.8000002 -233.0 -79.4 -12.6 -206.7 -49.7
2.647 2.645 -0.9000006 -232.9 -79.4 -12.6 -206.7 -49.7
2.667 2.665 -0.9000006 -232.7 -79.2 -12.6 -206.7 -49.7
2.687 2.685 -1.0 -232.5 -79.1 -12.6 -206.7 -49.7
2.707 2.705 -1.1000004 -232.3 -79.1 -12.6 -206.7 -49.7
2.727 2.725 -1.1000004 -232.09999 -79.0 -12.6 -206.7 -49.7
2.747 2.745 -1.3000002 -232.0 -79.0 -12.6 -206.7 -49.7
2.767 2.765 -1.4000006 -231.8 -78.9 -12.6 -206.7 -49.7
2.787 2.785 -1.5 -231.59999 -78.8 -12.6 -206.7 -49.7
2.807 2.805 -1.6000004 -231.4 -78.7 -12.6 -206.7 -49.7
2.828 2.825 -1.7000008 -231.09999 -78.7 -12.6 -206.7 -49.7
2.847 2.845 -1.8000002 -230.9 -78.7 -12.6 -206.7 -49.7
2.866 2.865 -1.9000006 -230.59999 -78.7 -12.6 -206.7 -49.7
2.887 2.885 -1.9000006 -230.4 -78.6 -12.6 -206.7 -49.7
2.908 2.905 -2.0720005 -229.439 -78.806 -12.6 -206.7 -49.7
2.927 2.925 -1.9800005 -228.67 -78.987 -12.6 -206.7 -49.7
2.947 2.945 -1.8040009 -227.32599 -79.11 -12.6 -206.7 -49.7
2.967 2.965 -1.3400002 -226.181 -78.79 -12.6 -206.7 -49.7
2.987 2.985 -1.3410006 -225.775 -79.623 -12.6 -206.7 -49.7
3.007 3.005 -0.023000717 -224.65599 -79.147 -12.6 -206.7 -49.7
3.027 3.025 -0.31400013 -224.504 -78.373 -12.6 -206.7 -49.7
3.047 3.045 0.0539999 -223.619 -79.627 -12.6 -206.7 -49.7
3.067 3.065 0.83500004 -223.34999 -79.114 -12.6 -206.7 -49.7
3.087 3.085 1.5739994 -222.896 -80.097 -12.6 -206.7 -49.7
3.107 3.105 1.6939993 -222.36 -78.743 -12.6 -206.7 -49.7
3.128 3.126 1.7459993 -222.361 -78.744 -12.6 -206.7 -49.7
3.147 3.145 2.875 -221.241 -79.593 -12.6 -206.7 -49.7
3.167 3.165 3.2179995 -220.415 -79.401 -12.6 -206.7 -49.7
3.187 3.185 3.5959988 -219.817 -79.661 -12.6 -206.7 -49.7
3.207 3.205 4.935999 -218.524 -79.041 -12.6 -206.7 -49.7
3.227 3.225 5.958 -218.073 -78.817 -12.6 -206.7 -49.7
3.247 3.245 6.442999 -217.187 -79.526 -12.6 -206.7 -49.7
3.267 3.265 7.5149994 -217.29399 -80.255005 -12.6 -206.7 -49.7
3.288 3.285 7.6919994 -216.73 -79.584 -12.6 -206.7 -49.7
3.307 3.305 8.597 -215.737 -80.546005 -12.6 -206.7 -49.7
3.327 3.325 8.536999 -215.54199 -81.084 -12.6 -206.7 -49.7
3.355 3.345 8.874001 -215.161 -80.604004 -12.6 -206.7 -49.7
3.366 3.365 9.282 -214.095 -82.349 -12.6 -206.7 -49.7
3.386 3.385 10.456999 -213.454 -80.424 -12.6 -206.7 -49.7
3.406 3.405 10.202 -213.827 -81.944 -12.6 -206.7 -49.7
3.426 3.425 11.691999 -213.797 -82.223 -12.6 -206.7 -49.7
3.446 3.445 11.625999 -214.065 -83.994 -12.6 -206.7 -49.7
3.466 3.465 11.921999 -214.914 -83.779 -12.6 -206.7 -49.7
3.486 3.485 14.286999 -214.70999 -83.059006 -12.6 -206.7 -49.7
3.506 3.505 14.374001 -215.584 -82.826004 -12.6 -206.7 -49.7
3.526 3.525 15.781 -215.94699 -82.096 -12.6 -206.7 -49.7
3.546 3.545 16.348999 -216.043 -81.838 -12.6 -206.7 -49.7
3.566 3.565 16.931 -217.455 -82.132996 -12.6 -206.7 -49.7
3.586 3.585 17.064 -218.32399 -82.862 -12.6 -206.7 -49.7
3.606 3.605 17.233 -219.374 -83.404 -12.6 -206.7 -49.7
3.626 3.625 16.847 -220.55 -82.68 -12.6 -206.7 -49.7
3.646 3.645 17.614 -220.668 -82.453 -12.6 -206.7 -49.7
3.666 3.665 17.769 -221.177 -83.961 -12.6 -206.7 -49.7
3.686 3.685 18.343 -222.429 -83.263 -12.6 -206.7 -49.7
3.706 3.705 17.565 -223.946 -83.05 -12.6 -206.7 -49.7
3.726 3.725 17.446 -224.12 -82.845 -12.6 -206.7 -49.7
3.746 3.745 18.489 -225.038 -83.369 -12.6 -206.7 -49.7
3.766 3.765 18.147999 -226.415 -83.159 -12.6 -206.7 -49.7
3.788 3.785 17.991 -227.336 -81.41 -12.6 -206.7 -49.7
3.807 3.805 18.560999 -227.512 -81.401 -12.6 -206.7 -49.7
3.826 3.825 18.338 -228.75699 -79.045 -12.6 -206.7 -49.7
3.846 3.845 18.233 -229.33 -80.333 -12.6 -206.7 -49.7
3.866 3.865 18.585 -229.334 -81.655 -12.6 -206.7 -49.7
3.886 3.885 17.652 -230.056 -81.121 -12.6 -206.7 -49.7
3.906 3.905 17.914 -230.05699 -80.313 -12.6 -206.7 -49.7
3.926 3.925 18.279 -229.233 -82.45 -12.6 -206.7 -49.7
3.946 3.945 18.501 -229.896 -81.383 -12.6 -206.7 -49.7
3.966 3.965 18.543 -229.936 -81.374 -12.6 -206.7 -49.7
3.986 3.985 16.925999 -230.25 -81.938 -12.6 -206.7 -49.7
4.006 4.005 16.543 -230.802 -82.977005 -12.6 -206.7 -49.7
4.026 4.025 16.124 -231.09999 -83.482 -12.6 -206.7 -49.7
4.046 4.045 17.077 -230.147 -83.196 -12.6 -206.7 -49.7
4.066 4.065 16.07 -230.034 -83.399 -12.6 -206.7 -49.7
4.086 4.085 16.336 -230.67099 -83.126 -12.6 -206.7 -49.7
4.106 4.105 16.595 -230.937 -82.65 -12.6 -206.7 -49.7
4.126 4.125 15.285999 -231.155 -83.062 -12.6 -206.7 -49.7
4.146 4.145 15.608999 -230.938 -82.226 -12.6 -206.7 -49.7
4.166 4.165 14.695 -231.053 -83.186005 -12.6 -206.7 -49.7
4.186 4.185 13.996 -231.52899 -83.843 -12.6 -206.7 -49.7
4.206 4.205 14.154999 -231.797 -82.456 -12.6 -206.7 -49.7
4.226 4.225 14.355 -231.484 -82.298996 -12.6 -206.7 -49.7
4.246 4.245 14.68 -231.88 -82.253006 -12.6 -206.7 -49.7
4.266 4.265 14.150999 -232.055 -83.007 -12.6 -206.7 -49.7
4.286 4.285 14.146 -232.21399 -82.265 -12.6 -206.7 -49.7
4.306 4.305 13.916 -232.17099 -81.645004 -12.6 -206.7 -49.7
4.326 4.325 13.553999 -232.463 -82.311005 -12.6 -206.7 -49.7
