rotation-vector.txt

Estimated-heading-accuracy is in radians. The rotation vector represents the orientation of the device as a combination of an angle and an axis, in which the device has rotated through an angle θ around an axis <x, y, z>. The reference coordinate system is defined as a direct orthonormal basis, where: X is defined as the vector product Y.Z (It is tangential to the ground at the device's current location and roughly points East). Y is tangential to the ground at the device's current location and points towards magnetic north. Z points towards the sky and is perpendicular to the ground.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x*sin(θ/2) y*sin(θ/2) z*sin(θ/2) cos(θ/2) estimated-heading-accuracy
0.101 0.038 0.18369384 -0.0056042187 0.0 0.9829676 0.0
0.101 0.071 0.18222234 0.005047554 -0.00198218 0.98324245 0.0
0.101 0.090 0.041567933 0.17827116 0.9512618 0.24817842 0.0
0.122 0.110 0.032004137 0.1916851 0.9481916 0.2513273 0.0
0.139 0.130 0.032172028 0.19339938 0.9493213 0.24566394 0.0
0.208 0.150 0.042820666 0.20224407 0.9469758 0.24596839 0.0
0.208 0.170 0.046210866 0.20815401 0.94062716 0.26411578 0.0
0.208 0.190 0.052629583 0.2099352 0.93836766 0.26948735 0.0
0.211 0.210 0.046492558 0.20878944 0.93693453 0.2764043 0.0
0.238 0.231 0.03990878 0.22052045 0.9381668 0.26385814 0.0
0.278 0.250 0.015590688 0.2241436 0.93612134 0.2705427 0.0
0.278 0.270 5.13182E-6 0.2161767 0.94922584 0.22855616 0.0
0.291 0.290 0.0041397368 0.21095493 0.95185006 0.22240147 0.0
0.311 0.310 0.023146134 0.22066347 0.9474412 0.23049317 0.0
0.331 0.330 0.0523939 0.23239708 0.9342585 0.26534417 0.0
0.351 0.350 0.011538759 0.22697732 0.9167091 0.32862237 0.0
0.371 0.370 0.11583905 0.26241845 0.9413778 0.17755476 0.0
0.391 0.390 0.091652416 0.1909554 0.859583 0.4650299 0.0
0.411 0.410 0.045652844 0.20700163 0.9336887 0.28860298 0.0
0.431 0.430 0.029603487 0.21076639 0.93426716 0.28608763 0.0
0.451 0.450 0.022808652 0.2071151 0.94075626 0.26750845 0.0
0.471 0.470 0.021186423 0.1987723 0.9415492 0.27115685 0.0
0.491 0.490 0.021247432 0.20288292 0.9410843 0.26971743 0.0
0.511 0.510 0.025382997 0.21557824 0.93684494 0.27423206 0.0
0.531 0.530 0.036920436 0.2315861 0.9269203 0.29295638 0.0
0.551 0.550 0.04921604 0.23231702 0.9148925 0.32646343 0.0
0.571 0.570 0.05051979 0.24127395 0.90834165 0.33786106 0.0
0.596 0.590 0.05224564 0.24675329 0.90502006 0.34252298 0.0
0.611 0.610 0.06910672 0.2444212 0.9050599 0.34110007 0.0
0.631 0.630 0.06375335 0.22494572 0.8958854 0.3777889 0.0
0.651 0.650 0.041132495 0.2049066 0.91587913 0.34276366 0.0
0.671 0.670 0.04292234 0.1881245 0.93241614 0.30556032 0.0
0.691 0.690 0.05347413 0.17882295 0.9314263 0.3124229 0.0
0.711 0.710 0.048816077 0.17914271 0.9273362 0.3249191 0.0
0.731 0.730 0.032760642 0.183253 0.92817086 0.32224813 0.0
