accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.132 0.081 -0.6751649 1.5622166 9.399636
0.132 0.101 -0.80086046 1.543063 9.358934
0.132 0.121 -0.94331545 1.7178397 9.534908
0.155 0.141 -1.103727 1.7657237 9.534908
0.163 0.161 -1.1563994 1.7860745 9.520543
0.190 0.181 -1.1312603 1.7896658 9.623494
0.202 0.201 -0.9840169 1.8004397 9.76116
0.222 0.221 -1.0019734 1.7992426 9.659407
0.242 0.241 -0.9923966 1.839944 9.696517
0.262 0.261 -1.1707647 1.7597382 9.799467
0.282 0.281 -0.9744401 1.7848774 9.821015
0.302 0.301 -0.90620536 1.8483237 9.69532
0.322 0.321 -0.85473 1.8028339 9.595961
0.342 0.341 -0.8882488 1.697489 9.494206
0.362 0.361 -0.9780314 1.6017209 9.388862
0.382 0.381 -1.0809821 1.5646108 9.414001
0.402 0.401 -1.0007763 1.5179238 9.545682
0.422 0.421 -1.0366893 1.5107412 9.616311
0.442 0.441 -0.94690675 1.5251064 9.557653
0.462 0.461 -0.91697925 1.5454572 9.466674
0.495 0.481 -0.8607155 1.5370775 9.49301
0.509 0.501 -0.9684546 1.5346833 9.53012
0.522 0.521 -0.770933 1.5466543 9.411607
0.542 0.541 -0.8726865 1.4305356 9.801862
0.562 0.561 -0.7673417 1.411382 9.945514
0.582 0.581 -0.7445967 1.4856021 9.797073
0.602 0.601 -0.81163436 1.5023615 9.574412
0.622 0.621 -0.81522566 1.6136919 9.689334
0.642 0.641 -0.78769237 1.6496049 9.76116
0.662 0.661 -0.7062895 1.6998832 9.67856
0.682 0.681 -0.6991069 1.7118542 9.570822
0.702 0.701 -0.6572084 1.7645266 9.520543
0.722 0.721 -0.6476316 1.7429788 9.591172
0.742 0.741 -0.6667852 1.6843209 9.478644
0.762 0.761 -0.6979098 1.6747441 9.532514
0.782 0.781 -0.58657944 1.673547 9.585187
0.802 0.801 -0.4357447 1.6519991 9.55047
0.822 0.821 -0.2777274 1.7310078 9.557653
0.842 0.842 -0.2825158 1.8076223 9.592369
0.863 0.862 -0.4225766 1.9033904 9.680955
0.883 0.882 -0.41180268 1.9045875 9.611523
0.903 0.902 -0.23942018 1.9309237 9.745598
0.923 0.922 -0.10414778 2.0566192 9.548077
0.943 0.942 0.4405331 2.2577322 9.566033
0.963 0.962 0.6859388 1.2569559 10.028113
0.983 0.982 -0.39145198 1.7968484 9.5492735
1.003 1.002 -0.22984336 2.6072857 9.136273
1.023 1.021 0.09935937 2.694674 9.3182335
1.043 1.042 0.02633622 3.084929 8.841787
1.065 1.061 0.17357962 3.3087866 8.991425
1.083 1.081 -0.21308395 2.9508536 9.030929
1.103 1.102 0.11252748 2.9724014 9.200917
1.123 1.122 -0.02633622 2.9125464 9.238028
1.143 1.141 0.01436521 2.8095956 9.516952
1.163 1.162 0.17238252 2.6623523 9.5385
1.182 1.181 0.38067806 2.4432828 8.949526
1.203 1.202 0.5686229 2.4013844 8.902839
1.222 1.221 0.60333884 2.5629928 8.841787
1.243 1.241 0.39983168 2.8814218 8.67539
1.263 1.261 0.22146365 3.0202854 8.540117
1.283 1.282 0.5303157 2.9532478 8.987833
1.303 1.302 0.5255273 2.789245 8.919599
1.323 1.322 0.23104046 2.944868 8.634688
