gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.077 0.060 -0.2762699 -0.13175142 -0.12781744
0.077 0.070 -0.11133629 -0.18550755 -0.15530637
0.132 0.080 -0.08506909 -0.14274698 -0.16691281
0.132 0.090 -0.07407351 -0.08043873 -0.16508022
0.132 0.100 -0.061245352 0.061282005 -0.13148263
0.132 0.110 -0.05024977 0.18162246 -0.13087177
0.132 0.120 -0.023982562 0.1706269 -0.15469551
0.132 0.130 -0.0032131448 0.14497055 -0.18218444
0.155 0.140 -7.696822E-4 0.09549047 -0.1864605
0.155 0.150 -0.01543045 0.03134961 -0.18890396
0.163 0.160 -0.04169766 -0.029126052 -0.17790839
0.189 0.170 -0.06796487 -0.07249749 -0.16080415
0.189 0.180 -0.08201477 -0.09387776 -0.16385849
0.192 0.190 -0.08079304 -0.060280178 -0.16141503
0.200 0.200 -0.07285178 0.014245383 -0.15530637
0.210 0.210 -0.05024977 0.08144055 -0.14125647
0.220 0.220 -0.05330409 0.066168934 -0.15347378
0.232 0.230 -0.07163006 0.014856245 -0.16935627
0.240 0.240 -0.08629082 -0.057225853 -0.16691281
0.250 0.250 -0.0832365 -0.1372492 -0.17241059
0.260 0.260 -0.07407351 -0.2038335 -0.17546493
0.270 0.270 -0.059412748 -0.22399206 -0.15347378
0.281 0.280 -0.04169766 -0.20994216 -0.13331522
0.290 0.290 -0.036199868 -0.19467053 -0.12415225
0.300 0.300 -0.0374216 -0.1793989 -0.12415225
0.310 0.310 -0.036810733 -0.16412726 -0.12109793
0.320 0.320 -0.025204293 -0.09265603 -0.108880624
0.331 0.330 -0.004434876 -0.022406533 -0.11315668
0.340 0.340 0.012669351 0.047232103 -0.12415225
0.350 0.350 0.016945407 0.105264306 -0.13514782
0.360 0.360 0.009004161 0.11320555 -0.13698041
0.370 0.370 -0.006267473 0.08632748 -0.13636956
0.381 0.380 -0.02581516 0.056395087 -0.12415225
0.390 0.390 -0.04169766 0.021575764 -0.11315668
0.400 0.400 -0.06002362 -0.0010262504 -0.10155024
0.410 0.410 -0.0636888 -0.014465285 -0.086889476
0.420 0.420 -0.05024977 -0.054171525 -0.07772649
0.431 0.430 -0.038032465 -0.11281459 -0.07772649
0.440 0.440 -0.038032465 -0.12869708 -0.08444601
0.450 0.450 -0.05330409 -0.110981986 -0.08078082
0.460 0.460 -0.068575725 -0.08654738 -0.064287454
0.470 0.470 -0.0691866 -0.056004122 -0.046572365
0.494 0.480 -0.055136696 -0.030958645 -0.037409388
0.495 0.490 -0.042308524 -0.019352207 -0.039852846
0.509 0.500 -0.036810733 -0.024849994 -0.041074578
0.510 0.510 -0.042308524 -0.046841145 -0.036187656
0.520 0.520 -0.06429967 -0.004080575 -0.02274862
0.530 0.530 -0.101562455 -0.032791242 -0.0025900668
0.540 0.540 -0.12844053 -0.16046208 -0.041685443
0.550 0.550 -0.09728639 -0.14152525 -0.04840496
0.560 0.560 -0.055136696 -0.12197757 -0.06306572
0.570 0.570 -0.011154398 -0.11464718 -0.08016995
0.580 0.580 0.015723675 -0.116479784 -0.08933293
0.590 0.590 0.03588223 -0.12991881 -0.10093937
0.600 0.600 0.03160617 -0.15374257 -0.110102355
0.610 0.610 0.0028955042 -0.17390111 -0.1198762
0.620 0.620 -0.022149973 -0.18734014 -0.124763116
0.630 0.630 -0.01543045 -0.18611841 -0.12415225
0.640 0.640 0.010225888 -0.17267938 -0.11926533
0.650 0.650 0.026108384 -0.14641218 -0.1039937
0.660 0.660 0.021832328 -0.13602747 -0.0899438
0.670 0.670 0.01938887 -0.13297315 -0.081391685
0.680 0.680 0.008393295 -0.12869708 -0.075893894
0.690 0.690 -0.006267473 -0.116479784 -0.07894822
0.700 0.700 -0.00810007 -0.11709064 -0.085667744
0.710 0.710 4.5204163E-4 -0.14274698 -0.097274184
0.720 0.720 0.007171564 -0.15985121 -0.1021611
0.730 0.730 0.010225888 -0.16290554 -0.1039937
0.740 0.740 -0.0032131448 -0.17451197 -0.11437841
0.750 0.750 -0.023371696 -0.1775663 -0.12231965
0.760 0.760 -0.047806308 -0.17390111 -0.10949149
0.770 0.770 -0.052693233 -0.17390111 -0.09483072
0.780 0.780 -0.031923816 -0.18917274 -0.098495916
0.790 0.790 0.007171564 -0.21910514 -0.11437841
0.800 0.800 0.037714824 -0.22032687 -0.1339261
0.810 0.810 0.0487104 -0.1757337 -0.14980859
0.820 0.820 0.03954742 -0.12014498 -0.16813454
0.831 0.830 0.029773578 -0.04317595 -0.1846279
0.841 0.840 0.01511281 0.025240954 -0.19623435
0.851 0.850 0.00350637 0.07411018 -0.20295386
0.861 0.860 0.004728101 0.083884016 -0.1968452
0.871 0.870 0.032217037 0.05944941 -0.18584964
0.881 0.880 0.07070155 0.0044715367 -0.18157358
0.891 0.890 0.115905575 -0.052949794 -0.17729752
0.901 0.900 0.14950317 -0.08043873 -0.16324762
0.911 0.910 0.13850759 -0.06150191 -0.09238726
0.921 0.920 0.08780578 0.008747596 -0.0068661235
0.932 0.930 -0.017263047 0.07655364 0.042003095
0.941 0.940 -0.15898378 0.19445063 0.09026145
0.951 0.950 -0.2762699 0.31234762 0.1244699
0.961 0.960 -0.42043412 0.16268565 0.26985583
0.971 0.970 -0.3416325 0.20850053 0.095759235
0.981 0.980 -0.023371696 -0.15801862 -0.36666575
0.991 0.990 0.29061306 -0.37915185 -0.6879809
1.002 1.000 0.57405454 -0.73834056 -0.8290907
1.011 1.010 0.7408207 -0.9814649 -0.7967149
1.021 1.020 0.77197486 -0.9832975 -0.70752853
1.031 1.030 0.71455353 -0.7639969 -0.60429233
1.041 1.040 0.60337603 -0.41091684 -0.47173458
1.051 1.050 0.43416637 -0.024239128 -0.33856595
1.065 1.060 0.20875709 0.34228 -0.23044279
1.072 1.070 -0.0117652565 0.5860153 -0.16385849
1.081 1.080 -0.28543288 0.6080064 -0.14614339
1.091 1.090 -0.44120353 0.42230335 -0.088722065
1.101 1.100 -0.56765264 0.1529118 0.02489887
1.111 1.110 -0.62935 -0.06883229 0.14707193
1.121 1.120 -0.6171327 -0.19650312 0.23931259
1.132 1.130 -0.53772026 -0.2252138 0.28390574
1.141 1.140 -0.40455163 -0.19039448 0.28024054
1.152 1.150 -0.2817677 -0.17817716 0.23992345
1.161 1.160 -0.22068116 -0.15985121 0.17639345
1.171 1.170 -0.20724213 -0.1635164 0.09209404
1.181 1.180 -0.2182377 -0.22399206 -0.014807371
1.191 1.190 -0.23350933 -0.40419734 -0.17729752
1.201 1.200 -0.2200703 -0.46467298 -0.28297722
1.214 1.210 -0.185251 -0.423745 -0.35444844
1.221 1.220 -0.13088398 -0.32050878 -0.39781988
1.231 1.230 -0.07590611 -0.2301007 -0.3953764
1.241 1.240 -0.01970651 -0.15557516 -0.38132653
1.251 1.250 0.014501944 -0.094488636 -0.37338525
1.261 1.260 0.017556272 -0.094488636 -0.35322672
1.271 1.270 0.006560698 0.0020280778 -0.34345287
1.281 1.280 0.0010629073 0.03867999 -0.36483315
1.291 1.290 0.045656074 0.049675565 -0.4112589
1.301 1.300 0.20203757 -0.020573936 -0.5083865
1.312 1.310 0.29977602 -0.09998642 -0.55847746
1.321 1.320 0.3333736 -0.07677354 -0.55297965
