gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.076 0.060 -0.34880406 -0.093462385 -0.112399206 -0.072534144 0.03828903 0.015418237
0.132 0.080 -0.15760323 -0.10445796 -0.15149458 -0.072534144 0.03828903 0.015418237
0.132 0.100 -0.1337795 0.099571034 -0.1160644 -0.072534144 0.03828903 0.015418237
0.132 0.120 -0.096516706 0.20891592 -0.13927728 -0.072534144 0.03828903 0.015418237
0.155 0.140 -0.073303826 0.1337795 -0.17104226 -0.072534144 0.03828903 0.015418237
0.163 0.160 -0.1142318 0.009162978 -0.16249016 -0.072534144 0.03828903 0.015418237
0.190 0.180 -0.15454891 -0.055588737 -0.14844026 -0.072534144 0.03828903 0.015418237
0.200 0.200 -0.14538592 0.052534413 -0.13988814 -0.072534144 0.03828903 0.015418237
0.220 0.220 -0.12583824 0.10445796 -0.13805555 -0.072534144 0.03828903 0.015418237
0.240 0.240 -0.15882497 -0.018936822 -0.15149458 -0.072534144 0.03828903 0.015418237
0.260 0.260 -0.14660765 -0.16554448 -0.1600467 -0.072534144 0.03828903 0.015418237
0.281 0.280 -0.1142318 -0.17165314 -0.11789699 -0.072534144 0.03828903 0.015418237
0.300 0.300 -0.10995574 -0.14110987 -0.10873401 -0.072534144 0.03828903 0.015418237
0.320 0.320 -0.09773844 -0.054367006 -0.093462385 -0.072534144 0.03828903 0.015418237
0.340 0.340 -0.059864793 0.08552113 -0.10873401 -0.072534144 0.03828903 0.015418237
0.360 0.360 -0.06352998 0.15149458 -0.12156218 -0.072534144 0.03828903 0.015418237
0.381 0.380 -0.0983493 0.09468412 -0.10873401 -0.072534144 0.03828903 0.015418237
0.400 0.400 -0.13255776 0.03726278 -0.086132 -0.072534144 0.03828903 0.015418237
0.420 0.420 -0.122783914 -0.015882496 -0.062308256 -0.072534144 0.03828903 0.015418237
0.440 0.440 -0.11056661 -0.09040806 -0.069027774 -0.072534144 0.03828903 0.015418237
0.460 0.460 -0.14110987 -0.048258353 -0.04886922 -0.072534144 0.03828903 0.015418237
0.494 0.480 -0.12767084 0.007330383 -0.021991149 -0.072534144 0.03828903 0.015418237
0.509 0.500 -0.10934488 0.013439035 -0.02565634 -0.072534144 0.03828903 0.015418237
0.520 0.520 -0.13683382 0.034208454 -0.007330383 -0.072534144 0.03828903 0.015418237
0.540 0.540 -0.20097467 -0.12217305 -0.026267206 -0.072534144 0.03828903 0.015418237
0.560 0.560 -0.12767084 -0.08368854 -0.047647487 -0.072534144 0.03828903 0.015418237
0.580 0.580 -0.05681047 -0.07819075 -0.07391469 -0.072534144 0.03828903 0.015418237
0.600 0.600 -0.040927973 -0.115453534 -0.09468412 -0.072534144 0.03828903 0.015418237
0.620 0.620 -0.09468412 -0.14905111 -0.10934488 -0.072534144 0.03828903 0.015418237
0.640 0.640 -0.062308256 -0.13439035 -0.103847094 -0.072534144 0.03828903 0.015418237
0.660 0.660 -0.050701816 -0.09773844 -0.07452556 -0.072534144 0.03828903 0.015418237
0.680 0.680 -0.06414085 -0.09040806 -0.06047566 -0.072534144 0.03828903 0.015418237
0.700 0.700 -0.080634214 -0.07880162 -0.070249505 -0.072534144 0.03828903 0.015418237
0.720 0.720 -0.06536258 -0.12156218 -0.08674286 -0.072534144 0.03828903 0.015418237
0.740 0.740 -0.07574729 -0.13622294 -0.09896017 -0.072534144 0.03828903 0.015418237
0.760 0.760 -0.12034045 -0.13561209 -0.09407325 -0.072534144 0.03828903 0.015418237
0.780 0.780 -0.10445796 -0.15088372 -0.08307768 -0.072534144 0.03828903 0.015418237
0.800 0.800 -0.03481932 -0.18203785 -0.118507855 -0.072534144 0.03828903 0.015418237
0.820 0.820 -0.032986723 -0.081855945 -0.15271631 -0.072534144 0.03828903 0.015418237
0.841 0.840 -0.057421334 0.06352998 -0.18081611 -0.072534144 0.03828903 0.015418237
0.861 0.860 -0.06780604 0.12217305 -0.18142697 -0.072534144 0.03828903 0.015418237
0.881 0.880 -0.0018325958 0.042760566 -0.16615535 -0.072534144 0.03828903 0.015418237
0.901 0.900 0.07696902 -0.0421497 -0.14782938 -0.072534144 0.03828903 0.015418237
0.921 0.920 0.015271631 0.047036625 0.008552114 -0.072534144 0.03828903 0.015418237
0.941 0.940 -0.23151793 0.23273966 0.10567969 -0.072534144 0.03828903 0.015418237
0.961 0.960 -0.49296826 0.20097467 0.28527406 -0.072534144 0.03828903 0.015418237
0.981 0.980 -0.09590584 -0.119729586 -0.35124752 -0.072534144 0.03828903 0.015418237
1.001 1.000 0.5015204 -0.70005155 -0.8136725 -0.072534144 0.03828903 0.015418237
1.021 1.020 0.6994407 -0.9450085 -0.6921103 -0.072534144 0.03828903 0.015418237
1.041 1.040 0.5308419 -0.3726278 -0.45631635 -0.072534144 0.03828903 0.015418237
