linear-acceleration.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.077 0.028 -0.008526325 0.04072976 -0.3625145
0.077 0.050 0.020204067 -0.041870236 -0.26076126
0.132 0.081 0.017951787 -0.041608095 -0.25011635
0.132 0.101 0.024189353 -0.04662299 -0.28277588
0.132 0.121 0.0070310235 -0.0128029585 -0.07092857
0.155 0.141 0.0053522587 -0.008519053 -0.045926094
0.163 0.161 0.0060874224 -0.009390116 -0.050001144
0.190 0.181 -0.005389571 0.008535862 0.04589653
0.202 0.201 -0.0165506 0.03029275 0.16423416
0.222 0.221 -0.007096231 0.0127590895 0.068312645
0.241 0.241 -0.011291325 0.02083075 0.11013889
0.261 0.261 -0.025481105 0.03829503 0.2132616
0.282 0.281 -0.021624148 0.03963387 0.21806526
0.302 0.301 -0.009573758 0.019571543 0.10250473
0.322 0.321 5.842447E-4 -0.0010919571 -0.0053243637
0.341 0.341 0.0111169815 -0.021188498 -0.11868477
0.362 0.361 0.023708701 -0.038817048 -0.22755814
0.382 0.381 0.02280593 -0.032980323 -0.19847679
0.402 0.401 0.009159207 -0.013935447 -0.0877924
0.422 0.421 0.0017126799 -0.002698779 -0.017047882
0.442 0.441 0.007967353 -0.012842178 -0.08046436
0.462 0.461 0.016265512 -0.027420878 -0.16792488
0.495 0.481 0.013554096 -0.024128437 -0.14901733
0.509 0.501 0.0105186105 -0.016656518 -0.10343361
0.522 0.521 0.019135594 -0.03842354 -0.23379135
0.542 0.541 -0.012069643 0.019751787 0.13545513
0.562 0.561 -0.020373404 0.037508845 0.26435184
0.582 0.581 -0.009769678 0.01951015 0.1285162
0.602 0.601 0.006792724 -0.01254499 -0.079894066
0.622 0.621 -0.0041481853 0.008251071 0.049048424
0.642 0.641 -0.009853423 0.020612836 0.122086525
0.662 0.661 -0.003234744 0.0078577995 0.04460144
0.682 0.681 0.004165411 -0.010264754 -0.05778694
0.702 0.701 0.00686419 -0.01856196 -0.09974766
0.722 0.721 0.0024017692 -0.0067107677 -0.0362072
0.741 0.741 0.010800421 -0.027314186 -0.15367508
0.761 0.761 0.00739336 -0.017781138 -0.101192474
0.782 0.781 0.003471136 -0.010095239 -0.05782032
0.802 0.801 0.00472638 -0.017809033 -0.102929115
0.822 0.821 0.002561003 -0.01594925 -0.08806896
0.842 0.842 0.0011958182 -0.0076909065 -0.04062271
0.862 0.862 -0.002968222 0.013258338 0.06733322
0.882 0.882 8.0645084E-5 1.0716915E-4 3.9958954E-4
0.902 0.902 -0.0031595677 0.025506854 0.12873936
0.922 0.922 4.0218234E-4 -0.0082342625 -0.038154602
0.942 0.942 0.0014384985 0.0073599815 0.031181335
0.962 0.962 0.02188301 0.040106535 0.31993675
0.982 0.982 0.0032963455 -0.015134454 -0.0804348
1.002 1.002 0.007323906 -0.08308554 -0.2911358
1.022 1.021 -0.0010839254 -0.02947545 -0.10192108
1.042 1.042 -0.001242036 -0.14564514 -0.41742516
1.065 1.061 0.19373174 0.01863718 -0.24680519
1.082 1.081 -0.073669344 -0.31143093 -0.21614933
1.103 1.102 0.3056267 -0.19598985 -0.07779026
1.123 1.122 0.12869105 -0.14097619 -0.079823494
1.142 1.141 0.113148466 -0.15737677 0.17041683
1.163 1.162 0.22657493 -0.2578385 0.17687988
1.182 1.181 0.3950907 -0.436656 -0.4247017
1.203 1.202 0.5127312 -0.43531442 -0.48440838
1.222 1.221 0.49619788 -0.2440257 -0.55393314
1.242 1.241 0.27567068 0.082128525 -0.72242546
1.262 1.261 0.09769808 0.21561456 -0.8561001
1.283 1.282 0.42676714 0.14502597 -0.40756798
1.303 1.302 0.44614303 -0.044798136 -0.46828175
1.322 1.322 0.16311434 0.049364567 -0.73450756
1.342 1.342 0.25070816 0.49593925 -0.7179241
1.363 1.361 0.36439928 0.69866323 -0.8864908
1.382 1.381 0.24440117 0.54633904 -0.46842575
1.402 1.402 0.05982385 0.37695622 -0.37765408
1.422 1.421 0.26596266 0.6537895 -0.415699
1.442 1.442 0.7153374 0.6526644 -0.13289547
1.463 1.462 0.87984675 0.48981762 0.3028822
1.482 1.482 0.6236894 0.1935873 0.52776337
1.502 1.501 0.32109103 -0.03633046 0.5435896
1.522 1.522 0.34868786 -0.7317996 0.16661072
1.542 1.541 0.33599648 0.44631815 0.71909237
1.562 1.562 0.05464235 -0.22139359 0.90647125
1.583 1.582 -0.12206279 -0.59074116 1.3784733
1.603 1.602 -0.3468442 -1.5977584 1.7614241
1.622 1.622 -0.28057563 -2.0001476 1.7723446
1.642 1.641 -0.08720337 -2.336233 2.1282282
1.664 1.661 -0.12862289 -2.3956435 2.8671503
1.682 1.681 -0.76626503 -2.683372 3.4961948
1.702 1.701 -1.3255479 -2.8290977 3.3335733
1.722 1.721 -1.7818525 -2.9472785 3.0727596
1.742 1.741 -2.2675312 -2.8130922 2.4321194
1.762 1.761 -2.0680573 -2.3086386 1.5332689
1.782 1.782 -1.765291 -1.7928627 0.4295864
1.802 1.801 -1.0706975 -1.1697602 -0.63769245
1.822 1.822 -0.5626761 -0.82772833 -1.1296797
1.842 1.842 -0.46910742 -0.5228396 -1.8441944
1.862 1.862 -0.21159662 -0.19557881 -1.8321009
1.883 1.882 -0.07860285 -0.123499274 -1.3978357
1.902 1.901 -0.14703155 -0.05563712 -1.9031782
1.922 1.921 -0.14292958 0.114761114 -2.507268
1.942 1.941 -0.16255264 0.3728472 -3.123784
1.963 1.961 -0.14890158 0.7044761 -3.1822891
1.983 1.982 -0.23234063 0.8914819 -2.6181617
2.002 2.001 -0.5227998 1.0073485 -2.3622036
2.022 2.022 -1.0131669 1.046377 -1.898942
2.042 2.042 -1.3340534 0.81382763 -1.4363117
2.062 2.061 -1.2618347 0.5871613 -0.8903103
2.082 2.081 -0.9288447 0.3011701 -0.04427147
2.102 2.101 -0.6584382 0.09353244 0.43352604
2.122 2.122 -0.5025673 -0.1192075 1.20889
2.145 2.142 -0.1396713 -0.47182167 2.6502295
2.162 2.161 -0.17979923 -0.84158844 3.6371021
2.182 2.182 -0.54652196 -0.67253995 3.4394598
2.202 2.202 -0.91671807 -0.3900473 2.5422745
2.222 2.221 -0.4267986 0.035304427 1.6045303
2.242 2.242 0.9891627 -0.71211195 2.4040537
2.262 2.262 1.421763 -1.4305743 3.2894306
2.282 2.281 1.4794059 -1.8818818 2.909669
2.302 2.301 1.6084018 -1.8680388 1.9471569
2.322 2.321 1.480592 -1.7365366 1.1916847
2.342 2.342 1.6029061 -1.3958141 0.8538084
2.362 2.362 1.434701 -1.2954097 1.0252695
2.382 2.382 1.1181601 -1.3472247 1.3755789
2.402 2.402 0.8333102 -1.4552307 0.96068954
2.422 2.422 0.58429724 -1.4278357 -0.2016592
2.442 2.442 0.48019153 -1.1423053 -1.6290283
2.462 2.462 0.40987897 -0.6620788 -3.2346544
2.483 2.482 0.47260368 -0.47678393 -3.7820482
2.502 2.502 0.36952806 -0.38266253 -4.181447
2.522 2.522 0.2541256 -0.22304678 -4.251131
2.544 2.542 0.16782999 -0.018216014 -4.249231
2.562 2.562 0.13929784 0.18158257 -4.078122
2.582 2.581 0.0022966862 0.4057412 -3.9698882
2.602 2.601 -0.003034234 0.67974913 -3.6149206
2.622 2.621 -9.8884106E-5 0.67249334 -2.816721
2.642 2.642 0.090958 0.51793194 -1.5410662
2.662 2.661 0.03510642 0.2493304 -0.22884655
2.682 2.681 -0.0829258 -0.062000155 1.34688
2.702 2.701 -0.19792101 -0.40274155 2.0473642
2.722 2.722 -0.31595278 -0.945788 2.575284
2.742 2.741 -0.068451345 -1.2862676 3.185915
2.763 2.762 0.41789562 -1.0778918 4.1008244
2.782 2.782 0.11575991 -0.674073 4.8203096
2.802 2.802 -0.8736004 -0.7714903 4.793187
2.825 2.821 -0.6473063 -1.2220684 4.298604
2.843 2.842 -0.029980063 -1.5911157 4.253806
2.862 2.861 -0.12879166 -1.6859491 4.176237
2.882 2.881 -0.77828634 -1.7369285 3.7481031
2.902 2.901 -2.0009618 -1.5012863 2.1869984
2.926 2.921 -2.0820868 -1.3911347 1.0856552
2.942 2.942 -1.6638769 -1.3510458 -0.08730888
2.963 2.962 -0.92725205 -1.0938348 -0.8256321
2.983 2.982 -0.42358735 -0.9323405 -1.5822926
3.002 3.002 -0.117326215 -0.78941023 -2.4029722
3.022 3.022 -0.089542 -0.5983647 -3.1630654
3.043 3.041 -0.24989761 -0.52720153 -3.7591548
3.062 3.061 -0.27465937 -0.36962426 -3.933659
3.082 3.082 -0.2648629 -0.2802683 -3.688294
3.102 3.101 -0.36943322 -0.18413317 -3.48243
3.122 3.121 -0.6094029 0.13034737 -3.249123
3.142 3.142 -0.72872895 0.18837261 -3.0149903
3.163 3.162 -0.8164784 0.35475433 -2.3998594
3.182 3.181 -0.88350505 0.39577293 -1.7717943
3.203 3.202 -0.72328305 0.500026 -1.2169704
3.224 3.222 -0.41292688 0.57203317 -0.46797276
3.242 3.242 -0.14311635 0.57465816 0.12852573
3.262 3.262 0.07385653 0.6600579 0.6612873
3.282 3.282 -0.019355714 0.4615959 1.4426785
3.303 3.302 -0.20046198 0.23683321 2.1513062
3.323 3.322 -0.2596882 0.20758343 2.7279167
3.343 3.342 -0.03686464 0.36589336 2.5437279
3.362 3.362 0.35452902 0.08420801 2.6969614
3.382 3.381 0.8520749 -0.5713141 3.2983027
3.402 3.401 1.0287848 -1.0506802 3.5074282
3.422 3.421 1.0279361 -1.0837586 3.4809456
3.443 3.442 0.7150283 -0.94034797 2.394
3.462 3.461 0.597314 -0.5429769 1.0103025
3.482 3.482 0.30216455 -0.22080362 -0.08556175
3.502 3.501 0.13110524 -0.066544056 -0.5515375
3.522 3.522 -0.020238936 -0.09887421 -0.58706284
3.542 3.541 -0.07692468 -0.15895891 -0.95981884
3.562 3.561 0.06456643 -0.12072551 -1.3726368
3.582 3.582 0.036651134 -0.008347154 -1.8929243
3.603 3.602 0.014867842 0.16333866 -2.2809796
3.622 3.622 0.09128171 0.3930322 -2.305348
3.642 3.641 0.062357783 0.55240834 -2.4945831
3.664 3.662 -0.090640545 0.755859 -2.6598258
3.682 3.681 -0.25589013 0.92923474 -2.8606052
3.702 3.701 -0.30248815 1.0064349 -2.9551306
3.723 3.721 -0.12595594 1.0725942 -2.636273
3.745 3.744 0.25744188 0.97702396 -1.6169882
3.763 3.761 0.43087143 0.6705456 -0.47423077
