magnetometer-calibrated.txt

All values are in micro-Tesla (uT).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.077 0.050 10.89 -24.86 -37.18
0.077 0.070 10.35 -25.0 -38.14
0.132 0.090 11.45 -24.85 -37.18
0.132 0.110 10.799999 -24.5 -37.1
0.133 0.130 10.6 -24.600006 -36.800003
0.155 0.150 11.1 -24.5 -36.800003
0.190 0.170 11.200001 -24.399994 -36.9
0.192 0.190 11.4 -24.399994 -37.4
0.210 0.210 11.4 -24.299988 -37.200005
0.232 0.230 11.5 -24.299988 -37.300003
0.250 0.250 11.5 -24.299988 -37.200005
0.270 0.270 11.5 -24.200012 -37.1
0.290 0.290 11.4 -24.200012 -37.1
0.310 0.310 11.4 -24.100006 -37.200005
0.331 0.330 11.4 -24.100006 -37.200005
0.350 0.350 11.4 -24.100006 -37.200005
0.370 0.370 11.4 -24.100006 -37.300003
0.390 0.390 11.4 -24.100006 -37.300003
0.410 0.410 11.4 -24.100006 -37.300003
0.431 0.430 11.4 -24.0 -37.300003
0.450 0.450 11.4 -24.0 -37.300003
0.471 0.470 11.4 -24.0 -37.200005
0.495 0.490 11.4 -24.0 -37.200005
0.510 0.510 11.4 -24.0 -37.200005
0.530 0.530 11.4 -24.0 -37.200005
0.550 0.550 11.4 -23.899994 -37.300003
0.570 0.570 11.5 -23.899994 -37.300003
0.590 0.590 11.5 -23.899994 -37.300003
0.610 0.610 11.5 -23.899994 -37.300003
0.630 0.630 11.5 -23.799988 -37.300003
0.650 0.650 11.5 -23.799988 -37.300003
0.671 0.670 11.5 -23.799988 -37.300003
0.690 0.690 11.4 -23.799988 -37.300003
0.710 0.710 11.4 -23.700012 -37.300003
0.730 0.730 11.5 -23.700012 -37.4
0.750 0.750 11.4 -23.700012 -37.4
0.770 0.770 11.4 -23.600006 -37.4
0.790 0.790 11.4 -23.600006 -37.4
0.810 0.810 11.4 -23.5 -37.5
0.831 0.830 11.299999 -23.5 -37.5
0.852 0.850 11.299999 -23.5 -37.6
0.872 0.870 11.299999 -23.399994 -37.6
0.892 0.890 11.299999 -23.399994 -37.6
0.912 0.910 11.299999 -23.399994 -37.700005
0.932 0.930 11.4 -23.399994 -37.700005
0.952 0.950 11.4 -23.299988 -37.700005
0.972 0.970 11.4 -23.200012 -37.700005
0.992 0.990 11.299999 -23.200012 -37.700005
1.012 1.010 11.299999 -23.200012 -37.800003
1.032 1.030 11.299999 -23.200012 -37.800003
1.052 1.050 11.299999 -23.200012 -37.800003
1.072 1.070 11.200001 -23.200012 -37.9
1.092 1.090 11.200001 -23.200012 -37.9
1.112 1.110 11.200001 -23.100006 -38.0
1.132 1.130 11.200001 -23.100006 -38.0
1.152 1.150 11.200001 -23.100006 -38.0
1.172 1.170 11.1 -23.100006 -38.1
1.192 1.190 11.1 -23.0 -38.200005
1.214 1.210 11.1 -23.0 -38.200005
1.232 1.230 11.1 -22.899994 -38.300003
1.252 1.250 11.1 -22.899994 -38.300003
1.271 1.270 11.0 -22.799988 -38.4
1.292 1.290 11.1 -22.700012 -38.5
1.313 1.310 11.1 -22.700012 -38.6
1.332 1.330 11.1 -22.600006 -38.700005
1.351 1.350 11.1 -22.600006 -38.800003
1.371 1.370 11.200001 -22.600006 -38.800003
1.391 1.390 11.200001 -22.5 -38.800003
1.411 1.410 11.299999 -22.5 -38.800003
1.432 1.430 11.299999 -22.5 -38.800003
1.453 1.450 11.299999 -22.399994 -38.800003
1.472 1.470 11.4 -22.299988 -38.800003
1.492 1.490 11.4 -22.299988 -38.9
1.514 1.510 11.4 -22.200012 -38.9
1.532 1.530 11.4 -22.200012 -39.0
1.552 1.550 11.4 -22.100006 -39.0
1.572 1.570 11.4 -22.100006 -39.1
1.592 1.590 11.5 -22.0 -39.1
1.612 1.610 11.5 -22.0 -39.1
1.632 1.630 11.6 -21.899994 -39.1
1.652 1.650 11.6 -21.799988 -39.200005
1.672 1.670 11.6 -21.700012 -39.300003
1.691 1.690 11.6 -21.5 -39.4
1.711 1.710 11.6 -21.299988 -39.4
1.731 1.730 11.6 -21.200012 -39.6
1.751 1.750 11.6 -21.0 -39.700005
1.771 1.770 11.5 -20.899994 -39.700005
1.791 1.790 11.5 -20.799988 -39.800003
1.812 1.810 11.5 -20.600006 -39.800003
1.832 1.830 11.5 -20.5 -39.9
1.852 1.850 11.5 -20.399994 -40.0
1.872 1.870 11.4 -20.299988 -40.1
1.892 1.890 11.4 -20.100006 -40.1
1.912 1.910 11.4 -20.0 -40.200005
1.932 1.930 11.4 -19.899994 -40.300003
1.952 1.950 11.299999 -19.700012 -40.300003
1.972 1.970 11.299999 -19.600006 -40.4
1.992 1.990 11.200001 -19.5 -40.5
2.012 2.010 11.1 -19.399994 -40.5
2.032 2.030 11.1 -19.299988 -40.6
2.052 2.050 11.0 -19.299988 -40.6
2.072 2.070 10.9 -19.200012 -40.700005
2.092 2.090 10.799999 -19.100006 -40.800003
2.112 2.110 10.700001 -19.0 -40.9
2.132 2.130 10.6 -18.899994 -40.9
2.152 2.150 10.4 -18.799988 -41.0
2.171 2.170 10.200001 -18.700012 -41.0
2.193 2.190 10.1 -18.700012 -41.1
2.212 2.210 9.9 -18.600006 -41.200005
2.232 2.230 9.700001 -18.600006 -41.300003
2.252 2.250 9.5 -18.600006 -41.4
2.272 2.270 9.299999 -18.600006 -41.4
2.291 2.290 9.200001 -18.600006 -41.5
2.311 2.310 9.0 -18.700012 -41.5
2.332 2.330 8.799999 -18.700012 -41.5
2.352 2.350 8.600002 -18.799988 -41.5
2.372 2.370 8.399998 -18.799988 -41.6
2.392 2.390 8.299999 -18.899994 -41.6
2.412 2.410 8.200001 -19.0 -41.6
2.432 2.430 8.100002 -19.0 -41.6
2.452 2.450 8.0 -19.100006 -41.5
2.472 2.470 7.9000015 -19.100006 -41.5
2.492 2.490 7.799999 -19.200012 -41.5
2.512 2.510 7.700001 -19.299988 -41.6
2.532 2.530 7.5999985 -19.299988 -41.5
2.552 2.550 7.5 -19.399994 -41.6
2.572 2.570 7.4000015 -19.5 -41.5
2.592 2.590 7.299999 -19.5 -41.5
2.612 2.610 7.200001 -19.5 -41.5
2.632 2.630 7.200001 -19.600006 -41.5
2.652 2.650 7.200001 -19.600006 -41.6
2.672 2.670 7.0999985 -19.700012 -41.5
2.693 2.690 7.200001 -19.700012 -41.5
2.712 2.710 7.200001 -19.799988 -41.4
2.732 2.730 7.299999 -19.799988 -41.4
2.751 2.750 7.299999 -19.799988 -41.300003
2.777 2.770 7.4000015 -19.899994 -41.4
2.792 2.791 7.5 -19.899994 -41.300003
2.812 2.810 7.5 -19.899994 -41.300003
2.833 2.830 7.5999985 -19.899994 -41.300003
2.852 2.850 7.799999 -19.899994 -41.300003
2.872 2.870 7.9000015 -19.899994 -41.300003
2.892 2.890 8.100002 -19.899994 -41.300003
2.912 2.910 8.299999 -19.799988 -41.200005
2.932 2.930 8.5 -19.899994 -41.200005
2.952 2.950 8.700001 -19.899994 -41.1
2.972 2.970 8.799999 -19.899994 -41.0
2.993 2.990 9.0 -20.0 -41.0
3.012 3.010 9.100002 -20.0 -40.9
3.032 3.030 9.299999 -20.100006 -41.0
3.052 3.050 9.399998 -20.200012 -40.9
3.075 3.070 9.5 -20.299988 -40.800003
3.092 3.090 9.5 -20.399994 -40.700005
3.112 3.110 9.600002 -20.5 -40.700005
3.132 3.130 9.700001 -20.600006 -40.6
3.152 3.150 9.700001 -20.700012 -40.5
3.172 3.170 9.700001 -20.799988 -40.5
3.192 3.190 9.700001 -21.0 -40.4
3.212 3.210 9.700001 -21.100006 -40.300003
3.232 3.230 9.700001 -21.200012 -40.300003
3.251 3.250 9.700001 -21.299988 -40.300003
3.272 3.270 9.600002 -21.399994 -40.300003
3.292 3.290 9.399998 -21.5 -40.300003
3.312 3.310 9.299999 -21.600006 -40.200005
3.332 3.330 9.200001 -21.799988 -40.200005
3.351 3.350 9.100002 -21.899994 -40.1
3.372 3.370 9.0 -22.0 -40.0
3.392 3.390 8.899998 -22.100006 -40.0
3.412 3.410 8.899998 -22.200012 -39.9
3.432 3.430 8.799999 -22.299988 -39.9
3.451 3.450 8.700001 -22.5 -39.9
3.473 3.470 8.600002 -22.600006 -39.9
3.492 3.490 8.600002 -22.600006 -39.800003
3.512 3.510 8.5 -22.700012 -39.800003
3.532 3.530 8.299999 -22.700012 -39.800003
3.552 3.550 8.200001 -22.700012 -39.800003
3.572 3.570 8.100002 -22.700012 -39.700005
3.592 3.590 8.0 -22.700012 -39.800003
3.612 3.610 7.9000015 -22.600006 -39.800003
3.632 3.630 7.799999 -22.600006 -39.9
3.652 3.650 7.5999985 -22.600006 -39.9
3.672 3.670 7.5 -22.600006 -40.0
3.692 3.690 7.4000015 -22.5 -40.0
3.712 3.710 7.4000015 -22.5 -40.0
3.732 3.730 7.299999 -22.399994 -40.0
3.752 3.750 7.299999 -22.399994 -40.1
3.772 3.770 7.299999 -22.299988 -40.1
3.792 3.790 7.4000015 -22.200012 -40.1
3.812 3.810 7.4000015 -22.100006 -40.1
3.832 3.830 7.4000015 -22.100006 -40.1
3.852 3.850 7.5 -22.100006 -40.1
3.872 3.870 7.5999985 -22.100006 -40.1
3.892 3.890 7.700001 -22.0 -40.1
3.912 3.910 7.799999 -22.0 -40.1
3.932 3.930 7.9000015 -22.0 -40.1
3.955 3.950 8.0 -22.100006 -40.0
3.972 3.970 8.100002 -22.100006 -40.0
3.992 3.990 8.200001 -22.100006 -40.0
4.012 4.010 8.299999 -22.100006 -39.9
4.032 4.030 8.399998 -22.0 -39.9
4.052 4.050 8.5 -22.0 -39.9
4.072 4.070 8.600002 -21.899994 -39.9
4.092 4.090 8.700001 -21.899994 -39.800003
4.112 4.110 8.700001 -21.899994 -39.800003
4.132 4.130 8.799999 -21.899994 -39.800003
4.155 4.150 8.799999 -21.899994 -39.800003
4.172 4.170 8.799999 -22.0 -39.800003
4.192 4.190 8.899998 -22.0 -39.800003
4.212 4.210 8.899998 -22.100006 -39.700005
4.232 4.230 8.899998 -22.200012 -39.6
4.255 4.250 9.0 -22.299988 -39.6
4.272 4.270 9.100002 -22.399994 -39.5
4.292 4.290 9.200001 -22.399994 -39.4
4.312 4.310 9.299999 -22.5 -39.300003
4.332 4.330 9.5 -22.5 -39.200005
4.352 4.350 9.600002 -22.600006 -39.0
4.371 4.370 9.799999 -22.600006 -39.0
4.392 4.390 9.9 -22.600006 -39.0
4.413 4.410 10.0 -22.600006 -38.9
4.432 4.430 10.1 -22.700012 -38.9
4.451 4.450 10.1 -22.700012 -38.9
4.472 4.470 10.1 -22.700012 -38.800003
4.492 4.490 10.200001 -22.700012 -38.700005
4.512 4.510 10.200001 -22.700012 -38.700005
4.532 4.530 10.299999 -22.600006 -38.700005
4.554 4.550 10.4 -22.5 -38.800003
4.571 4.570 10.4 -22.5 -38.800003
4.592 4.590 10.4 -22.399994 -38.800003
4.612 4.610 10.4 -22.399994 -38.800003
4.632 4.630 10.4 -22.399994 -38.700005
4.652 4.650 10.4 -22.399994 -38.6
4.672 4.670 10.4 -22.5 -38.6
4.692 4.690 10.4 -22.5 -38.700005
4.712 4.710 10.5 -22.399994 -38.700005
4.732 4.730 10.5 -22.399994 -38.700005
4.752 4.750 10.5 -22.399994 -38.6
4.772 4.770 10.6 -22.399994 -38.6
4.792 4.790 10.700001 -22.5 -38.6
4.812 4.810 10.799999 -22.5 -38.6
4.832 4.830 10.9 -22.5 -38.6
4.852 4.850 11.1 -22.5 -38.5
4.872 4.870 11.200001 -22.5 -38.5
4.892 4.890 11.299999 -22.5 -38.5
4.912 4.910 11.4 -22.5 -38.4
4.932 4.930 11.6 -22.5 -38.4
4.952 4.950 11.700001 -22.5 -38.4
4.972 4.970 11.799999 -22.5 -38.300003
4.992 4.990 11.9 -22.5 -38.300003
5.011 5.010 12.0 -22.600006 -38.300003
5.032 5.030 12.1 -22.600006 -38.200005
5.052 5.050 12.200001 -22.600006 -38.200005
5.072 5.070 12.4 -22.600006 -38.200005
5.092 5.090 12.5 -22.600006 -38.200005
5.112 5.110 12.6 -22.600006 -38.1
5.132 5.130 12.700001 -22.600006 -38.0
5.152 5.150 12.799999 -22.600006 -38.0
5.171 5.170 12.9 -22.600006 -38.0
5.191 5.190 13.0 -22.600006 -38.0
5.211 5.210 13.1 -22.600006 -38.1
5.232 5.230 13.1 -22.600006 -38.1
5.252 5.250 13.200001 -22.700012 -38.1
5.272 5.270 13.200001 -22.700012 -38.1
5.292 5.290 13.200001 -22.899994 -38.0
5.311 5.310 13.299999 -22.899994 -38.0
5.332 5.330 13.299999 -23.0 -37.9
5.351 5.350 13.4 -23.200012 -37.800003
5.372 5.370 13.4 -23.200012 -37.800003
5.392 5.390 13.4 -23.299988 -37.700005
5.411 5.410 13.4 -23.399994 -37.700005
5.432 5.430 13.299999 -23.5 -37.6
5.451 5.450 13.200001 -23.600006 -37.6
5.471 5.470 13.0 -23.700012 -37.6
5.492 5.490 12.9 -23.700012 -37.6
5.512 5.510 12.700001 -23.799988 -37.6
5.531 5.530 12.5 -23.899994 -37.6
5.551 5.550 12.299999 -24.100006 -37.6
5.571 5.570 12.1 -24.200012 -37.700005
5.592 5.590 12.0 -24.299988 -37.6
5.612 5.610 11.799999 -24.299988 -37.6
5.631 5.630 11.700001 -24.299988 -37.700005
5.652 5.650 11.5 -24.399994 -37.700005
5.671 5.670 11.4 -24.5 -37.700005
5.691 5.690 11.200001 -24.5 -37.700005
5.711 5.710 11.1 -24.600006 -37.800003
5.731 5.730 11.0 -24.600006 -37.800003
5.751 5.750 11.0 -24.700012 -37.800003
5.772 5.770 10.799999 -24.799988 -37.800003
5.791 5.790 10.799999 -24.799988 -37.9
5.812 5.810 10.700001 -24.799988 -37.9
5.831 5.830 10.6 -24.899994 -37.9
5.851 5.850 10.6 -24.899994 -37.800003
