magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.077 0.050 -62.2 -246.0 -52.4 -41.7 -245.6 -8.6
0.077 0.070 -62.2 -246.0 -52.4 -41.7 -245.6 -8.6
0.132 0.090 -62.2 -246.0 -52.4 -41.7 -245.6 -8.6
0.132 0.110 -30.900002 -270.1 -45.699997 -41.7 -245.6 -8.6
0.132 0.130 -31.1 -270.2 -45.4 -41.7 -245.6 -8.6
0.155 0.150 -30.6 -270.1 -45.4 -41.7 -245.6 -8.6
0.189 0.170 -30.5 -270.0 -45.5 -41.7 -245.6 -8.6
0.192 0.190 -30.300001 -270.0 -46.0 -41.7 -245.6 -8.6
0.210 0.210 -30.300001 -269.9 -45.800003 -41.7 -245.6 -8.6
0.232 0.230 -30.2 -269.9 -45.9 -41.7 -245.6 -8.6
0.250 0.250 -30.2 -269.9 -45.800003 -41.7 -245.6 -8.6
0.270 0.270 -30.2 -269.80002 -45.699997 -41.7 -245.6 -8.6
0.290 0.290 -30.300001 -269.80002 -45.699997 -41.7 -245.6 -8.6
0.310 0.310 -30.300001 -269.7 -45.800003 -41.7 -245.6 -8.6
0.331 0.330 -30.300001 -269.7 -45.800003 -41.7 -245.6 -8.6
0.350 0.350 -30.300001 -269.7 -45.800003 -41.7 -245.6 -8.6
0.370 0.370 -30.300001 -269.7 -45.9 -41.7 -245.6 -8.6
0.390 0.390 -30.300001 -269.7 -45.9 -41.7 -245.6 -8.6
0.410 0.410 -30.300001 -269.7 -45.9 -41.7 -245.6 -8.6
0.431 0.430 -30.300001 -269.6 -45.9 -41.7 -245.6 -8.6
0.450 0.450 -30.300001 -269.6 -45.9 -41.7 -245.6 -8.6
0.470 0.470 -30.300001 -269.6 -45.800003 -41.7 -245.6 -8.6
0.495 0.490 -30.300001 -269.6 -45.800003 -41.7 -245.6 -8.6
0.510 0.510 -30.300001 -269.6 -45.800003 -41.7 -245.6 -8.6
0.530 0.530 -30.300001 -269.6 -45.800003 -41.7 -245.6 -8.6
0.550 0.550 -30.300001 -269.5 -45.9 -41.7 -245.6 -8.6
0.570 0.570 -30.2 -269.5 -45.9 -41.7 -245.6 -8.6
0.590 0.590 -30.2 -269.5 -45.9 -41.7 -245.6 -8.6
0.610 0.610 -30.2 -269.5 -45.9 -41.7 -245.6 -8.6
0.630 0.630 -30.2 -269.4 -45.9 -41.7 -245.6 -8.6
0.650 0.650 -30.2 -269.4 -45.9 -41.7 -245.6 -8.6
0.671 0.670 -30.2 -269.4 -45.9 -41.7 -245.6 -8.6
0.690 0.690 -30.300001 -269.4 -45.9 -41.7 -245.6 -8.6
0.710 0.710 -30.300001 -269.30002 -45.9 -41.7 -245.6 -8.6
0.730 0.730 -30.2 -269.30002 -46.0 -41.7 -245.6 -8.6
0.750 0.750 -30.300001 -269.30002 -46.0 -41.7 -245.6 -8.6
0.770 0.770 -30.300001 -269.2 -46.0 -41.7 -245.6 -8.6
0.790 0.790 -30.300001 -269.2 -46.0 -41.7 -245.6 -8.6
0.810 0.810 -30.300001 -269.1 -46.1 -41.7 -245.6 -8.6
0.831 0.830 -30.400002 -269.1 -46.1 -41.7 -245.6 -8.6
0.851 0.850 -30.400002 -269.1 -46.199997 -41.7 -245.6 -8.6
0.872 0.870 -30.400002 -269.0 -46.199997 -41.7 -245.6 -8.6
0.891 0.890 -30.400002 -269.0 -46.199997 -41.7 -245.6 -8.6
0.912 0.910 -30.400002 -269.0 -46.300003 -41.7 -245.6 -8.6
0.932 0.930 -30.300001 -269.0 -46.300003 -41.7 -245.6 -8.6
0.952 0.950 -30.300001 -268.9 -46.300003 -41.7 -245.6 -8.6
0.972 0.970 -30.300001 -268.80002 -46.300003 -41.7 -245.6 -8.6
0.992 0.990 -30.400002 -268.80002 -46.300003 -41.7 -245.6 -8.6
1.012 1.010 -30.400002 -268.80002 -46.4 -41.7 -245.6 -8.6
1.032 1.030 -30.400002 -268.80002 -46.4 -41.7 -245.6 -8.6
1.052 1.050 -30.400002 -268.80002 -46.4 -41.7 -245.6 -8.6
1.072 1.070 -30.5 -268.80002 -46.5 -41.7 -245.6 -8.6
1.092 1.090 -30.5 -268.80002 -46.5 -41.7 -245.6 -8.6
1.112 1.110 -30.5 -268.7 -46.6 -41.7 -245.6 -8.6
1.132 1.130 -30.5 -268.7 -46.6 -41.7 -245.6 -8.6
1.152 1.150 -30.5 -268.7 -46.6 -41.7 -245.6 -8.6
1.172 1.170 -30.6 -268.7 -46.699997 -41.7 -245.6 -8.6
1.192 1.190 -30.6 -268.6 -46.800003 -41.7 -245.6 -8.6
1.214 1.210 -30.6 -268.6 -46.800003 -41.7 -245.6 -8.6
1.232 1.230 -30.6 -268.5 -46.9 -41.7 -245.6 -8.6
1.251 1.250 -30.6 -268.5 -46.9 -41.7 -245.6 -8.6
1.271 1.270 -30.7 -268.4 -47.0 -41.7 -245.6 -8.6
1.292 1.290 -30.6 -268.30002 -47.1 -41.7 -245.6 -8.6
1.312 1.310 -30.6 -268.30002 -47.199997 -41.7 -245.6 -8.6
1.332 1.330 -30.6 -268.2 -47.300003 -41.7 -245.6 -8.6
1.351 1.350 -30.6 -268.2 -47.4 -41.7 -245.6 -8.6
1.371 1.370 -30.5 -268.2 -47.4 -41.7 -245.6 -8.6
1.391 1.390 -30.5 -268.1 -47.4 -41.7 -245.6 -8.6
1.411 1.410 -30.400002 -268.1 -47.4 -41.7 -245.6 -8.6
1.432 1.430 -30.400002 -268.1 -47.4 -41.7 -245.6 -8.6
1.453 1.450 -30.400002 -268.0 -47.4 -41.7 -245.6 -8.6
1.472 1.470 -30.300001 -267.9 -47.4 -41.7 -245.6 -8.6
1.492 1.490 -30.300001 -267.9 -47.5 -41.7 -245.6 -8.6
1.514 1.510 -30.300001 -267.80002 -47.5 -41.7 -245.6 -8.6
1.532 1.530 -30.300001 -267.80002 -47.6 -41.7 -245.6 -8.6
1.551 1.550 -30.300001 -267.7 -47.6 -41.7 -245.6 -8.6
1.571 1.570 -30.300001 -267.7 -47.699997 -41.7 -245.6 -8.6
1.592 1.590 -30.2 -267.6 -47.699997 -41.7 -245.6 -8.6
1.612 1.610 -30.2 -267.6 -47.699997 -41.7 -245.6 -8.6
1.631 1.630 -30.1 -267.5 -47.699997 -41.7 -245.6 -8.6
1.652 1.650 -30.1 -267.4 -47.800003 -41.7 -245.6 -8.6
1.672 1.670 -30.1 -267.30002 -47.9 -41.7 -245.6 -8.6
1.691 1.690 -30.1 -267.1 -48.0 -41.7 -245.6 -8.6
1.711 1.710 -30.1 -266.9 -48.0 -41.7 -245.6 -8.6
1.731 1.730 -30.1 -266.80002 -48.199997 -41.7 -245.6 -8.6
1.751 1.750 -30.1 -266.6 -48.300003 -41.7 -245.6 -8.6
1.770 1.770 -30.2 -266.5 -48.300003 -41.7 -245.6 -8.6
1.791 1.790 -30.2 -266.4 -48.4 -41.7 -245.6 -8.6
1.812 1.810 -30.2 -266.2 -48.4 -41.7 -245.6 -8.6
1.832 1.830 -30.2 -266.1 -48.5 -41.7 -245.6 -8.6
1.852 1.850 -30.2 -266.0 -48.6 -41.7 -245.6 -8.6
