rotation-vector.txt

Estimated-heading-accuracy is in radians. The rotation vector represents the orientation of the device as a combination of an angle and an axis, in which the device has rotated through an angle θ around an axis <x, y, z>. The reference coordinate system is defined as a direct orthonormal basis, where: X is defined as the vector product Y.Z (It is tangential to the ground at the device's current location and roughly points East). Y is tangential to the ground at the device's current location and points towards magnetic north. Z points towards the sky and is perpendicular to the ground.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x*sin(θ/2) y*sin(θ/2) z*sin(θ/2) cos(θ/2) estimated-heading-accuracy
0.077 0.028 0.079347625 0.03828838 0.0 0.9961115 0.0
0.077 0.050 0.079347625 0.03828838 0.0 0.9961115 0.0
0.132 0.081 -0.019532183 0.087281436 0.9784862 0.18591747 0.0
0.132 0.101 -0.023348067 0.08868177 0.97150296 0.21856932 0.0
0.132 0.121 -0.030644897 0.09643396 0.9761116 0.19226988 0.0
0.155 0.141 -0.039374273 0.099815086 0.9776362 0.18087034 0.0
0.163 0.161 -0.04191825 0.10139481 0.97744393 0.18045886 0.0
0.190 0.181 -0.040272813 0.100282215 0.9777572 0.17975663 0.0
0.202 0.201 -0.03169827 0.0984287 0.97699594 0.18651037 0.0
0.222 0.221 -0.031277943 0.100059964 0.9736357 0.20259151 0.0
0.242 0.241 -0.030169893 0.10158996 0.97335815 0.20333049 0.0
0.262 0.261 -0.03887389 0.09863235 0.9721813 0.20886396 0.0
0.282 0.281 -0.030980326 0.0970877 0.97673225 0.18870163 0.0
0.302 0.301 -0.025506843 0.10125189 0.97287613 0.20642075 0.0
0.322 0.321 -0.022663385 0.099785134 0.97090197 0.21651484 0.0
0.342 0.341 -0.025597999 0.09604011 0.97071064 0.2187278 0.0
0.362 0.361 -0.032448947 0.09298435 0.9727693 0.20981152 0.0
0.382 0.381 -0.03927261 0.091420256 0.97542965 0.1965632 0.0
0.402 0.401 -0.03626534 0.0866853 0.9782844 0.1847437 0.0
0.422 0.421 -0.037231073 0.08630893 0.97687805 0.19202584 0.0
0.442 0.441 -0.032951232 0.08664277 0.97735834 0.1902048 0.0
0.462 0.461 -0.030721478 0.08847803 0.9754991 0.19907162 0.0
0.495 0.481 -0.027629027 0.087350465 0.97511715 0.20187423 0.0
0.509 0.501 -0.0324905 0.088146836 0.9737482 0.20733789 0.0
0.522 0.521 -0.02368335 0.08752519 0.9763959 0.19603454 0.0
0.542 0.541 -0.02730091 0.080031835 0.9726164 0.21648811 0.0
0.562 0.561 -0.023007898 0.07660777 0.9756742 0.20411207 0.0
0.582 0.581 -0.020506892 0.081365034 0.97294796 0.21524744 0.0
0.602 0.601 -0.02365105 0.08490007 0.9713025 0.22091669 0.0
0.622 0.621 -0.022779236 0.08923762 0.9722092 0.21523722 0.0
0.642 0.641 -0.020332072 0.09017004 0.97090733 0.22089587 0.0
0.662 0.661 -0.015544579 0.092537574 0.9699622 0.22442952 0.0
0.682 0.681 -0.01423946 0.09420635 0.96746325 0.2343871 0.0
0.702 0.701 -0.011687334 0.09677345 0.9675749 0.23301747 0.0
0.722 0.721 -0.010558558 0.095019944 0.9656827 0.24148892 0.0
0.742 0.741 -0.012164398 0.09349032 0.9651964 0.24394204 0.0
0.762 0.761 -0.01443299 0.09278675 0.9669228 0.23715523 0.0
0.782 0.781 -0.009098113 0.090888515 0.9679093 0.23411164 0.0
0.802 0.801 -8.29807E-4 0.08839085 0.96548265 0.24500965 0.0
0.822 0.821 0.0093571115 0.09009694 0.9617553 0.25849915 0.0
0.842 0.842 0.011571354 0.09338206 0.9572524 0.27352118 0.0
0.863 0.862 0.006251752 0.099008285 0.95589644 0.27644253 0.0
0.883 0.882 0.0061432393 0.09965614 0.95773566 0.26976565 0.0
0.902 0.902 0.015044282 0.09721308 0.9572416 0.27205136 0.0
0.923 0.922 0.025445417 0.10291135 0.9519915 0.28718293 0.0
0.943 0.942 0.05698298 0.10300861 0.9449251 0.30538276 0.0
0.963 0.962 0.054063953 0.04580216 0.93056357 0.35920843 0.0
0.983 0.982 0.010836353 0.09436156 0.9421387 0.32148588 0.0
1.003 1.002 0.02686032 0.13643473 0.9510829 0.27587223 0.0
