accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.092 0.029 -2.0733786 0.29448682 8.287529
0.092 0.056 -1.804031 -0.02633622 9.205706
0.143 0.079 -1.62686 0.009576807 9.667787
0.143 0.101 -1.4173675 -0.12330139 9.627085
0.143 0.122 -1.5933412 0.075417355 9.078813
0.167 0.142 -1.9165585 0.2765303 9.093178
0.196 0.163 -1.982399 0.32680854 9.634268
0.203 0.183 -1.4700398 0.36272156 9.510966
0.223 0.203 -0.90381116 0.14844051 9.315839
0.243 0.223 -1.0498575 0.46447513 9.357738
0.263 0.243 -1.3455414 1.1288661 9.361329
0.283 0.263 -0.15203181 0.5662287 9.788693
0.303 0.283 0.093373865 0.39145198 10.041282
0.323 0.303 0.748188 0.8499416 10.906786
0.343 0.323 1.0366893 0.62728083 10.236409
0.365 0.343 0.33877954 0.50158525 9.289502
0.383 0.363 -0.07062895 0.45848963 9.010578
0.403 0.383 -0.6871359 -0.7433996 9.698911
0.423 0.403 -0.8343793 0.80205756 10.155006
0.443 0.423 -1.9847932 0.7338228 8.935161
0.464 0.443 -1.9309237 1.0714053 9.417592
0.483 0.463 -1.0522517 0.6596026 9.528923
0.503 0.483 -0.89184016 0.32321724 9.244013
0.527 0.503 -0.6548142 -0.090979666 9.566033
0.543 0.523 -0.58538234 -0.34596214 10.700885
0.563 0.543 -0.6919243 0.5602432 10.388441
0.583 0.563 -0.5351041 0.061052144 9.482236
0.603 0.583 0.01436521 0.25019407 11.354502
0.623 0.603 -0.055066638 0.4381389 11.218032
0.643 0.623 -0.58657944 0.7685388 10.344149
0.663 0.643 -0.8379706 0.89902276 9.805453
0.683 0.663 -0.80086046 0.7422025 9.64983
0.703 0.683 -1.1839328 0.748188 9.713276
0.723 0.703 -0.78888947 0.9720459 10.00896
0.743 0.723 -0.6859388 0.44891283 9.822212
0.763 0.743 -0.63206923 0.29688102 9.392453
0.783 0.763 -0.91697925 0.5614403 9.297882
0.803 0.783 -1.0498575 0.7457938 9.321824
0.824 0.803 -0.8607155 0.45489833 9.68694
0.844 0.823 -0.7565677 0.2813187 9.957485
0.865 0.843 -0.6500258 0.37110126 9.66659
0.884 0.863 -0.7685388 0.47405192 9.374496
0.904 0.883 -0.7398083 0.5351041 9.466674
0.924 0.903 -0.63087213 0.47764325 9.88925
0.944 0.923 -0.59855044 0.4309563 9.76954
0.964 0.943 -0.51954174 0.4165911 9.864111
0.984 0.963 -0.7134721 0.5410896 9.868899
1.004 0.983 -0.7062895 0.5267244 9.866506
1.024 1.003 -0.60812724 0.51116204 9.627085
1.044 1.023 -0.581791 0.51116204 9.616311
1.064 1.043 -0.4321534 0.39145198 9.931149
1.084 1.063 -0.5793968 0.46926352 9.858126
1.104 1.083 -0.5770026 0.44532153 9.85214
1.124 1.103 -0.5770026 0.4381389 9.809045
1.144 1.123 -0.46567222 0.48003745 9.782708
1.165 1.143 -0.5291186 0.4345476 9.688137
1.184 1.163 -0.51116204 0.4309563 9.598354
1.204 1.183 -0.5291186 0.36870706 9.76954
1.224 1.203 -0.40821138 0.3890578 9.932345
1.244 1.223 -0.48003745 0.32680854 9.634268
1.264 1.243 -0.60693014 0.37349546 9.633071
1.284 1.263 -0.5243302 0.29807812 9.764751
1.304 1.283 -0.45250413 0.35553896 9.7479925
1.324 1.303 -0.34117374 0.35553896 9.671378
1.344 1.323 -0.2813187 0.29688102 9.764751
1.364 1.343 -0.5650316 0.33399114 9.482236
