gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.092 0.089 -0.19425514 0.22235495 -0.2864958 -0.07244862 0.027403416 0.01534493
0.143 0.109 0.15515977 0.3378085 -0.19608775 -0.07244862 0.027403416 0.01534493
0.143 0.129 0.111177474 0.14172074 -0.05375614 -0.07244862 0.027403416 0.01534493
0.167 0.149 0.023823744 -0.36774087 -0.007941248 -0.07244862 0.027403416 0.01534493
0.170 0.169 -0.08002335 -0.7452556 -0.07147124 -0.07244862 0.027403416 0.01534493
0.196 0.189 -0.032375857 -0.7684685 -0.15088372 -0.07244862 0.027403416 0.01534493
0.210 0.209 0.16676621 -0.7788532 -0.08735373 -0.07244862 0.027403416 0.01534493
0.230 0.229 0.3408628 -0.9309586 0.015882496 -0.07244862 0.027403416 0.01534493
0.250 0.249 0.2864958 -1.1905763 -0.059864793 -0.07244862 0.027403416 0.01534493
0.270 0.269 0.28038713 -1.3762794 -0.2321288 -0.07244862 0.027403416 0.01534493
0.290 0.289 0.13255776 -1.0580186 -0.25045475 -0.07244862 0.027403416 0.01534493
0.309 0.309 -0.21319197 -0.7305948 -0.25350907 -0.07244862 0.027403416 0.01534493
0.330 0.329 -0.49602258 -0.3304781 -0.15943582 -0.07244862 0.027403416 0.01534493
0.350 0.349 -0.2406809 0.54550266 -0.018325957 -0.07244862 0.027403416 0.01534493
0.369 0.369 -0.08674286 1.2382239 0.031154128 -0.07244862 0.027403416 0.01534493
0.390 0.389 -0.0720821 1.2858714 0.10934488 -0.07244862 0.027403416 0.01534493
0.409 0.409 0.57543504 0.8014552 0.48502702 -0.07244862 0.027403416 0.01534493
0.431 0.429 0.5839872 0.8741482 0.37507126 -0.07244862 0.027403416 0.01534493
0.450 0.449 0.25350907 0.062308256 0.24678956 -0.07244862 0.027403416 0.01534493
0.469 0.469 -0.23640485 -0.17898351 0.37568212 -0.07244862 0.027403416 0.01534493
