accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.062 0.001 -0.025139118 -0.037110128 9.168595
0.062 0.027 -0.007182605 -0.019153614 9.787497
0.110 0.051 -0.007182605 -0.02633622 9.800665
0.110 0.072 0.0023942017 -0.025139118 9.792285
0.114 0.093 0.0011971008 -0.025139118 9.800665
0.135 0.114 -0.010773907 -0.025139118 9.794679
0.166 0.134 -0.007182605 -0.029927522 9.793482
0.174 0.154 -0.011971008 -0.02873042 9.794679
0.194 0.174 -0.011971008 -0.027533319 9.794679
0.214 0.194 -0.0035913025 -0.019153614 9.79827
0.234 0.214 -0.0011971008 -0.02633622 9.7958765
0.254 0.234 -0.011971008 -0.031124622 9.800665
0.274 0.254 -0.008379706 -0.02873042 9.7958765
0.294 0.274 -0.005985504 -0.020350715 9.788693
0.314 0.294 0.0035913025 -0.023942016 9.801862
0.334 0.314 -0.009576807 -0.027533319 9.791088
0.354 0.334 -0.008379706 -0.029927522 9.78989
0.374 0.354 -0.0035913025 -0.033518825 9.791088
0.394 0.374 0.0023942017 -0.031124622 9.800665
0.414 0.394 -0.0023942017 -0.017956512 9.794679
0.434 0.414 -0.0023942017 -0.027533319 9.787497
0.454 0.434 -0.0047884034 -0.025139118 9.7863
0.474 0.454 0.0047884034 -0.025139118 9.787497
0.498 0.474 -0.005985504 -0.025139118 9.794679
0.521 0.494 0.0011971008 -0.023942016 9.791088
0.534 0.514 -0.0011971008 -0.02633622 9.788693
0.554 0.534 -0.007182605 -0.02633622 9.7863
0.574 0.554 -0.0035913025 -0.011971008 9.781511
0.594 0.574 -0.007182605 -0.021547815 9.800665
0.615 0.594 -0.007182605 -0.020350715 9.78989
0.634 0.614 -0.0035913025 -0.029927522 9.7803135
0.654 0.634 -0.007182605 -0.034715924 9.787497
0.674 0.654 0.008379706 -0.021547815 9.787497
0.694 0.674 0.008379706 -0.019153614 9.7958765
0.714 0.694 0.0035913025 -0.025139118 9.791088
0.734 0.714 -0.008379706 -0.02633622 9.7803135
0.754 0.734 -0.005985504 -0.02633622 9.781511
0.774 0.754 0.0035913025 -0.023942016 9.787497
0.795 0.774 -0.009576807 -0.016759412 9.7863
0.814 0.794 -0.009576807 -0.025139118 9.783905
0.835 0.814 -0.008379706 -0.02873042 9.77792
0.854 0.834 -0.0035913025 -0.033518825 9.779117
0.875 0.854 -0.0035913025 -0.02633622 9.77792
0.895 0.874 -0.0011971008 -0.005985504 9.793482
0.915 0.894 0.0011971008 -0.025139118 9.78989
0.935 0.914 0.0011971008 -0.023942016 9.788693
0.955 0.934 -0.007182605 -0.034715924 9.7803135
0.975 0.954 -0.0023942017 -0.035913024 9.775525
0.995 0.974 -0.0011971008 -0.016759412 9.783905
1.015 0.994 -0.016759412 -0.015562311 9.792285
1.035 1.014 -0.0047884034 -0.023942016 9.794679
1.055 1.034 -0.011971008 -0.02873042 9.77792
1.075 1.054 -0.0023942017 -0.02633622 9.785102
