gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.110 0.066 -0.07696902 0.03726278 0.015271631 -0.07244862 0.027403416 0.01534493
0.110 0.086 -0.07086037 0.035430185 0.015882496 -0.07244862 0.027403416 0.01534493
0.110 0.106 -0.0720821 0.037873644 0.015271631 -0.07244862 0.027403416 0.01534493
0.135 0.126 -0.07147124 0.03726278 0.015882496 -0.07244862 0.027403416 0.01534493
0.146 0.146 -0.07147124 0.03604105 0.014049901 -0.07244862 0.027403416 0.01534493
0.167 0.166 -0.06963864 0.03726278 0.015271631 -0.07244862 0.027403416 0.01534493
0.186 0.186 -0.07269296 0.03481932 0.014660766 -0.07244862 0.027403416 0.01534493
0.206 0.206 -0.07147124 0.03848451 0.013439035 -0.07244862 0.027403416 0.01534493
0.226 0.226 -0.07086037 0.036651913 0.015882496 -0.07244862 0.027403416 0.01534493
0.246 0.246 -0.06963864 0.036651913 0.016493361 -0.07244862 0.027403416 0.01534493
0.267 0.266 -0.0720821 0.037873644 0.015882496 -0.07244862 0.027403416 0.01534493
0.286 0.286 -0.0720821 0.039095376 0.014660766 -0.07244862 0.027403416 0.01534493
0.306 0.306 -0.07086037 0.03848451 0.015271631 -0.07244862 0.027403416 0.01534493
0.326 0.326 -0.069027774 0.039095376 0.015882496 -0.07244862 0.027403416 0.01534493
0.346 0.346 -0.0720821 0.03481932 0.015882496 -0.07244862 0.027403416 0.01534493
0.367 0.366 -0.07147124 0.035430185 0.012217305 -0.07244862 0.027403416 0.01534493
0.386 0.386 -0.06963864 0.03726278 0.015271631 -0.07244862 0.027403416 0.01534493
0.406 0.406 -0.07391469 0.03848451 0.014049901 -0.07244862 0.027403416 0.01534493
0.426 0.426 -0.070249505 0.03848451 0.015882496 -0.07244862 0.027403416 0.01534493
0.446 0.446 -0.073303826 0.03726278 0.015271631 -0.07244862 0.027403416 0.01534493
0.472 0.466 -0.069027774 0.037873644 0.014660766 -0.07244862 0.027403416 0.01534493
0.498 0.486 -0.07147124 0.03970624 0.015271631 -0.07244862 0.027403416 0.01534493
0.506 0.506 -0.07086037 0.03604105 0.014049901 -0.07244862 0.027403416 0.01534493
0.526 0.526 -0.06963864 0.037873644 0.015271631 -0.07244862 0.027403416 0.01534493
0.546 0.546 -0.07086037 0.036651913 0.014049901 -0.07244862 0.027403416 0.01534493
0.566 0.566 -0.069027774 0.03604105 0.014049901 -0.07244862 0.027403416 0.01534493
0.586 0.586 -0.070249505 0.03726278 0.013439035 -0.07244862 0.027403416 0.01534493
0.606 0.606 -0.0720821 0.037873644 0.013439035 -0.07244862 0.027403416 0.01534493
0.626 0.626 -0.06963864 0.03604105 0.014660766 -0.07244862 0.027403416 0.01534493
0.646 0.646 -0.0720821 0.035430185 0.01282817 -0.07244862 0.027403416 0.01534493
0.666 0.666 -0.07086037 0.039095376 0.017715093 -0.07244862 0.027403416 0.01534493
0.686 0.686 -0.0720821 0.035430185 0.014660766 -0.07244862 0.027403416 0.01534493
0.706 0.706 -0.07086037 0.039095376 0.014049901 -0.07244862 0.027403416 0.01534493
0.726 0.726 -0.070249505 0.036651913 0.014660766 -0.07244862 0.027403416 0.01534493
0.746 0.746 -0.07147124 0.03726278 0.015271631 -0.07244862 0.027403416 0.01534493
0.766 0.766 -0.06841691 0.03726278 0.015882496 -0.07244862 0.027403416 0.01534493
0.786 0.786 -0.07147124 0.03604105 0.014660766 -0.07244862 0.027403416 0.01534493
0.806 0.806 -0.073303826 0.03604105 0.015271631 -0.07244862 0.027403416 0.01534493
0.826 0.826 -0.0720821 0.03604105 0.014049901 -0.07244862 0.027403416 0.01534493
0.846 0.846 -0.07086037 0.040317107 0.016493361 -0.07244862 0.027403416 0.01534493
0.867 0.866 -0.069027774 0.03848451 0.013439035 -0.07244862 0.027403416 0.01534493
0.887 0.886 -0.06963864 0.03604105 0.014049901 -0.07244862 0.027403416 0.01534493
0.908 0.906 -0.07147124 0.036651913 0.015882496 -0.07244862 0.027403416 0.01534493
0.927 0.926 -0.07086037 0.037873644 0.014660766 -0.07244862 0.027403416 0.01534493
0.947 0.946 -0.07086037 0.037873644 0.015882496 -0.07244862 0.027403416 0.01534493
0.967 0.966 -0.07391469 0.03848451 0.01282817 -0.07244862 0.027403416 0.01534493
0.987 0.986 -0.0720821 0.036651913 0.014049901 -0.07244862 0.027403416 0.01534493
1.007 1.006 -0.070249505 0.036651913 0.014660766 -0.07244862 0.027403416 0.01534493
1.027 1.026 -0.073303826 0.03726278 0.018325957 -0.07244862 0.027403416 0.01534493
1.050 1.046 -0.07147124 0.03848451 0.015882496 -0.07244862 0.027403416 0.01534493
1.067 1.066 -0.06963864 0.037873644 0.014660766 -0.07244862 0.027403416 0.01534493
1.087 1.086 -0.07147124 0.03604105 0.014660766 -0.07244862 0.027403416 0.01534493
1.107 1.106 -0.06841691 0.03726278 0.014660766 -0.07244862 0.027403416 0.01534493
1.127 1.126 -0.07086037 0.03848451 0.014660766 -0.07244862 0.027403416 0.01534493
1.147 1.146 -0.0720821 0.03726278 0.015882496 -0.072448626 0.03803247 0.015173893
1.167 1.166 -0.07147124 0.035430185 0.014660766 -0.072448626 0.03803247 0.015173893
1.187 1.186 -0.07086037 0.03848451 0.015271631 -0.072448626 0.03803247 0.015173893
1.207 1.206 -0.0720821 0.037873644 0.015271631 -0.072448626 0.03803247 0.015173893
1.227 1.226 -0.07147124 0.03726278 0.013439035 -0.072448626 0.03803247 0.015173893
1.247 1.246 -0.070249505 0.03726278 0.015271631 -0.072448626 0.03803247 0.015173893
1.267 1.266 -0.070249505 0.036651913 0.014049901 -0.072448626 0.03803247 0.015173893
1.287 1.286 -0.069027774 0.03726278 0.015882496 -0.072448626 0.03803247 0.015173893
1.307 1.306 -0.07147124 0.03848451 0.017715093 -0.072448626 0.03803247 0.015173893
1.327 1.326 -0.07147124 0.036651913 0.013439035 -0.072448626 0.03803247 0.015173893
1.349 1.346 -0.06963864 0.03726278 0.017104227 -0.072448626 0.03803247 0.015173893
1.367 1.366 -0.0720821 0.039095376 0.017715093 -0.072448626 0.03803247 0.015173893
1.387 1.386 -0.06963864 0.037873644 0.015271631 -0.072448626 0.03803247 0.015173893
1.407 1.406 -0.07086037 0.036651913 0.016493361 -0.072448626 0.03803247 0.015173893
1.427 1.426 -0.0720821 0.03726278 0.014660766 -0.072448626 0.03803247 0.015173893
1.448 1.446 -0.069027774 0.037873644 0.01282817 -0.072448626 0.03803247 0.015173893
1.467 1.466 -0.070249505 0.03726278 0.015882496 -0.072448626 0.03803247 0.015173893
1.487 1.486 -0.0720821 0.039095376 0.015271631 -0.072448626 0.03803247 0.015173893
1.507 1.506 -0.07086037 0.035430185 0.015271631 -0.072448626 0.03803247 0.015173893
1.527 1.526 -0.07086037 0.03604105 0.015882496 -0.072448626 0.03803247 0.015173893
1.547 1.546 -0.0720821 0.03726278 0.014049901 -0.072448626 0.03803247 0.015173893
1.567 1.566 -0.07147124 0.037873644 0.015882496 -0.072448626 0.03803247 0.015173893
1.587 1.586 -0.070249505 0.039095376 0.017104227 -0.072448626 0.03803247 0.015173893
1.607 1.606 -0.0720821 0.03726278 0.015271631 -0.072448626 0.03803247 0.015173893
1.627 1.626 -0.07086037 0.03726278 0.013439035 -0.072448626 0.03803247 0.015173893
1.648 1.646 -0.07147124 0.03726278 0.014660766 -0.072448626 0.03803247 0.015173893
1.667 1.666 -0.070249505 0.039095376 0.014049901 -0.072448626 0.03803247 0.015173893
1.687 1.686 -0.073303826 0.037873644 0.01282817 -0.072448626 0.03803247 0.015173893
1.707 1.706 -0.073303826 0.03726278 0.015882496 -0.072448626 0.03803247 0.015173893
1.728 1.726 -0.07147124 0.037873644 0.015271631 -0.072448626 0.03803247 0.015173893
1.747 1.746 -0.073303826 0.037873644 0.014049901 -0.072448626 0.03803247 0.015173893
1.767 1.766 -0.069027774 0.035430185 0.014049901 -0.072448626 0.03803247 0.015173893
1.788 1.786 -0.07147124 0.03726278 0.015271631 -0.072448626 0.03803247 0.015173893
1.806 1.806 -0.07452556 0.03726278 0.014660766 -0.072448626 0.03803247 0.015173893
1.826 1.826 -0.07086037 0.03726278 0.015271631 -0.072448626 0.03803247 0.015173893
1.846 1.846 -0.069027774 0.03848451 0.016493361 -0.072448626 0.03803247 0.015173893
1.866 1.866 -0.07147124 0.03604105 0.017104227 -0.072448626 0.03803247 0.015173893
1.886 1.886 -0.07147124 0.037873644 0.016493361 -0.072448626 0.03803247 0.015173893
1.906 1.906 -0.073303826 0.03848451 0.015271631 -0.072448626 0.03803247 0.015173893
1.927 1.926 -0.07086037 0.037873644 0.016493361 -0.072448626 0.03803247 0.015173893
1.947 1.946 -0.070249505 0.036651913 0.014049901 -0.072448626 0.03803247 0.015173893
1.967 1.966 -0.0720821 0.03726278 0.013439035 -0.072448626 0.03803247 0.015173893
1.987 1.986 -0.07269296 0.03726278 0.01282817 -0.072448626 0.03803247 0.015173893
2.007 2.006 -0.0720821 0.039095376 0.014049901 -0.072448626 0.03803247 0.015173893
2.027 2.026 -0.07147124 0.039095376 0.014049901 -0.072448626 0.03803247 0.015173893
2.047 2.046 -0.070249505 0.03604105 0.015271631 -0.072448626 0.03803247 0.015173893
2.067 2.066 -0.06841691 0.03604105 0.016493361 -0.072448626 0.03803247 0.015173893
2.087 2.086 -0.070249505 0.036651913 0.015271631 -0.072448626 0.03803247 0.015173893
2.107 2.106 -0.07269296 0.03604105 0.017715093 -0.072448626 0.03803247 0.015173893
2.129 2.126 -0.07086037 0.03848451 0.014660766 -0.072448626 0.03803247 0.015173893
2.147 2.146 -0.0720821 0.03726278 0.015882496 -0.072448626 0.03803247 0.015173893
2.168 2.166 -0.070249505 0.03726278 0.014660766 -0.072448626 0.03803247 0.015173893
2.187 2.186 -0.070249505 0.037873644 0.014660766 -0.072448626 0.03803247 0.015173893
2.207 2.206 -0.07086037 0.03726278 0.014660766 -0.072448626 0.03803247 0.015173893
2.230 2.226 -0.07086037 0.039095376 0.015271631 -0.072448626 0.03803247 0.015173893
2.247 2.246 -0.07147124 0.037873644 0.014660766 -0.07257079 0.038227946 0.015479325
2.267 2.266 -0.070249505 0.037873644 0.014049901 -0.07257079 0.038227946 0.015479325
2.287 2.286 -0.069027774 0.03726278 0.014049901 -0.07257079 0.038227946 0.015479325
2.307 2.306 -0.07147124 0.036651913 0.014049901 -0.07257079 0.038227946 0.015479325
2.327 2.326 -0.07147124 0.03726278 0.015271631 -0.07257079 0.038227946 0.015479325
2.347 2.346 -0.070249505 0.037873644 0.015882496 -0.07257079 0.038227946 0.015479325
2.367 2.366 -0.070249505 0.039095376 0.014660766 -0.07257079 0.038227946 0.015479325
2.387 2.386 -0.07086037 0.03848451 0.014660766 -0.07257079 0.038227946 0.015479325
2.407 2.406 -0.06841691 0.035430185 0.015271631 -0.07257079 0.038227946 0.015479325
2.427 2.426 -0.06963864 0.037873644 0.014660766 -0.07257079 0.038227946 0.015479325
2.447 2.446 -0.0720821 0.03726278 0.015882496 -0.07257079 0.038227946 0.015479325
2.467 2.466 -0.07147124 0.03848451 0.016493361 -0.07257079 0.038227946 0.015479325
2.487 2.486 -0.07147124 0.03726278 0.014660766 -0.07257079 0.038227946 0.015479325
2.507 2.506 -0.073303826 0.03726278 0.01282817 -0.07257079 0.038227946 0.015479325
2.529 2.526 -0.070249505 0.03726278 0.015271631 -0.07257079 0.038227946 0.015479325
2.547 2.546 -0.07086037 0.03726278 0.016493361 -0.07257079 0.038227946 0.015479325
2.567 2.566 -0.06963864 0.037873644 0.014660766 -0.07257079 0.038227946 0.015479325
2.587 2.586 -0.07086037 0.037873644 0.014049901 -0.07257079 0.038227946 0.015479325
2.607 2.606 -0.0720821 0.03848451 0.016493361 -0.07257079 0.038227946 0.015479325
2.627 2.626 -0.07147124 0.037873644 0.014049901 -0.07257079 0.038227946 0.015479325
2.647 2.646 -0.07269296 0.03848451 0.01282817 -0.07257079 0.038227946 0.015479325
2.667 2.666 -0.073303826 0.037873644 0.014660766 -0.07257079 0.038227946 0.015479325
2.687 2.686 -0.07086037 0.036651913 0.014049901 -0.07257079 0.038227946 0.015479325
2.707 2.706 -0.0720821 0.039095376 0.014660766 -0.07257079 0.038227946 0.015479325
2.727 2.726 -0.06841691 0.03604105 0.014660766 -0.07257079 0.038227946 0.015479325
2.747 2.746 -0.0720821 0.036651913 0.014660766 -0.07257079 0.038227946 0.015479325
2.767 2.766 -0.07086037 0.039095376 0.014660766 -0.07257079 0.038227946 0.015479325
2.787 2.786 -0.070249505 0.036651913 0.012217305 -0.07257079 0.038227946 0.015479325
2.807 2.806 -0.0720821 0.036651913 0.014660766 -0.07257079 0.038227946 0.015479325
2.828 2.826 -0.06719518 0.036651913 0.014660766 -0.07257079 0.038227946 0.015479325
2.847 2.846 -0.073303826 0.03970624 0.015271631 -0.07257079 0.038227946 0.015479325
2.867 2.866 -0.07086037 0.03726278 0.013439035 -0.07257079 0.038227946 0.015479325
2.887 2.886 -0.07269296 0.039095376 0.015271631 -0.07257079 0.038227946 0.015479325
2.907 2.906 -0.070249505 0.03848451 0.01282817 -0.07257079 0.038227946 0.015479325
2.927 2.926 -0.07086037 0.03726278 0.014660766 -0.07257079 0.038227946 0.015479325
2.947 2.946 -0.0720821 0.037873644 0.014049901 -0.07257079 0.038227946 0.015479325
2.967 2.966 -0.07269296 0.03726278 0.015271631 -0.07257079 0.038227946 0.015479325
2.987 2.986 -0.07147124 0.039095376 0.014660766 -0.07257079 0.038227946 0.015479325
3.007 3.006 -0.07086037 0.03848451 0.013439035 -0.07257079 0.038227946 0.015479325
3.029 3.026 -0.07269296 0.03604105 0.014049901 -0.07257079 0.038227946 0.015479325
3.047 3.046 -0.07086037 0.03726278 0.01282817 -0.07257079 0.038227946 0.015479325
3.067 3.066 -0.06963864 0.03481932 0.014660766 -0.07257079 0.038227946 0.015479325
3.087 3.086 -0.07086037 0.035430185 0.013439035 -0.07257079 0.038227946 0.015479325
3.107 3.106 -0.07086037 0.03848451 0.015271631 -0.07257079 0.038227946 0.015479325
3.127 3.126 -0.07269296 0.037873644 0.014660766 -0.07257079 0.038227946 0.015479325
3.147 3.146 -0.0720821 0.03726278 0.014049901 -0.07257079 0.038227946 0.015479325
3.167 3.166 -0.06841691 0.03848451 0.014660766 -0.07257079 0.038227946 0.015479325
3.187 3.186 -0.070249505 0.035430185 0.014049901 -0.07257079 0.038227946 0.015479325
3.207 3.206 -0.07269296 0.037873644 0.014049901 -0.07257079 0.038227946 0.015479325
3.227 3.226 -0.069027774 0.037873644 0.013439035 -0.07257079 0.038227946 0.015479325
3.247 3.246 -0.0720821 0.03726278 0.015882496 -0.07257079 0.038227946 0.015479325
3.267 3.266 -0.070249505 0.03726278 0.01282817 -0.07257079 0.038227946 0.015479325
3.287 3.286 -0.07452556 0.03848451 0.017104227 -0.07257079 0.038227946 0.015479325
3.307 3.306 -0.070249505 0.039095376 0.015271631 -0.07257079 0.038227946 0.015479325
3.328 3.326 -0.07086037 0.037873644 0.015271631 -0.07257079 0.038227946 0.015479325
3.348 3.346 -0.0720821 0.037873644 0.014660766 -0.07255857 0.03837455 0.0148562435
3.367 3.366 -0.07086037 0.036651913 0.015271631 -0.07255857 0.03837455 0.0148562435
3.388 3.386 -0.073303826 0.040317107 0.015882496 -0.07255857 0.03837455 0.0148562435
3.410 3.406 -0.070249505 0.03726278 0.014049901 -0.07255857 0.03837455 0.0148562435
3.427 3.426 -0.07269296 0.039095376 0.014660766 -0.07255857 0.03837455 0.0148562435
3.447 3.446 -0.070249505 0.037873644 0.014049901 -0.07255857 0.03837455 0.0148562435
3.467 3.466 -0.07086037 0.036651913 0.016493361 -0.07255857 0.03837455 0.0148562435
3.487 3.486 -0.070249505 0.037873644 0.014660766 -0.07255857 0.03837455 0.0148562435
3.507 3.506 -0.070249505 0.03604105 0.015271631 -0.07255857 0.03837455 0.0148562435
3.527 3.526 -0.070249505 0.03726278 0.014660766 -0.07255857 0.03837455 0.0148562435
3.547 3.546 -0.07147124 0.037873644 0.015271631 -0.07255857 0.03837455 0.0148562435
3.567 3.566 -0.07086037 0.036651913 0.014049901 -0.07255857 0.03837455 0.0148562435
3.587 3.586 -0.07086037 0.03726278 0.015271631 -0.07255857 0.03837455 0.0148562435
3.607 3.606 -0.07086037 0.036651913 0.014660766 -0.07255857 0.03837455 0.0148562435
3.627 3.626 -0.06780604 0.036651913 0.015882496 -0.07255857 0.03837455 0.0148562435
3.647 3.646 -0.0720821 0.039095376 0.014660766 -0.07255857 0.03837455 0.0148562435
3.667 3.666 -0.07086037 0.03970624 0.015882496 -0.07255857 0.03837455 0.0148562435
3.687 3.686 -0.069027774 0.03726278 0.015882496 -0.07255857 0.03837455 0.0148562435
3.709 3.706 -0.07147124 0.03848451 0.015882496 -0.07255857 0.03837455 0.0148562435
3.727 3.726 -0.07147124 0.03726278 0.015271631 -0.07255857 0.03837455 0.0148562435
3.747 3.746 -0.07086037 0.03604105 0.016493361 -0.07255857 0.03837455 0.0148562435
3.768 3.766 -0.0720821 0.03604105 0.015882496 -0.07255857 0.03837455 0.0148562435
3.791 3.786 -0.07086037 0.039095376 0.014049901 -0.07255857 0.03837455 0.0148562435
3.807 3.806 -0.07452556 0.037873644 0.014660766 -0.07255857 0.03837455 0.0148562435
3.827 3.826 -0.0720821 0.03848451 0.014049901 -0.07255857 0.03837455 0.0148562435
3.847 3.846 -0.07147124 0.03604105 0.014660766 -0.07255857 0.03837455 0.0148562435
3.867 3.866 -0.07147124 0.03726278 0.013439035 -0.07255857 0.03837455 0.0148562435
3.887 3.886 -0.06963864 0.037873644 0.015271631 -0.07255857 0.03837455 0.0148562435
3.907 3.906 -0.07086037 0.036651913 0.017104227 -0.07255857 0.03837455 0.0148562435
3.927 3.926 -0.0720821 0.036651913 0.015271631 -0.07255857 0.03837455 0.0148562435
3.947 3.946 -0.070249505 0.03726278 0.015882496 -0.07255857 0.03837455 0.0148562435
3.967 3.966 -0.07147124 0.03726278 0.015271631 -0.07255857 0.03837455 0.0148562435
3.987 3.986 -0.07147124 0.035430185 0.015271631 -0.07255857 0.03837455 0.0148562435
4.008 4.006 -0.07269296 0.037873644 0.015882496 -0.07255857 0.03837455 0.0148562435
4.027 4.026 -0.06963864 0.036651913 0.014660766 -0.07255857 0.03837455 0.0148562435
4.047 4.046 -0.07086037 0.036651913 0.014660766 -0.07255857 0.03837455 0.0148562435
4.068 4.066 -0.07147124 0.037873644 0.015882496 -0.07255857 0.03837455 0.0148562435
4.087 4.086 -0.07086037 0.037873644 0.013439035 -0.07255857 0.03837455 0.0148562435
4.107 4.106 -0.07269296 0.037873644 0.014660766 -0.07255857 0.03837455 0.0148562435
4.127 4.126 -0.069027774 0.03848451 0.016493361 -0.07255857 0.03837455 0.0148562435
4.147 4.146 -0.0720821 0.03726278 0.015271631 -0.07255857 0.03837455 0.0148562435
4.167 4.166 -0.0720821 0.035430185 0.014049901 -0.07255857 0.03837455 0.0148562435
4.187 4.186 -0.07086037 0.03604105 0.014660766 -0.07255857 0.03837455 0.0148562435
4.207 4.206 -0.06841691 0.03726278 0.016493361 -0.07255857 0.03837455 0.0148562435
4.228 4.226 -0.07086037 0.037873644 0.014049901 -0.07255857 0.03837455 0.0148562435
4.247 4.246 -0.070249505 0.036651913 0.014049901 -0.07255857 0.03837455 0.0148562435
4.267 4.266 -0.0720821 0.037873644 0.015271631 -0.07255857 0.03837455 0.0148562435
4.287 4.286 -0.0720821 0.036651913 0.015271631 -0.07255857 0.03837455 0.0148562435
4.308 4.306 -0.07147124 0.03604105 0.015882496 -0.07255857 0.03837455 0.0148562435
4.327 4.326 -0.07086037 0.03848451 0.014660766 -0.07255857 0.03837455 0.0148562435
4.347 4.346 -0.0720821 0.03848451 0.015271631 -0.07255857 0.03837455 0.0148562435
4.367 4.366 -0.0720821 0.037873644 0.014049901 -0.07255857 0.03837455 0.0148562435
4.387 4.386 -0.07147124 0.03726278 0.014049901 -0.07255857 0.03837455 0.0148562435
4.407 4.406 -0.07086037 0.03604105 0.017104227 -0.07255857 0.03837455 0.0148562435
4.427 4.426 -0.06963864 0.03604105 0.012217305 -0.07255857 0.03837455 0.0148562435
4.447 4.446 -0.073303826 0.036651913 0.017104227 -0.0725097 0.03799582 0.015406017
4.467 4.466 -0.0720821 0.03726278 0.015882496 -0.0725097 0.03799582 0.015406017
4.487 4.486 -0.06963864 0.03848451 0.014660766 -0.0725097 0.03799582 0.015406017
4.507 4.506 -0.0720821 0.037873644 0.015271631 -0.0725097 0.03799582 0.015406017
4.527 4.526 -0.07086037 0.037873644 0.014049901 -0.0725097 0.03799582 0.015406017
4.547 4.546 -0.07269296 0.037873644 0.01282817 -0.0725097 0.03799582 0.015406017
4.567 4.566 -0.07391469 0.037873644 0.016493361 -0.0725097 0.03799582 0.015406017
4.587 4.586 -0.06963864 0.037873644 0.015882496 -0.0725097 0.03799582 0.015406017
4.607 4.606 -0.06963864 0.03604105 0.013439035 -0.0725097 0.03799582 0.015406017
4.627 4.626 -0.07086037 0.037873644 0.014660766 -0.0725097 0.03799582 0.015406017
4.647 4.646 -0.06963864 0.036651913 0.016493361 -0.0725097 0.03799582 0.015406017
4.667 4.666 -0.070249505 0.037873644 0.014660766 -0.0725097 0.03799582 0.015406017
4.687 4.686 -0.069027774 0.037873644 0.014049901 -0.0725097 0.03799582 0.015406017
4.707 4.706 -0.07086037 0.036651913 0.014660766 -0.0725097 0.03799582 0.015406017
4.727 4.726 -0.07391469 0.03970624 0.014660766 -0.0725097 0.03799582 0.015406017
4.747 4.746 -0.0720821 0.039095376 0.014049901 -0.0725097 0.03799582 0.015406017
4.768 4.766 -0.0720821 0.036651913 0.015271631 -0.0725097 0.03799582 0.015406017
4.788 4.786 -0.07147124 0.036651913 0.015271631 -0.0725097 0.03799582 0.015406017
4.808 4.806 -0.070249505 0.036651913 0.015882496 -0.0725097 0.03799582 0.015406017
4.827 4.826 -0.07269296 0.037873644 0.016493361 -0.0725097 0.03799582 0.015406017
4.847 4.846 -0.07086037 0.03726278 0.015882496 -0.0725097 0.03799582 0.015406017
4.867 4.866 -0.06963864 0.036651913 0.013439035 -0.0725097 0.03799582 0.015406017
4.888 4.886 -0.07086037 0.037873644 0.015882496 -0.0725097 0.03799582 0.015406017
4.907 4.906 -0.06963864 0.037873644 0.014660766 -0.0725097 0.03799582 0.015406017
4.927 4.926 -0.069027774 0.03726278 0.015271631 -0.0725097 0.03799582 0.015406017
4.947 4.946 -0.07147124 0.03726278 0.015882496 -0.0725097 0.03799582 0.015406017
4.970 4.966 -0.07086037 0.037873644 0.016493361 -0.0725097 0.03799582 0.015406017
4.987 4.986 -0.06963864 0.03848451 0.014660766 -0.0725097 0.03799582 0.015406017
5.007 5.006 -0.07147124 0.035430185 0.015271631 -0.0725097 0.03799582 0.015406017
5.027 5.026 -0.0720821 0.03604105 0.015882496 -0.0725097 0.03799582 0.015406017
5.047 5.046 -0.0720821 0.039095376 0.014660766 -0.0725097 0.03799582 0.015406017
5.067 5.066 -0.070249505 0.035430185 0.014049901 -0.0725097 0.03799582 0.015406017
5.088 5.086 -0.0720821 0.03848451 0.015882496 -0.0725097 0.03799582 0.015406017
5.107 5.106 -0.07147124 0.03848451 0.015882496 -0.0725097 0.03799582 0.015406017
5.127 5.126 -0.070249505 0.037873644 0.015882496 -0.0725097 0.03799582 0.015406017
5.147 5.146 -0.07147124 0.037873644 0.015271631 -0.0725097 0.03799582 0.015406017
5.167 5.166 -0.06963864 0.037873644 0.015882496 -0.0725097 0.03799582 0.015406017
5.187 5.186 -0.0720821 0.03848451 0.017104227 -0.0725097 0.03799582 0.015406017
5.207 5.206 -0.07147124 0.037873644 0.015271631 -0.0725097 0.03799582 0.015406017
5.227 5.226 -0.0720821 0.03848451 0.014660766 -0.0725097 0.03799582 0.015406017
5.247 5.246 -0.07269296 0.037873644 0.015882496 -0.0725097 0.03799582 0.015406017
5.270 5.266 -0.0720821 0.039095376 0.013439035 -0.0725097 0.03799582 0.015406017
5.287 5.286 -0.06841691 0.036651913 0.015882496 -0.0725097 0.03799582 0.015406017
5.307 5.306 -0.070249505 0.037873644 0.015882496 -0.0725097 0.03799582 0.015406017
5.327 5.326 -0.07147124 0.03726278 0.014660766 -0.0725097 0.03799582 0.015406017
5.347 5.346 -0.0720821 0.03726278 0.014049901 -0.0725097 0.03799582 0.015406017
5.367 5.366 -0.07269296 0.039095376 0.014049901 -0.0725097 0.03799582 0.015406017
5.387 5.386 -0.06963864 0.039095376 0.014660766 -0.0725097 0.03799582 0.015406017
5.407 5.406 -0.070249505 0.03726278 0.016493361 -0.0725097 0.03799582 0.015406017
5.427 5.426 -0.07086037 0.03726278 0.015271631 -0.0725097 0.03799582 0.015406017
5.447 5.446 -0.07147124 0.03848451 0.014049901 -0.0725097 0.03799582 0.015406017
5.469 5.466 -0.06963864 0.03726278 0.016493361 -0.0725097 0.03799582 0.015406017
5.487 5.486 -0.06780604 0.03604105 0.014660766 -0.0725097 0.03799582 0.015406017
5.507 5.506 -0.0720821 0.040317107 0.016493361 -0.0725097 0.03799582 0.015406017
5.527 5.526 -0.070249505 0.039095376 0.014660766 -0.0725097 0.03799582 0.015406017
5.547 5.546 -0.070249505 0.036651913 0.015271631 -0.07238753 0.038435638 0.015491542
5.569 5.566 -0.07147124 0.03848451 0.015882496 -0.07238753 0.038435638 0.015491542
5.587 5.586 -0.07147124 0.036651913 0.015271631 -0.07238753 0.038435638 0.015491542
5.607 5.606 -0.0720821 0.03604105 0.015882496 -0.07238753 0.038435638 0.015491542
5.627 5.626 -0.069027774 0.036651913 0.015882496 -0.07238753 0.038435638 0.015491542
5.647 5.646 -0.070249505 0.03848451 0.015271631 -0.07238753 0.038435638 0.015491542
5.667 5.666 -0.07086037 0.036651913 0.013439035 -0.07238753 0.038435638 0.015491542
5.687 5.686 -0.070249505 0.037873644 0.014660766 -0.07238753 0.038435638 0.015491542
5.708 5.706 -0.06780604 0.036651913 0.015882496 -0.07238753 0.038435638 0.015491542
5.727 5.726 -0.070249505 0.037873644 0.013439035 -0.07238753 0.038435638 0.015491542
5.747 5.746 -0.07086037 0.036651913 0.014049901 -0.07238753 0.038435638 0.015491542
5.767 5.766 -0.070249505 0.036651913 0.016493361 -0.07238753 0.038435638 0.015491542
5.787 5.786 -0.070249505 0.03970624 0.014049901 -0.07238753 0.038435638 0.015491542
5.807 5.806 -0.07269296 0.035430185 0.014049901 -0.07238753 0.038435638 0.015491542
5.827 5.826 -0.070249505 0.03604105 0.014660766 -0.07238753 0.038435638 0.015491542
5.847 5.846 -0.07086037 0.036651913 0.014660766 -0.07238753 0.038435638 0.015491542
5.869 5.866 -0.070249505 0.03604105 0.017104227 -0.07238753 0.038435638 0.015491542
5.887 5.886 -0.0720821 0.03604105 0.01282817 -0.07238753 0.038435638 0.015491542
5.907 5.906 -0.0720821 0.037873644 0.014049901 -0.07238753 0.038435638 0.015491542
5.927 5.926 -0.07086037 0.036651913 0.015271631 -0.07238753 0.038435638 0.015491542
