magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.061 0.045 -30.599998 -221.6 -43.6 -44.8 -233.6 -14.7
0.110 0.065 -30.599998 -221.6 -43.6 -44.8 -233.6 -14.7
0.110 0.085 -30.599998 -221.6 -43.6 -44.8 -233.6 -14.7
0.110 0.105 -26.9 -264.4 -143.8 -44.8 -233.6 -14.7
0.135 0.125 -26.9 -264.4 -143.5 -44.8 -233.6 -14.7
0.146 0.145 -26.8 -264.5 -143.9 -44.8 -233.6 -14.7
0.166 0.165 -26.8 -264.5 -143.9 -44.8 -233.6 -14.7
0.186 0.185 -26.8 -264.5 -143.9 -44.8 -233.6 -14.7
0.206 0.205 -26.699999 -264.30002 -144.0 -44.8 -233.6 -14.7
0.226 0.225 -26.8 -264.30002 -143.9 -44.8 -233.6 -14.7
0.246 0.245 -26.8 -264.30002 -144.0 -44.8 -233.6 -14.7
0.267 0.265 -26.8 -264.30002 -144.09999 -44.8 -233.6 -14.7
0.286 0.285 -26.8 -264.30002 -144.09999 -44.8 -233.6 -14.7
0.306 0.305 -26.8 -264.30002 -144.09999 -44.8 -233.6 -14.7
0.326 0.325 -26.8 -264.30002 -144.09999 -44.8 -233.6 -14.7
0.346 0.345 -26.8 -264.30002 -144.09999 -44.8 -233.6 -14.7
0.367 0.365 -26.8 -264.30002 -144.0 -44.8 -233.6 -14.7
0.386 0.385 -26.8 -264.30002 -144.09999 -44.8 -233.6 -14.7
0.406 0.405 -26.8 -264.2 -144.09999 -44.8 -233.6 -14.7
0.426 0.425 -26.8 -264.2 -144.0 -44.8 -233.6 -14.7
0.446 0.445 -26.699999 -264.2 -144.0 -44.8 -233.6 -14.7
0.471 0.465 -26.699999 -264.2 -144.0 -44.8 -233.6 -14.7
0.498 0.485 -26.699999 -264.2 -144.09999 -44.8 -233.6 -14.7
0.506 0.505 -26.8 -264.2 -144.0 -44.8 -233.6 -14.7
0.526 0.525 -26.8 -264.2 -144.09999 -44.8 -233.6 -14.7
0.546 0.545 -26.699999 -264.2 -144.09999 -44.8 -233.6 -14.7
0.566 0.565 -26.699999 -264.2 -144.09999 -44.8 -233.6 -14.7
0.586 0.585 -26.8 -264.30002 -144.09999 -44.8 -233.6 -14.7
0.605 0.605 -26.8 -264.30002 -144.09999 -44.8 -233.6 -14.7
0.626 0.625 -26.699999 -264.2 -144.09999 -44.8 -233.6 -14.7
0.646 0.645 -26.699999 -264.2 -144.09999 -44.8 -233.6 -14.7
0.666 0.665 -26.699999 -264.2 -144.09999 -44.8 -233.6 -14.7
0.686 0.685 -26.699999 -264.30002 -144.0 -44.8 -233.6 -14.7
0.706 0.705 -26.699999 -264.30002 -144.0 -44.8 -233.6 -14.7
0.726 0.725 -26.699999 -264.30002 -144.0 -44.8 -233.6 -14.7
0.746 0.745 -26.699999 -264.30002 -144.0 -44.8 -233.6 -14.7
0.766 0.765 -26.699999 -264.30002 -144.0 -44.8 -233.6 -14.7
