accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.068 0.040 -0.025139118 0.89902276 9.574412
0.068 0.060 0.011971008 0.89064306 9.712079
0.122 0.080 -0.050278235 0.91099375 9.715671
0.122 0.100 -0.06943185 0.91458505 9.849746
0.122 0.120 -0.19273324 0.8714894 9.745598
0.154 0.140 -0.39145198 0.842759 9.712079
0.164 0.160 -0.32800564 1.0187328 9.625888
0.186 0.180 -0.40821138 1.0773908 9.515755
0.203 0.200 -0.5674258 0.9947908 9.487024
0.222 0.220 -0.48961425 1.0007763 9.5732155
0.240 0.240 -0.33758244 0.9995792 9.639056
0.260 0.260 -0.10295067 0.91458505 9.774328
0.280 0.280 -0.095768064 0.82719666 9.939528
0.302 0.300 -0.32202014 0.7410054 9.935937
0.320 0.320 -0.36750996 0.6428431 9.832987
0.340 0.340 -0.23223756 0.7110779 9.773131
0.360 0.360 -0.21787235 0.6631939 9.7084875
0.380 0.380 -0.4213795 0.7206547 9.622296
0.402 0.400 -0.61530983 0.81043726 9.622296
0.420 0.420 -0.5805939 0.80086046 9.791088
0.440 0.440 -0.2777274 0.88944596 9.714474
0.460 0.460 -0.20470424 0.50757074 9.78989
0.480 0.480 -0.24660277 0.78769237 9.870096
0.515 0.500 -0.25737667 0.8355764 10.102334
0.520 0.520 -0.130484 0.93852705 9.251195
0.540 0.540 -0.022744916 2.0638018 10.140641
0.560 0.560 0.33758244 1.3072342 9.380483
0.580 0.580 0.088585466 0.89782566 9.326612
0.600 0.600 -0.34955344 1.0893618 9.556456
0.620 0.620 -0.8439561 1.3838485 9.812635
0.640 0.640 -0.7338228 2.007538 9.5732155
0.660 0.660 -0.23463176 1.6400281 9.452309
0.680 0.680 -0.12090719 1.8794483 9.417592
0.700 0.700 -0.21308395 1.7238252 9.527725
0.720 0.720 -0.59974754 1.5167267 9.488221
0.740 0.740 -0.5351041 1.4221559 9.607931
0.760 0.760 0.15322891 1.7980455 9.022549
0.780 0.780 0.545878 1.8459295 9.16261
0.800 0.800 1.1432313 1.8579005 9.652225
0.821 0.820 1.0462662 1.5442601 9.605537
0.841 0.840 0.6607997 1.0319009 9.587581
0.861 0.860 0.80924016 1.2497733 9.519346
0.881 0.880 1.2186487 1.5227122 9.672575
0.901 0.900 2.0649989 2.1775265 10.102334
0.921 0.920 1.3263878 1.5526398 10.02572
0.941 0.940 0.93732995 1.1659763 9.630676
0.961 0.960 1.7944542 1.7944542 9.267955
0.981 0.980 1.9129672 2.043451 8.986636
1.001 1.000 1.8471266 1.9381063 8.815451
1.020 1.020 1.5897499 1.8339585 9.108741
1.041 1.040 1.6232687 1.9991584 9.487024
1.060 1.060 1.8698715 2.1679497 10.001778
1.080 1.080 1.8327614 2.1667526 9.081207
1.101 1.100 1.6352397 2.3642743 8.504205
1.121 1.120 0.78050977 2.3822308 9.17099
1.140 1.140 0.8331822 2.4672248 9.488221
1.160 1.160 0.9792285 2.7617116 9.537302
1.180 1.180 0.1340753 3.2716765 9.605537
1.200 1.200 -0.61650693 3.6104562 9.998186
1.220 1.220 -1.0773908 4.3179426 10.308235
1.240 1.240 -1.7585411 4.10845 10.34774
1.260 1.260 -2.3247697 4.1096473 9.981427
1.281 1.280 -0.9636662 5.1116204 10.81461
1.300 1.300 -2.360683 3.9971197 11.018116
1.321 1.320 -2.8083985 4.1838675 10.13705
1.341 1.340 -1.7393875 4.5358152 10.585963
1.361 1.360 -2.3942018 3.714604 9.894038
1.382 1.382 -3.727772 2.8802247 8.610746
1.401 1.400 -3.301604 4.4017396 9.198523
1.421 1.420 -3.0083144 4.805163 10.8864355
1.440 1.440 -2.4851813 5.1319714 10.943896
1.460 1.460 -4.083311 2.706645 8.9758625
1.480 1.480 -4.200627 3.240552 6.835446
1.500 1.500 -2.9257145 4.1060557 9.053674
1.521 1.520 -2.098518 4.122815 9.792285
1.541 1.540 -2.5390508 2.3475149 8.77834
1.561 1.560 -4.7776294 1.2425907 6.0728927
1.581 1.580 -3.690662 1.4927847 7.680599
1.601 1.600 -1.6747441 1.602918 8.240842
1.621 1.620 -1.2808979 0.62728083 8.175002
1.641 1.640 -5.117606 -1.8950106 5.795165
1.661 1.660 -6.2500634 -0.32441434 5.7843914
1.681 1.680 -3.50152 -0.6536171 8.273164
1.701 1.700 -1.0223241 -0.80325466 8.328231
1.721 1.720 -0.7350199 -1.4149733 8.334216
1.741 1.740 -2.0961237 -2.2661119 7.837419
1.761 1.760 -3.276465 -2.1906946 6.8306575
1.781 1.780 -0.7110779 -2.920926 8.2276745
1.801 1.800 0.19752164 -2.6491842 9.479841
1.821 1.820 -1.0139444 -2.7281928 9.668983
1.841 1.840 -1.7058687 -2.9700072 10.263943
1.861 1.860 -1.2270284 -3.679888 10.00896
1.883 1.880 -0.6452374 -3.9252937 10.072407
1.901 1.900 -0.40940848 -3.5805287 10.892421
1.921 1.920 -0.6823475 -3.083732 11.760319
1.941 1.940 -0.39863458 -2.7126305 11.484985
1.961 1.960 -0.0023942017 -2.5103204 11.723208
1.981 1.980 0.7529764 -1.5298948 12.25113
2.001 2.000 1.2976574 -1.0139444 12.405556
2.021 2.020 0.7026982 -0.736217 12.539632
2.041 2.040 0.78888947 -0.51475334 11.881226
2.061 2.060 1.4317327 0.62009823 12.1398
2.081 2.080 1.9405005 1.3467385 13.982138
2.101 2.100 2.3702598 1.650802 14.73272
2.121 2.120 3.2549171 1.6496049 13.725958
2.141 2.140 3.8391025 1.3850456 11.827356
2.162 2.160 4.52145 2.408567 11.452663
2.181 2.180 3.7852328 3.3075895 12.056003
2.201 2.200 5.7149596 2.1811178 9.32781
2.221 2.220 6.599617 1.9057846 8.583213
2.241 2.240 6.5026517 1.9859903 8.322245
2.261 2.260 6.2345014 2.516306 9.01776
2.281 2.280 5.81791 2.4037786 9.546879
2.301 2.300 6.307524 1.4532804 8.494628
2.321 2.320 6.980295 1.2557588 8.3868885
2.341 2.340 7.03177 1.0259154 8.767567
2.361 2.360 6.2105594 0.31364042 9.606734
2.381 2.380 6.706159 -0.46567222 6.9731126
2.400 2.400 6.6630635 -0.557849 6.1088057
2.421 2.420 5.865794 -1.6328455 8.231265
2.441 2.440 5.365406 -2.280477 6.3781533
2.462 2.460 5.4623713 -3.0825348 2.4109612
2.481 2.480 4.167108 -2.2768857 4.847061
2.501 2.500 3.5182793 -3.775656 5.9627595
2.521 2.520 4.3897686 -5.0374002 4.334702
2.541 2.540 4.871003 -7.0365586 5.3558292
2.560 2.560 5.483919 -7.0102224 6.4583592
2.581 2.580 5.7987566 -6.5361705 6.4487824
2.601 2.600 4.677073 -6.51582 6.5469446
2.621 2.620 3.3554738 -6.951565 5.686229
2.641 2.640 3.550601 -6.8893156 5.6706667
2.661 2.660 4.226963 -6.4020953 6.9886746
2.681 2.680 5.5270147 -5.720945 7.523779
2.701 2.700 5.81791 -5.1930237 8.63828
2.721 2.720 5.9783216 -4.6004586 9.344569
2.741 2.740 5.767632 -4.298789 9.452309
2.763 2.760 6.7624226 -3.345897 10.389638
2.782 2.780 5.595249 -3.5757403 9.840169
2.801 2.800 4.7189717 -3.3028011 11.08276
2.821 2.820 4.6016555 -3.560178 11.04565
2.842 2.840 4.6279917 -3.1435869 10.890026
2.861 2.860 4.933253 -1.6256629 11.942278
2.881 2.880 5.577293 -0.700304 11.911154
2.901 2.900 5.4444146 0.18076223 12.263102
2.920 2.920 4.301183 -0.38307226 12.008119
2.940 2.940 3.930082 -0.89184016 10.603919
2.961 2.960 6.564901 -0.39025488 9.738416
2.981 2.980 9.090784 0.7206547 10.315418
3.001 3.000 9.212888 1.3599066 13.006501
3.021 3.020 6.8222775 2.3127987 15.418659
3.041 3.040 6.033388 2.5929205 14.660894
3.061 3.060 8.139089 4.211401 11.46224
3.081 3.080 7.255628 5.0864816 10.143036
3.100 3.100 2.681506 4.607641 12.697649
3.121 3.120 0.94331545 5.5521536 13.154942
3.140 3.140 2.373851 7.8757267 12.843695
3.160 3.160 5.935226 9.8677025 10.473435
3.180 3.180 6.8210807 9.257181 9.617508
3.201 3.200 5.151125 8.038532 10.597934
3.220 3.220 1.1791444 7.419631 13.096283
3.240 3.240 -0.2741361 7.5189905 12.391191
3.260 3.260 0.33399114 7.2831616 8.827422
3.280 3.280 1.4760253 6.5337763 5.409699
3.300 3.300 0.59256494 4.188656 4.545392
3.320 3.320 -1.3395559 3.8067808 8.061277
3.340 3.340 -1.9572599 4.2556934 10.157401
3.361 3.360 -0.2633622 2.7018566 7.517793
3.380 3.380 1.1097125 1.3634979 3.5446155
3.400 3.400 -0.5734113 -0.91338795 1.9608512
3.420 3.420 -1.7238252 0.30885202 4.9559975
3.440 3.440 -1.2952632 0.33997664 7.0102224
3.460 3.460 -0.18914193 -0.8535329 5.457583
3.480 3.480 0.35673606 -2.31639 3.3183637
3.500 3.500 -0.4213795 -2.433706 4.0258503
3.520 3.520 -0.8858546 -2.5067291 6.7947445
3.540 3.540 -0.09696517 -3.7936125 6.135142
3.561 3.560 0.61770403 -4.781221 5.9890957
3.580 3.580 0.29688102 -5.297171 7.1526775
3.600 3.600 -0.5327099 -5.2409077 8.805874
3.621 3.620 -1.4999673 -5.981913 9.144653
3.640 3.640 -1.9692309 -6.685808 8.723274
3.660 3.660 -2.3211784 -6.7372837 9.26197
3.681 3.680 -2.5079262 -6.4404025 9.781511
3.700 3.700 -1.8854338 -6.0848637 10.58716
3.721 3.720 -1.7022774 -5.507861 11.298238
3.740 3.740 -1.2605472 -4.876989 11.23958
3.761 3.760 -0.5722142 -4.248511 11.949461
3.780 3.780 0.45609543 -3.086126 13.170504
3.800 3.800 1.1719618 -2.966416 13.170504
3.820 3.820 1.6687586 -2.1392193 13.8720045
3.841 3.840 1.9812019 -1.7705121 13.9151
3.861 3.860 1.7405846 -1.3012487 14.842854
3.881 3.880 1.4951789 -0.8858546 14.970943
3.901 3.900 1.7106571 -0.40222588 14.507666
3.921 3.920 2.0817583 -0.25139117 14.659697
3.940 3.940 2.6527755 0.7697359 14.8237
3.960 3.960 2.4133554 0.78888947 14.657303
3.981 3.980 1.8686744 1.270124 13.737929
4.001 4.000 2.2936451 1.3036429 13.286622
4.020 4.020 2.328361 1.7190368 12.291832
4.040 4.040 1.7705121 1.3299791 12.850878
4.061 4.060 1.8782512 0.3196259 11.695675
4.080 4.080 2.4660277 0.005985504 9.718064
4.100 4.100 2.8766334 0.034715924 8.537724
4.120 4.120 3.8283286 0.079008654 8.53892
4.141 4.140 5.74369 0.36032736 8.476671
4.160 4.160 8.177396 -0.08259996 7.827842
