gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.068 0.067 -0.012217305 0.33841935 0.12461651 -0.072534144 0.03828903 0.015418237
0.122 0.087 0.02321288 0.21868975 0.042760566 -0.072534144 0.03828903 0.015418237
0.122 0.107 0.040317107 0.1423316 -0.03848451 -0.072534144 0.03828903 0.015418237
0.127 0.127 0.06352998 0.08674286 -0.028099801 -0.072534144 0.03828903 0.015418237
0.154 0.147 0.03359759 0.18020524 0.013439035 -0.072534144 0.03828903 0.015418237
0.186 0.167 0.007330383 0.23884831 0.047036625 -0.072534144 0.03828903 0.015418237
0.188 0.187 -0.02321288 0.17470746 0.07574729 -0.072534144 0.03828903 0.015418237
0.207 0.207 -0.22235495 0.04520403 0.12461651 -0.072534144 0.03828903 0.015418237
0.227 0.227 -0.35613444 0.06047566 0.13439035 -0.072534144 0.03828903 0.015418237
0.247 0.247 -0.3652974 0.08246681 0.10445796 -0.072534144 0.03828903 0.015418237
0.269 0.267 -0.32253686 0.09712757 0.06047566 -0.072534144 0.03828903 0.015418237
0.287 0.287 -0.24190263 0.18936823 -0.027488936 -0.072534144 0.03828903 0.015418237
0.307 0.307 -0.12889257 0.23457226 -0.12644911 -0.072534144 0.03828903 0.015418237
0.327 0.327 -0.009162978 0.112399206 -0.23090707 -0.072534144 0.03828903 0.015418237
0.347 0.347 0.0061086523 -0.04520403 -0.258396 -0.072534144 0.03828903 0.015418237
0.368 0.367 -0.04153884 -0.1423316 -0.22479841 -0.072534144 0.03828903 0.015418237
0.387 0.387 -0.12461651 -0.1423316 -0.103847094 -0.072534144 0.03828903 0.015418237
0.407 0.407 -0.10323623 -0.02565634 0.03970624 -0.072534144 0.03828903 0.015418237
0.427 0.427 0.064751714 0.12217305 0.11789699 -0.072534144 0.03828903 0.015418237
0.447 0.447 0.21868975 0.15088372 0.12950343 -0.072534144 0.03828903 0.015418237
0.468 0.467 0.37873647 -0.122783914 -0.06291912 -0.072534144 0.03828903 0.015418237
0.490 0.487 0.46609017 -0.46914452 -0.30115658 -0.072534144 0.03828903 0.015418237
0.515 0.507 0.42577308 -0.31948254 -0.24373524 -0.072534144 0.03828903 0.015418237
0.527 0.527 0.34208453 -0.13622294 0.053145275 -0.072534144 0.03828903 0.015418237
0.547 0.547 0.25961772 0.41233405 0.12583824 -0.072534144 0.03828903 0.015418237
0.567 0.567 0.3268129 0.39950588 0.30909783 -0.072534144 0.03828903 0.015418237
0.587 0.587 0.4605924 0.22968534 0.40378192 -0.072534144 0.03828903 0.015418237
0.607 0.607 0.5143485 0.17592919 0.321926 -0.072534144 0.03828903 0.015418237
0.627 0.627 0.4654793 0.119729586 0.0720821 -0.072534144 0.03828903 0.015418237
0.647 0.647 0.2602286 -0.12156218 -0.059864793 -0.072534144 0.03828903 0.015418237
0.667 0.667 -0.02076942 -0.54305923 -0.03970624 -0.072534144 0.03828903 0.015418237
0.687 0.687 -0.25778514 -0.7086037 -0.045814894 -0.072534144 0.03828903 0.015418237
0.707 0.707 -0.35430184 -0.5222898 -0.028099801 -0.072534144 0.03828903 0.015418237
0.727 0.727 -0.26511553 -0.30298916 -0.039095376 -0.072534144 0.03828903 0.015418237
