magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.067 0.048 -26.9 -264.1 -144.09999 -44.8 -233.6 -14.7
0.069 0.068 -26.9 -264.1 -144.09999 -44.8 -233.6 -14.7
0.122 0.088 -60.9 -249.0 -53.600002 -44.8 -233.6 -14.7
0.122 0.108 -60.6 -249.1 -53.4 -44.8 -233.6 -14.7
0.128 0.128 -60.4 -249.0 -53.5 -44.8 -233.6 -14.7
0.154 0.148 -60.4 -249.20001 -53.4 -44.8 -233.6 -14.7
0.186 0.168 -60.3 -249.20001 -53.3 -44.8 -233.6 -14.7
0.188 0.188 -60.3 -249.20001 -53.3 -44.8 -233.6 -14.7
0.208 0.208 -60.3 -249.20001 -53.5 -44.8 -233.6 -14.7
0.228 0.228 -60.3 -249.3 -53.5 -44.8 -233.6 -14.7
0.248 0.248 -60.3 -249.3 -53.600002 -44.8 -233.6 -14.7
0.269 0.268 -60.3 -249.20001 -53.8 -44.8 -233.6 -14.7
0.288 0.288 -60.3 -249.20001 -53.7 -44.8 -233.6 -14.7
0.308 0.308 -60.199997 -249.1 -53.600002 -44.8 -233.6 -14.7
0.328 0.327 -60.199997 -249.1 -53.8 -44.8 -233.6 -14.7
0.348 0.347 -60.199997 -249.0 -53.8 -44.8 -233.6 -14.7
0.368 0.368 -60.199997 -249.0 -53.8 -44.8 -233.6 -14.7
0.388 0.388 -60.199997 -249.0 -53.8 -44.8 -233.6 -14.7
0.408 0.407 -60.1 -249.0 -53.7 -44.8 -233.6 -14.7
0.428 0.428 -60.1 -249.0 -53.7 -44.8 -233.6 -14.7
0.448 0.447 -60.199997 -249.1 -53.600002 -44.8 -233.6 -14.7
0.468 0.468 -60.199997 -249.1 -53.600002 -44.8 -233.6 -14.7
0.491 0.488 -60.199997 -249.1 -53.7 -44.8 -233.6 -14.7
0.515 0.508 -60.199997 -249.20001 -53.7 -44.8 -233.6 -14.7
0.528 0.528 -60.3 -249.3 -53.7 -44.8 -233.6 -14.7
0.548 0.547 -60.3 -249.40001 -53.7 -44.8 -233.6 -14.7
0.568 0.568 -60.3 -249.40001 -53.600002 -44.8 -233.6 -14.7
0.588 0.587 -60.3 -249.5 -53.600002 -44.8 -233.6 -14.7
0.608 0.607 -60.3 -249.6 -53.5 -44.8 -233.6 -14.7
0.628 0.628 -60.3 -249.70001 -53.5 -44.8 -233.6 -14.7
0.648 0.647 -60.4 -249.8 -53.5 -44.8 -233.6 -14.7
0.668 0.667 -60.4 -249.90001 -53.5 -44.8 -233.6 -14.7
0.688 0.688 -60.4 -250.1 -53.4 -44.8 -233.6 -14.7
0.708 0.707 -60.5 -250.20001 -53.4 -44.8 -233.6 -14.7
0.728 0.727 -60.5 -250.3 -53.4 -44.8 -233.6 -14.7
0.748 0.748 -60.6 -250.5 -53.4 -44.8 -233.6 -14.7
0.768 0.768 -60.699997 -250.6 -53.3 -44.8 -233.6 -14.7
0.788 0.787 -60.8 -250.70001 -53.3 -44.8 -233.6 -14.7
0.808 0.807 -61.0 -250.8 -53.100002 -44.8 -233.6 -14.7
0.828 0.828 -61.1 -250.90001 -53.100002 -44.8 -233.6 -14.7
0.851 0.848 -61.3 -251.0 -52.9 -44.8 -233.6 -14.7
0.868 0.868 -61.5 -251.1 -52.7 -44.8 -233.6 -14.7
0.888 0.888 -62.067 -251.264 -52.474 -44.8 -233.6 -14.7
0.908 0.908 -63.272 -251.481 -51.587 -44.8 -233.6 -14.7
0.928 0.928 -64.156 -251.77 -50.711002 -44.8 -233.6 -14.7
0.948 0.948 -64.679 -251.94301 -50.788002 -44.8 -233.6 -14.7
0.968 0.968 -65.66 -252.54501 -49.961002 -44.8 -233.6 -14.7
0.988 0.988 -66.127 -253.11801 -48.803 -44.8 -233.6 -14.7
1.008 1.008 -66.578 -253.264 -48.272 -44.8 -233.6 -14.7
1.028 1.028 -66.895 -253.156 -47.787003 -44.8 -233.6 -14.7
1.048 1.048 -67.725 -253.65001 -47.492 -44.8 -233.6 -14.7
1.068 1.068 -67.953995 -254.14401 -48.036 -44.8 -233.6 -14.7
1.088 1.088 -67.169 -254.203 -48.34 -44.8 -233.6 -14.7
1.108 1.108 -66.895996 -254.62401 -49.375 -44.8 -233.6 -14.7
1.128 1.128 -66.832 -254.763 -48.398003 -44.8 -233.6 -14.7
1.148 1.148 -66.078995 -254.783 -49.038002 -44.8 -233.6 -14.7
1.168 1.168 -66.767 -255.38301 -49.012 -44.8 -233.6 -14.7
1.188 1.188 -66.372 -255.296 -49.146 -44.8 -233.6 -14.7
1.208 1.208 -65.637 -255.528 -48.893 -44.8 -233.6 -14.7
1.228 1.228 -65.425 -256.364 -49.445 -44.8 -233.6 -14.7
1.248 1.248 -65.095 -256.573 -49.73 -44.8 -233.6 -14.7
1.268 1.268 -63.836998 -257.05402 -49.986 -44.8 -233.6 -14.7
1.288 1.288 -62.791 -257.893 -50.578 -44.8 -233.6 -14.7
1.309 1.308 -60.949997 -259.875 -50.369 -44.8 -233.6 -14.7
1.328 1.328 -58.824997 -261.639 -51.621002 -44.8 -233.6 -14.7
1.348 1.348 -55.898 -262.893 -51.894 -44.8 -233.6 -14.7
1.372 1.368 -50.104 -264.907 -50.843002 -44.8 -233.6 -14.7
1.388 1.388 -47.245 -266.456 -51.208 -44.8 -233.6 -14.7
1.408 1.408 -43.484 -267.156 -51.276 -44.8 -233.6 -14.7
1.428 1.427 -40.318 -267.105 -51.9 -44.8 -233.6 -14.7
1.448 1.448 -36.726997 -269.215 -50.751 -44.8 -233.6 -14.7
1.468 1.468 -33.985 -269.404 -49.556 -44.8 -233.6 -14.7
1.488 1.488 -31.004 -269.862 -48.943 -44.8 -233.6 -14.7
1.508 1.508 -29.136 -269.617 -48.933002 -44.8 -233.6 -14.7
1.528 1.528 -26.788 -269.387 -47.695 -44.8 -233.6 -14.7
1.548 1.548 -24.428999 -268.60602 -47.367 -44.8 -233.6 -14.7
1.568 1.568 -19.349998 -266.698 -45.48 -44.8 -233.6 -14.7
1.589 1.588 -15.271 -264.707 -46.675 -44.8 -233.6 -14.7
1.608 1.608 -12.979 -262.634 -43.877 -44.8 -233.6 -14.7
1.628 1.628 -12.875 -260.99802 -43.244 -44.8 -233.6 -14.7
1.649 1.648 -11.064999 -257.506 -43.537 -44.8 -233.6 -14.7
1.668 1.668 -8.723999 -254.99301 -43.822998 -44.8 -233.6 -14.7
1.688 1.688 -7.218998 -251.513 -43.493 -44.8 -233.6 -14.7
1.708 1.708 -7.2019997 -248.899 -41.001 -44.8 -233.6 -14.7
1.728 1.728 -6.748001 -246.81601 -44.098 -44.8 -233.6 -14.7
1.751 1.748 -7.262001 -245.334 -43.16 -44.8 -233.6 -14.7
1.768 1.768 -9.408001 -242.49901 -43.493 -44.8 -233.6 -14.7
1.788 1.788 -10.390999 -240.787 -45.985 -44.8 -233.6 -14.7
1.808 1.808 -10.855999 -239.253 -47.544003 -44.8 -233.6 -14.7
1.828 1.828 -12.512001 -238.27301 -46.924 -44.8 -233.6 -14.7
1.848 1.848 -14.087999 -237.584 -48.804 -44.8 -233.6 -14.7
1.868 1.868 -15.684 -238.218 -50.671 -44.8 -233.6 -14.7
1.888 1.888 -15.682999 -238.729 -50.351 -44.8 -233.6 -14.7
1.908 1.908 -18.685999 -239.57301 -51.291 -44.8 -233.6 -14.7
1.928 1.928 -19.710999 -240.68701 -53.451 -44.8 -233.6 -14.7
1.952 1.948 -23.028 -244.336 -53.456 -44.8 -233.6 -14.7
