accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.165 0.153 -0.061052144 -0.22266077 9.809045
0.165 0.163 -0.06344634 -0.22385786 9.8042555
0.224 0.173 -0.07182605 -0.21787235 9.817424
0.224 0.183 -0.06943185 -0.22984336 9.80665
0.224 0.193 -0.06703765 -0.22625206 9.81503
0.224 0.203 -0.050278235 -0.21667525 9.805453
0.224 0.213 -0.062249243 -0.21068975 9.813833
0.224 0.223 -0.05746084 -0.22266077 9.801862
0.272 0.233 -0.05865794 -0.21906945 9.805453
0.272 0.243 -0.06584055 -0.22385786 9.809045
0.272 0.253 -0.050278235 -0.23104046 9.7958765
0.272 0.263 -0.062249243 -0.22984336 9.810242
0.277 0.273 -0.06823475 -0.23343466 9.801862
0.321 0.283 -0.05865794 -0.21667525 9.801862
0.321 0.293 -0.06943185 -0.22505496 9.805453
0.321 0.304 -0.06703765 -0.22146365 9.813833
0.321 0.313 -0.07062895 -0.22864626 9.801862
0.324 0.323 -0.06464344 -0.21428105 9.80665
0.334 0.334 -0.06464344 -0.22385786 9.79827
0.344 0.343 -0.06943185 -0.23223756 9.810242
0.356 0.353 -0.059855044 -0.22266077 9.793482
0.364 0.363 -0.06823475 -0.23223756 9.803059
0.374 0.373 -0.059855044 -0.21308395 9.810242
0.384 0.383 -0.07182605 -0.22864626 9.801862
0.394 0.393 -0.06464344 -0.21906945 9.811439
0.404 0.403 -0.061052144 -0.21667525 9.813833
0.414 0.413 -0.062249243 -0.22026655 9.797073
0.424 0.423 -0.062249243 -0.22146365 9.800665
0.434 0.433 -0.062249243 -0.22385786 9.803059
0.444 0.443 -0.06344634 -0.22864626 9.794679
0.453 0.453 -0.062249243 -0.22026655 9.801862
0.466 0.463 -0.05865794 -0.22984336 9.793482
0.474 0.473 -0.06943185 -0.22625206 9.803059
0.484 0.483 -0.06943185 -0.22744916 9.801862
0.494 0.493 -0.061052144 -0.22984336 9.800665
0.504 0.503 -0.059855044 -0.22266077 9.800665
0.516 0.513 -0.06703765 -0.22385786 9.809045
0.524 0.523 -0.07062895 -0.22864626 9.810242
0.534 0.533 -0.06823475 -0.22385786 9.800665
0.544 0.543 -0.05865794 -0.22744916 9.794679
0.554 0.553 -0.06943185 -0.23343466 9.801862
0.565 0.563 -0.06943185 -0.22625206 9.805453
0.574 0.573 -0.06703765 -0.22146365 9.805453
0.584 0.583 -0.053869538 -0.22625206 9.78989
0.594 0.593 -0.074220255 -0.23343466 9.803059
0.607 0.603 -0.05865794 -0.22625206 9.81503
0.637 0.614 -0.06344634 -0.22984336 9.797073
0.637 0.623 -0.06344634 -0.22146365 9.79827
0.637 0.633 -0.05865794 -0.22385786 9.7958765
0.658 0.643 -0.06464344 -0.22266077 9.803059
0.658 0.653 -0.06344634 -0.22266077 9.803059
0.665 0.663 -0.06703765 -0.22984336 9.794679
0.674 0.673 -0.061052144 -0.21906945 9.80665
0.684 0.683 -0.061052144 -0.22864626 9.78989
0.694 0.693 -0.073023155 -0.22984336 9.799467
0.704 0.703 -0.061052144 -0.22385786 9.800665
0.713 0.713 -0.06823475 -0.22984336 9.803059
0.723 0.723 -0.06703765 -0.22026655 9.805453
0.733 0.733 -0.073023155 -0.22984336 9.800665
0.743 0.743 -0.06943185 -0.22864626 9.8042555
0.754 0.753 -0.06703765 -0.22984336 9.793482
0.764 0.763 -0.05626374 -0.21906945 9.788693
0.773 0.773 -0.062249243 -0.22744916 9.793482
0.783 0.783 -0.06464344 -0.22864626 9.800665
0.793 0.793 -0.06584055 -0.21787235 9.807847
0.803 0.803 -0.062249243 -0.22505496 9.799467
