gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.083 0.070 -0.009309582 0.011459831 -0.0018936815
0.083 0.080 -0.0013683289 0.010848969 -0.0037262775
0.120 0.090 -0.0025900602 0.010848969 -0.0012828168
0.120 0.100 -0.0038117915 0.010848969 -0.0012828168
0.120 0.110 -0.0019791946 0.010238104 -6.719511E-4
0.146 0.120 -0.004422657 0.010848969 -0.0025045471
0.146 0.130 -0.0013683289 0.009016372 -0.0025045471
0.146 0.140 -0.004422657 0.008405507 -0.0025045471
0.164 0.150 -0.0038117915 0.009627238 -0.0025045471
0.164 0.160 -0.0038117915 0.010848969 -0.0025045471
0.223 0.170 -0.0056443885 0.008405507 -6.108638E-5
0.223 0.180 -0.0025900602 0.009627238 -0.0025045471
0.223 0.190 -0.004422657 0.010238104 -0.0018936815
0.223 0.200 -0.0038117915 0.007794641 -0.0012828168
0.223 0.210 -0.003200926 0.010848969 -0.0018936815
0.223 0.220 -0.0013683289 0.012070697 -0.0018936815
0.230 0.230 -0.0038117915 0.010238104 -0.004948008
0.272 0.240 -0.0038117915 0.009016372 -0.0012828168
0.272 0.250 -0.0056443885 0.009627238 -0.0031154118
0.272 0.260 -0.005033523 0.009627238 -0.004337143
0.272 0.270 -0.0056443885 0.010238104 -0.0012828168
0.282 0.280 -0.0019791946 0.010238104 -0.0037262775
0.321 0.290 -0.003200926 0.010238104 -0.0018936815
0.321 0.300 -0.0038117915 0.010848969 5.497793E-4
0.321 0.310 -0.005033523 0.009627238 -0.0037262775
0.321 0.320 -0.003200926 0.009016372 -0.0025045471
0.330 0.330 -0.003200926 0.009627238 -0.0018936815
0.340 0.340 -0.0025900602 0.009627238 -0.0025045471
0.355 0.350 -0.003200926 0.009016372 -0.0025045471
0.360 0.360 -0.0013683289 0.008405507 -0.0012828168
0.370 0.370 -0.0025900602 0.010238104 -0.0025045471
0.380 0.380 -0.003200926 0.008405507 -0.0031154118
0.390 0.390 -0.0025900602 0.010238104 -0.0031154118
0.400 0.400 -0.005033523 0.010238104 -0.0025045471
0.410 0.410 -0.005033523 0.010238104 -0.0018936815
0.420 0.420 -0.0025900602 0.009627238 -0.0031154118
0.433 0.430 -0.005033523 0.010848969 -0.0012828168
0.440 0.440 -0.0038117915 0.010238104 -0.0025045471
0.450 0.450 -0.004422657 0.009627238 -0.0012828168
0.460 0.460 -0.0019791946 0.0071837753 -0.0025045471
0.470 0.470 -0.006255254 0.011459831 -6.719511E-4
0.482 0.480 -0.003200926 0.009016372 -6.719511E-4
0.490 0.490 -0.0025900602 0.011459831 -0.0037262775
0.500 0.500 -0.0038117915 0.009627238 -0.0031154118
0.510 0.510 -0.004422657 0.009016372 -0.0018936815
0.520 0.520 -0.0025900602 0.009627238 -0.0018936815
0.532 0.530 -0.0056443885 0.010848969 -0.0037262775
0.540 0.540 -0.004422657 0.009016372 -6.719511E-4
0.550 0.550 -0.0038117915 0.008405507 -0.0012828168
0.560 0.560 -0.0025900602 0.010238104 -0.0031154118
0.570 0.570 -0.0038117915 0.010238104 -0.0018936815
0.582 0.580 -0.0025900602 0.007794641 -0.0025045471
0.590 0.590 -0.0056443885 0.009016372 -0.0018936815
0.607 0.600 -0.004422657 0.009627238 -0.0037262775
0.611 0.610 -0.003200926 0.010238104 -0.0031154118
0.637 0.620 -0.003200926 0.009627238 -0.0012828168
0.637 0.630 -0.003200926 0.010848969 -0.0025045471
0.641 0.640 -0.0038117915 0.009016372 -0.0061697382
0.658 0.650 -0.0019791946 0.0071837753 -0.0031154118
0.660 0.660 -0.005033523 0.010848969 -0.0025045471
0.670 0.670 -0.0019791946 0.011459831 -0.0012828168
0.680 0.680 -0.004422657 0.011459831 -0.0025045471
0.690 0.690 -0.0025900602 0.009016372 -0.0012828168
0.700 0.700 -0.003200926 0.009016372 -0.0018936815
0.710 0.710 -0.003200926 0.009627238 -0.0037262775
0.720 0.720 -0.005033523 0.010238104 -0.0025045471
0.730 0.730 -0.003200926 0.011459831 -6.719511E-4
0.740 0.740 -0.0038117915 0.0071837753 -6.108638E-5
0.750 0.750 -0.0025900602 0.009627238 -0.0012828168
0.760 0.760 -0.0038117915 0.009016372 -0.0018936815
0.770 0.770 -0.0038117915 0.010848969 -0.0012828168
0.780 0.780 -0.004422657 0.007794641 -0.0012828168
0.790 0.790 -0.004422657 0.010238104 -0.0025045471
0.800 0.800 -0.004422657 0.010238104 -0.0025045471
0.810 0.810 -0.0056443885 0.011459831 -0.0025045471
0.820 0.820 -0.004422657 0.010848969 -0.0031154118
0.830 0.830 -0.0019791946 0.008405507 -0.0031154118
0.840 0.840 -0.0025900602 0.010238104 -0.0012828168
0.850 0.850 -0.003200926 0.009627238 -0.0031154118
0.860 0.860 -0.004422657 0.009627238 -0.0018936815
0.870 0.870 -0.004422657 0.009016372 -0.0012828168
0.880 0.880 -0.005033523 0.009627238 -0.0018936815
0.890 0.890 -0.0019791946 0.010238104 -0.0018936815
0.900 0.900 -0.005033523 0.009016372 -0.0012828168
0.910 0.910 -0.003200926 0.009627238 -0.0025045471
0.920 0.920 -1.4659762E-4 0.010238104 -0.0037262775
0.930 0.930 -0.0025900602 0.009627238 -0.0025045471
0.940 0.940 -0.0038117915 0.009627238 -0.0037262775
0.950 0.950 -0.0038117915 0.010238104 -0.0018936815
0.961 0.960 -0.005033523 0.009016372 -0.0025045471
0.971 0.970 -0.0019791946 0.010848969 -0.0018936815
0.981 0.980 -0.005033523 0.010238104 -6.719511E-4
0.991 0.990 -0.003200926 0.009627238 -0.0037262775
1.001 1.000 -0.005033523 0.008405507 -0.0037262775
1.011 1.010 -0.003200926 0.008405507 -0.0031154118
1.021 1.020 -0.004422657 0.009627238 -0.0031154118
1.031 1.030 -0.0025900602 0.011459831 -0.0025045471
1.041 1.040 -0.0038117915 0.009016372 -0.0012828168
1.051 1.050 -0.0056443885 0.010238104 -0.0012828168
1.061 1.060 -0.004422657 0.011459831 -6.108638E-5
1.071 1.070 -0.0013683289 0.010238104 -0.0018936815
1.081 1.080 -0.003200926 0.009627238 -0.0031154118
1.091 1.090 -0.0025900602 0.010848969 -0.0031154118
1.101 1.100 -0.0038117915 0.011459831 -0.0012828168
1.111 1.110 0.0017959774 0.0012522787 -9.77383E-4
1.121 1.120 5.7424605E-4 3.0551106E-5 2.4434738E-4
1.131 1.130 0.0011851117 -5.8031455E-4 2.4434738E-4
1.141 1.140 0.0011851117 -5.8031455E-4 2.4434738E-4
1.151 1.150 -3.6619604E-5 3.0551106E-5 -9.77383E-4
1.161 1.160 0.0011851117 -0.0011911802 -9.77383E-4
1.171 1.170 -0.0018692166 6.4141676E-4 2.4434738E-4
1.183 1.180 -0.0012583509 6.4141676E-4 -3.6651827E-4
1.191 1.190 0.0030177087 6.4141676E-4 -3.6651827E-4
1.201 1.200 5.7424605E-4 -0.0011911802 -0.0015882486
1.211 1.210 0.002406843 -0.0011911802 2.4434738E-4
1.221 1.220 0.0017959774 3.0551106E-5 2.4434738E-4
1.233 1.231 5.7424605E-4 3.0551106E-5 -9.77383E-4
1.241 1.240 0.0011851117 -5.8031455E-4 -9.77383E-4
1.251 1.250 -0.0012583509 0.0012522787 2.4434738E-4
