gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.083 0.070 -0.081855945 0.0421497 0.01160644 -0.07254636 0.03068987 0.013500121
0.083 0.080 -0.07391469 0.04153884 0.009773844 -0.07254636 0.03068987 0.013500121
0.120 0.090 -0.07513642 0.04153884 0.012217305 -0.07254636 0.03068987 0.013500121
0.120 0.100 -0.076358154 0.04153884 0.012217305 -0.07254636 0.03068987 0.013500121
0.120 0.110 -0.07452556 0.040927973 0.01282817 -0.07254636 0.03068987 0.013500121
0.146 0.120 -0.07696902 0.04153884 0.010995574 -0.07254636 0.03068987 0.013500121
0.146 0.130 -0.07391469 0.03970624 0.010995574 -0.07254636 0.03068987 0.013500121
0.146 0.140 -0.07696902 0.039095376 0.010995574 -0.07254636 0.03068987 0.013500121
0.164 0.150 -0.076358154 0.040317107 0.010995574 -0.07254636 0.03068987 0.013500121
0.164 0.160 -0.076358154 0.04153884 0.010995574 -0.07254636 0.03068987 0.013500121
0.223 0.170 -0.07819075 0.039095376 0.013439035 -0.07254636 0.03068987 0.013500121
0.223 0.180 -0.07513642 0.040317107 0.010995574 -0.07254636 0.03068987 0.013500121
0.223 0.190 -0.07696902 0.040927973 0.01160644 -0.07254636 0.03068987 0.013500121
0.223 0.200 -0.076358154 0.03848451 0.012217305 -0.07254636 0.03068987 0.013500121
0.223 0.210 -0.07574729 0.04153884 0.01160644 -0.07254636 0.03068987 0.013500121
0.224 0.220 -0.07391469 0.042760566 0.01160644 -0.07254636 0.03068987 0.013500121
0.230 0.230 -0.076358154 0.040927973 0.008552114 -0.07254636 0.03068987 0.013500121
0.272 0.240 -0.076358154 0.03970624 0.012217305 -0.07254636 0.03068987 0.013500121
0.272 0.250 -0.07819075 0.040317107 0.01038471 -0.07254636 0.03068987 0.013500121
0.272 0.260 -0.077579886 0.040317107 0.009162978 -0.07254636 0.03068987 0.013500121
0.272 0.270 -0.07819075 0.040927973 0.012217305 -0.07254636 0.03068987 0.013500121
0.282 0.280 -0.07452556 0.040927973 0.009773844 -0.07254636 0.03068987 0.013500121
0.321 0.290 -0.07574729 0.040927973 0.01160644 -0.07254636 0.03068987 0.013500121
0.321 0.300 -0.076358154 0.04153884 0.014049901 -0.07254636 0.03068987 0.013500121
0.321 0.310 -0.077579886 0.040317107 0.009773844 -0.07254636 0.03068987 0.013500121
0.321 0.320 -0.07574729 0.03970624 0.010995574 -0.07254636 0.03068987 0.013500121
0.331 0.330 -0.07574729 0.040317107 0.01160644 -0.07254636 0.03068987 0.013500121
0.340 0.340 -0.07513642 0.040317107 0.010995574 -0.07254636 0.03068987 0.013500121
0.356 0.350 -0.07574729 0.03970624 0.010995574 -0.07254636 0.03068987 0.013500121
0.360 0.360 -0.07391469 0.039095376 0.012217305 -0.07254636 0.03068987 0.013500121
0.370 0.370 -0.07513642 0.040927973 0.010995574 -0.07254636 0.03068987 0.013500121
0.380 0.380 -0.07574729 0.039095376 0.01038471 -0.07254636 0.03068987 0.013500121
0.390 0.390 -0.07513642 0.040927973 0.01038471 -0.07254636 0.03068987 0.013500121
0.400 0.400 -0.077579886 0.040927973 0.010995574 -0.07254636 0.03068987 0.013500121
0.410 0.410 -0.077579886 0.040927973 0.01160644 -0.07254636 0.03068987 0.013500121
0.420 0.420 -0.07513642 0.040317107 0.01038471 -0.07254636 0.03068987 0.013500121
0.433 0.430 -0.077579886 0.04153884 0.012217305 -0.07254636 0.03068987 0.013500121
0.440 0.440 -0.076358154 0.040927973 0.010995574 -0.07254636 0.03068987 0.013500121
0.450 0.450 -0.07696902 0.040317107 0.012217305 -0.07254636 0.03068987 0.013500121
0.460 0.460 -0.07452556 0.037873644 0.010995574 -0.07254636 0.03068987 0.013500121
0.470 0.470 -0.07880162 0.0421497 0.01282817 -0.07254636 0.03068987 0.013500121
0.482 0.480 -0.07574729 0.03970624 0.01282817 -0.07254636 0.03068987 0.013500121
0.490 0.490 -0.07513642 0.0421497 0.009773844 -0.07254636 0.03068987 0.013500121
0.500 0.500 -0.076358154 0.040317107 0.01038471 -0.07254636 0.03068987 0.013500121
0.510 0.510 -0.07696902 0.03970624 0.01160644 -0.07254636 0.03068987 0.013500121
0.520 0.520 -0.07513642 0.040317107 0.01160644 -0.07254636 0.03068987 0.013500121
0.532 0.530 -0.07819075 0.04153884 0.009773844 -0.07254636 0.03068987 0.013500121
0.540 0.540 -0.07696902 0.03970624 0.01282817 -0.07254636 0.03068987 0.013500121
0.550 0.550 -0.076358154 0.039095376 0.012217305 -0.07254636 0.03068987 0.013500121
0.560 0.560 -0.07513642 0.040927973 0.01038471 -0.07254636 0.03068987 0.013500121
0.570 0.570 -0.076358154 0.040927973 0.01160644 -0.07254636 0.03068987 0.013500121
0.582 0.580 -0.07513642 0.03848451 0.010995574 -0.07254636 0.03068987 0.013500121
0.590 0.590 -0.07819075 0.03970624 0.01160644 -0.07254636 0.03068987 0.013500121
0.607 0.600 -0.07696902 0.040317107 0.009773844 -0.07254636 0.03068987 0.013500121
0.611 0.610 -0.07574729 0.040927973 0.01038471 -0.07254636 0.03068987 0.013500121
0.637 0.620 -0.07574729 0.040317107 0.012217305 -0.07254636 0.03068987 0.013500121
0.637 0.630 -0.07574729 0.04153884 0.010995574 -0.07254636 0.03068987 0.013500121
0.641 0.640 -0.076358154 0.03970624 0.007330383 -0.07254636 0.03068987 0.013500121
0.658 0.650 -0.07452556 0.037873644 0.01038471 -0.07254636 0.03068987 0.013500121
0.660 0.660 -0.077579886 0.04153884 0.010995574 -0.07254636 0.03068987 0.013500121
0.670 0.670 -0.07452556 0.0421497 0.012217305 -0.07254636 0.03068987 0.013500121
0.680 0.680 -0.07696902 0.0421497 0.010995574 -0.07254636 0.03068987 0.013500121
0.690 0.690 -0.07513642 0.03970624 0.012217305 -0.07254636 0.03068987 0.013500121
0.700 0.700 -0.07574729 0.03970624 0.01160644 -0.07254636 0.03068987 0.013500121
0.710 0.710 -0.07574729 0.040317107 0.009773844 -0.07254636 0.03068987 0.013500121
0.720 0.720 -0.077579886 0.040927973 0.010995574 -0.07254636 0.03068987 0.013500121
0.730 0.730 -0.07574729 0.0421497 0.01282817 -0.07254636 0.03068987 0.013500121
0.740 0.740 -0.076358154 0.037873644 0.013439035 -0.07254636 0.03068987 0.013500121
0.750 0.750 -0.07513642 0.040317107 0.012217305 -0.07254636 0.03068987 0.013500121
0.760 0.760 -0.076358154 0.03970624 0.01160644 -0.07254636 0.03068987 0.013500121
0.770 0.770 -0.076358154 0.04153884 0.012217305 -0.07254636 0.03068987 0.013500121
0.780 0.780 -0.07696902 0.03848451 0.012217305 -0.07254636 0.03068987 0.013500121
0.790 0.790 -0.07696902 0.040927973 0.010995574 -0.07254636 0.03068987 0.013500121
0.800 0.800 -0.07696902 0.040927973 0.010995574 -0.07254636 0.03068987 0.013500121
0.810 0.810 -0.07819075 0.0421497 0.010995574 -0.07254636 0.03068987 0.013500121
0.820 0.820 -0.07696902 0.04153884 0.01038471 -0.07254636 0.03068987 0.013500121
0.830 0.830 -0.07452556 0.039095376 0.01038471 -0.07254636 0.03068987 0.013500121
0.840 0.840 -0.07513642 0.040927973 0.012217305 -0.07254636 0.03068987 0.013500121
0.850 0.850 -0.07574729 0.040317107 0.01038471 -0.07254636 0.03068987 0.013500121
0.860 0.860 -0.07696902 0.040317107 0.01160644 -0.07254636 0.03068987 0.013500121
0.870 0.870 -0.07696902 0.03970624 0.012217305 -0.07254636 0.03068987 0.013500121
0.880 0.880 -0.077579886 0.040317107 0.01160644 -0.07254636 0.03068987 0.013500121
0.890 0.890 -0.07452556 0.040927973 0.01160644 -0.07254636 0.03068987 0.013500121
0.900 0.900 -0.077579886 0.03970624 0.012217305 -0.07254636 0.03068987 0.013500121
0.910 0.910 -0.07574729 0.040317107 0.010995574 -0.07254636 0.03068987 0.013500121
0.920 0.920 -0.07269296 0.040927973 0.009773844 -0.07254636 0.03068987 0.013500121
0.930 0.930 -0.07513642 0.040317107 0.010995574 -0.07254636 0.03068987 0.013500121
0.940 0.940 -0.076358154 0.040317107 0.009773844 -0.07254636 0.03068987 0.013500121
0.950 0.950 -0.076358154 0.040927973 0.01160644 -0.07254636 0.03068987 0.013500121
0.961 0.960 -0.077579886 0.03970624 0.010995574 -0.07254636 0.03068987 0.013500121
0.971 0.970 -0.07452556 0.04153884 0.01160644 -0.07254636 0.03068987 0.013500121
0.981 0.980 -0.077579886 0.040927973 0.01282817 -0.07254636 0.03068987 0.013500121
0.991 0.990 -0.07574729 0.040317107 0.009773844 -0.07254636 0.03068987 0.013500121
1.001 1.000 -0.077579886 0.039095376 0.009773844 -0.07254636 0.03068987 0.013500121
1.011 1.010 -0.07574729 0.039095376 0.01038471 -0.07254636 0.03068987 0.013500121
1.021 1.020 -0.07696902 0.040317107 0.01038471 -0.07254636 0.03068987 0.013500121
1.031 1.030 -0.07513642 0.0421497 0.010995574 -0.07254636 0.03068987 0.013500121
1.041 1.040 -0.076358154 0.03970624 0.012217305 -0.07254636 0.03068987 0.013500121
1.051 1.050 -0.07819075 0.040927973 0.012217305 -0.07254636 0.03068987 0.013500121
1.061 1.060 -0.07696902 0.0421497 0.013439035 -0.07254636 0.03068987 0.013500121
1.071 1.070 -0.07391469 0.040927973 0.01160644 -0.07254636 0.03068987 0.013500121
1.081 1.080 -0.07574729 0.040317107 0.01038471 -0.07254636 0.03068987 0.013500121
1.091 1.090 -0.07513642 0.04153884 0.01038471 -0.07254636 0.03068987 0.013500121
1.101 1.100 -0.076358154 0.0421497 0.012217305 -0.07254636 0.03068987 0.013500121
1.111 1.110 -0.07513642 0.0421497 0.01038471 -0.0769324 0.04089742 0.011362093
1.121 1.120 -0.076358154 0.040927973 0.01160644 -0.0769324 0.04089742 0.011362093
1.132 1.130 -0.07574729 0.040317107 0.01160644 -0.0769324 0.04089742 0.011362093
1.141 1.140 -0.07574729 0.040317107 0.01160644 -0.0769324 0.04089742 0.011362093
1.151 1.150 -0.07696902 0.040927973 0.01038471 -0.0769324 0.04089742 0.011362093
1.161 1.160 -0.07574729 0.03970624 0.01038471 -0.0769324 0.04089742 0.011362093
1.171 1.170 -0.07880162 0.04153884 0.01160644 -0.0769324 0.04089742 0.011362093
1.183 1.180 -0.07819075 0.04153884 0.010995574 -0.0769324 0.04089742 0.011362093
1.191 1.190 -0.07391469 0.04153884 0.010995574 -0.0769324 0.04089742 0.011362093
1.201 1.200 -0.076358154 0.03970624 0.009773844 -0.0769324 0.04089742 0.011362093
1.212 1.210 -0.07452556 0.03970624 0.01160644 -0.0769324 0.04089742 0.011362093
1.222 1.220 -0.07513642 0.040927973 0.01160644 -0.0769324 0.04089742 0.011362093
1.234 1.231 -0.076358154 0.040927973 0.01038471 -0.0769324 0.04089742 0.011362093
1.241 1.240 -0.07574729 0.040317107 0.01038471 -0.0769324 0.04089742 0.011362093
1.251 1.250 -0.07819075 0.0421497 0.01160644 -0.0769324 0.04089742 0.011362093
1.261 1.260 -0.076358154 0.039095376 0.010995574 -0.0769324 0.04089742 0.011362093
1.271 1.270 -0.07574729 0.03970624 0.009773844 -0.0769324 0.04089742 0.011362093
1.281 1.280 -0.076358154 0.042760566 0.012217305 -0.0769324 0.04089742 0.011362093
1.291 1.290 -0.07574729 0.042760566 0.009773844 -0.0769324 0.04089742 0.011362093
1.301 1.300 -0.077579886 0.037873644 0.012217305 -0.0769324 0.04089742 0.011362093
1.311 1.310 -0.07574729 0.03970624 0.010995574 -0.0769324 0.04089742 0.011362093
1.321 1.320 -0.07574729 0.04153884 0.010995574 -0.0769324 0.04089742 0.011362093
1.331 1.330 -0.07513642 0.040927973 0.01160644 -0.0769324 0.04089742 0.011362093
