linear-acceleration.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.087 0.084 1.6584992E-5 4.87566E-5 -0.0028867722
0.121 0.094 -5.365163E-4 -3.9181113E-4 0.0064458847
0.121 0.103 -0.0030679777 -0.002411738 -0.0019187927
0.121 0.113 0.00531175 0.0011795908 0.002869606
0.146 0.123 -7.776171E-5 -1.9825995E-4 0.005015373
0.146 0.133 -7.776171E-5 -1.9825995E-4 0.0038175583
0.146 0.143 -0.0036690682 -0.008577973 0.008605957
0.165 0.153 0.0060089007 -0.0036055446 0.00507164
0.165 0.163 0.004672751 -0.004427269 2.965927E-4
0.224 0.173 -0.0028829947 0.0021116585 0.013484001
0.224 0.183 4.4929236E-4 -0.009603739 0.0027217865
0.224 0.193 0.003842324 -0.0055778176 0.0111198425
0.224 0.203 1.311861E-4 -8.34465E-7 0.001326561
0.224 0.213 4.2892247E-4 -5.043596E-4 0.009635925
0.224 0.223 1.9317865E-4 -3.0343235E-4 -0.0020980835
0.272 0.233 -1.2643635E-5 0.0036639273 0.0015087128
0.272 0.243 -0.0063129365 -7.494837E-4 0.0051136017
0.272 0.253 -3.2697618E-4 4.608184E-4 -0.0079135895
0.272 0.263 -3.5996735E-4 -8.684397E-5 0.0064783096
0.277 0.273 -0.005345501 -0.0031244606 -0.0018815994
0.321 0.283 -1.2857094E-4 -3.2572448E-4 -0.0022268295
0.321 0.293 1.1218339E-4 6.702542E-5 0.0016336441
0.321 0.304 0.003570065 0.004031256 0.010030746
0.321 0.313 9.1420114E-4 -0.002655223 -0.0019226074
0.324 0.323 -8.46386E-6 -4.284084E-5 0.0025529861
0.334 0.334 9.326562E-4 -0.009304121 -0.0058135986
0.344 0.343 -8.7469816E-5 -4.018396E-4 0.0065774918
0.356 0.353 2.9321015E-4 4.4359267E-4 -0.010446548
0.364 0.363 -2.1690875E-4 -2.5980175E-4 -6.1130524E-4
0.374 0.373 5.9105456E-5 6.958842E-5 0.006091118
0.384 0.383 1.6249716E-5 4.6938658E-5 -0.0018577576
0.394 0.393 -1.2139231E-4 -2.5434792E-4 0.0074424744
0.404 0.403 0.004467964 0.0026348382 0.009854317
0.414 0.413 0.0042702556 -4.618019E-4 -0.0068883896
0.424 0.423 0.0052069277 -0.001402989 -0.0032835007
0.434 0.433 0.0062684044 -0.0033025295 -8.7070465E-4
0.444 0.443 2.8409064E-4 -8.4742904E-5 -0.009100914
0.453 0.453 0.002422452 0.008729532 -0.0019016266
0.466 0.463 0.0067121945 -6.51598E-4 -0.010271072
0.474 0.473 -0.0029392615 0.003553629 -6.7329407E-4
0.484 0.483 -0.0020572916 0.0026706457 -0.0018568039
0.494 0.493 0.007436715 5.32791E-4 -0.0030403137
0.504 0.503 2.2192672E-4 2.438277E-4 -0.0032682419
0.516 0.513 -0.0060809515 -5.185455E-4 0.005126953
0.524 0.523 -3.926009E-4 -3.4676492E-4 0.006500244
0.534 0.533 0.003057599 0.0049981475 -0.0030546188
0.544 0.543 7.080659E-5 2.1451712E-4 -0.009152412
0.554 0.553 -4.2013824E-5 1.2025237E-5 -0.0017642975
