location-gps.txt

This provider determines location using satellites. Depending on conditions, this provider may take a while to return a location fix..
http://developer.android.com/reference/android/location/LocationManager.html

elapsed-time-system elapsed-time-sensor latitude longitude altitude bearing accuracy speed
10.978 10.911 46.56293488573283 6.64879884570837 817.0 0.0 16.0 0.78
11.546 11.490 46.562860454432666 6.648819716647267 800.0 338.0 21.0 0.85999995
12.561 12.490 46.56286464538425 6.648784009739757 799.0 334.7 18.0 1.09
13.556 13.490 46.56288073863834 6.648745536804199 800.0 319.4 17.5 0.69
14.570 14.490 46.562884049490094 6.648728353902698 803.0 300.2 15.0 0.51
15.564 15.490 46.56288886908442 6.648709997534752 804.0 316.2 15.0 0.17999999
16.558 16.490 46.56289976555854 6.648704716935754 801.0 314.4 14.5 0.34
17.572 17.490 46.56290106475353 6.648706309497356 802.0 312.6 13.5 0.34
18.570 18.490 46.56289025209844 6.648701364174485 804.0 0.0 15.5 0.0
19.572 19.490 46.562867956236005 6.648673536255956 804.0 292.1 13.5 0.52
20.549 20.490 46.56285777222365 6.6486565209925175 807.0 245.0 13.0 0.97999996
21.556 21.490 46.56285835895687 6.648658700287342 810.0 246.1 13.0 0.14999999
22.566 22.490 46.56286611221731 6.648657778277993 813.0 246.2 13.5 0.17999999
23.566 23.490 46.56286535784602 6.648656772449613 817.0 243.3 13.5 0.25
24.576 24.490 46.56286347191781 6.648657945916057 822.0 0.0 12.5 0.0
25.568 25.490 46.5628571016714 6.64866590872407 823.0 211.6 13.5 0.83
26.565 26.490 46.56286498066038 6.6486726980656385 822.0 207.9 13.0 0.26
27.566 27.490 46.5628734882921 6.648682923987508 821.0 171.5 12.0 0.65
28.563 28.490 46.56286933925003 6.6486880369484425 823.0 164.8 14.0 0.44
29.589 29.490 46.56287076417357 6.6486897971481085 822.0 158.1 11.5 0.32999998
