rotation-vector.txt

Estimated-heading-accuracy is in radians. The rotation vector represents the orientation of the device as a combination of an angle and an axis, in which the device has rotated through an angle θ around an axis <x, y, z>. The reference coordinate system is defined as a direct orthonormal basis, where: X is defined as the vector product Y.Z (It is tangential to the ground at the device's current location and roughly points East). Y is tangential to the ground at the device's current location and points towards magnetic north. Z points towards the sky and is perpendicular to the ground.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x*sin(θ/2) y*sin(θ/2) z*sin(θ/2) cos(θ/2) estimated-heading-accuracy
0.120 0.094 -0.011577435 0.0033912405 -3.2784155E-5 0.9999272 0.0
0.121 0.103 -0.011596497 0.003445364 -3.975552E-5 0.9999268 0.0
0.121 0.113 -0.011596498 0.0034453645 -3.9755523E-5 0.9999269 0.0
0.146 0.123 -0.0011090413 0.011506461 -0.9288343 0.37031493 0.0
0.146 0.133 -0.0011090413 0.011506461 -0.9288343 0.37031493 0.0
0.146 0.143 -0.0011090413 0.011506461 -0.9288343 0.37031493 0.0
0.164 0.153 -8.893737E-4 0.011647246 -0.9310693 0.36465535 0.0
0.164 0.163 -8.459678E-4 0.011684757 -0.9310737 0.36464304 0.0
0.224 0.173 -8.1915496E-4 0.011726218 -0.9310106 0.36480296 0.0
0.224 0.183 -7.7922153E-4 0.011755818 -0.9310151 0.36479074 0.0
0.224 0.193 -7.432954E-4 0.011794821 -0.93090916 0.36505967 0.0
0.224 0.203 -0.0016403566 0.01122385 -0.93092096 0.36504474 0.0
0.224 0.213 -9.232645E-4 0.011145335 -0.9313773 0.36388364 0.0
0.224 0.223 -0.001403744 0.011628342 -0.93086994 0.36516297 0.0
0.272 0.233 -0.0013508223 0.011666152 -0.9312719 0.36413556 0.0
0.272 0.243 -0.0013158052 0.011700355 -0.9312741 0.36412904 0.0
0.272 0.253 -0.0019297029 0.01192062 -0.93117034 0.36438438 0.0
0.272 0.263 -0.0013142504 0.012061375 -0.9316577 0.3631349 0.0
0.277 0.273 -0.0012897952 0.012104846 -0.9312727 0.3641195 0.0
0.321 0.283 -0.0012373835 0.011360844 -0.9312882 0.36410394 0.0
0.321 0.293 -8.836659E-4 0.011981548 -0.931085 0.36460456 0.0
0.321 0.304 -8.4371696E-4 0.01201878 -0.9309747 0.36488482 0.0
0.321 0.313 -8.0831005E-4 0.012059759 -0.9309813 0.36486688 0.0
0.324 0.323 -9.174159E-4 0.011373202 -0.9309942 0.36485553 0.0
0.334 0.334 -9.0212096E-4 0.011403858 -0.9302398 0.36677405 0.0
0.344 0.343 -0.0010464261 0.012294255 -0.93023515 0.36675677 0.0
0.356 0.353 -0.0013090383 0.011709165 -0.9305639 0.36593994 0.0
0.363 0.363 -0.0010990269 0.012277352 -0.9306225 0.36577302 0.0
0.373 0.373 -0.0011342381 0.011232567 -0.9305763 0.36592406 0.0
0.384 0.383 -8.6697034E-4 0.0121920435 -0.93030226 0.36659008 0.0
0.393 0.393 -0.0010265212 0.011586779 -0.9304054 0.3663477 0.0
0.404 0.403 -9.911046E-4 0.0116286855 -0.9303202 0.36656255 0.0
0.414 0.413 -9.528239E-4 0.0116708465 -0.9303234 0.36655313 0.0
0.423 0.423 -9.1298437E-4 0.011700514 -0.930329 0.36653808 0.0
0.434 0.433 -8.7179296E-4 0.011743832 -0.9303311 0.36653146 0.0
0.444 0.443 -0.0012504086 0.012034025 -0.93027073 0.36667418 0.0
