accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.055 0.020 -0.36750996 2.6970682 8.804677
0.076 0.042 -0.33159694 2.7126305 8.773552
0.076 0.058 -0.2657564 2.6659436 8.743625
0.093 0.071 -0.14604631 2.6252422 8.842984
0.099 0.082 0.0011971008 2.6743233 9.064447
0.157 0.093 0.089782566 2.670732 9.372103
0.157 0.103 0.09816227 2.670732 9.593566
0.157 0.113 0.076614454 2.7114334 9.714474
0.157 0.123 -0.023942016 2.7485435 9.791088
0.157 0.133 -0.18076223 2.6491842 9.763555
0.157 0.144 -0.36631286 2.598906 9.664195
0.164 0.154 -0.47524905 2.6120741 9.504981
0.208 0.164 -0.6655881 2.5629928 9.155427
0.208 0.174 -0.9600749 2.4875755 9.269152
0.208 0.184 -1.13964 2.6647465 9.65821
0.208 0.194 -0.7290344 2.670732 9.751583
0.217 0.204 -0.055066638 2.542642 9.173384
0.249 0.214 -0.39384618 2.5462334 8.919599
0.249 0.224 -0.89543146 2.5558102 9.197326
0.249 0.234 -0.89303726 2.6647465 9.2787285
0.254 0.244 -0.92296475 2.6898856 9.235633
0.266 0.254 -1.009156 2.6431987 9.424775
0.274 0.264 -0.90620536 2.6563668 9.403227
0.290 0.274 -0.70509243 2.6970682 9.285912
0.294 0.284 -0.6823475 2.6839 9.208099
0.304 0.294 -0.78410107 2.64679 8.9124155
0.316 0.304 -0.9780314 2.6635494 8.583213
0.324 0.314 -1.2378023 2.7006595 8.470686
0.334 0.324 -1.447295 2.755726 8.413225
0.344 0.334 -1.3275849 2.7485435 8.422802
0.354 0.344 -1.1528081 2.72939 8.516175
0.366 0.354 -1.0654198 2.707842 8.619126
0.374 0.364 -1.0522517 2.5821466 8.815451
0.384 0.374 -1.1049241 2.505532 9.358934
0.394 0.384 -1.0666169 2.5115175 10.101137
0.404 0.394 -0.7589619 2.5737667 10.308235
