gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.093 0.077 -0.15699236 0.4709771 0.044593163 -0.08212473 0.045863762 0.009443976
0.093 0.087 -0.31764993 0.25289822 -0.09040806 -0.08212473 0.045863762 0.009443976
0.099 0.097 -0.45753807 0.17531833 -0.16615535 -0.08212473 0.045863762 0.009443976
0.157 0.107 -0.5693264 0.30604348 -0.17715092 -0.08212473 0.045863762 0.009443976
0.157 0.117 -0.5491679 0.4813618 -0.14172074 -0.08212473 0.045863762 0.009443976
0.157 0.127 -0.45265114 0.6646214 -0.08368854 -0.08212473 0.045863762 0.009443976
0.157 0.137 -0.30543262 0.83016586 -0.0036651916 -0.08212473 0.045863762 0.009443976
0.157 0.147 -0.17287487 0.93034774 0.069027774 -0.08212473 0.045863762 0.009443976
0.157 0.157 -0.09040806 0.9663888 0.12217305 -0.08212473 0.045863762 0.009443976
0.208 0.167 -0.047647487 0.8894198 0.13439035 -0.08212473 0.045863762 0.009443976
0.208 0.177 -0.029932396 0.7483099 0.08735373 -0.08212473 0.045863762 0.009443976
0.208 0.187 -0.05131268 0.6133087 -0.0030543262 -0.08212473 0.045863762 0.009443976
0.208 0.197 -0.118507855 0.5345071 -0.119729586 -0.08212473 0.045863762 0.009443976
0.208 0.207 -0.20891592 0.5589417 -0.21746802 -0.08212473 0.045863762 0.009443976
0.217 0.217 -0.2828306 0.43310347 -0.20586158 -0.08212473 0.045863762 0.009443976
0.249 0.227 -0.27855456 0.22235495 -0.1459968 -0.08212473 0.045863762 0.009443976
0.249 0.237 -0.27916542 0.08307768 -0.08002335 -0.08212473 0.045863762 0.009443976
0.249 0.247 -0.2846632 -0.007330383 -0.012217305 -0.08212473 0.045863762 0.009443976
0.257 0.257 -0.26939157 -0.043982297 0.029932396 -0.08212473 0.045863762 0.009443976
0.268 0.267 -0.2125811 0.028710667 0.037873644 -0.08212473 0.045863762 0.009443976
