magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.052 0.047 -29.000002 -238.79999 -79.5 -42.4 -221.9 -37.4
0.076 0.057 -29.000002 -238.79999 -79.5 -42.4 -221.9 -37.4
0.076 0.067 -29.000002 -238.79999 -79.5 -42.4 -221.9 -37.4
0.093 0.077 -29.000002 -238.79999 -79.5 -42.4 -221.9 -37.4
0.093 0.087 -29.300001 -233.59999 -71.7 -42.4 -221.9 -37.4
0.099 0.097 -29.300001 -233.59999 -71.7 -42.4 -221.9 -37.4
0.158 0.107 -29.600002 -233.5 -70.9 -42.4 -221.9 -37.4
0.158 0.117 -29.600002 -233.5 -70.9 -42.4 -221.9 -37.4
0.158 0.127 -29.600002 -233.4 -70.9 -42.4 -221.9 -37.4
0.158 0.137 -29.600002 -233.4 -70.9 -42.4 -221.9 -37.4
0.158 0.147 -29.600002 -233.4 -70.8 -42.4 -221.9 -37.4
0.160 0.157 -29.600002 -233.4 -70.8 -42.4 -221.9 -37.4
0.208 0.167 -29.400002 -233.4 -70.600006 -42.4 -221.9 -37.4
0.208 0.177 -29.400002 -233.4 -70.600006 -42.4 -221.9 -37.4
0.208 0.187 -29.2 -233.4 -70.8 -42.4 -221.9 -37.4
0.208 0.197 -29.2 -233.4 -70.8 -42.4 -221.9 -37.4
0.208 0.207 -28.900002 -233.29999 -70.7 -42.4 -221.9 -37.4
0.249 0.217 -28.900002 -233.29999 -70.7 -42.4 -221.9 -37.4
0.249 0.227 -28.7 -233.2 -70.5 -42.4 -221.9 -37.4
0.249 0.237 -28.7 -233.2 -70.5 -42.4 -221.9 -37.4
0.249 0.247 -28.500002 -233.09999 -70.5 -42.4 -221.9 -37.4
0.258 0.257 -28.500002 -233.09999 -70.5 -42.4 -221.9 -37.4
0.268 0.267 -28.400002 -233.0 -70.5 -42.4 -221.9 -37.4
0.278 0.278 -28.400002 -233.0 -70.5 -42.4 -221.9 -37.4
0.290 0.288 -28.2 -233.0 -70.3 -42.4 -221.9 -37.4
0.299 0.298 -28.2 -233.0 -70.3 -42.4 -221.9 -37.4
0.308 0.307 -28.100002 -232.9 -70.3 -42.4 -221.9 -37.4
0.318 0.317 -28.100002 -232.9 -70.3 -42.4 -221.9 -37.4
0.328 0.327 -28.000002 -232.9 -70.3 -42.4 -221.9 -37.4
0.338 0.337 -28.000002 -232.9 -70.3 -42.4 -221.9 -37.4
0.349 0.347 -27.900002 -232.9 -70.4 -42.4 -221.9 -37.4
0.358 0.357 -27.900002 -232.9 -70.4 -42.4 -221.9 -37.4
0.368 0.367 -27.900002 -232.9 -70.5 -42.4 -221.9 -37.4
0.378 0.377 -27.900002 -232.9 -70.5 -42.4 -221.9 -37.4
0.388 0.387 -27.900002 -232.7 -70.5 -42.4 -221.9 -37.4
0.399 0.397 -27.900002 -232.7 -70.5 -42.4 -221.9 -37.4
0.408 0.407 -27.900002 -232.59999 -70.600006 -42.4 -221.9 -37.4
0.418 0.417 -27.900002 -232.59999 -70.600006 -42.4 -221.9 -37.4
0.428 0.427 -27.900002 -232.5 -70.600006 -42.4 -221.9 -37.4
0.438 0.437 -27.900002 -232.5 -70.600006 -42.4 -221.9 -37.4
0.449 0.447 -27.900002 -232.4 -70.8 -42.4 -221.9 -37.4
0.458 0.457 -27.900002 -232.4 -70.8 -42.4 -221.9 -37.4
0.468 0.467 -27.900002 -232.29999 -70.8 -42.4 -221.9 -37.4
0.478 0.477 -27.900002 -232.29999 -70.8 -42.4 -221.9 -37.4
0.488 0.487 -27.900002 -232.2 -70.8 -42.4 -221.9 -37.4
0.499 0.497 -27.900002 -232.2 -70.8 -42.4 -221.9 -37.4
0.508 0.507 -27.900002 -232.09999 -70.8 -42.4 -221.9 -37.4
0.518 0.517 -27.900002 -232.09999 -70.8 -42.4 -221.9 -37.4
0.528 0.527 -28.000002 -232.0 -70.9 -42.4 -221.9 -37.4
0.539 0.537 -28.000002 -232.0 -70.9 -42.4 -221.9 -37.4
0.569 0.547 -28.000002 -231.9 -70.9 -42.4 -221.9 -37.4
0.569 0.557 -28.000002 -231.9 -70.9 -42.4 -221.9 -37.4
0.569 0.567 -28.000002 -231.9 -70.9 -42.4 -221.9 -37.4
0.586 0.577 -28.000002 -231.9 -70.9 -42.4 -221.9 -37.4
0.588 0.587 -28.000002 -231.79999 -71.0 -42.4 -221.9 -37.4
0.598 0.597 -28.000002 -231.79999 -71.0 -42.4 -221.9 -37.4
0.608 0.607 -28.000002 -231.79999 -71.0 -42.4 -221.9 -37.4
0.618 0.617 -28.000002 -231.79999 -71.0 -42.4 -221.9 -37.4
0.628 0.627 -28.000002 -231.79999 -71.0 -42.4 -221.9 -37.4
0.638 0.637 -28.000002 -231.79999 -71.0 -42.4 -221.9 -37.4
0.648 0.647 -28.000002 -231.79999 -71.0 -42.4 -221.9 -37.4
0.658 0.657 -28.000002 -231.79999 -71.0 -42.4 -221.9 -37.4
0.668 0.667 -28.000002 -231.7 -71.0 -42.4 -221.9 -37.4
0.678 0.677 -28.000002 -231.7 -71.0 -42.4 -221.9 -37.4
0.688 0.687 -27.900002 -231.7 -71.0 -42.4 -221.9 -37.4
0.698 0.697 -27.900002 -231.7 -71.0 -42.4 -221.9 -37.4
0.708 0.707 -27.900002 -231.7 -71.0 -42.4 -221.9 -37.4
0.718 0.717 -27.900002 -231.7 -71.0 -42.4 -221.9 -37.4
0.728 0.727 -27.800001 -231.59999 -71.0 -42.4 -221.9 -37.4
0.738 0.737 -27.800001 -231.59999 -71.0 -42.4 -221.9 -37.4
0.748 0.747 -27.800001 -231.5 -71.0 -42.4 -221.9 -37.4
0.758 0.757 -27.800001 -231.5 -71.0 -42.4 -221.9 -37.4
0.768 0.767 -27.800001 -231.4 -71.100006 -42.4 -221.9 -37.4
0.778 0.777 -27.800001 -231.4 -71.100006 -42.4 -221.9 -37.4
0.788 0.787 -27.7 -231.29999 -71.100006 -42.4 -221.9 -37.4
0.798 0.797 -27.7 -231.29999 -71.100006 -42.4 -221.9 -37.4
0.808 0.807 -27.7 -231.2 -71.2 -42.4 -221.9 -37.4
0.818 0.817 -27.7 -231.2 -71.2 -42.4 -221.9 -37.4
0.828 0.827 -27.800001 -231.2 -71.3 -42.4 -221.9 -37.4
0.838 0.837 -27.800001 -231.2 -71.3 -42.4 -221.9 -37.4
0.848 0.847 -27.800001 -231.09999 -71.3 -42.4 -221.9 -37.4
0.858 0.857 -27.800001 -231.09999 -71.3 -42.4 -221.9 -37.4
0.868 0.867 -27.800001 -231.2 -71.3 -42.4 -221.9 -37.4
0.878 0.877 -27.800001 -231.2 -71.3 -42.4 -221.9 -37.4
0.888 0.887 -27.800001 -231.09999 -71.4 -42.4 -221.9 -37.4
0.899 0.898 -27.800001 -231.09999 -71.4 -42.4 -221.9 -37.4
0.909 0.908 -27.800001 -231.09999 -71.4 -42.4 -221.9 -37.4
0.919 0.918 -27.800001 -231.09999 -71.4 -42.4 -221.9 -37.4
0.929 0.928 -27.900002 -231.09999 -71.5 -42.4 -221.9 -37.4
0.938 0.938 -27.900002 -231.09999 -71.5 -42.4 -221.9 -37.4
0.949 0.948 -27.900002 -231.0 -71.5 -42.4 -221.9 -37.4
0.958 0.957 -27.900002 -231.0 -71.5 -42.4 -221.9 -37.4
0.969 0.967 -27.900002 -230.9 -71.5 -42.4 -221.9 -37.4
0.979 0.977 -27.900002 -230.9 -71.5 -42.4 -221.9 -37.4
0.988 0.987 -27.800001 -230.9 -71.600006 -42.4 -221.9 -37.4
0.998 0.998 -27.800001 -230.9 -71.600006 -42.4 -221.9 -37.4
1.009 1.008 -27.800001 -230.79999 -71.600006 -42.4 -221.9 -37.4
1.018 1.017 -27.800001 -230.79999 -71.600006 -42.4 -221.9 -37.4
1.028 1.027 -27.800001 -230.79999 -71.600006 -42.4 -221.9 -37.4
1.038 1.038 -27.800001 -230.79999 -71.600006 -42.4 -221.9 -37.4
