gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.091 0.074 -0.051831968 0.0012278482 -0.00527176
0.091 0.084 -0.0371712 0.019553803 -0.004660895
0.109 0.094 -0.0212887 0.005503904 -0.0022174343
0.109 0.104 -0.012125723 -0.03725666 -0.004660895
0.115 0.114 -0.012736589 -0.07146512 -0.008326086
0.171 0.124 -0.015180051 -0.08612588 -0.011991277
0.171 0.134 -0.015790917 -0.066578194 -0.01809993
0.171 0.144 -0.01395832 -0.024428494 -0.02726291
0.171 0.154 -0.0066279396 0.017110344 -0.03214983
0.171 0.164 0.01291975 0.047042742 -0.031538963
0.174 0.174 0.031856574 0.061703503 -0.023597717
0.215 0.184 0.03735436 0.07208822 -0.019321661
0.215 0.194 0.030023977 0.06964476 -0.021154257
0.215 0.204 0.0116980225 0.040934086 -0.022986852
0.215 0.214 -0.01823438 0.011001691 -0.022375986
0.224 0.224 -0.03411687 -0.009767728 -0.025430314
0.261 0.234 -0.03289514 -0.03908926 -0.025430314
0.261 0.244 -0.023121297 -0.051917426 -0.022986852
0.261 0.254 -0.012125723 -0.051306564 -0.018710796
0.264 0.264 -0.009071402 -0.039700124 -0.011991277
0.274 0.274 -0.0072388053 -0.029315416 -0.010158682
0.284 0.284 -0.008460537 -0.014043784 -0.0034391647
0.300 0.294 -0.008460537 -0.0036590751 2.260264E-4
0.304 0.304 -0.010293126 0.0067256354 2.260264E-4
0.314 0.314 -0.0047953427 -6.047487E-4 -0.002828299
0.324 0.324 0.0019241795 -0.010989457 -0.008326086
0.334 0.334 0.003756769 -0.0067134015 -0.0058826255
0.345 0.344 -0.0017410144 0.0048930384 -0.010158682
0.354 0.354 0.008032829 0.0024495795 -0.013823873
0.364 0.364 0.022693593 0.0036713071 -0.007104356
0.374 0.374 0.01658494 0.0061147697 -9.95703E-4
0.384 0.384 -0.0054062083 0.004282173 -0.0034391647
0.395 0.394 -0.03594947 0.0067256354 -0.004660895
0.404 0.404 -0.046334177 0.00977996 -0.00527176
0.414 0.414 -0.03594947 0.023829862 -0.0022174343
0.424 0.424 -0.009071402 0.020775534 -0.0016065687
0.434 0.434 0.02452619 0.008558229 0.0020586234
0.445 0.444 0.02452619 0.0067256354 0.0038912185
0.454 0.454 0.007421963 0.008558229 0.006945545
0.464 0.464 -0.007849671 0.011612557 0.0014477577
0.474 0.474 -0.01395832 0.0018387139 -3.8483832E-4
0.484 0.484 -0.00968226 -0.008545997 0.0020586234
0.495 0.494 -0.004184477 -0.014043784 0.008167274
0.504 0.504 0.0049785003 -0.01709811 0.006334679
0.514 0.514 0.007421963 -0.008545997 0.0020586234
0.524 0.524 0.007421963 6.169826E-4 2.260264E-4
0.534 0.534 0.0031459033 0.0024495795 -9.95703E-4
0.553 0.544 -0.009071402 -0.0067134015 -0.0016065687
0.554 0.554 -0.00968226 -0.009156862 0.006334679
0.582 0.564 -0.0017410144 -0.01954157 0.009999871
0.582 0.574 0.008032829 -0.023817629 0.009389006
0.584 0.584 0.008643694 -0.00549167 0.009389006
0.600 0.594 0.008643694 0.005503904 0.013054198
0.604 0.604 -0.0029627457 0.0067256354 0.014886793
0.614 0.614 -0.01395832 -6.047487E-4 0.011221601
0.624 0.624 -0.02556476 -0.0030482095 0.006945545
0.634 0.634 -0.022510432 -0.012822052 0.006334679
0.644 0.644 -0.021899566 -0.014043784 0.006334679
0.654 0.654 -0.010293126 -0.016487245 0.008167274
0.664 0.664 -0.012736589 -0.023817629 0.0057238135
0.674 0.674 -0.021899566 -0.028093684 0.0075564105
0.684 0.684 -0.018845245 -0.03542407 0.006945545
0.694 0.694 -0.015790917 -0.02870455 0.0057238135
0.704 0.704 -0.015180051 -0.011600323 0.006945545
0.714 0.714 -0.013347454 0.005503904 0.008167274
0.724 0.724 -0.0035736114 0.0030604415 0.014886793
0.734 0.734 0.012308884 -0.01954157 0.01916285
0.744 0.744 0.027580515 -0.04703051 0.016108522
0.754 0.754 0.023915324 -0.063523866 0.00877814
0.764 0.764 0.0043676347 -0.09223454 0.017330253
0.774 0.774 -0.011514857 -0.09162367 0.024660638
0.784 0.784 -0.023121297 -0.06841079 0.02954756
0.794 0.794 -0.03839293 -0.051917426 0.039932266
0.804 0.804 -0.04144726 -0.030537145 0.04481919
0.814 0.814 -0.04572331 0.0030604415 0.04237573
0.824 0.824 -0.04266899 0.0018387139 0.018551985
0.834 0.834 -0.035338603 -0.012211189 0.013054198
0.844 0.844 -0.026786491 -0.030537145 0.01916285
0.854 0.854 -0.02556476 -0.0488631 0.010610737
0.864 0.864 -0.01823438 -0.05436089 0.006334679
0.874 0.874 0.005589366 -0.026261088 0.0032803528
0.884 0.884 0.012308884 -0.026261088 -0.0016065687
0.894 0.894 0.007421963 -0.032980606 -0.008326086
0.904 0.904 -0.006017074 -0.038478393 -0.0058826255
0.914 0.914 -0.026175626 -0.037867527 0.0014477577
0.924 0.924 -0.040836394 -0.02992628 -0.0022174343
0.934 0.934 -0.04327985 -0.025650224 -9.95703E-4
0.944 0.944 -0.02984082 -0.025650224 -3.8483832E-4
0.954 0.954 -0.009071402 -0.026871953 -0.006493491
0.964 0.964 9.158254E-5 -0.032980606 -0.010158682
0.975 0.974 0.007421963 -0.037867527 -0.013213009
0.985 0.984 0.0068110973 -0.029315416 -0.013213009
0.994 0.994 0.015974075 -0.016487245 -0.0168782
1.004 1.004 0.017806672 0.007947367 -0.015045604
1.014 1.014 0.015974075 0.030549377 -0.017489064
1.024 1.024 0.025137056 0.042155817 -0.014434739
1.035 1.034 0.028802246 0.047042742 -0.014434739
1.044 1.044 0.02452619 0.037879765 -0.016267335
1.054 1.054 0.017195806 0.019553803 -0.015045604
1.065 1.064 0.00925456 0.010390826 -0.016267335
1.077 1.076 0.007421963 6.169826E-4 -0.019932527
1.094 1.094 0.013530616 -0.01709811 -0.010158682
1.104 1.104 0.015363213 -0.021985032 -0.002828299
1.114 1.114 0.0049785003 -0.011600323 -0.004660895
1.128 1.124 -0.00235188 -0.008545997 -0.011380413
1.135 1.134 -0.0011301488 -0.011600323 -0.008936952
1.145 1.144 -0.0072388053 -0.009767728 -0.008326086
1.154 1.154 -0.015180051 -0.004269939 -0.010158682
1.164 1.164 -0.012736589 -0.0030482095 -0.011991277
1.174 1.174 -0.00235188 -0.0024373438 -0.0058826255
1.185 1.184 0.0098654255 0.0012278482 -0.002828299
1.195 1.194 0.014141481 -0.00182648 -0.00527176
1.204 1.204 0.008643694 -0.0036590751 -0.004660895
1.215 1.214 7.024482E-4 -0.014654649 -0.008326086
1.224 1.224 -0.0072388053 -0.015265515 -0.013213009
1.234 1.234 -0.008460537 -0.026261088 -0.015045604
1.244 1.244 -0.0017410144 -0.028093684 -0.011991277
1.254 1.254 0.0049785003 -0.026871953 -0.009547817
1.264 1.264 -0.010293126 -0.004269939 -0.0016065687
1.276 1.274 -0.024343029 0.012834288 2.260264E-4
1.284 1.284 -0.010293126 0.026884187 -0.006493491
1.294 1.294 0.007421963 0.026273321 -0.0040500294
1.304 1.304 -0.0066279396 0.007947367 -0.006493491
1.314 1.314 -0.033506006 -0.018930705 -0.012602143
1.324 1.324 -0.01945611 -0.06841079 -0.037036754
