gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.091 0.074 -0.12644911 0.03481932 0.01038471 -0.07461714 0.03359147 0.01565647
0.109 0.094 -0.09590584 0.039095376 0.013439035 -0.07461714 0.03359147 0.01565647
0.115 0.114 -0.08735373 -0.037873644 0.007330383 -0.07461714 0.03359147 0.01565647
0.171 0.134 -0.09040806 -0.032986723 -0.002443461 -0.07461714 0.03359147 0.01565647
0.171 0.154 -0.08124508 0.050701816 -0.016493361 -0.07461714 0.03359147 0.01565647
0.174 0.174 -0.042760566 0.095294975 -0.007941248 -0.07461714 0.03359147 0.01565647
0.216 0.194 -0.044593163 0.10323623 -0.005497787 -0.07461714 0.03359147 0.01565647
0.216 0.214 -0.09285152 0.044593163 -0.0067195175 -0.07461714 0.03359147 0.01565647
0.261 0.234 -0.10751228 -0.005497787 -0.009773844 -0.07461714 0.03359147 0.01565647
0.261 0.254 -0.08674286 -0.017715093 -0.0030543262 -0.07461714 0.03359147 0.01565647
0.274 0.274 -0.081855945 0.004276057 0.005497787 -0.07461714 0.03359147 0.01565647
0.300 0.294 -0.08307768 0.029932396 0.015882496 -0.07461714 0.03359147 0.01565647
0.314 0.314 -0.07941248 0.032986723 0.01282817 -0.07461714 0.03359147 0.01565647
0.334 0.334 -0.07086037 0.02687807 0.009773844 -0.07461714 0.03359147 0.01565647
0.354 0.354 -0.06658431 0.03604105 0.0018325958 -0.07461714 0.03359147 0.01565647
0.374 0.374 -0.0580322 0.03970624 0.014660766 -0.07461714 0.03359147 0.01565647
0.395 0.394 -0.11056661 0.040317107 0.010995574 -0.07461714 0.03359147 0.01565647
0.414 0.414 -0.11056661 0.057421334 0.013439035 -0.07461714 0.03359147 0.01565647
0.434 0.434 -0.05009095 0.0421497 0.017715093 -0.07461714 0.03359147 0.01565647
0.454 0.454 -0.06719518 0.0421497 0.022602014 -0.07461714 0.03359147 0.01565647
0.474 0.474 -0.08857546 0.035430185 0.015271631 -0.07461714 0.03359147 0.01565647
0.495 0.494 -0.07880162 0.019547688 0.023823744 -0.07461714 0.03359147 0.01565647
0.514 0.514 -0.06719518 0.025045475 0.017715093 -0.07461714 0.03359147 0.01565647
0.534 0.534 -0.07147124 0.03604105 0.014660766 -0.07461714 0.03359147 0.01565647
0.554 0.554 -0.0842994 0.02443461 0.021991149 -0.07461714 0.03359147 0.01565647
0.582 0.574 -0.06658431 0.009773844 0.025045475 -0.07461714 0.03359147 0.01565647
0.600 0.594 -0.065973446 0.039095376 0.028710667 -0.07461714 0.03359147 0.01565647
0.614 0.614 -0.08857546 0.032986723 0.02687807 -0.07461714 0.03359147 0.01565647
0.634 0.634 -0.09712757 0.02076942 0.021991149 -0.07461714 0.03359147 0.01565647
0.654 0.654 -0.084910266 0.017104227 0.023823744 -0.07461714 0.03359147 0.01565647
0.674 0.674 -0.096516706 0.005497787 0.02321288 -0.07461714 0.03359147 0.01565647
0.694 0.694 -0.09040806 0.004886922 0.021380283 -0.07461714 0.03359147 0.01565647
0.714 0.714 -0.087964594 0.039095376 0.023823744 -0.07461714 0.03359147 0.01565647
0.734 0.734 -0.062308256 0.014049901 0.03481932 -0.07461714 0.03359147 0.01565647
0.754 0.754 -0.050701816 -0.029932396 0.02443461 -0.07461714 0.03359147 0.01565647
0.774 0.774 -0.086132 -0.0580322 0.040317107 -0.07461714 0.03359147 0.01565647
0.794 0.794 -0.11301007 -0.018325957 0.055588737 -0.07461714 0.03359147 0.01565647
0.814 0.814 -0.12034045 0.036651913 0.0580322 -0.07461714 0.03359147 0.01565647
0.834 0.834 -0.10995574 0.021380283 0.028710667 -0.07461714 0.03359147 0.01565647
0.854 0.854 -0.1001819 -0.015271631 0.026267206 -0.07461714 0.03359147 0.01565647
0.874 0.874 -0.069027774 0.007330383 0.018936822 -0.07461714 0.03359147 0.01565647
0.894 0.894 -0.06719518 6.1086525E-4 0.007330383 -0.07461714 0.03359147 0.01565647
0.914 0.914 -0.100792766 -0.004276057 0.017104227 -0.07461714 0.03359147 0.01565647
0.934 0.934 -0.11789699 0.007941248 0.014660766 -0.07461714 0.03359147 0.01565647
0.954 0.954 -0.08368854 0.0067195175 0.009162978 -0.07461714 0.03359147 0.01565647
0.975 0.974 -0.06719518 -0.004276057 0.002443461 -0.07461714 0.03359147 0.01565647
0.994 0.994 -0.058643065 0.017104227 -0.0012217305 -0.07461714 0.03359147 0.01565647
1.014 1.014 -0.058643065 0.06414085 -0.0018325958 -0.07461714 0.03359147 0.01565647
1.035 1.034 -0.045814894 0.080634214 0.0012217305 -0.07461714 0.03359147 0.01565647
1.054 1.054 -0.057421334 0.053145275 6.1086525E-4 -0.07461714 0.03359147 0.01565647
1.077 1.076 -0.06719518 0.034208454 -0.004276057 -0.07461714 0.03359147 0.01565647
1.094 1.094 -0.061086524 0.016493361 0.005497787 -0.07461714 0.03359147 0.01565647
1.115 1.114 -0.06963864 0.021991149 0.010995574 -0.07461714 0.03359147 0.01565647
1.135 1.134 -0.07574729 0.021991149 0.0067195175 -0.07461714 0.03359147 0.01565647
1.154 1.154 -0.08979719 0.029321533 0.005497787 -0.07461714 0.03359147 0.01565647
