linear-acceleration.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.089 0.019 -0.10016316 -0.036337256 -0.059700012
0.090 0.041 -0.028337061 -0.045914054 0.101908684
0.090 0.073 -0.010380566 0.025911927 0.20725346
0.109 0.093 -0.005060196 0.011245012 0.09073639
0.115 0.113 -0.0013537407 0.0030121803 0.024110794
0.171 0.133 -7.7211857E-4 0.002068162 0.015769958
0.171 0.153 -0.0013578832 0.0031303167 0.023721695
0.173 0.173 -0.0010954142 0.0028117895 0.021582603
0.215 0.193 0.0041600466 -0.01049912 -0.08046532
0.215 0.213 0.0026643276 -0.0061910152 -0.049072266
0.261 0.233 0.0012465119 -0.0028891563 -0.023227692
0.261 0.253 -0.0026611686 0.0059974194 0.051600456
0.273 0.273 -0.0013452768 0.0032285452 0.025519371
0.292 0.293 -5.9229136E-4 -0.010741234 -0.0598917
0.312 0.313 0.007735312 -0.018680453 -0.14422607
0.332 0.333 0.0048092604 -0.011327863 -0.08726311
0.352 0.353 0.0014044046 -0.0029853582 -0.024666786
0.372 0.373 0.0028826594 -0.006639242 -0.053175926
0.392 0.393 -4.708767E-5 1.0180473E-4 8.1825256E-4
0.412 0.413 -0.004341364 0.009586453 0.077775
0.432 0.433 -1.937747E-4 7.49588E-4 0.009010315
0.452 0.453 -4.4864416E-4 0.0010271072 0.008163452
0.472 0.473 0.002605319 0.0010249615 0.02143383
0.492 0.493 -0.0026441216 0.0057207346 0.0475502
0.512 0.513 -0.0022822917 0.005512953 0.04487133
0.532 0.533 0.0021035373 -0.0050638914 -0.044703484
0.553 0.553 0.003245324 -0.008501291 -0.06706715
0.582 0.573 0.0018045902 -0.004639268 -0.03753853
0.600 0.593 0.0019512773 -0.0052882433 -0.043603897
0.612 0.613 0.0020171702 -0.005021453 -0.04099846
0.632 0.633 0.0026049614 -0.006541848 -0.052884102
0.652 0.653 -3.0845404E-5 6.186962E-5 6.790161E-4
0.672 0.673 -0.0022155046 0.0053972006 0.04559326
0.693 0.693 -0.0016836524 0.003684044 0.032277107
0.712 0.713 -0.0034153461 0.00733757 0.059862137
0.732 0.733 0.002124548 -0.0047997236 -0.03981304
0.752 0.753 0.004259467 -0.010609388 -0.085287094
0.772 0.773 0.0018157065 -0.005116582 -0.042686462
0.792 0.793 -4.9236417E-4 0.0014517307 0.012243271
0.812 0.813 -6.6152215E-4 0.002166748 0.016989708
0.832 0.833 0.0031151772 -0.008644581 -0.07348728
0.852 0.853 0.0051277876 -0.013577342 -0.11316109
0.872 0.873 0.001098752 -0.0033971071 -0.030758858
0.893 0.893 0.004714489 -0.013354421 -0.11489391
0.913 0.913 0.004680872 -0.012754202 -0.108385086
0.934 0.933 0.005265951 -0.016711354 -0.13760185
0.953 0.953 0.0016610324 -0.0050594807 -0.042033195
0.973 0.973 8.2066655E-4 -0.002925396 -0.008852959
0.994 0.993 -1.8411875E-4 5.732775E-4 0.0048475266
1.013 1.013 -0.002852261 0.008212447 0.06810093
1.033 1.033 -0.0022438467 0.006494999 0.054024696
1.053 1.053 -0.042584926 -0.01753807 0.00228405
1.074 1.073 -0.03308952 0.0064731836 -0.004477501
1.094 1.093 -0.032369345 0.0057097673 -0.059423447
1.113 1.113 -0.03184676 -0.0026897192 0.009066582
1.133 1.133 0.025297731 -4.7910213E-4 -0.102303505
1.153 1.153 0.0020890832 -0.0020250082 -0.06416607
1.174 1.173 -0.025569528 -0.03381753 1.2493134E-4
1.193 1.193 -0.0061508417 0.013358593 -0.026116371
1.214 1.213 0.002015233 -0.005543351 -0.092907906
1.233 1.233 -0.015897304 0.026085734 -0.04637623
1.253 1.253 0.03546965 0.047107816 0.01559639
1.273 1.273 0.0027166605 0.06253672 0.04662609
1.293 1.293 -0.0017122924 -0.012342215 -0.014618874
1.313 1.313 -0.041186243 0.051683545 0.10650635
1.333 1.333 -0.012658447 -0.0061756372 -0.56109524
1.353 1.353 0.13065048 -0.10678923 0.3021536
1.373 1.373 -0.19469061 0.08503735 0.05745983
1.393 1.393 -0.1668357 0.082544684 -0.13093758
1.413 1.413 0.100711256 0.07300115 -0.11410713
1.433 1.433 0.06085995 -0.18149197 -0.32750416
1.454 1.453 0.1021661 0.07908642 0.23046684
1.473 1.473 -0.045093685 0.05233991 0.054888725
1.493 1.493 0.05734852 -0.07291663 -0.0013942719
1.513 1.513 0.104870126 -0.04172325 -0.019329071
1.532 1.533 -0.010646462 -0.03930366 -0.068460464
1.553 1.553 -0.004787147 0.023939371 0.12783241
1.574 1.573 -0.0280523 -0.020218492 0.058275223
1.593 1.593 0.0038225949 -0.018295527 -0.0312891
1.613 1.613 0.058937192 -0.008978963 -0.08920288
1.633 1.633 -0.014477193 0.050753355 -0.09566498
1.653 1.653 -0.044538587 -0.0026066303 -0.100976944
1.673 1.673 0.002589196 0.010855317 0.015960693
1.693 1.693 0.026324451 -0.046860814 0.05237484
1.712 1.713 0.0115996 -0.012583733 -0.019622803
1.732 1.733 -0.021594405 -0.03823924 -0.009850502
1.752 1.753 -0.0027118027 0.019428372 -0.034065247
1.773 1.773 0.0050904453 -0.031716466 0.04999447
1.793 1.793 0.00863421 -0.03256631 -0.05387211
1.812 1.813 0.018321812 0.010288715 -0.021601677
1.832 1.833 0.03278497 -0.011953473 -0.111763
1.852 1.853 0.017935663 -0.04062307 -0.04479122
1.873 1.873 0.0026328266 -0.0011526346 -0.023692131
1.903 1.893 -6.4715743E-4 -0.04093206 -0.018345833
1.913 1.913 -0.02166754 -0.030836582 -0.08753967
1.933 1.933 -0.0046563447 -0.061831832 0.011853218
1.952 1.953 -0.009010762 0.00724113 -0.086153984
