magnetometer-calibrated.txt

All values are in micro-Tesla (uT).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.091 0.081 1.38 10.96 -35.44
0.109 0.101 0.82 11.29 -35.44
0.171 0.121 1.6000004 11.199997 -35.4
0.171 0.141 1.3999996 11.0 -33.799995
0.171 0.161 1.5 11.199997 -34.0
0.215 0.181 1.8000002 11.100006 -33.799995
0.215 0.201 1.8000002 11.0 -33.6
0.224 0.221 1.8999996 11.100006 -33.4
0.261 0.241 2.1000004 11.100006 -33.6
0.261 0.261 2.0 11.100006 -33.6
0.281 0.281 1.8999996 11.199997 -33.5
0.301 0.301 2.0 11.199997 -33.6
0.321 0.321 2.0 11.199997 -33.6
0.341 0.341 2.0 11.199997 -33.6
0.362 0.361 2.1000004 11.199997 -33.6
0.381 0.381 2.0 11.199997 -33.6
0.401 0.401 2.0 11.100006 -33.6
0.421 0.421 2.0 11.100006 -33.6
0.441 0.441 2.0 11.100006 -33.5
0.461 0.461 2.0 11.0 -33.5
0.481 0.481 2.0 11.100006 -33.5
0.501 0.501 2.0 11.100006 -33.5
0.521 0.521 1.8999996 11.100006 -33.5
0.541 0.541 1.8999996 11.100006 -33.5
0.582 0.561 1.8999996 11.100006 -33.6
0.582 0.581 1.8999996 11.100006 -33.5
0.601 0.601 1.8999996 11.100006 -33.5
0.621 0.621 1.8999996 11.100006 -33.5
0.641 0.641 1.8999996 11.100006 -33.5
0.661 0.661 1.8999996 11.100006 -33.5
0.681 0.681 1.8000002 11.100006 -33.6
0.701 0.701 1.8999996 11.100006 -33.6
0.721 0.721 1.8999996 11.100006 -33.5
0.741 0.741 1.8999996 11.100006 -33.6
0.761 0.761 1.8999996 11.100006 -33.6
0.781 0.781 1.8999996 11.100006 -33.6
0.801 0.801 1.8999996 11.100006 -33.6
0.821 0.821 1.8999996 11.100006 -33.700005
0.842 0.841 1.8000002 11.100006 -33.6
0.861 0.861 1.8000002 11.100006 -33.6
0.881 0.881 1.8000002 11.100006 -33.6
0.902 0.901 1.6999998 11.100006 -33.6
0.922 0.921 1.6999998 11.100006 -33.6
0.942 0.941 1.6999998 11.100006 -33.5
0.962 0.961 1.6000004 11.199997 -33.6
0.982 0.981 1.6000004 11.199997 -33.5
1.002 1.001 1.6000004 11.100006 -33.5
1.022 1.021 1.6000004 11.199997 -33.5
1.042 1.041 1.6000004 11.199997 -33.5
1.063 1.061 1.5 11.199997 -33.5
1.082 1.081 1.5 11.199997 -33.5
1.102 1.101 1.5 11.300003 -33.5
1.122 1.121 1.5 11.300003 -33.5
1.142 1.141 1.3999996 11.300003 -33.5
1.162 1.161 1.3999996 11.199997 -33.5
1.185 1.181 1.3999996 11.199997 -33.5
1.202 1.201 1.3999996 11.300003 -33.4
1.221 1.221 1.3999996 11.300003 -33.4
1.241 1.241 1.3000002 11.300003 -33.4
