accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.109 0.093 -0.5518635 1.2150574 9.807847
0.115 0.113 -0.5518635 1.2557588 9.734824
0.171 0.133 -0.45729253 1.283292 9.727641
0.171 0.153 -0.48003745 1.282095 9.734824
0.173 0.173 -0.50517654 1.246182 9.736021
0.215 0.193 -0.49440265 1.2605472 9.630676
0.215 0.213 -0.5255273 1.2174516 9.66659
0.261 0.233 -0.51714754 1.2018893 9.69532
0.261 0.253 -0.50517654 1.1432313 9.779117
0.273 0.273 -0.51595044 1.2449849 9.739613
0.293 0.293 -0.51116204 1.2294226 9.654618
0.313 0.313 -0.50996494 1.2330139 9.568427
0.333 0.333 -0.5386954 1.2533646 9.622296
0.353 0.353 -0.5518635 1.174356 9.69532
0.372 0.373 -0.51475334 1.2174516 9.662998
0.393 0.393 -0.46806642 1.2449849 9.716867
0.413 0.413 -0.5482722 1.2066777 9.7958765
0.432 0.433 -0.5410896 1.1851299 9.728839
0.453 0.453 -0.5327099 1.2306197 9.722853
0.472 0.473 -0.5315128 1.2306197 9.736021
0.493 0.493 -0.5422867 1.1827357 9.768343
0.513 0.513 -0.48602295 1.2042835 9.765948
0.533 0.533 -0.47644615 1.1779473 9.67856
0.553 0.553 -0.46926352 1.2090719 9.652225
0.582 0.573 -0.46088383 1.1647792 9.688137
0.600 0.593 -0.4189853 1.1791444 9.682152
0.613 0.613 -0.48243165 1.186327 9.680955
0.632 0.633 -0.48722005 1.163582 9.671378
0.652 0.653 -0.49320555 1.2054806 9.720459
0.672 0.673 -0.48003745 1.1731589 9.770737
0.694 0.693 -0.48722005 1.1468226 9.759963
0.712 0.713 -0.5506664 1.1935096 9.779117
0.732 0.733 -0.521936 1.1695676 9.682152
0.752 0.753 -0.47884035 1.2006922 9.634268
0.772 0.773 -0.4189853 1.1671734 9.6845455
0.792 0.793 -0.35553896 1.1133038 9.749189
0.812 0.813 -0.38187516 1.2533646 9.736021
0.832 0.833 -0.40821138 1.13964 9.657013
0.852 0.853 -0.4165911 1.13964 9.616311
0.872 0.873 -0.40102878 1.1348516 9.701305
0.893 0.893 -0.39624038 1.1121067 9.618706
0.913 0.913 -0.4141969 1.1312603 9.622296
0.934 0.933 -0.36152446 1.1707647 9.589975
0.953 0.953 -0.39145198 1.1623849 9.68694
0.973 0.973 -0.3866636 1.163582 9.720459
0.994 0.993 -0.36152446 1.13964 9.738416
1.013 1.013 -0.39983168 1.174356 9.797073
1.033 1.033 -0.39145198 1.1575965 9.785102
1.053 1.053 -0.4405331 1.1384429 9.7324295
1.074 1.073 -0.4345476 1.1647792 9.725247
1.094 1.093 -0.4345476 1.1647792 9.67018
1.113 1.113 -0.4297592 1.1599907 9.738416
1.134 1.133 -0.37110126 1.1623849 9.627085
1.154 1.153 -0.39264908 1.1599907 9.665392
1.174 1.173 -0.4201824 1.1252748 9.730036
1.194 1.193 -0.40102878 1.1731589 9.703699
1.214 1.213 -0.39264908 1.1563994 9.636662
1.233 1.233 -0.40821138 1.1875241 9.683349
1.253 1.253 -0.35194764 1.2078748 9.745598
1.273 1.273 -0.38187516 1.2234371 9.776723
1.293 1.293 -0.39025488 1.1456255 9.715671
1.313 1.313 -0.4333505 1.210269 9.836577
1.333 1.333 -0.39743748 1.1480197 9.169792
1.353 1.353 -0.22505496 1.067814 10.031705
1.373 1.373 -0.5518635 1.2749124 9.785102
1.393 1.393 -0.5279215 1.2773066 9.595961
1.414 1.413 -0.25378537 1.2605472 9.613917
1.434 1.433 -0.2885013 0.985214 9.403227
1.454 1.453 -0.22984336 1.2318168 9.96347
1.473 1.473 -0.37708676 1.198298 9.788693
1.493 1.493 -0.2837129 1.0702082 9.7324295
1.513 1.513 -0.23702596 1.1013328 9.714474
1.533 1.533 -0.34715924 1.1049241 9.665392
1.553 1.553 -0.32920274 1.1611878 9.862914
1.574 1.573 -0.34237084 1.1085154 9.794679
1.593 1.593 -0.31124622 1.1121067 9.704897
1.613 1.613 -0.260968 1.1264719 9.646238
1.633 1.633 -0.33877954 1.1911154 9.639056
1.653 1.653 -0.36750996 1.1336545 9.634268
1.673 1.673 -0.3184288 1.1444284 9.751583
1.693 1.693 -0.30047232 1.0893618 9.787497
1.713 1.713 -0.32321724 1.1300632 9.714474
1.733 1.733 -0.36032736 1.1049241 9.7240505
1.752 1.753 -0.34237084 1.1599907 9.700109
1.773 1.773 -0.33518824 1.1109096 9.783905
1.793 1.793 -0.33279404 1.1121067 9.679757
1.813 1.813 -0.320823 1.1552023 9.712079
1.833 1.833 -0.30526072 1.1300632 9.622296
1.852 1.853 -0.3184288 1.1013328 9.689334
1.873 1.873 -0.33279404 1.1372458 9.710882
1.903 1.893 -0.33279404 1.0929531 9.716867
1.913 1.913 -0.35434186 1.1049241 9.647436
1.933 1.933 -0.33877954 1.0737995 9.746795
1.953 1.953 -0.34237084 1.1444284 9.648633
1.973 1.973 -0.320823 1.198298 9.628283
1.993 1.993 -0.2777274 1.1767502 9.701305
2.013 2.013 -0.36272156 1.1647792 9.750386
2.033 2.033 -0.32920274 1.1216835 9.736021
2.053 2.053 -0.33279404 1.0737995 9.728839
2.073 2.073 -0.40581718 1.1312603 9.7719345
2.093 2.093 -0.4441244 1.1575965 9.68694
2.113 2.113 -0.29688102 1.1204864 9.646238
2.132 2.133 -0.29448682 1.1204864 9.834184
2.152 2.153 -0.22984336 1.0175357 9.79827
2.173 2.173 -0.2885013 1.13964 9.788693
2.193 2.193 -0.37349546 1.1372458 9.730036
2.213 2.213 -0.2765303 1.103727 9.633071
2.233 2.233 -0.30526072 1.1049241 9.704897
2.252 2.253 -0.36152446 1.1360487 9.740809
2.273 2.273 -0.30406362 1.1623849 9.964667
