magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.091 0.081 -14.1 -197.8 -81.7 -15.6 -208.2 -47.9
0.109 0.101 -14.1 -197.8 -81.7 -15.6 -208.2 -47.9
0.170 0.121 -14.0 -197.0 -83.3 -15.6 -208.2 -47.9
0.170 0.141 -14.200001 -197.2 -81.7 -15.6 -208.2 -47.9
0.171 0.161 -14.1 -197.0 -81.9 -15.6 -208.2 -47.9
0.215 0.181 -13.8 -197.09999 -81.7 -15.6 -208.2 -47.9
0.215 0.201 -13.8 -197.2 -81.5 -15.6 -208.2 -47.9
0.224 0.221 -13.700001 -197.09999 -81.3 -15.6 -208.2 -47.9
0.261 0.241 -13.5 -197.09999 -81.5 -15.6 -208.2 -47.9
0.261 0.261 -13.6 -197.09999 -81.5 -15.6 -208.2 -47.9
0.281 0.281 -13.700001 -197.0 -81.4 -15.6 -208.2 -47.9
0.301 0.301 -13.6 -197.0 -81.5 -15.6 -208.2 -47.9
0.321 0.321 -13.6 -197.0 -81.5 -15.6 -208.2 -47.9
0.341 0.341 -13.6 -197.0 -81.5 -15.6 -208.2 -47.9
0.362 0.361 -13.5 -197.0 -81.5 -15.6 -208.2 -47.9
0.381 0.381 -13.6 -197.0 -81.5 -15.6 -208.2 -47.9
0.401 0.401 -13.6 -197.09999 -81.5 -15.6 -208.2 -47.9
0.421 0.421 -13.6 -197.09999 -81.5 -15.6 -208.2 -47.9
0.441 0.441 -13.6 -197.09999 -81.4 -15.6 -208.2 -47.9
0.461 0.461 -13.6 -197.2 -81.4 -15.6 -208.2 -47.9
0.481 0.481 -13.6 -197.09999 -81.4 -15.6 -208.2 -47.9
0.501 0.501 -13.6 -197.09999 -81.4 -15.6 -208.2 -47.9
0.521 0.521 -13.700001 -197.09999 -81.4 -15.6 -208.2 -47.9
0.541 0.541 -13.700001 -197.09999 -81.4 -15.6 -208.2 -47.9
0.582 0.561 -13.700001 -197.09999 -81.5 -15.6 -208.2 -47.9
0.582 0.581 -13.700001 -197.09999 -81.4 -15.6 -208.2 -47.9
0.601 0.601 -13.700001 -197.09999 -81.4 -15.6 -208.2 -47.9
0.621 0.621 -13.700001 -197.09999 -81.4 -15.6 -208.2 -47.9
0.641 0.641 -13.700001 -197.09999 -81.4 -15.6 -208.2 -47.9
0.661 0.661 -13.700001 -197.09999 -81.4 -15.6 -208.2 -47.9
0.681 0.681 -13.8 -197.09999 -81.5 -15.6 -208.2 -47.9
0.701 0.701 -13.700001 -197.09999 -81.5 -15.6 -208.2 -47.9
0.721 0.721 -13.700001 -197.09999 -81.4 -15.6 -208.2 -47.9
0.741 0.741 -13.700001 -197.09999 -81.5 -15.6 -208.2 -47.9
0.761 0.761 -13.700001 -197.09999 -81.5 -15.6 -208.2 -47.9
0.781 0.781 -13.700001 -197.09999 -81.5 -15.6 -208.2 -47.9
0.801 0.801 -13.700001 -197.09999 -81.5 -15.6 -208.2 -47.9
0.821 0.821 -13.700001 -197.09999 -81.600006 -15.6 -208.2 -47.9
0.842 0.841 -13.8 -197.09999 -81.5 -15.6 -208.2 -47.9
0.861 0.861 -13.8 -197.09999 -81.5 -15.6 -208.2 -47.9
0.881 0.881 -13.8 -197.09999 -81.5 -15.6 -208.2 -47.9
0.902 0.901 -13.900001 -197.09999 -81.5 -15.6 -208.2 -47.9
0.922 0.921 -13.900001 -197.09999 -81.5 -15.6 -208.2 -47.9
0.942 0.941 -13.900001 -197.09999 -81.4 -15.6 -208.2 -47.9
0.962 0.961 -14.0 -197.0 -81.5 -15.6 -208.2 -47.9
0.982 0.981 -14.0 -197.0 -81.4 -15.6 -208.2 -47.9
1.002 1.001 -14.0 -197.09999 -81.4 -15.6 -208.2 -47.9
1.022 1.021 -14.0 -197.0 -81.4 -15.6 -208.2 -47.9
1.042 1.041 -14.0 -197.0 -81.4 -15.6 -208.2 -47.9
1.062 1.061 -14.1 -197.0 -81.4 -15.6 -208.2 -47.9
1.082 1.081 -14.1 -197.0 -81.4 -15.6 -208.2 -47.9
1.102 1.101 -14.1 -196.9 -81.4 -15.6 -208.2 -47.9
1.122 1.121 -14.1 -196.9 -81.4 -15.6 -208.2 -47.9
1.142 1.141 -14.200001 -196.9 -81.4 -15.6 -208.2 -47.9
1.162 1.161 -14.200001 -197.0 -81.4 -15.6 -208.2 -47.9
1.185 1.181 -14.200001 -197.0 -81.4 -15.6 -208.2 -47.9
1.201 1.201 -14.200001 -196.9 -81.3 -15.6 -208.2 -47.9
1.221 1.221 -14.200001 -196.9 -81.3 -15.6 -208.2 -47.9
1.241 1.241 -14.3 -196.9 -81.3 -15.6 -208.2 -47.9
1.261 1.261 -14.3 -196.9 -81.3 -15.6 -208.2 -47.9
1.281 1.281 -14.3 -196.9 -81.3 -15.6 -208.2 -47.9
1.301 1.301 -14.3 -196.9 -81.3 -15.6 -208.2 -47.9
1.321 1.321 -14.3 -196.9 -81.3 -15.6 -208.2 -47.9
1.343 1.341 -14.3 -196.9 -81.3 -15.6 -208.2 -47.9
1.361 1.361 -14.3 -196.9 -81.3 -15.6 -208.2 -47.9
1.381 1.381 -14.3 -196.9 -81.3 -15.6 -208.2 -47.9
1.401 1.401 -14.3 -196.9 -81.2 -15.6 -208.2 -47.9
1.422 1.421 -14.400001 -196.9 -81.2 -15.6 -208.2 -47.9
1.442 1.441 -14.400001 -196.9 -81.2 -15.6 -208.2 -47.9
1.464 1.461 -14.400001 -196.9 -81.2 -15.6 -208.2 -47.9
1.482 1.481 -14.400001 -196.9 -81.3 -15.6 -208.2 -47.9
1.501 1.501 -14.400001 -196.9 -81.3 -15.6 -208.2 -47.9
1.521 1.521 -14.400001 -196.9 -81.4 -15.6 -208.2 -47.9
1.544 1.541 -14.3 -196.9 -81.4 -15.6 -208.2 -47.9
1.569 1.561 -14.3 -196.9 -81.4 -15.6 -208.2 -47.9
1.581 1.581 -14.3 -196.9 -81.5 -15.6 -208.2 -47.9
1.601 1.601 -14.400001 -196.9 -81.5 -15.6 -208.2 -47.9
1.621 1.621 -14.400001 -196.9 -81.5 -15.6 -208.2 -47.9
1.642 1.641 -14.400001 -196.9 -81.5 -15.6 -208.2 -47.9
1.661 1.661 -14.400001 -196.9 -81.5 -15.6 -208.2 -47.9
1.681 1.681 -14.400001 -197.0 -81.5 -15.6 -208.2 -47.9
1.701 1.701 -14.400001 -197.0 -81.5 -15.6 -208.2 -47.9
1.721 1.721 -14.3 -196.9 -81.600006 -15.6 -208.2 -47.9
1.741 1.741 -14.3 -196.9 -81.600006 -15.6 -208.2 -47.9
1.761 1.761 -14.3 -196.9 -81.600006 -15.6 -208.2 -47.9
1.781 1.781 -14.200001 -196.9 -81.600006 -15.6 -208.2 -47.9
1.801 1.801 -14.200001 -196.9 -81.600006 -15.6 -208.2 -47.9
1.821 1.821 -14.3 -196.9 -81.7 -15.6 -208.2 -47.9
1.841 1.841 -14.200001 -196.9 -81.7 -15.6 -208.2 -47.9
1.861 1.861 -14.200001 -196.8 -81.7 -15.6 -208.2 -47.9
1.881 1.881 -14.200001 -196.8 -81.7 -15.6 -208.2 -47.9
1.903 1.901 -14.200001 -196.9 -81.7 -15.6 -208.2 -47.9
1.921 1.921 -14.200001 -196.9 -81.7 -15.6 -208.2 -47.9
1.941 1.941 -14.200001 -196.8 -81.7 -15.6 -208.2 -47.9
1.961 1.961 -14.200001 -196.8 -81.7 -15.6 -208.2 -47.9
1.981 1.981 -14.200001 -196.8 -81.600006 -15.6 -208.2 -47.9
2.001 2.001 -14.200001 -196.8 -81.7 -15.6 -208.2 -47.9
2.021 2.021 -14.200001 -196.8 -81.600006 -15.6 -208.2 -47.9
2.041 2.041 -14.200001 -196.8 -81.600006 -15.6 -208.2 -47.9
2.061 2.061 -14.200001 -196.8 -81.7 -15.6 -208.2 -47.9
2.081 2.081 -14.200001 -196.8 -81.600006 -15.6 -208.2 -47.9
2.101 2.101 -14.200001 -196.8 -81.600006 -15.6 -208.2 -47.9
2.121 2.121 -14.3 -196.8 -81.600006 -15.6 -208.2 -47.9
