rotation-vector.txt

Estimated-heading-accuracy is in radians. The rotation vector represents the orientation of the device as a combination of an angle and an axis, in which the device has rotated through an angle θ around an axis <x, y, z>. The reference coordinate system is defined as a direct orthonormal basis, where: X is defined as the vector product Y.Z (It is tangential to the ground at the device's current location and roughly points East). Y is tangential to the ground at the device's current location and points towards magnetic north. Z points towards the sky and is perpendicular to the ground.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x*sin(θ/2) y*sin(θ/2) z*sin(θ/2) cos(θ/2) estimated-heading-accuracy
0.090 0.019 0.06198508 0.02492613 1.4642175E-4 0.99776584 0.0
0.091 0.041 0.06198508 0.02492613 1.4642175E-4 0.99776584 0.0
0.091 0.073 0.06198508 0.02492613 1.4642175E-4 0.99776584 0.0
0.109 0.093 0.06183967 0.02722362 -0.0116373105 0.997647 0.0
0.115 0.113 0.06499901 0.025817625 -0.035853177 0.99690676 0.0
0.171 0.133 0.065716885 0.02266438 -0.010159998 0.99752915 0.0
0.171 0.153 0.06546985 0.024192892 -0.004157372 0.99755263 0.0
0.173 0.173 0.06365653 0.025481762 -0.004389832 0.9976368 0.0
0.215 0.193 0.064900406 0.025642475 0.002469369 0.9975592 0.0
0.215 0.213 0.0624496 0.027186787 0.0030944683 0.99767303 0.0
0.261 0.233 0.061452948 0.026749294 0.004201127 0.99774265 0.0
0.261 0.253 0.05778813 0.02636775 0.011965418 0.9979089 0.0
0.273 0.273 0.06317148 0.026989723 0.010872047 0.9975785 0.0
0.293 0.293 0.06322127 0.02647495 0.0060169515 0.99763024 0.0
0.313 0.313 0.063722946 0.027053433 0.009290119 0.9975577 0.0
0.333 0.333 0.064406134 0.028321411 0.0083719725 0.9974867 0.0
0.353 0.353 0.060003776 0.028603012 0.005508065 0.9977731 0.0
0.373 0.373 0.062342588 0.026951592 0.0079626655 0.99765915 0.0
0.393 0.393 0.06340951 0.024466285 0.008617874 0.99765044 0.0
0.413 0.413 0.06078869 0.028626086 0.013587964 0.99764764 0.0
0.433 0.433 0.060370483 0.027965806 0.005390425 0.9977697 0.0
0.453 0.453 0.062669754 0.027589884 0.0061725094 0.9976339 0.0
0.473 0.473 0.062644675 0.027740875 0.0070644817 0.99762523 0.0
0.493 0.493 0.059953164 0.027984552 0.006813104 0.99778557 0.0
0.513 0.513 0.06108611 0.02513006 0.0067233476 0.99779356 0.0
0.533 0.533 0.06021502 0.025013274 0.009295342 0.9978287 0.0
0.553 0.553 0.06197606 0.02475866 0.0098587815 0.99772185 0.0
0.582 0.573 0.059498716 0.024258036 0.010354215 0.9978799 0.0
0.600 0.593 0.06025069 0.022233674 0.012022645 0.99786323 0.0
0.613 0.613 0.060467795 0.025728544 0.016035032 0.99770975 0.0
0.633 0.633 0.059553355 0.025574027 0.009152479 0.99785554 0.0
0.652 0.653 0.061373033 0.025738562 0.008727043 0.99774486 0.0
0.672 0.673 0.0594577 0.024909647 0.0083223805 0.9978853 0.0
0.694 0.693 0.05823421 0.025195736 0.006678825 0.9979626 0.0
0.713 0.713 0.06035532 0.028516587 0.009108691 0.997728 0.0
0.732 0.733 0.059945427 0.026912287 0.0022421624 0.9978363 0.0
0.752 0.753 0.06177239 0.024995705 0.0049957056 0.99776477 0.0
