@ HyperIMU -ianovir - 2018
@ Date:Mon May 04 16:25:32 GMT+02:00 2020, Sampling Rate:10ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z,YAS537_Uncalibrated_Magnetometer.x,YAS537_Uncalibrated_Magnetometer.y,YAS537_Uncalibrated_Magnetometer.z,K6DS3TR_Uncalibrated_Gyroscope.x,K6DS3TR_Uncalibrated_Gyroscope.y,K6DS3TR_Uncalibrated_Gyroscope.z,Screen_Orientation_Sensor.x,Screen_Orientation_Sensor.y,Screen_Orientation_Sensor.z,Samsung_Orientation_Sensor.x,Samsung_Orientation_Sensor.y,Samsung_Orientation_Sensor.z
1588602332252,-0.074220255,-0.04070143,9.801862,-23.600002,-314.7,-76.2,0.0,0.0,0.0,-1.0,0.0,0.0,105.99677,0.23826341,-0.43399253
1588602332275,-0.061052144,-0.02633622,9.794679,-23.600002,-314.7,-76.2,0.0,0.0,0.0,-1.0,0.0,0.0,105.997055,0.15432902,-0.35738108
1588602332288,-0.06943185,-0.023942016,9.7958765,-61.300003,-260.1,-109.0,-0.076358154,0.03359759,0.015882496,-1.0,0.0,0.0,106.427284,0.15432899,-0.35738096
1588602332300,-0.06464344,-0.008379706,9.813833,-61.300003,-260.1,-109.0,-0.076358154,0.03359759,0.015882496,-1.0,0.0,0.0,106.66131,0.049668677,-0.37725845
1588602332304,-0.06464344,-0.008379706,9.813833,-61.300003,-260.1,-109.0,-0.076358154,0.03359759,0.015882496,-1.0,0.0,0.0,106.66131,0.049668677,-0.37725845
1588602332311,-0.07182605,-0.007182605,9.805453,-61.600002,-260.2,-109.0,-0.07513642,0.035430185,0.015271631,-1.0,0.0,0.0,106.24588,0.049668677,-0.37725845
1588602332322,-0.07182605,-0.007182605,9.805453,-61.600002,-260.2,-109.0,-0.07513642,0.035430185,0.015271631,-1.0,0.0,0.0,106.24588,0.049668677,-0.37725845
1588602332331,-0.05746084,-0.01316811,9.80665,-61.4,-260.2,-109.399994,-0.07391469,0.03726278,0.01282817,-1.0,0.0,0.0,106.24588,0.049668677,-0.37725845
1588602332340,-0.062249243,-0.011971008,9.809045,-61.4,-260.2,-109.399994,-0.07819075,0.035430185,0.014049901,-1.0,0.0,0.0,106.35241,0.04966865,-0.37725848
1588602332351,-0.06584055,-0.016759412,9.801862,-61.300003,-260.0,-109.1,-0.07452556,0.03359759,0.013439035,-1.0,0.0,0.0,106.332695,0.112050295,-0.34267566
1588602332362,-0.062249243,-0.022744916,9.79827,-61.300003,-260.0,-109.1,-0.07452556,0.035430185,0.014660766,-1.0,0.0,0.0,106.33268,0.11205028,-0.3426756
1588602332371,-0.06464344,-0.023942016,9.794679,-61.4,-260.0,-109.2,-0.076358154,0.035430185,0.014049901,-1.0,0.0,0.0,106.27013,0.112050265,-0.3426756
1588602332383,-0.06464344,-0.029927522,9.812635,-61.4,-260.0,-109.2,-0.07513642,0.036651913,0.013439035,-1.0,0.0,0.0,106.270035,0.17442511,-0.37727058
1588602332394,-0.05626374,-0.01436521,9.8042555,-61.2,-260.0,-109.1,-0.076358154,0.03481932,0.014049901,-1.0,0.0,0.0,106.58728,0.08551005,-0.32963666
1588602332405,-0.062249243,-0.02633622,9.824607,-61.2,-260.0,-109.1,-0.076358154,0.03481932,0.014660766,-1.0,0.0,0.0,106.5872,0.15429889,-0.36337397
1588602332416,-0.06464344,-0.016759412,9.801862,-61.2,-260.0,-109.0,-0.07574729,0.036651913,0.014660766,-1.0,0.0,0.0,106.52156,0.10010911,-0.37730935
1588602332428,-0.06823475,-0.01316811,9.8042555,-61.300003,-260.0,-109.0,-0.07574729,0.036651913,0.014049901,-1.0,0.0,0.0,106.52156,0.10010911,-0.37730935
1588602332437,-0.07182605,-0.020350715,9.797073,-61.300003,-260.0,-109.0,-0.07452556,0.03604105,0.013439035,-1.0,0.0,0.0,106.23558,0.1001091,-0.37730938
1588602332448,-0.08020575,-0.019153614,9.7958765,-61.300003,-260.0,-109.1,-0.07696902,0.03481932,0.014049901,-1.0,0.0,0.0,106.235405,0.11232127,-0.47139308
1588602332460,-0.073023155,-0.017956512,9.805453,-61.300003,-260.0,-109.1,-0.07574729,0.036651913,0.014660766,-1.0,0.0,0.0,106.17285,0.11232129,-0.47139305
1588602332472,-0.05865794,-0.027533319,9.799467,-61.300003,-260.1,-109.0,-0.073303826,0.034208454,0.015271631,-1.0,0.0,0.0,106.67481,0.14681612,-0.32209232
1588602332479,-0.05865794,-0.027533319,9.799467,-61.300003,-260.1,-109.0,-0.07452556,0.035430185,0.015271631,-1.0,0.0,0.0,106.67481,0.14681612,-0.32209232
1588602332491,-0.05626374,-0.021547815,9.801862,-61.300003,-260.1,-109.0,-0.07696902,0.03726278,0.015882496,-1.0,0.0,0.0,106.67483,0.14681615,-0.32209238
1588602332503,-0.075417355,-0.015562311,9.797073,-61.300003,-260.1,-109.0,-0.076358154,0.03481932,0.015882496,-1.0,0.0,0.0,106.67457,0.09108475,-0.4408909
1588602332515,-0.07062895,-0.019153614,9.8042555,-61.300003,-260.0,-109.1,-0.076358154,0.036651913,0.014049901,-1.0,0.0,0.0,106.12687,0.09513957,-0.44576952
1588602332524,-0.05746084,-0.023942016,9.801862,-61.300003,-260.0,-109.1,-0.07452556,0.036651913,0.014660766,-1.0,0.0,0.0,106.12764,0.13988718,-0.33604437
1588602332536,-0.06703765,-0.011971008,9.810242,-61.2,-260.0,-109.1,-0.07452556,0.032986723,0.013439035,-1.0,0.0,0.0,106.49868,0.06885024,-0.39236417
1588602332548,-0.06703765,-0.020350715,9.810242,-61.2,-259.9,-109.1,-0.07513642,0.03604105,0.013439035,-1.0,0.0,0.0,106.49868,0.06885024,-0.39236417
1588602332557,-0.06584055,-0.023942016,9.7958765,-61.2,-259.9,-109.1,-0.07513642,0.03604105,0.013439035,-1.0,0.0,0.0,105.960686,0.13682763,-0.3856494
1588602332569,-0.07182605,-0.019153614,9.801862,-61.2,-260.0,-109.1,-0.07574729,0.036651913,0.01282817,-1.0,0.0,0.0,105.960686,0.13682763,-0.3856494
1588602332581,-0.06823475,-0.022744916,9.79827,-61.2,-260.0,-109.1,-0.07574729,0.03604105,0.016493361,-1.0,0.0,0.0,106.42758,0.13682768,-0.38564944
1588602332588,-0.06823475,-0.022744916,9.79827,-61.2,-259.9,-109.1,-0.07513642,0.032986723,0.015271631,-1.0,0.0,0.0,106.42758,0.13682768,-0.38564944
1588602332600,-0.06703765,-0.021547815,9.7958765,-61.2,-259.9,-109.1,-0.07574729,0.03726278,0.015271631,-1.0,0.0,0.0,106.2399,0.13682768,-0.3856494
1588602332612,-0.059855044,-0.016759412,9.800665,-61.2,-260.0,-109.0,-0.07574729,0.034208454,0.013439035,-1.0,0.0,0.0,106.42759,0.13682772,-0.38564947
1588602332623,-0.06823475,-0.017956512,9.7958765,-61.2,-260.0,-109.0,-0.07696902,0.03481932,0.014049901,-1.0,0.0,0.0,106.42758,0.13682768,-0.38564938
1588602332635,-0.074220255,-0.009576807,9.792285,-61.2,-260.0,-109.1,-0.07696902,0.037873644,0.014049901,-1.0,0.0,0.0,106.42751,0.05553576,-0.43456236
