@ HyperIMU -ianovir - 2018
@ Date:Thu Apr 23 11:25:37 GMT+02:00 2020, Sampling Rate:10ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z,YAS537_Uncalibrated_Magnetometer.x,YAS537_Uncalibrated_Magnetometer.y,YAS537_Uncalibrated_Magnetometer.z,K6DS3TR_Uncalibrated_Gyroscope.x,K6DS3TR_Uncalibrated_Gyroscope.y,K6DS3TR_Uncalibrated_Gyroscope.z,Screen_Orientation_Sensor.x,Screen_Orientation_Sensor.y,Screen_Orientation_Sensor.z,Samsung_Orientation_Sensor.x,Samsung_Orientation_Sensor.y,Samsung_Orientation_Sensor.z
1587633937270,0.08379706,0.46926352,9.685743,-17.099998,-238.4,-19.3,0.0,0.0,0.0,-1.0,0.0,0.0,11.278713,-2.7737625,0.49572554
1587633937283,0.08379706,0.41299978,9.76116,-17.099998,-238.4,-19.3,0.0,0.0,0.0,-1.0,0.0,0.0,14.008384,-2.4232397,0.49186376
1587633937292,-0.077811554,0.36990416,9.783905,-17.099998,-238.4,-19.3,-0.1704314,0.09590584,0.02687807,-1.0,0.0,0.0,13.768708,-2.165154,-0.45551184
1587633937304,-0.090979666,0.32920274,9.661801,-38.5,-224.7,-32.2,-0.16187929,0.11362094,0.049480084,-1.0,0.0,0.0,13.749479,-1.951289,-0.5395263
1587633937314,-0.10534488,0.4177882,9.569624,-38.5,-224.7,-32.2,-0.15332718,0.115453534,0.06047566,-1.0,0.0,0.0,12.853379,-2.4995809,-0.63069487
1587633937326,-0.076614454,0.50637364,9.540894,-38.7,-224.7,-33.4,-0.15577064,0.028710667,0.030543262,-1.0,0.0,0.0,12.817577,-3.0382268,-0.4599944
1587633937336,-0.03232172,0.59974754,9.639056,-38.7,-224.7,-33.4,-0.15577064,0.028710667,0.030543262,-1.0,0.0,0.0,12.679087,-3.5605845,-0.19202259
1587633937347,-0.04189853,0.59256494,9.740809,-38.899998,-224.7,-33.3,-0.15393804,0.015271631,-0.01160644,-1.0,0.0,0.0,12.697678,-3.4811049,-0.24656962
1587633937360,-0.05865794,0.50158525,9.782708,-38.899998,-224.7,-33.3,-0.14905111,0.013439035,-0.04886922,-1.0,0.0,0.0,12.618542,-2.9350023,-0.34356323
1587633937370,-0.095768064,0.34955344,9.782708,-39.2,-224.9,-33.5,-0.14905111,0.01282817,-0.03848451,-1.0,0.0,0.0,12.664262,-2.0462706,-0.5608914
1587633937379,-0.08738836,0.25019407,9.862914,-39.5,-224.9,-33.7,-0.14049901,0.025045475,-0.01160644,-1.0,0.0,0.0,14.1627035,-1.4526879,-0.5076153
1587633937393,-0.092176765,0.2753332,9.872491,-39.5,-224.9,-33.7,-0.1282817,0.047036625,0.016493361,-1.0,0.0,0.0,14.806685,-1.597489,-0.5349596
1587633937402,-0.092176765,0.40581718,9.7719345,-39.6,-225.0,-33.8,-0.1282817,0.048258353,0.032375857,-1.0,0.0,0.0,14.795932,-2.3777878,-0.5404447
1587633937413,-0.110133275,0.51834464,9.763555,-39.6,-225.0,-33.8,-0.13622294,0.029932396,0.021991149,-1.0,0.0,0.0,14.796165,-3.038795,-0.6462747
1587633937424,-0.110133275,0.5566519,9.779117,-39.5,-224.9,-33.9,-0.14844026,0.018325957,-0.0030543262,-1.0,0.0,0.0,14.805921,-3.2569785,-0.64522403
1587633937436,-0.1376666,0.51954174,9.78989,-39.5,-224.9,-33.9,-0.18203785,0.0018325958,-0.04642576,-1.0,0.0,0.0,14.4048,-3.0369198,-0.8062834
