@ HyperIMU -ianovir - 2018
@ Date:Wed Apr 15 15:04:21 GMT+02:00 2020, Sampling Rate:50ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1586955861059,-1.5023615,1.7262194,9.664195
1586955861109,-1.3479356,1.7429788,9.609129
1586955861161,-1.1420342,1.769315,9.269152
1586955861211,-0.9576807,1.5466543,9.792285
1586955861262,-1.1432313,1.9835961,9.55047
1586955861314,-1.0127473,1.8195933,9.605537
1586955861364,-0.9588778,1.8782512,9.507375
1586955861415,-1.0893618,1.8219875,9.443929
1586955861466,-1.0390835,1.899799,9.417592
1586955861518,-1.009156,1.8148049,9.65821
1586955861570,-0.8391677,2.0458453,9.090784
1586955861617,-0.9552865,1.7405846,9.592369
1586955861668,-0.89902276,1.827973,9.460688
1586955861719,-1.0163386,1.804031,9.41879
1586955861771,-1.127669,1.7082629,9.16261
1586955861822,-0.61770403,1.7082629,9.685743
1586955861874,-0.2621651,1.5490485,9.39365
1586955861925,-0.830788,1.62686,9.757569
1586955861978,-0.81283146,1.7848774,9.872491
1586955862026,-0.8702923,1.5035586,9.43076
1586955862077,-1.0486604,1.6579847,9.818622
1586955862126,-0.5386954,1.3515269,9.595961
1586955862177,-0.6775591,1.6053122,9.419987
1586955862228,-1.1085154,1.8363527,10.156203
1586955862280,-0.3184288,1.316811,9.460688
1586955862332,-0.7781156,0.9995792,9.861717
1586955862381,-0.9983821,1.3120226,9.458294
1586955862432,-1.1575965,1.2892777,9.467871
1586955862483,-0.91099375,1.1492168,9.514558
1586955862535,-1.1168951,1.1180922,9.625888
1586955862587,-1.1025299,1.2677298,9.527725
1586955862636,-1.151611,1.365892,9.835381
1586955862688,-0.88944596,1.3814543,9.563639
1586955862739,-1.1719618,1.2605472,9.667787
1586955862789,-1.1073183,1.4879963,9.660604
1586955862841,-1.3479356,1.5705963,9.609129
1586955862891,-1.2018893,1.5095441,9.441534
1586955862943,-1.2078748,1.5454572,9.522937
1586955862993,-1.1324574,1.5969325,9.3661175
1586955863045,-1.4975731,1.6328455,9.396045
1586955863097,-1.13964,1.7322049,9.757569
1586955863145,-1.1563994,1.6136919,9.27394
1586955863198,-0.94331545,1.5897499,9.406818
1586955863248,-0.9923966,1.5861586,9.586384
1586955863301,-0.79607207,1.2916719,9.661801
1586955863351,-0.4417302,1.1971009,9.932345
1586955863401,-0.5327099,1.7549498,9.919178
1586955863453,-0.4345476,1.3515269,9.654618
1586955863503,-0.49559975,1.2042835,9.718064
1586955863554,-0.23702596,1.1959038,9.514558
1586955863606,-0.61291564,1.459266,9.288305
1586955863653,-0.45370123,1.3275849,9.654618
1586955863705,-0.4213795,1.4317327,9.457097
1586955863758,-0.7062895,1.4149733,9.647436
1586955863808,-0.82360536,1.4748282,9.551667
1586955863859,-1.2545617,0.8631097,10.437522
1586955863911,-0.8367735,1.292869,9.941922
1586955863961,-1.2318168,1.553837,9.324219
1586955864012,-1.2473791,0.5530606,9.325416
1586955864064,-1.5047557,0.60693014,9.841366
1586955864114,-0.82121116,0.5662287,10.08318
1586955864166,-0.4249708,0.48243165,9.561244
1586955864215,-0.8559271,0.35553896,9.616311
1586955864267,-0.061052144,0.51595044,9.849746
1586955864318,-0.91338795,1.0690111,9.374496
1586955864369,0.2645593,0.9552865,10.451887
1586955864421,-1.6124948,1.8974048,9.030929
1586955864470,-3.2357635,3.8019924,8.865729
1586955864521,-1.4161704,1.3383588,9.8437605
1586955864572,-2.9771898,1.4317327,8.929175
1586955864624,-3.0298622,2.6803088,9.442732
1586955864671,-3.0705638,1.1935096,8.8884735
1586955864722,-3.406949,2.1823149,9.338584
1586955864772,-3.5853171,2.6120741,7.8493905
1586955864837,-4.080917,1.3814543,6.9527617
1586955864883,-2.695871,-0.38067806,9.634268
1586955864933,-1.7274165,-0.47405192,9.563639
1586955864982,-0.10175357,0.17597382,10.305841
1586955865032,-3.6092591,3.8307228,8.669404
1586955865081,-2.634819,1.0139444,9.31105
1586955865133,-4.4675803,0.1364695,5.3402667
1586955865180,-3.6942532,1.3575124,7.953538
1586955865232,-2.7126305,0.58657944,12.032061
1586955865283,-2.4229321,2.505532,8.596381
1586955865334,-2.2900538,3.2728736,8.050503
1586955865385,-1.4437037,-0.077811554,11.383232
1586955865435,-2.043451,1.7202339,8.541314
1586955865487,-1.5885528,1.3275849,8.980651
1586955865539,-1.0582372,1.6711528,10.350134
1586955865591,-0.45609543,2.1787236,9.581595
1586955865641,-0.62728083,1.3862427,9.323022
1586955865693,-1.021127,0.9959879,9.96347
1586955865742,-0.9911995,0.6799533,10.3932295
1586955865793,-0.712275,0.40222588,9.3733
1586955865845,-1.0785879,0.40222588,8.870518
1586955865896,-0.8355764,0.25258827,8.7771435
1586955865947,3.074155,3.0430303,10.261548
1586955865998,-1.4077905,-2.6276364,8.094796
1586955866049,2.7377696,-0.24301147,7.964312
1586955866111,0.7733272,-2.552219,9.436746
1586955866159,3.086126,-1.1240777,8.7053175
1586955866214,2.5677812,-8.289924,4.19105
1586955866263,5.221754,-6.2249246,4.4819455
1586955866314,9.022549,-7.3466077,4.924873
1586955866364,11.10311,-8.65025,1.1324574
1586955866415,8.851364,-9.069236,2.0231004
1586955866466,11.73518,-9.552865,-6.385336
1586955866517,7.338228,-10.376471,-3.5446155
1586955866568,7.8146744,-9.655815,-4.951209
1586955866619,8.421604,-9.19972,0.5506664
1586955866669,3.867833,-11.298238,-3.1663318
1586955866720,3.8486793,-9.841366,-2.328361
1586955866772,2.0159178,-9.156625,-2.5941176
1586955866821,2.0853498,-8.325836,-4.068946
1586955866873,1.2090719,-5.197812,0.075417355
1586955866925,0.7721301,-7.1227503,-1.1851299
1586955866975,0.60573304,-5.9878983,-1.1779473
1586955867026,-0.6380547,-12.215217,-2.420538
1586955867077,1.2988545,-7.0593038,-0.022744916
1586955867128,2.9640217,-3.7912183,-3.4009635
1586955867179,1.3826514,-17.3424,-3.2106245
1586955867245,-0.0047884034,-10.739192,-0.044292733
1586955867287,1.5622166,-9.045294,-1.9716251
1586955867333,2.2337902,-9.202114,-4.402937
1586955867383,1.1575965,-12.956223,-2.054225
1586955867432,0.92535895,-10.921151,0.45489833
1586955867484,0.11971009,-9.873688,1.0785879
1586955867536,0.58538234,-8.497022,0.18914193
1586955867586,1.0079589,-9.059659,-0.047884032
1586955867639,1.6687586,-9.247604,1.13964
1586955867689,0.7206547,-9.812635,-0.82001406
1586955867741,-1.34195,-10.535685,-0.5758055
1586955867790,0.19393034,-7.441179,-0.09696517
1586955867842,0.12090719,-8.277952,-0.29568392
1586955867894,-0.51475334,-10.344149,-0.688333
1586955867944,-1.6041151,-11.332953,-0.2825158
1586955867996,-0.11731588,-11.639412,-2.244564
1586955868047,-2.743755,-10.540473,-1.4065934
1586955868097,-1.0283096,-11.366472,-0.82001406
1586955868148,-1.4496891,-7.053318,-0.34237084
1586955868200,-1.721431,-9.740809,-2.0147207
1586955868248,-1.0785879,-10.250774,-0.8655039
