@ HyperIMU -ianovir - 2018
@ Date:Wed Apr 15 15:00:16 GMT+02:00 2020, Sampling Rate:50ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1586955616210,0.0,0.0,0.0
1586955616262,-2.0254946,1.3204023,9.546879
1586955616311,-2.0159178,1.3455414,9.400833
1586955616362,-1.9476831,1.079785,9.563639
1586955616413,-2.2218192,1.7034745,9.375694
1586955616464,-2.1308396,1.2940661,9.266758
1586955616515,-1.6843209,0.9911995,9.209297
1586955616566,-2.0231004,1.0845734,9.465476
1586955616617,-1.685518,1.3431472,9.896433
1586955616668,-2.3175871,1.2066777,8.957906
1586955616720,-2.421735,1.5191209,9.264363
1586955616768,-3.0909145,-0.50278234,7.97748
1586955616818,-1.9752164,0.78410107,9.742006
1586955616870,-2.1918917,0.9744401,9.598354
1586955616921,-2.3415294,1.3910311,9.727641
1586955616973,-1.9524715,0.985214,9.536105
1586955617025,-1.9835961,1.0905589,9.545682
1586955617081,-1.8339585,1.0941502,9.587581
1586955617132,-1.9812019,0.9792285,9.372103
1586955617182,-1.9740193,1.0498575,9.634268
1586955617232,-2.0578163,1.1456255,9.349358
1586955617284,-1.9835961,1.0295067,9.487024
1586955617334,-2.0458453,1.043872,9.363723
1586955617390,-1.8914193,1.0594343,9.455899
1586955617439,-1.8028339,1.0546459,9.487024
1586955617494,-1.733402,1.0354922,9.5492735
1586955617541,-1.79206,1.151611,9.372103
1586955617590,-1.460463,1.1875241,9.1255
1586955617640,-1.2473791,0.93134445,9.175778
1586955617692,-0.7589619,1.1013328,9.985018
1586955617743,-0.50757074,1.198298,10.020931
1586955617793,-0.48722005,1.1252748,9.489418
1586955617844,-0.7170634,1.1336545,9.762358
1586955617896,-0.7577648,1.1264719,9.76954
1586955617947,-0.6667852,1.0151415,9.488221
1586955617996,-0.6919243,1.0283096,9.566033
1586955618048,-0.760159,1.0737995,9.655815
1586955618099,-0.688333,1.033098,9.595961
1586955618150,-0.6811504,1.1061212,9.701305
1586955618201,-0.6572084,1.0462662,9.557653
1586955618252,-0.7673417,1.0247183,9.466674
1586955618301,-0.7685388,1.1324574,9.38168
1586955618352,-0.7505822,1.0199299,9.864111
1586955618403,-0.49200845,1.1168951,10.030508
1586955618454,-0.21188685,0.7098808,9.539697
1586955618505,-0.37229836,0.8487445,10.149021
1586955618556,0.053869538,1.0402806,9.759963
1586955618607,-0.52073884,1.0031705,9.19134
1586955618658,-0.32561144,0.92296475,9.646238
1586955618710,-0.4333505,0.8379706,9.635465
1586955618761,-0.2693477,0.82480246,9.762358
1586955618810,-0.39504328,0.89184016,9.661801
1586955618861,-0.30166942,0.80325466,9.473856
1586955618912,-0.49799395,1.0570401,9.544485
1586955618963,-0.2908955,0.7386112,9.712079
1586955619014,-0.08140286,1.0426749,10.350134
1586955619065,-0.5638345,0.63206923,9.151836
1586955619116,-0.15562311,0.30526072,9.712079
1586955619167,-0.4333505,1.7992426,10.354922
1586955619218,-1.5765818,0.61171854,10.463859
1586955619268,-2.2732944,0.7769185,9.502586
1586955619319,-1.4616601,0.32680854,9.5385
1586955619371,-2.5270798,1.4927847,8.797494
1586955619421,-1.4425066,1.0175357,9.232041
1586955619473,-1.4053963,1.4389153,10.111911
1586955619523,-1.2210429,0.878672,8.706514
1586955619576,-2.3774424,1.34195,9.368511
1586955619626,-2.183512,1.7992426,9.496601
1586955619676,-2.1045034,0.2813187,8.49343
1586955619728,-1.1372458,0.80205756,10.108319
