@ HyperIMU -ianovir - 2018
@ Date:Wed Apr 15 15:02:52 GMT+02:00 2020, Sampling Rate:50ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1586955772401,0.0,0.0,0.0
1586955772453,-1.4640543,1.4149733,9.838972
1586955772502,-1.4293385,1.4879963,9.315839
1586955772553,-1.3479356,1.4796166,9.394848
1586955772604,-1.3383588,1.4161704,9.545682
1586955772655,-1.3874398,1.5095441,9.374496
1586955772706,-1.0761937,1.1204864,9.776723
1586955772757,-1.2964603,1.2593501,9.647436
1586955772808,-1.0534488,1.246182,9.673772
1586955772860,-1.1839328,1.1755531,9.561244
1586955772913,-1.067814,1.151611,9.647436
1586955772959,-1.1324574,1.3072342,9.743204
1586955773010,-1.0737995,1.198298,9.54209
1586955773061,-1.1336545,1.1348516,9.694122
1586955773112,-1.0007763,1.1887212,9.599552
1586955773164,-0.92057055,1.1839328,9.657013
1586955773215,-1.0055647,1.1109096,9.82341
1586955773273,-0.89423436,1.1887212,9.67856
1586955773323,-0.93852705,1.246182,9.495404
1586955773372,-0.8798691,1.1671734,9.750386
1586955773423,-0.92895025,1.2042835,9.539697
1586955773473,-0.90500826,1.3156139,9.629479
1586955773525,-0.7565677,1.2844892,9.7863
1586955773575,-0.7422025,1.2186487,9.609129
1586955773627,-0.842759,1.2773066,9.580399
1586955773678,-0.8595184,1.316811,9.716867
1586955773728,-0.8834604,1.3431472,9.622296
1586955773780,-0.8834604,1.2916719,9.520543
1586955773831,-0.8343793,1.2401965,9.478644
1586955773881,-0.8774749,1.4149733,8.847773
1586955773933,-1.30484,1.4149733,8.209718
1586955773982,-0.49679685,0.5315128,9.452309
1586955774033,-1.4341269,0.4201824,8.950723
1586955774085,-0.41299978,0.8379706,9.694122
1586955774135,-0.866701,0.79248077,10.78947
1586955774187,-0.6428431,1.5382746,10.746374
1586955774237,-1.8950106,0.7781156,9.692925
1586955774290,-0.9540894,1.1994951,9.210494
1586955774340,-1.9069817,1.6184803,9.356541
1586955774390,-1.650802,1.7501614,8.801085
1586955774442,-1.2904748,1.3204023,9.824607
1586955774490,-1.6316484,1.8231846,9.874885
1586955774542,-1.7262194,1.4772224,9.916783
1586955774594,-3.2872388,0.93373865,9.665392
1586955774644,-2.1021092,0.94690675,9.229648
1586955774696,-3.1112652,0.8559271,9.610326
1586955774747,1.2761095,3.5470097,8.206126
1586955774797,-3.527856,0.9911995,10.3692875
1586955774849,-0.36750996,1.6843209,9.222465
1586955774899,0.17597382,1.5167267,11.155783
1586955774951,-0.4165911,1.5119383,10.338163
1586955774999,-1.8830396,2.3235726,9.544485
1586955775051,-1.863886,1.8471266,9.210494
1586955775103,-3.8402996,1.3982137,8.045714
1586955775154,-3.1830912,1.9835961,8.39048
