@ HyperIMU -ianovir - 2018
@ Date:Wed Apr 15 14:58:56 GMT+02:00 2020, Sampling Rate:50ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1586955536164,0.0,0.0,0.0
1586955536215,-1.4927847,1.7657237,9.715671
1586955536266,-0.7781156,1.8231846,9.694122
1586955536317,-0.5255273,1.8148049,9.40203
1586955536368,-0.4357447,1.5813702,9.269152
1586955536419,-0.4345476,1.8435353,9.455899
1586955536470,-0.62847793,2.0398598,9.488221
1586955536521,-0.6344634,1.9548657,9.552865
1586955536572,-0.5374983,1.8507179,9.548077
1586955536623,-0.5506664,1.8962077,9.470264
1586955536674,-0.581791,1.9153614,9.520543
1586955536723,-0.60214174,1.8782512,9.437943
1586955536774,-0.6775591,1.8351556,9.516952
1586955536825,-0.5530606,1.7441759,9.579201
1586955536877,-0.62009823,1.8016368,9.445126
1586955536928,-0.49679685,1.7681179,9.580399
1586955536979,-0.5781997,1.7178397,9.531317
1586955537032,-0.59495914,1.7561469,9.531317
1586955537084,-0.6356605,1.8782512,9.531317
1586955537136,-0.581791,1.8088194,9.625888
1586955537186,-0.6607997,1.7836803,9.539697
1586955537238,-0.62488663,1.7645266,9.543288
1586955537288,-0.6344634,1.7908629,9.470264
1586955537341,-0.7062895,1.7345991,9.425972
1586955537391,-0.5781997,1.4556746,9.599552
1586955537442,-0.6548142,1.6065093,9.487024
1586955537492,-0.6799533,1.6112977,9.520543
1586955537545,-0.38307226,1.7106571,9.886856
1586955537595,-0.81402856,1.9800048,9.527725
1586955537645,-0.7469909,1.6448165,10.052056
1586955537696,-0.020350715,1.4293385,9.6845455
1586955537746,-0.7015011,1.5945383,9.7803135
1586955537798,-0.5710171,1.6998832,9.465476
1586955537848,-0.58657944,1.6747441,9.39365
1586955537900,-0.61291564,1.6938977,9.613917
1586955537950,-0.7074866,1.7645266,9.674969
1586955538002,-0.6859388,1.6472107,9.526528
1586955538053,-0.7098808,1.3347675,9.704897
1586955538103,-1.0809821,1.6232687,9.48463
1586955538155,-0.5518635,1.508347,9.642648
1586955538205,-0.8283938,1.5155296,9.531317
1586955538258,-0.81761986,1.8435353,9.850943
1586955538308,-0.7290344,1.3982137,9.568427
1586955538358,-0.6500258,1.3251907,10.703279
1586955538410,-0.78529817,1.6915035,9.8042555
1586955538460,-0.93613285,1.7621324,9.53012
1586955538512,-0.24301147,1.6819267,9.428367
1586955538563,-0.19752164,1.3359646,9.14226
1586955538613,-0.36152446,1.6017209,9.85214
1586955538665,-0.641646,1.3958195,9.491813
1586955538715,-0.50637364,1.0474633,9.61272
1586955538766,0.33279404,1.3742718,9.791088
1586955538818,0.78769237,0.90620536,9.787497
1586955538867,0.59855044,1.1001357,9.580399
1586955538919,0.6584055,1.4496891,9.339781
1586955538971,-0.39384618,0.664391,9.5013895
1586955539021,-0.32561144,1.2689269,9.783905
1586955539074,-0.90859956,1.3934253,10.077195
1586955539125,-1.0127473,0.736217,9.7479925
1586955539175,-1.0163386,0.7374141,9.217676
1586955539224,-1.435324,0.7745243,9.428367
1586955539277,-0.81163436,0.5470751,9.516952
1586955539326,-0.94092125,1.1911154,9.598354
1586955539378,-1.4089876,1.0594343,9.350554
1586955539430,-0.35913026,1.567005,9.445126
