@ HyperIMU -ianovir - 2018
@ Date:Wed Apr 15 15:01:48 GMT+02:00 2020, Sampling Rate:50ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1586955708066,0.0,0.0,0.0
1586955708116,-0.44651863,1.8722657,9.639056
1586955708167,-1.0570401,1.377863,9.712079
1586955708218,-0.5422867,1.5370775,9.765948
1586955708269,-0.712275,1.283292,10.04607
1586955708320,-0.9588778,1.0618285,9.564836
1586955708371,-0.49559975,1.1779473,9.5971575
1586955708422,-0.49919105,1.1133038,9.664195
1586955708472,-0.39504328,1.1097125,9.564836
1586955708523,-0.59855044,1.1336545,9.647436
1586955708574,-0.45370123,1.1779473,9.585187
1586955708623,-0.46686932,1.1791444,9.781511
1586955708674,-0.5530606,1.2892777,9.7084875
1586955708725,-0.49679685,1.22224,9.623494
1586955708860,-0.31483752,1.3036429,9.825804
1586955708911,-0.51954174,1.0714053,9.668983
1586955708962,-0.6380547,1.2665327,9.423578
1586955709014,-0.5566519,1.079785,9.28232
1586955709066,-0.7697359,1.0773908,9.4774475
1586955709117,-0.7074866,1.2114661,9.532514
1586955709170,-0.59974754,1.2210429,9.605537
1586955709216,-0.7589619,1.1719618,9.825804
1586955709268,-0.80564886,1.1360487,9.838972
1586955709321,-0.6631939,1.1348516,9.458294
1586955709370,-0.7493851,0.8487445,9.367314
1586955709422,-0.23343466,0.91458505,9.048885
1586955709475,-0.51954174,0.21906945,9.868899
1586955709525,-0.60573304,0.2717419,10.15381
1586955709575,-0.36750996,0.9900024,9.186552
1586955709627,0.17956513,1.3347675,9.425972
1586955709678,0.2885013,1.0151415,9.655815
1586955709728,0.17238252,1.091756,9.209297
1586955709780,0.15801731,1.1073183,9.193734
1586955709830,-0.7685388,0.82001406,9.587581
1586955709882,-0.24540567,1.271321,9.619903
1586955709932,-0.4321534,1.4101849,9.084799
1586955709984,-0.029927522,1.5059528,9.44752
1586955710034,-0.47046062,1.6352397,8.508993
1586955710086,-0.08619126,1.7717092,9.03452
1586955710136,1.3180081,1.198298,10.746374
1586955710188,0.7338228,0.46686932,13.23395
1586955710236,-0.60932434,-0.8451532,14.330494
1586955710289,0.58657944,-3.2082303,11.902774
1586955710339,1.7549498,-2.5462334,11.106702
1586955710391,-0.25498247,-1.9428947,10.326192
1586955710440,-1.8902222,-0.7685388,9.376891
1586955710492,-1.8351556,0.34237084,7.3322425
