@ HyperIMU -ianovir - 2018
@ Date:Wed Apr 15 14:53:00 GMT+02:00 2020, Sampling Rate:50ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1586955180614,-0.5781997,1.2785037,9.870096
1586955180666,-0.39743748,1.1947067,9.536105
1586955180716,0.21428105,1.4688427,9.969456
1586955180767,-0.2693477,1.3323733,9.428367
1586955180818,-0.2765303,1.5286977,9.745598
1586955180870,0.15442601,1.8602947,9.673772
1586955180919,-0.07182605,1.520318,9.722853
1586955180970,-0.842759,1.0127473,9.064447
1586955181021,0.4441244,1.9524715,10.134656
1586955181073,-0.14724341,1.2485762,9.931149
1586955181128,-0.34596214,1.4269443,10.028113
1586955181170,-1.982399,1.079785,9.193734
1586955181225,-1.5969325,1.0929531,9.220071
1586955181286,-1.9428947,1.7250223,9.461885
1586955181332,-2.0266917,1.3012487,9.166202
1586955181383,-1.4520833,0.31004912,8.965088
1586955181433,-0.6548142,1.0450691,10.649409
1586955181483,-1.3335704,0.59256494,9.5253315
1586955181533,-0.8295909,0.59735334,9.2787285
1586955181582,-1.3132197,0.842759,9.989806
1586955181635,-2.0087352,1.2677298,9.452309
1586955181681,-1.8004397,1.13964,9.980229
1586955181733,-2.0913353,1.5801731,8.993818
1586955181784,-1.9512744,1.8148049,9.176975
1586955181836,-2.086547,1.4041992,9.072827
1586955181888,-2.4744074,1.6723499,9.119514
1586955181937,-1.151611,2.055422,8.101978
1586955181991,-0.90859956,1.4951789,8.59279
1586955182040,-0.7697359,2.1691468,8.66701
1586955182092,-0.9636662,1.8662802,9.406818
1586955182141,-0.736217,1.9297266,9.746795
1586955182195,-0.45130703,1.459266,11.255142
1586955182244,0.029927522,0.78050977,12.501324
1586955182296,-0.7517793,-0.7529764,13.842077
1586955182348,-0.34715924,-0.47524905,11.022904
1586955182398,0.16280572,-0.009576807,9.709685
1586955182451,0.59974754,-0.2705448,8.702923
1586955182500,0.4189853,0.10654198,7.762002
1586955182549,0.688333,0.9900024,7.253234
1586955182601,0.56982,1.3012487,7.762002
1586955182652,0.7218518,1.5897499,8.499416
1586955182702,0.49081135,1.3910311,9.616311
1586955182753,0.23582886,1.1971009,10.557233
1586955182805,0.011971008,0.90261406,11.591528
1586955182854,-0.4417302,0.21308395,11.200075
1586955182905,-0.3866636,0.51475334,11.604695
1586955182956,0.046686932,-1.411382,12.485762
1586955183007,-0.7433996,-0.7565677,10.462662
1586955183059,-1.30484,-0.22146365,9.2069025
1586955183112,0.0023942017,-0.037110128,8.239645
1586955183162,0.61052144,0.5255273,7.489063
1586955183214,0.5746084,1.2797008,7.53575
1586955183264,0.45489833,1.3634979,7.7548194
1586955183316,0.4333505,1.5107412,7.9367785
1586955183367,0.37708676,1.5131354,8.645462
1586955183417,0.8379706,1.5837644,9.464279
1586955183469,0.7206547,1.3862427,10.777499
1586955183520,1.4879963,1.0079589,11.9614315
1586955183570,1.9285295,-0.7146692,13.6888485
1586955183621,1.5370775,-0.81402856,12.494142
1586955183672,0.973243,-0.78888947,10.728417
1586955183722,1.0737995,-0.37588966,8.895657
1586955183774,0.7386112,0.25139117,8.056489
1586955183825,0.79367787,0.94092125,7.16824
1586955183876,1.3323733,1.3347675,7.2604165
1586955183926,1.3958195,1.3359646,7.9236107
1586955183977,1.4903905,1.6280571,8.626308
1586955184028,1.436521,1.6400281,9.472659
1586955184079,0.8846575,1.7190368,9.411607
1586955184130,-0.010773907,0.688333,10.824186
1586955184183,-0.7673417,0.17597382,11.835736
1586955184230,-0.9576807,-1.5622166,12.518084
1586955184282,-0.51954174,-1.5394717,11.939884
1586955184334,-1.4077905,-0.46447513,10.262746
1586955184385,-0.90381116,0.4141969,8.820239
1586955184435,-0.2801216,0.7134721,8.206126
1586955184487,-0.015562311,0.92775315,7.8050976
1586955184538,0.49081135,1.1288661,7.833828
1586955184589,0.78290397,1.5478514,7.848193
1586955184639,0.7170634,2.183512,8.1319065
1586955184692,0.5770026,3.1376014,8.9124155
1586955184738,0.4201824,2.9161377,9.676167
1586955184790,0.6596026,2.2254105,12.081141
1586955184842,0.7026982,0.4417302,13.980941
1586955184893,0.5805939,0.094570965,12.897565
1586955184945,0.61411273,-0.142455,11.064803
1586955184996,0.011971008,-0.6428431,9.309854
1586955185046,-0.22026655,-0.2693477,7.9451585
1586955185098,-0.10175357,-0.34356794,7.4615297
1586955185150,0.12090719,0.58897364,6.727707
1586955185200,0.59615624,1.4688427,7.302315
1586955185254,1.1360487,1.9680338,9.029732
1586955185302,1.3036429,1.8136078,9.759963
1586955185354,1.3503298,1.7609353,11.326968
1586955185404,0.09935937,0.8415619,12.005724
1586955185455,-0.05746084,0.770933,12.389994
1586955185507,-0.40581718,-1.7609353,13.019669
1586955185558,-0.6536171,-0.8690952,10.490194
1586955185610,-0.90620536,-0.22625206,9.175778
1586955185660,-0.47285482,0.23104046,8.306683
1586955185712,0.34356794,0.45729253,7.3310456
1586955185760,0.5231331,0.6823475,7.48188
1586955185812,0.4429273,1.1683705,7.417237
1586955185864,0.7493851,1.3982137,8.371326
1586955185914,0.7182605,2.0039468,8.725668
1586955185967,0.51714754,2.2014685,9.576807
1586955186017,0.050278235,1.6603789,10.984597
1586955186067,0.32441434,1.3587095,11.693281
1586955186120,0.89184016,-1.0462662,14.733917
1586955186170,0.17238252,-0.05267244,11.514913
1586955186220,0.2717419,-0.142455,9.928755
1586955186273,0.736217,0.30765492,8.111555
1586955186324,0.6679823,1.0163386,6.9982514
1586955186375,0.6500258,1.34195,7.201759
1586955186425,1.0785879,1.3108255,7.469909
1586955186475,1.0929531,1.0055647,8.652645
1586955186528,0.79966336,1.4927847,8.821436
1586955186578,0.748188,1.6340426,9.5971575
1586955186628,0.30645782,1.5275006,10.723629
1586955186681,-0.025139118,1.8674773,11.106702
1586955186732,-0.6584055,-0.08259996,13.022063
1586955186782,-0.019153614,-1.3299791,12.508507
1586955186834,-1.6328455,0.25617957,9.562442
1586955186884,-1.2162545,0.6440403,8.555679
1586955186936,-0.06344634,0.58418524,8.052897
1586955186985,0.45609543,0.7146692,7.703344
1586955187036,0.5638345,1.0043676,7.789535
1586955187087,1.021127,1.13964,7.7572136
1586955187139,1.5598224,1.0761937,8.0684595
1586955187191,1.4329298,1.7561469,9.137471
1586955187241,0.32800564,2.1918917,10.480618
1586955187294,-0.12090719,2.3391352,11.541249
1586955187344,-0.08738836,2.078167,12.097901
1586955187395,0.439336,-0.18914193,13.263878
1586955187444,1.62686,-0.17118542,12.312182
1586955187500,0.7086837,0.39145198,9.483433
1586955187550,1.365892,0.6356605,8.084022
1586955187601,1.8746599,0.92057055,6.801927
1586955187651,1.685518,1.328782,6.4272346
1586955187702,1.3204023,1.578976,6.8905125
1586955187753,1.0582372,1.7381904,8.503007
1586955187803,0.80445176,1.7597382,9.187749
1586955187855,0.62488663,2.006341,9.593566
1586955187906,0.15322891,1.7621324,9.751583
1586955187956,0.3854665,2.1092918,10.02572
1586955188009,-0.6703765,0.7026982,12.750321
1586955188060,-0.62728083,-1.4161704,15.003265
1586955188110,-1.1360487,-0.6332663,12.391191
1586955188161,-1.7753005,0.4297592,8.085219
1586955188210,-0.5542577,0.7553706,7.064092
1586955188262,0.19273324,0.8655039,7.20535
1586955188309,0.61650693,0.7278373,7.5644803
1586955188362,0.7110779,1.1587936,8.639477
1586955188413,0.2813187,0.93493575,10.223241
1586955188464,0.6679823,2.0410569,9.355343
1586955188515,0.2861071,2.1883004,10.46745
1586955188566,0.25258827,1.9979613,10.824186
1586955188620,1.2401965,1.2557588,12.716803
