@ HyperIMU -ianovir - 2018
@ Date:Mon Apr 20 10:02:03 GMT+02:00 2020, Sampling Rate:10ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1587369723202,0.0,0.0,0.0
1587369723213,0.0,0.0,0.0
1587369723224,-1.4616601,0.7038953,9.836577
1587369723236,-1.5861586,0.6607997,9.801862
1587369723245,-1.5861586,0.6607997,9.801862
1587369723256,-1.5861586,0.6607997,9.801862
1587369723268,-1.6041151,0.78529817,9.785102
1587369723279,-1.3467385,0.91338795,9.7084875
1587369723290,-1.2246342,0.91817635,9.716867
1587369723301,-1.0977415,0.9552865,9.794679
1587369723312,-1.1540052,0.9624691,9.860519
1587369723321,-1.1204864,0.80684596,9.902418
1587369723332,-1.2413936,0.80804306,9.835381
1587369723343,-1.3335704,0.80924016,9.90601
1587369723354,-1.4437037,0.8403648,9.892841
1587369723366,-1.5107412,0.8523358,9.791088
1587369723377,-1.5131354,0.8810662,9.737218
1587369723388,-1.5107412,0.90261406,9.703699
1587369723399,-1.5047557,0.91578215,9.631873
1587369723411,-1.340753,0.8810662,9.579201
1587369723420,-1.340753,0.8810662,9.579201
1587369723433,-1.2318168,0.7685388,9.520543
1587369723442,-1.2318168,0.7685388,9.520543
1587369723454,-1.4341269,0.676362,9.698911
1587369723465,-1.541866,0.7541735,9.77792
1587369723476,-1.5849615,0.830788,9.792285
1587369723487,-1.5562311,0.8607155,9.885659
1587369723498,-1.4987702,0.9816227,9.888053
1587369723509,-1.3623008,0.92057055,9.604341
1587369723521,-1.0462662,0.81402856,9.246407
1587369723530,-1.0462662,0.81402856,9.246407
1587369723543,-1.1935096,0.7685388,9.3733
1587369723552,-1.780089,0.81283146,9.779117
1587369723564,-1.8614918,0.8511387,9.949105
1587369723575,-1.8303672,0.91578215,10.117896
1587369723586,-1.7118542,1.1001357,9.921572
1587369723597,-1.5215151,1.2054806,9.581595
1587369723608,-1.0857705,0.9959879,8.892065
1587369723619,-0.6607997,0.7254431,8.63828
1587369723630,-0.56982,0.50397944,8.728063
1587369723642,-0.7086837,0.2861071,9.485827
1587369723649,-1.0905589,0.20709845,10.089166
1587369723660,-1.4688427,0.09696517,10.344149
1587369723671,-2.0087352,0.46327803,10.029311
1587369723686,-2.0087352,0.46327803,10.029311
1587369723695,-1.8866309,0.5554548,9.691729
1587369723706,-1.1300632,0.6955156,9.011775
1587369723717,-0.8331822,0.48243165,8.763975
1587369723728,-0.91817635,0.4225766,9.147048
1587369723740,-1.055843,0.29568392,9.485827
1587369723749,-1.3682863,0.22266077,9.691729
1587369723762,-1.7034745,0.29807812,9.731233
1587369723771,-1.7034745,0.29807812,9.731233
