@ HyperIMU -ianovir - 2018
@ Date:Mon Apr 20 09:58:20 GMT+02:00 2020, Sampling Rate:10ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1587369500418,-0.91697925,0.5482722,9.813833
1587369500429,-0.7314286,0.5386954,9.811439
1587369500440,-0.6775591,0.60214174,9.66659
1587369500451,-0.6919243,0.5291186,9.528923
1587369500462,-0.7338228,0.47524905,9.548077
1587369500472,-0.7338228,0.47524905,9.548077
1587369500483,-1.0319009,0.63206923,9.645041
1587369500494,-1.2258313,0.80804306,9.6845455
1587369500505,-1.4532804,1.0414777,9.472659
1587369500516,-1.4532804,1.2413936,9.514558
1587369500527,-1.472434,1.0151415,9.487024
1587369500535,-1.4161704,0.82719666,9.503783
1587369500547,-1.283292,0.62249243,9.616311
1587369500558,-0.9995792,0.4381389,9.500193
1587369500569,-0.79846627,0.33518824,9.712079
1587369500580,-0.7074866,0.33877954,9.750386
1587369500591,-0.5710171,0.2669535,9.776723
1587369500603,-0.4225766,0.19393034,9.774328
1587369500614,-0.33877954,0.049081136,9.794679
1587369500625,-0.2681506,-0.0047884034,9.765948
1587369500637,-0.25258827,-0.0047884034,9.96347
1587369500644,-0.30286652,0.045489833,9.97185
1587369500655,-0.35913026,0.08259996,9.895236
1587369500666,-0.34476504,0.110133275,9.800665
1587369500677,-2.8682537,0.36391866,9.060856
1587369500689,1.292869,-0.3184288,10.424355
1587369500700,-0.92775315,1.1839328,9.719262
1587369500711,-0.91817635,0.59136784,9.555259
1587369500722,-1.210269,1.2533646,9.645041
1587369500733,-1.3443443,0.9888053,9.781511
1587369500744,-1.400608,1.3335704,9.300277
1587369500753,-1.0103531,1.0067618,9.210494
1587369500764,-1.2880806,1.1731589,9.216479
1587369500776,-1.1097125,0.6787562,9.367314
1587369500787,-0.79248077,0.5722142,9.935937
1587369500798,-0.89064306,0.34356794,9.828198
1587369500810,-0.89184016,0.4165911,9.775525
1587369500819,-0.78050977,0.29688102,9.78989
1587369500830,-0.61770403,0.074220255,9.600749
1587369500841,-0.6787562,0.023942016,9.725247
1587369500852,-0.78170687,0.16998832,9.882068
1587369500862,-0.6464345,0.25378537,9.913192
1587369500874,-0.50038815,0.24779987,9.713276
1587369500883,-0.46926352,0.25378537,9.623494
1587369500894,-0.50876784,0.37588966,9.657013
1587369500905,-0.6607997,0.5638345,9.704897
1587369500916,-0.7194576,0.7374141,9.660604
1587369500927,-0.93732995,0.9959879,9.556456
1587369500938,-1.021127,0.89423436,9.595961
1587369500949,-1.1097125,0.9744401,9.763555
1587369500960,-1.3275849,1.0342951,9.655815
1587369500970,-1.4628572,1.0857705,9.48463
1587369500981,-1.7022774,1.0989386,9.510966
1587369500993,-1.661576,1.1599907,9.7240505
1587369501003,-1.7238252,1.0953473,9.973047
1587369501014,-1.7525556,1.1695676,9.745598
1587369501025,-1.8219875,1.0342951,9.331401
1587369501037,-1.9321208,1.0031705,9.176975
1587369501047,-1.9405005,1.1013328,9.226056
1587369501058,-2.1212628,0.89782566,9.305065
1587369501069,-1.9165585,0.9576807,9.279925
1587369501078,-1.5837644,0.7290344,9.176975
1587369501089,-1.2593501,0.62847793,9.412804
1587369501101,-1.033098,0.5566519,9.361329
1587369501112,-1.079785,0.5267244,9.551667
1587369501123,-1.1133038,0.56982,9.494206
1587369501135,-1.1085154,0.63206923,9.449914
1587369501144,-1.1180922,0.7302315,9.334992
1587369501155,-1.2306197,0.79607207,9.339781
1587369501167,-1.1839328,0.80205756,9.212888
1587369501178,-0.8463503,0.48602295,9.901221
1587369501188,-0.8702923,0.48362875,10.204087
1587369501199,-0.92057055,0.30047232,9.7240505
1587369501210,-1.4341269,0.58538234,9.941922
1587369501221,-2.2026656,1.2653356,9.82341
1587369501232,-2.4169466,1.8459295,9.281123
1587369501243,-2.5139117,2.0709844,9.050082
1587369501254,-2.705448,2.3475149,8.826224
1587369501265,-3.0071173,2.4193408,8.748413
1587369501276,-3.0825348,2.1942859,9.193734
1587369501286,-2.9472623,1.9333179,9.630676
1587369501299,-2.5007436,1.353921,9.64145
1587369501312,-2.6312277,1.0342951,9.23683
1587369501320,-2.5941176,1.1145009,9.232041
1587369501332,-2.4648306,1.3072342,9.619903
1587369501342,-3.38181,1.2557588,8.37013
1587369501352,-3.8606503,1.9141643,9.770737
1587369501364,-2.847903,3.0502129,7.8529816
1587369501374,-3.513491,2.4025815,7.7129207
1587369501386,-3.5877113,2.7748797,8.571242
1587369501397,-3.513491,3.168726,9.287108
1587369501407,-1.7860745,2.1906946,9.387665
1587369501419,-2.5713725,2.1703439,9.425972
1587369501430,-2.3355439,1.483208,9.490616
1587369501440,-1.5837644,2.1511903,9.436746
1587369501453,-1.9548657,1.899799,10.019734
1587369501463,-1.4640543,1.5239093,9.752781
1587369501473,-1.4820108,1.5179238,9.24521
1587369501485,-2.0913353,1.6041151,9.41879
1587369501496,-2.3127987,1.8435353,9.481039
1587369501506,-2.0458453,1.8100165,9.458294
1587369501518,-1.745373,2.2756886,9.821015
1587369501532,-1.9895816,2.2936451,10.0508585
1587369501541,-2.3798366,2.4636335,10.365696
1587369501551,-2.3558946,2.7210102,10.328587
1587369501562,-2.5378537,2.6731262,10.404003
1587369501572,-2.7808652,2.2984335,10.17416
1587369501584,-2.5330653,2.1775265,9.665392
1587369501594,-2.087744,2.0901382,9.238028
1587369501606,-1.9321208,1.4796166,8.948329
1587369501616,-2.0099323,0.973243,8.993818
1587369501628,-2.6599581,0.9816227,8.775947
1587369501639,-2.6599581,0.9816227,8.775947
1587369501649,-3.441665,2.9747956,7.6494746
1587369501661,-3.5757403,3.7936125,7.028179
1587369501672,-2.8419175,4.2820296,4.547786
1587369501681,-2.054225,3.927688,4.5645456
1587369501693,-2.2122424,3.70383,7.2185183
1587369501705,-3.086126,3.9983168,7.477092
1587369501715,-3.5685577,4.727351,7.1227503
1587369501727,-3.8546648,5.1762643,7.7093296
1587369501736,-3.7122097,6.1866174,8.78672
1587369501748,-3.5901055,9.040505,8.947132
1587369501758,-5.932832,8.118738,7.773973
1587369501770,-5.7987566,5.756858,8.711303
1587369501780,-5.3127337,3.3363202,10.831368
1587369501795,-4.993108,3.0885203,10.709264
1587369501805,-5.116409,3.2022448,8.625112
1587369501816,-5.1523223,2.7377696,7.7189064
1587369501826,-5.2049947,2.6048915,8.010999
1587369501836,-4.7046065,2.60968,7.374141
1587369501848,-3.4476504,2.6635494,7.374141
1587369501859,-3.6248214,3.0214825,8.316259
1587369501870,-3.916914,3.2070332,9.016563
1587369501880,-3.776853,3.2321723,9.165004
1587369501892,-3.2142158,3.1280246,8.762778
1587369501903,-2.4947581,3.0573955,8.661025
1587369501913,-2.3690627,3.301604,8.65863
1587369501925,-2.1667526,3.1615434,8.905233
1587369501935,-2.1990743,2.528277,9.4535055
1587369501947,-2.6898856,1.970428,9.205706
1587369501955,-3.015497,1.7968484,7.9583263
1587369501967,-3.276465,1.5263035,7.6470804
1587369501980,-2.8431146,1.7729063,7.7069354
1587369501990,-2.6264393,2.1499932,7.699753
1587369502000,-2.5677812,2.6719291,7.9475527
1587369502013,-2.6372132,3.1040826,8.067263
1587369502023,-2.979584,3.0238767,8.190564
1587369502033,-3.1735144,2.6886885,8.5473
1587369502046,-3.0238767,2.256535,9.208099
1587369502056,-3.1842883,1.8842367,9.062054
1587369502068,-3.3207579,2.779668,9.203311
1587369502078,-3.406949,3.064578,9.119514
1587369502093,-3.442862,2.9340942,9.052477
1587369502104,-3.3171666,2.528277,9.2069025
1587369502114,-3.3913867,2.3894134,9.106346
1587369502124,-3.5924997,2.4241292,8.889671
1587369502134,-3.690662,2.566584,8.700529
1587369502146,-3.6260185,2.4265234,8.801085
1587369502156,-3.7720647,2.1811178,8.829816
1587369502167,-4.1419687,2.328361,8.664616
1587369502177,-4.3167458,2.2230163,8.566454
1587369502190,-4.334702,1.8734628,7.726089
1587369502200,-4.047398,2.0374656,7.4723034
1587369502210,-3.7816415,2.4229321,7.9307933
1587369502222,-3.775656,2.4648306,8.323442
1587369502232,-3.7780502,2.2110453,8.342596
1587369502244,-3.8786068,1.7776948,8.534132
1587369502254,-4.0797195,1.9728222,8.6813755
1587369502266,-4.2676644,2.6013002,9.02614
1587369502278,-4.6112323,2.2960393,9.163807
1587369502286,-4.7165775,1.1420342,8.793902
1587369502298,-4.477157,0.1328782,8.723274
