@ HyperIMU -ianovir - 2018
@ Date:Mon Apr 20 10:01:06 GMT+02:00 2020, Sampling Rate:10ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1587369666298,0.0,0.0,0.0
1587369666309,0.0,0.0,0.0
1587369666320,0.0,0.0,0.0
1587369666331,0.0,0.0,0.0
1587369666342,0.0,0.0,0.0
1587369666352,0.92176765,2.1655555,9.702502
1587369666364,1.1659763,2.1883004,9.616311
1587369666375,1.2880806,2.195483,9.561244
1587369666386,1.3012487,2.1739352,9.563639
1587369666397,1.1145009,2.0578163,9.467871
1587369666408,1.1145009,2.0578163,9.467871
1587369666417,1.009156,2.0937295,9.436746
1587369666428,0.8355764,2.124854,9.388862
1587369666439,0.760159,2.1667526,9.53012
1587369666450,0.700304,2.1763294,9.546879
1587369666461,0.700304,2.1763294,9.546879
1587369666472,0.48722005,2.0099323,9.527725
1587369666484,0.45968673,2.0003555,9.54209
1587369666495,0.46327803,2.0171149,9.55885
1587369666506,0.60453594,2.0518308,9.548077
1587369666518,0.7613561,2.0853498,9.460688
1587369666525,0.7613561,2.0853498,9.460688
1587369666536,0.7757214,2.1200657,9.433155
1587369666547,0.7505822,2.0937295,9.412804
1587369666558,0.688333,2.054225,9.374496
1587369666569,0.6739678,2.0602105,9.368511
1587369666580,0.6907272,2.0578163,9.349358
1587369666590,0.6991069,2.0147207,9.370906
1587369666601,0.6751649,1.9812019,9.398438
1587369666613,0.6751649,1.9812019,9.398438
1587369666624,0.62249243,1.910573,9.504981
1587369666633,0.61530983,1.8890251,9.566033
1587369666644,0.664391,1.899799,9.628283
1587369666655,0.6967127,1.9440918,9.598354
1587369666666,0.6979098,1.910573,9.551667
1587369666677,0.700304,1.8686744,9.504981
1587369666688,0.7769185,1.946486,9.491813
1587369666699,0.79367787,1.9883845,9.48463
1587369666710,0.79367787,1.9883845,9.48463
1587369666722,0.60693014,1.9895816,9.471462
1587369666733,0.5650316,1.9261353,9.441534
1587369666742,0.51595044,1.9213469,9.4295635
1587369666753,0.50876784,1.9333179,9.455899
1587369666765,0.50876784,1.9333179,9.455899
1587369666778,0.5781997,1.9632454,9.506178
1587369666791,0.5710171,1.8866309,9.539697
1587369666801,0.56982,1.8938135,9.52174
1587369666810,0.56982,1.8938135,9.52174
1587369666819,0.49799395,1.8830396,9.500193
1587369666830,0.49679685,1.9057846,9.522937
1587369666841,0.51116204,1.9189527,9.606734
1587369666851,0.47405192,1.8950106,9.591172
1587369666862,0.47405192,1.8950106,9.591172
1587369666873,0.45010993,1.8315643,9.616311
1587369666884,0.4417302,1.8028339,9.583989
1587369666895,0.4261679,1.7633295,9.514558
1587369666907,0.48123455,1.7202339,9.497798
1587369666916,0.545878,1.8471266,9.55885
1587369666928,0.6440403,1.9213469,9.532514
1587369666939,0.7278373,1.9333179,9.625888
1587369666950,0.61411273,1.8806454,9.56723
1587369666959,0.61411273,1.8806454,9.56723
1587369666971,0.51595044,1.7980455,9.539697
1587369666982,0.50038815,1.8255788,9.51336
1587369666993,0.47405192,1.8507179,9.526528
1587369667005,0.44651863,1.8626889,9.531317
1587369667014,0.44651863,1.8626889,9.531317
