@ HyperIMU -ianovir - 2018
@ Date:Mon Apr 20 09:56:43 GMT+02:00 2020, Sampling Rate:10ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1587369403911,0.0,0.0,0.0
1587369403922,0.0,0.0,0.0
1587369403933,0.0,0.0,0.0
1587369403943,0.0,0.0,0.0
1587369403954,0.0,0.0,0.0
1587369403966,0.0,0.0,0.0
1587369403977,0.0,0.0,0.0
1587369403988,0.90261406,1.697489,9.787497
1587369403999,0.94690675,1.8650831,9.668983
1587369404010,0.9564836,1.9405005,9.594764
1587369404021,0.80205756,1.8974048,9.564836
1587369404029,0.7218518,1.8291701,9.589975
1587369404040,0.6847417,1.7549498,9.879673
1587369404051,0.50757074,1.673547,9.903615
1587369404063,0.32680854,1.6280571,9.855731
1587369404074,0.34356794,1.578976,9.902418
1587369404085,0.45370123,1.5993267,9.853337
1587369404096,0.5566519,1.6484078,9.782708
1587369404108,0.6979098,1.7357962,9.667787
1587369404119,0.62967503,1.7202339,9.572019
1587369404130,0.545878,1.7034745,9.465476
1587369404139,0.581791,1.7741034,9.317036
1587369404150,0.581791,1.7741034,9.317036
1587369404162,0.7637503,2.1308396,8.519767
1587369404174,0.6655881,2.1452048,8.632295
1587369404183,0.60094464,1.9033904,8.957906
1587369404194,0.60453594,1.4580688,9.816227
1587369404205,0.50158525,1.1587936,9.605537
1587369404216,0.36750996,1.1994951,9.507375
1587369404227,0.3866636,1.5813702,9.336189
1587369404238,0.7098808,1.8148049,9.495404
1587369404247,0.7098808,1.8148049,9.495404
1587369404257,0.60214174,1.5382746,9.239224
1587369404268,0.60214174,1.5382746,9.239224
1587369404279,0.47285482,0.7398083,10.327389
1587369404291,0.60812724,0.78649527,10.188525
1587369404302,0.60812724,0.78649527,10.188525
1587369404313,1.0809821,0.78410107,9.714474
1587369404324,1.1121067,0.8846575,9.753978
1587369404335,1.0390835,1.0319009,9.67018
1587369404346,1.0283096,1.0941502,9.44752
