@ HyperIMU -ianovir - 2018
@ Date:Mon Apr 20 09:59:31 GMT+02:00 2020, Sampling Rate:10ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1587369571801,0.0,0.0,0.0
1587369571813,0.0,0.0,0.0
1587369571823,-0.6703765,1.4281414,9.460688
1587369571834,-0.6428431,1.3802572,9.775525
1587369571845,-0.62728083,1.4089876,10.04607
1587369571856,-0.62129533,1.4867992,10.166978
1587369571867,-0.62129533,1.4867992,10.166978
1587369571878,-0.59017074,1.5658079,10.092757
1587369571890,-0.6572084,1.508347,9.7563715
1587369571899,-0.7134721,1.4867992,9.613917
1587369571909,-0.7134721,1.4987702,9.536105
1587369571920,-0.6919243,1.4939818,9.442732
1587369571931,-0.6835446,1.5406688,9.339781
1587369571942,-0.6332663,1.6244658,9.446322
1587369571953,-0.557849,1.6472107,9.531317
1587369571963,-0.50996494,1.5753847,9.595961
1587369571974,-0.4429273,1.4867992,9.582792
1587369571985,-0.35314476,1.4305356,9.637859
1587369571996,-0.2801216,1.401805,9.794679
1587369572006,-0.25258827,1.353921,9.908403
1587369572017,-0.2717419,1.3120226,9.922769
1587369572026,-0.2717419,1.3120226,9.922769
1587369572037,-0.37349546,1.3623008,9.733627
1587369572048,-0.40581718,1.3814543,9.680955
1587369572059,-0.40462008,1.3802572,9.673772
1587369572070,-0.40222588,1.364695,9.653421
1587369572081,-0.4213795,1.376666,9.610326
1587369572092,-0.40701428,1.2497733,9.595961
1587369572103,-0.39145198,1.1647792,9.498995
1587369572114,-0.35553896,1.1264719,9.460688
1587369572125,-0.2801216,1.1264719,9.507375
1587369572133,-0.30047232,1.3503298,9.651027
1587369572144,-0.260968,1.3347675,9.751583
1587369572155,-0.19632454,1.2976574,9.7863
1587369572166,-0.10295067,1.234211,9.838972
1587369572177,-0.092176765,1.2246342,9.872491
1587369572188,-0.12330139,1.2545617,9.868899
1587369572199,-0.08020575,1.2785037,9.847352
1587369572210,-0.03232172,1.2904748,9.8042555
1587369572221,-0.03232172,1.2904748,9.8042555
1587369572232,-0.034715924,1.270124,9.829395
1587369572240,-0.050278235,1.2054806,9.828198
1587369572251,-0.088585466,1.1145009,9.77792
1587369572262,-0.10534488,1.067814,9.674969
1587369572273,-0.12808979,1.0570401,9.54209
1587369572284,-0.14844051,1.1324574,9.498995
1587369572295,-0.17238252,1.2138603,9.507375
1587369572306,-0.1436521,1.2725182,9.520543
1587369572317,-0.051475335,1.3108255,9.603143
1587369572328,-0.076614454,1.2737153,9.615114
1587369572339,-0.11731588,1.234211,9.659407
1587369572347,-0.1436521,1.1851299,9.709685
1587369572358,-0.15562311,1.1049241,9.69532
1587369572369,-0.15322891,1.0307038,9.67018
1587369572380,-0.18555063,1.0247183,9.623494
1587369572391,-0.22026655,1.0785879,9.625888
1587369572403,-0.20350714,1.1420342,9.639056
1587369572414,-0.19512744,1.1504139,9.6845455
1587369572425,-0.1592144,1.1336545,9.682152
1587369572436,-0.1328782,1.1240777,9.618706
1587369572447,-0.18076223,1.151611,9.539697
1587369572456,-0.18076223,1.151611,9.539697
1587369572467,-0.20949265,1.1779473,9.509769
1587369572477,-0.16759412,1.3132197,9.706094
1587369572488,-0.16759412,1.3132197,9.706094
1587369572499,-0.18195933,1.2306197,9.715671
1587369572510,-0.19991584,1.2066777,9.725247
1587369572521,-0.19512744,1.186327,9.7563715
1587369572532,-0.17238252,1.1587936,9.762358
1587369572543,-0.16998832,1.0965444,9.719262
1587369572554,-0.16639702,1.1168951,9.631873
1587369572563,-0.16519992,1.1659763,9.518148
1587369572574,-0.18195933,1.2330139,9.481039
1587369572585,-0.19632454,1.2856863,9.448717
1587369572595,-0.18435353,1.3120226,9.448717
1587369572606,-0.16400282,1.3575124,9.581595
1587369572617,-0.11971009,1.2617443,9.816227
1587369572628,-0.06823475,1.1707647,9.866506
1587369572639,-0.04070143,1.1324574,9.865308
1587369572649,-0.075417355,1.1432313,9.859323
1587369572660,-0.14963761,1.1719618,9.862914
1587369572669,-0.16400282,1.1815386,9.821015
1587369572680,-0.12689269,1.1671734,9.80665
1587369572690,-0.12090719,1.1791444,9.7240505
1587369572701,-0.14963761,1.1791444,9.680955
1587369572712,-0.14844051,1.1264719,9.600749
1587369572723,-0.12330139,1.0965444,9.528923
1587369572734,-0.107739076,1.1300632,9.485827
1587369572745,-0.1388637,1.2042835,9.481039
1587369572755,-0.16519992,1.271321,9.489418
1587369572766,-0.19153613,1.2904748,9.564836
1587369572775,-0.20590134,1.2545617,9.598354
1587369572788,-0.18794483,1.2258313,9.627085
1587369572797,-0.21906945,1.1659763,9.504981
1587369572808,-0.25378537,1.1755531,9.43076
1587369572818,-0.2741361,1.1899183,9.4295635
1587369572829,-0.2896984,1.2162545,9.497798
1587369572840,-0.32441434,1.1827357,9.557653
1587369572851,-0.34596214,1.1049241,9.594764
1587369572862,-0.33518824,1.0354922,9.634268
1587369572873,-0.31124622,1.055843,9.683349
1587369572881,-0.3184288,1.0737995,9.7563715
1587369572892,-0.34117374,1.1264719,9.829395
1587369572903,-0.33638534,1.1731589,9.842564
1587369572914,-0.23822308,1.151611,9.879673
1587369572924,-0.22026655,1.1695676,9.791088
1587369572935,-0.21906945,1.1947067,9.725247
1587369572946,-0.2621651,1.2545617,9.654618
1587369572957,-0.2705448,1.3072342,9.587581
1587369572967,-0.23104046,1.2725182,9.600749
1587369572978,-0.19273324,1.2354081,9.643845
1587369572988,-0.15442601,1.2210429,9.707291
1587369572999,-0.12808979,1.234211,9.725247
1587369573009,-0.16400282,1.2509704,9.671378
1587369573020,-0.22864626,1.2665327,9.600749
1587369573031,-0.29807812,1.2425907,9.587581
1587369573042,-0.31603462,1.2066777,9.624691
1587369573053,-0.25857377,1.163582,9.7240505
1587369573064,-0.18555063,1.1121067,9.776723
1587369573075,-0.12569559,1.0941502,9.864111
1587369573085,-0.073023155,1.127669,9.8916445
1587369573098,-0.11731588,1.1420342,9.697714
1587369573107,-0.16400282,1.1240777,9.615114
1587369573119,-0.17836803,1.1492168,9.598354
1587369573127,-0.19632454,1.1384429,9.551667
1587369573138,-0.15203181,1.1204864,9.616311
1587369573149,-0.11731588,1.1348516,9.691729
1587369573160,-0.10055647,1.1456255,9.731233
1587369573170,-0.10654198,1.1492168,9.738416
1587369573181,-0.12569559,1.1432313,9.691729
1587369573192,-0.16519992,1.1133038,9.624691
1587369573201,-0.20231004,1.1073183,9.544485
1587369573212,-0.20709845,1.0965444,9.466674
1587369573222,-0.21068975,1.115698,9.421184
1587369573233,-0.22505496,1.1348516,9.437943
1587369573244,-0.24061728,1.1420342,9.512163
1587369573255,-0.260968,1.1192893,9.615114
1587369573266,-0.25258827,1.0726024,9.67018
1587369573276,-0.25378537,1.0426749,9.683349
1587369573287,-0.2753332,1.0474633,9.634268
1587369573298,-0.29688102,1.0737995,9.560047
1587369573307,-0.3172317,1.0845734,9.488221
1587369573318,-0.33279404,1.1001357,9.44752
1587369573329,-0.35194764,1.1001357,9.465476
1587369573339,-0.34596214,1.0989386,9.589975
1587369573350,-0.32800564,1.0726024,9.710882
1587369573361,-0.22266077,1.1061212,9.950302
1587369573372,-0.20470424,1.0989386,9.91798
1587369573383,-0.24061728,1.0869676,9.7719345
1587369573394,-0.2861071,1.091756,9.586384
1587369573405,-0.30765492,1.091756,9.408015
1587369573413,-0.35314476,1.1408371,9.372103
1587369573424,-0.31483752,1.1073183,9.331401
1587369573435,-0.24660277,1.0642227,9.391256
1587369573446,-0.17717093,1.0606314,9.494206
1587369573457,-0.18914193,1.0462662,9.556456
1587369573467,-0.2861071,1.0199299,9.539697
1587369573478,-0.30166942,0.9947908,9.520543
1587369573489,-0.29448682,0.9804256,9.491813
1587369573500,-0.32321724,1.0067618,9.464279
1587369573511,-0.33399114,1.0414777,9.460688
1587369573520,-0.31124622,1.0714053,9.44752
1587369573531,-0.33279404,1.091756,9.467871
1587369573542,-0.30885202,1.1133038,9.425972
1587369573553,-0.2801216,1.1432313,9.398438
1587369573563,-0.34596214,1.1324574,9.398438
1587369573574,-0.37469256,1.1145009,9.419987
1587369573585,-0.320823,1.1264719,9.601946
1587369573596,-0.33518824,1.1731589,9.69532
1587369573607,-0.35434186,1.246182,9.673772
1587369573617,-0.4237737,1.3826514,9.743204
1587369573628,-0.3890578,1.3718776,9.691729
1587369573639,-0.3878607,1.3299791,9.600749
1587369573650,-0.4333505,1.3060371,9.531317
1587369573661,-0.49919105,1.2844892,9.514558
1587369573671,-0.5351041,1.2605472,9.588778
1587369573682,-0.545878,1.2210429,9.700109
1587369573693,-0.5805939,1.1707647,9.8198185
1587369573704,-0.5781997,1.1695676,9.969456
1587369573715,-0.5494693,1.1492168,10.104729
1587369573726,-0.47884035,1.1216835,10.223241
1587369573735,-0.47644615,1.0714053,10.275913
1587369573745,-0.47764325,1.0570401,10.281899
1587369573756,-0.4357447,1.1085154,10.335769
1587369573767,-0.33518824,1.2330139,10.291476
1587369573778,-0.29448682,1.3036429,10.242394
1587369573789,-0.31124622,1.2749124,10.111911
1587369573800,-0.30286652,1.1611878,9.883265
1587369573810,-0.2825158,1.1432313,9.800665
1587369573821,-0.21667525,1.1839328,9.785102
1587369573832,-0.22744916,1.2006922,9.733627
1587369573841,-0.260968,1.2042835,9.676167
1587369573852,-0.20829555,1.1180922,9.564836
1587369573862,-0.18195933,1.0714053,9.518148
1587369573873,-0.21547815,1.0809821,9.451111
1587369573884,-0.21787235,1.0953473,9.449914
1587369573895,-0.16998832,1.0857705,9.445126
1587369573906,-0.108936176,1.1073183,9.441534
1587369573916,-0.039504327,1.1480197,9.466674
1587369573927,0.089782566,1.2808979,9.585187
1587369573938,0.1364695,1.2880806,9.605537
1587369573947,0.14963761,1.292869,9.634268
1587369573958,0.19273324,1.2162545,9.662998
1587369573968,0.19632454,1.2880806,9.625888
1587369573979,0.12090719,1.3563153,9.61272
1587369573990,0.130484,1.400608,9.636662
1587369574000,0.18195933,1.3814543,9.759963
1587369574011,0.22505496,1.460463,9.7803135
1587369574022,0.21787235,1.4460979,9.762358
1587369574033,0.24540567,1.4173675,9.734824
1587369574044,0.21906945,1.3670892,9.689334
1587369574052,0.12928689,1.2940661,9.69532
1587369574063,0.1328782,1.1994951,9.679757
1587369574074,0.18794483,1.151611,9.700109
1587369574085,0.2873042,1.1791444,9.680955
1587369574095,0.415394,1.2916719,9.661801
1587369574106,0.49081135,1.4317327,9.607931
1587369574117,0.61411273,1.5466543,9.205706
1587369574128,0.6955156,1.555034,9.119514
1587369574139,0.80804306,1.4975731,9.084799
1587369574149,0.94690675,1.5059528,9.165004
1587369574160,1.0007763,1.5873557,9.296685
1587369574171,1.0606314,1.7142484,9.440337
1587369574182,1.0821792,1.8579005,9.574412
1587369574192,1.1180922,1.9812019,9.618706
1587369574203,1.1755531,2.0709844,9.624691
1587369574214,1.1959038,2.098518,9.503783
1587369574225,1.1192893,2.0602105,9.235633
1587369574235,0.9636662,1.9859903,8.905233
1587369574246,0.6847417,1.9524715,8.593987
1587369574257,0.6907272,2.0458453,8.90643
1587369574266,0.6907272,2.0458453,8.90643
1587369574277,0.50757074,2.0937295,9.121908
1587369574288,0.34117374,2.0530279,9.112331
1587369574299,0.16998832,2.0231004,9.089587
1587369574309,-0.02873042,1.9393034,9.054871
1587369574320,-0.15442601,1.8064252,8.937555
1587369574331,-0.22146365,1.6364368,8.823831
1587369574342,-0.272939,1.5107412,8.652645
1587369574353,-0.25737667,1.4640543,8.537724
1587369574364,-0.19871874,1.5298948,8.446744
1587369574373,-0.10295067,1.6184803,8.520964
1587369574383,0.015562311,1.79206,8.615535
1587369574394,0.1592144,1.9608512,8.77834
1587369574405,0.30166942,2.1176715,9.115923
1587369574416,0.39504328,2.2996306,9.267955
1587369574427,0.50517654,2.2254105,9.5013895
