@ HyperIMU -ianovir - 2018
@ Date:Mon Apr 20 09:55:51 GMT+02:00 2020, Sampling Rate:10ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1587369351416,0.0,0.0,0.0
1587369351429,0.676362,2.0278888,9.885659
1587369351438,0.4357447,1.8387469,9.765948
1587369351449,0.16280572,1.7058687,9.77792
1587369351460,-0.005985504,1.6136919,9.715671
1587369351471,0.05865794,1.6340426,9.718064
1587369351482,0.5638345,2.0207062,9.370906
1587369351493,0.5638345,2.0207062,9.370906
1587369351504,0.70509243,2.2936451,9.233239
1587369351515,0.6691794,2.291251,9.271546
1587369351526,0.5650316,2.1787236,9.295488
1587369351535,0.4285621,2.0338743,9.436746
1587369351546,0.24301147,1.8890251,9.579201
1587369351557,0.06943185,1.7705121,9.758766
1587369351568,-0.05626374,1.6651673,9.762358
1587369351579,-0.093373865,1.6112977,9.731233
1587369351590,-0.12210429,1.7262194,9.685743
1587369351602,-0.12449849,1.7525556,9.554062
1587369351613,-0.027533319,1.7788919,9.368511
1587369351624,0.11731588,1.887828,9.367314
1587369351635,0.1604115,2.0458453,9.440337
1587369351644,0.15682021,2.0685902,9.403227
1587369351655,0.24779987,1.8447324,8.939949
1587369351666,0.19393034,1.8483237,9.6845455
1587369351677,0.2705448,1.9129672,10.30225
1587369351688,0.11611878,1.7633295,9.938332
1587369351699,-0.08020575,1.3515269,9.44752
1587369351711,-0.48362875,0.93972415,9.68694
1587369351722,-0.48362875,0.93972415,9.68694
1587369351733,-0.45370123,0.5482722,9.872491
1587369351744,-0.39983168,0.2621651,9.841366
1587369351753,-0.37110126,0.05746084,9.716867
1587369351764,-0.34237084,0.0011971008,9.619903
1587369351775,-0.33997664,0.027533319,9.665392
1587369351786,-0.40821138,0.079008654,9.7324295
1587369351797,-0.45968673,0.1328782,9.803059
1587369351808,-0.51355624,0.2633622,10.105926
1587369351819,-0.51714754,0.37469256,10.0987425
1587369351831,-0.40102878,0.37349546,9.900024
1587369351842,-0.36032736,0.32920274,9.88925
1587369351853,-0.36032736,0.32920274,9.88925
1587369351863,-0.37588966,0.4201824,9.827001
1587369351875,-0.37588966,0.4201824,9.827001
1587369351889,-0.4189853,0.61052144,9.702502
1587369351900,-0.4189853,0.61052144,9.702502
1587369351910,-0.49679685,0.6512229,9.563639
1587369351919,-0.39983168,0.7314286,9.57561
1587369351928,-0.38067806,0.7697359,9.615114
1587369351939,-0.4381389,0.79248077,9.554062
1587369351951,-0.47524905,0.7314286,9.524135
1587369351961,-0.40222588,0.641646,9.606734
1587369351972,-0.40342298,0.6440403,9.645041
1587369351984,-0.41299978,0.6368576,9.715671
1587369351993,-0.38187516,0.59974754,9.738416
1587369352004,-0.38187516,0.59974754,9.738416
1587369352016,-0.39863458,0.7386112,9.713276
1587369352027,-0.4345476,0.79008657,9.775525
1587369352039,-0.47165772,0.7218518,9.797073
1587369352049,-0.41180268,0.62368953,9.722853
1587369352060,-0.49919105,0.6488287,9.7240505
1587369352072,-0.49919105,0.6488287,9.7240505
1587369352080,-0.49440265,0.641646,9.7084875
1587369352091,-0.44651863,0.60333884,9.751583
1587369352102,-0.44651863,0.60333884,9.751583
1587369352113,-0.35194764,0.59017074,9.791088
1587369352125,-0.35673606,0.62368953,9.868899
1587369352136,-0.39983168,0.61770403,9.93474
1587369352147,-0.5674258,0.61770403,9.840169
1587369352158,-0.59974754,0.6356605,9.849746
1587369352169,-0.61530983,0.6428431,9.952697
1587369352181,-0.521936,0.7015011,9.90601
1587369352188,-0.521936,0.7015011,9.90601
1587369352199,-0.51714754,0.7230489,9.810242
1587369352211,-0.51834464,0.712275,9.788693
1587369352223,-0.4429273,0.748188,9.76116
1587369352235,-0.32561144,0.81642276,9.799467
1587369352245,-0.2669535,0.91937345,9.8042555
1587369352257,-0.2681506,0.973243,9.740809
1587369352267,-0.31004912,0.92535895,9.655815
1587369352279,-0.33997664,0.866701,9.618706
1587369352289,-0.320823,0.8774749,9.578004
1587369352302,-0.36032736,0.92535895,9.560047
1587369352312,-0.37828386,0.94211835,9.603143
1587369352322,-0.37828386,0.94211835,9.603143
1587369352334,-0.34237084,0.89423436,9.579201
1587369352345,-0.37349546,0.8451532,9.55047
1587369352355,-0.37349546,0.8451532,9.55047
1587369352367,-0.33877954,0.81163436,9.618706
1587369352377,-0.34356794,0.8403648,9.659407
1587369352389,-0.37828386,0.8331822,9.623494
1587369352398,-0.40102878,0.8283938,9.563639
1587369352412,-0.33399114,0.80445176,9.545682
1587369352422,-0.31483752,0.78769237,9.528923
1587369352432,-0.32321724,0.79008657,9.570822
1587369352444,-0.32561144,0.81043726,9.621099
1587369352454,-0.32561144,0.81043726,9.621099
1587369352466,-0.32920274,0.8726865,9.725247
1587369352476,-0.40462008,0.8750807,9.716867
1587369352488,-0.45130703,0.8355764,9.720459
1587369352498,-0.47405192,0.81402856,9.680955
1587369352511,-0.45729253,0.8319851,9.651027
1587369352516,-0.4189853,0.82001406,9.655815
1587369352531,-0.36391866,0.8726865,9.628283
1587369352541,-0.36391866,0.8451532,9.564836
1587369352553,-0.36391866,0.8451532,9.564836
1587369352564,-0.34356794,0.80205756,9.605537
1587369352574,-0.3184288,0.8391677,9.629479
