@ HyperIMU -ianovir - 2018
@ Date:Tue Mar 24 18:58:04 GMT+01:00 2020, Sampling Rate:20ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1585072684096,0.0,0.0,0.0
1585072684122,0.973243,1.9165585,9.623494
1585072684137,0.88944596,2.0949266,9.609129
1585072684159,0.94211835,2.2062569,9.609129
1585072684180,1.1899183,2.304419,9.384073
1585072684202,1.1731589,2.2158337,9.400833
1585072684221,0.9900024,2.1284454,9.446322
1585072684242,1.0187328,2.1068976,9.592369
1585072684263,0.9660604,2.0207062,9.652225
1585072684284,0.9816227,2.0111294,9.674969
1585072684305,0.88944596,1.9273324,9.574412
1585072684324,0.8559271,1.9536686,9.56723
1585072684345,0.6799533,1.9261353,9.41041
1585072684366,0.6631939,1.970428,9.388862
1585072684388,0.5722142,1.9405005,9.3733
1585072684409,0.45250413,1.8866309,9.361329
1585072684430,0.4441244,1.8363527,9.437943
1585072684451,0.2837129,1.7322049,9.504981
1585072684472,0.2801216,1.7298107,9.452309
1585072684493,0.22026655,1.7525556,9.441534
1585072684514,0.1448492,1.6364368,9.368511
1585072684533,-0.008379706,1.673547,9.338584
1585072684554,-0.12808979,1.7106571,9.357738
1585072684576,-0.2765303,1.7262194,9.324219
1585072684598,-0.33518824,1.6807296,9.32781
1585072684618,-0.36391866,1.6543933,9.459491
1585072684640,-0.34356794,1.6208745,9.451111
1585072684661,-0.49081135,1.899799,9.168595
1585072684681,-0.2717419,2.1332338,9.451111
1585072684702,-0.29807812,2.112883,9.5732155
1585072684724,-0.32441434,1.9656396,9.853337
1585072684742,-0.36272156,2.0231004,10.089166
1585072684765,-0.5530606,2.0231004,9.903615
1585072684787,-0.78888947,2.2254105,9.446322
1585072684806,-0.712275,2.4600422,9.02614
1585072684827,-0.46806642,2.742558,8.884883
1585072684848,-0.5386954,2.815581,8.810662
1585072684870,-0.6380547,2.8491,8.900445
1585072684890,-0.7278373,2.8658595,9.081207
1585072684915,-0.79846627,2.6443958,9.039309
1585072684934,-0.80205756,2.517503,8.918402
1585072684958,-0.7733272,2.528277,8.868123
1585072684977,-0.5494693,2.6001031,8.7292595
1585072684998,-0.5518635,2.552219,8.707711
1585072685019,-0.58897364,2.5701754,8.74961
1585072685040,-0.5530606,2.493561,8.933964
1585072685062,-0.5470751,2.4241292,8.993818
1585072685081,-0.48482585,2.2720973,9.4295635
1585072685107,-0.59495914,1.9812019,9.706094
1585072685126,-0.49679685,1.7956513,9.85214
1585072685145,-0.415394,1.9560628,9.818622
1585072685168,-0.30406362,2.172738,9.835381
1585072685187,-0.28491,2.0649989,9.920375
1585072685207,0.035913024,1.9608512,10.375273
1585072685229,0.20709845,1.9536686,11.121067
1585072685250,-0.01316811,1.009156,11.92911
1585072685272,0.08020575,0.34596214,12.739547
1585072685294,-0.05746084,-0.15682021,12.76349
1585072685317,-0.110133275,-0.41299978,12.360066
1585072685337,0.5686229,-0.21787235,11.484985
1585072685356,0.9636662,0.19871874,10.97502
1585072685380,1.2150574,0.2633622,11.095928
1585072685401,1.1935096,0.30765492,11.127052
1585072685421,0.51116204,-0.01436521,10.882844
1585072685440,0.11133038,0.12449849,10.451887
1585072685462,-0.21068975,0.20709845,9.694122
1585072685483,-0.17956513,0.5291186,9.325416
1585072685505,0.20949265,0.7769185,9.010578
1585072685524,0.6596026,1.2006922,8.7771435
1585072685546,0.58897364,1.4879963,8.499416
1585072685568,0.34476504,1.4460979,8.354567
1585072685586,0.47165772,1.70946,8.176199
1585072685607,0.5386954,1.9117701,8.215703
1585072685629,0.40940848,1.8710686,8.051701
1585072685651,0.39624038,1.8076223,7.988254
1585072685671,0.3878607,1.7776948,7.759608
1585072685693,0.47764325,1.8339585,7.6351094
1585072685713,0.40940848,1.8064252,7.539341
1585072685734,0.32441434,1.8207904,7.4507556
1585072685756,0.31124622,1.9548657,7.405266
1585072685775,0.19512744,1.9560628,7.392098
1585072685800,0.18794483,1.9859903,7.491457
1585072685818,0.11492168,2.1918917,7.7907324
1585072685840,-0.29568392,2.006341,8.892065
1585072685859,-0.40462008,1.7190368,9.841366
1585072685881,-0.38307226,1.4975731,10.575189
1585072685908,-0.008379706,1.5143325,11.645397
1585072685928,-0.11851298,1.1384429,12.802994
1585072685949,-0.40821138,0.90740246,13.160927
1585072685968,-1.5837644,0.32321724,14.124593
1585072685987,-1.804031,-0.25857377,14.195222
1585072686010,-1.3814543,-0.3854665,13.770251
1585072686031,-0.7386112,-0.18555063,12.762292
1585072686051,-0.70509243,-0.36152446,12.017695
1585072686073,-1.1492168,-0.16519992,11.390414
1585072686092,-1.6077064,0.09696517,10.584765
1585072686114,-1.6986861,0.21068975,10.000581
1585072686136,-1.3275849,0.45010993,8.896853
1585072686155,-0.7062895,0.61530983,8.517372
1585072686177,-0.34596214,0.6967127,8.330625
1585072686198,-0.25139117,0.7350199,8.2516165
1585072686218,-0.22864626,0.6655881,8.1343
1585072686240,-0.17118542,0.79607207,8.058883
1585072686260,-0.21188685,0.9648633,7.893683
1585072686282,-0.2765303,1.1180922,7.739257
1585072686302,-0.3878607,1.2689269,7.6626425
1585072686324,-0.4321534,1.5035586,7.711724
1585072686345,-0.4321534,1.6759412,7.807492
1585072686365,-0.50278234,1.7597382,7.728483
1585072686387,-0.17717093,1.9764135,7.9224133
1585072686407,-0.11492168,2.0566192,7.8649526
1585072686429,-0.046686932,2.067393,7.880515
