@ HyperIMU -ianovir - 2018
@ Date:Wed Apr 22 15:46:16 GMT+02:00 2020, Sampling Rate:10ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1587563176684,0.0,0.0,0.0
1587563176695,0.0,0.0,0.0
1587563176706,0.0,0.0,0.0
1587563176717,0.0,0.0,0.0
1587563176728,-0.3184288,1.8842367,9.497798
1587563176739,-0.3184288,1.8842367,9.497798
1587563176750,-0.18435353,1.8183962,9.428367
1587563176761,0.1340753,1.7561469,9.720459
1587563176772,0.20709845,1.8064252,9.898827
1587563176783,0.25019407,1.6843209,9.800665
1587563176794,0.1436521,1.6603789,9.895236
1587563176804,0.1436521,1.6603789,9.895236
1587563176814,-0.25617957,1.2054806,9.14585
1587563176825,-0.35434186,1.1731589,9.312247
1587563176855,-0.36750996,1.411382,9.633071
1587563176858,-0.36631286,1.7549498,9.810242
1587563176865,-0.46208093,1.9189527,9.831789
1587563176875,-0.439336,1.9620483,9.725247
1587563176884,-0.439336,1.9620483,9.725247
1587563176893,-0.48602295,1.9381063,9.537302
1587563176902,-0.5793968,1.9009962,9.526528
1587563176917,-0.8463503,1.9596541,9.54209
1587563176925,-1.0115502,1.9476831,9.627085
1587563176936,-0.93493575,1.8674773,9.554062
1587563176947,-0.7613561,1.9117701,9.606734
1587563176958,-0.7613561,1.9117701,9.606734
1587563176970,-0.5386954,1.9428947,9.7479925
1587563176978,-0.47884035,1.99437,9.800665
1587563176989,-0.44651863,2.0518308,9.635465
1587563177000,-0.48362875,2.0254946,9.715671
1587563177011,-0.5243302,1.9656396,9.679757
1587563177020,-0.5506664,1.934515,9.512163
1587563177031,-0.51714754,1.9189527,9.659407
1587563177042,-0.5434838,1.982399,9.742006
1587563177053,-0.5422867,2.0207062,9.718064
1587563177064,-0.40462008,1.9716251,9.728839
1587563177075,-0.40462008,1.9716251,9.728839
1587563177087,-0.3196259,1.9812019,9.496601
1587563177099,-0.35314476,1.9740193,9.427169
1587563177108,-0.35314476,1.9740193,9.427169
1587563177119,-0.41060558,1.8411411,9.415198
1587563177129,-0.39504328,1.8219875,9.446322
1587563177141,-0.3866636,1.8375498,9.442732
1587563177153,-0.34237084,1.8231846,9.472659
1587563177164,-0.34237084,1.8231846,9.472659
1587563177174,-0.24779987,1.8818425,9.376891
1587563177184,-0.24779987,1.8818425,9.376891
1587563177195,-0.2813187,1.780089,9.324219
1587563177206,-0.2813187,1.70946,9.287108
1587563177217,-0.20829555,1.6915035,9.11712
1587563177228,-0.1436521,1.6891093,9.141062
1587563177237,-0.094570965,1.6639702,9.190144
1587563177248,-0.09816227,1.5849615,9.228451
1587563177259,-0.061052144,1.5442601,9.220071
1587563177270,0.1340753,1.5837644,9.370906
1587563177281,0.32561144,1.6699557,9.399636
1587563177292,0.50517654,1.7657237,9.463082
1587563177304,0.7038953,1.7537527,9.589975
1587563177315,0.80205756,1.5394717,9.776723
1587563177326,0.32321724,1.472434,9.945514
1587563177337,-0.23582886,1.0486604,9.752781
1587563177347,-0.46447513,0.79248077,9.755175
1587563177358,-0.3878607,0.82480246,9.087193
1587563177369,-0.2861071,0.8403648,9.1590185
1587563177380,-0.049081136,1.1049241,9.309854
1587563177391,0.10654198,1.2940661,9.270349
1587563177403,0.04309563,1.353921,9.339781
1587563177412,-0.031124622,1.2952632,9.368511
1587563177423,-0.1400608,1.2078748,9.516952
1587563177434,-0.40102878,1.079785,9.464279
1587563177445,-0.92416185,0.6452374,9.039309
1587563177455,-0.92416185,0.6452374,9.039309
1587563177466,-0.8678981,0.7338228,9.415198
1587563177477,-0.79367787,0.9564836,9.531317
1587563177488,-0.7074866,1.0785879,9.625888
1587563177500,-0.5422867,1.0642227,9.896433
1587563177509,-0.5710171,1.0582372,10.038888
1587563177520,-0.60333884,1.067814,9.958682
1587563177531,-0.724246,0.9660604,9.81503
1587563177543,-0.80205756,0.82480246,9.728839
1587563177554,-0.80804306,0.81402856,9.618706
1587563177564,-0.7613561,0.8595184,9.482236
1587563177576,-0.7410054,1.0378864,9.775525
1587563177585,-0.7026982,1.1587936,9.787497
1587563177597,-0.6428431,1.2617443,9.935937
1587563177609,-0.60453594,1.3096284,10.0269165
1587563177619,-0.5662287,1.2725182,9.988609
1587563177631,-0.664391,1.2042835,9.910798
1587563177640,-0.664391,1.2042835,9.910798
1587563177651,-0.748188,1.1288661,9.710882
1587563177663,-0.641646,1.1049241,9.682152
1587563177670,-0.5793968,1.1300632,9.742006
1587563177681,-0.5626374,1.1947067,9.697714
1587563177692,-0.7230489,1.2689269,9.581595
1587563177704,-0.8678981,1.3359646,9.776723
1587563177715,-0.6835446,1.3455414,9.892841
1587563177727,-0.7170634,1.103727,9.890448
1587563177739,-0.7170634,1.103727,9.890448
1587563177749,-0.93972415,0.79008657,9.716867
1587563177761,-0.7110779,0.8714894,9.685743
1587563177771,-0.46567222,0.9923966,9.792285
1587563177783,-0.2753332,0.9911995,9.807847
1587563177793,-0.25737667,0.9564836,9.946711
1587563177805,-0.2825158,1.0450691,10.196905
1587563177815,-0.49919105,1.1851299,10.035296
1587563177827,-0.50397944,1.0498575,9.922769
1587563177838,-0.50397944,1.0498575,9.922769
1587563177847,-0.40222588,1.1468226,9.895236
1587563177859,-0.48003745,1.292869,9.949105
1587563177871,-0.5542577,1.3958195,9.929952
1587563177881,-0.5363012,1.4544775,9.913192
1587563177893,-0.48602295,1.435324,9.977836
1587563177904,-0.4417302,1.3443443,9.913192
1587563177922,-0.44891283,1.3503298,9.862914
1587563177930,-0.50757074,1.423353,9.781511
1587563177939,-0.5231331,1.3862427,9.788693
1587563177949,-0.5422867,1.3790601,10.020931
1587563177958,-0.6775591,1.3299791,9.805453
1587563177969,-0.7086837,1.2330139,9.7084875
1587563177980,-0.6715736,1.1587936,9.537302
1587563177994,-0.59855044,1.1468226,9.618706
1587563177998,-0.45729253,1.2006922,9.854534
1587563178013,-0.4201824,1.2749124,9.900024
1587563178024,-0.7457938,1.1827357,9.809045
1587563178037,-0.6655881,1.2006922,9.811439
1587563178047,-0.47405192,1.2665327,9.973047
1587563178057,-0.47405192,1.2665327,9.973047
1587563178067,-0.4249708,1.0522517,9.925163
1587563178079,-0.5614403,0.90500826,9.853337
1587563178089,-0.5614403,0.90500826,9.853337
1587563178101,-0.59615624,0.7182605,9.563639
1587563178109,-0.48722005,0.6560113,10.04607
1587563178120,-0.31244332,1.1659763,9.411607
1587563178132,-0.34476504,1.271321,9.295488
1587563178144,-0.37110126,1.1133038,9.363723
1587563178154,-0.36272156,1.0295067,9.743204
1587563178168,-0.47524905,1.0582372,9.931149
1587563178179,-0.45250413,0.9672575,9.888053
1587563178189,-0.45250413,0.9672575,9.888053
1587563178199,-0.39025488,0.8655039,9.604341
1587563178208,-0.36990416,0.8822633,9.340978
1587563178222,-0.31603462,0.7314286,9.107543
1587563178231,-0.21547815,0.6464345,9.351752
1587563178243,-0.08020575,0.7302315,9.629479
1587563178252,-0.06823475,0.7661445,9.737218
1587563178264,-0.22744916,0.62728083,9.866506
1587563178276,-0.4429273,0.40701428,9.801862
1587563178286,-0.4429273,0.40701428,9.801862
1587563178298,-0.5734113,0.4441244,9.718064
1587563178308,-0.6404489,0.47644615,9.785102
1587563178320,-0.6464345,0.63206923,9.515755
1587563178329,-0.736217,0.81881696,9.38168
1587563178342,-0.61650693,1.1851299,9.442732
1587563178352,0.015562311,0.78769237,9.425972
1587563178364,-0.130484,0.8391677,9.904813
1587563178375,-0.30526072,1.6280571,10.933122
1587563178385,-0.30526072,1.6280571,10.933122
1587563178395,-1.0402806,1.5622166,9.289502
1587563178414,-1.6519991,1.3072342,9.301474
1587563178424,-1.8052281,1.4173675,9.352949
1587563178433,-1.8052281,1.4173675,9.352949
1587563178447,-2.0482395,0.7661445,9.762358
1587563178456,-1.8255788,0.62608373,10.259154
1587563178467,-1.8650831,1.0522517,10.338163
1587563178479,-1.6759412,0.81642276,9.775525
1587563178490,-1.5023615,0.31483752,9.428367
1587563178500,-1.3503298,0.18315643,9.284714
1587563178512,-1.2413936,0.34835634,9.165004
1587563178524,-1.270124,0.5530606,9.127894
1587563178534,-1.4173675,0.7422025,9.197326
1587563178544,-1.6244658,0.7314286,9.323022
1587563178556,-1.9955671,0.59376204,10.0987425
1587563178566,-2.1188686,0.61411273,9.817424
1587563178578,-2.0805612,0.62129533,9.465476
1587563178588,-2.0805612,0.62129533,9.465476
1587563178600,-1.9153614,0.6392518,9.099164
1587563178610,-1.8495208,0.6488287,9.223662
1587563178622,-1.7238252,0.6835446,9.4535055
1587563178632,-1.5490485,0.8655039,9.718064
1587563178644,-1.163582,1.0103531,10.147824
1587563178654,-0.9768343,1.0522517,10.411186
1587563178666,-1.1899183,0.90740246,10.284293
1587563178676,-1.5251064,0.9564836,9.8198185
1587563178688,-1.9021933,1.1623849,9.931149
1587563178699,-1.9369092,1.0163386,9.911995
1587563178709,-1.7633295,0.93014735,9.283517
1587563178720,-1.7633295,0.93014735,9.283517
1587563178733,-0.94570965,0.8750807,9.387665
1587563178743,-0.6739678,0.6476316,9.533711
1587563178753,-1.1887212,0.7194576,9.91798
1587563178765,-1.7310078,1.2330139,9.618706
1587563178773,-2.1452048,1.6220716,9.193734
1587563178786,-1.7932571,1.4532804,8.649054
1587563178796,-1.4389153,1.0498575,9.077616
1587563178809,-1.2114661,1.0522517,9.1255
1587563178819,-1.2114661,1.0522517,9.1255
1587563178829,-0.81163436,0.6871359,9.111135
1587563178841,-0.7493851,0.28491,9.23683
1587563178851,-0.7302315,0.4165911,9.637859
1587563178864,-0.7793127,0.7445967,9.568427
1587563178874,-0.58298814,0.41299978,9.376891
1587563178886,-0.22864626,0.30885202,9.388862
1587563178898,-0.11611878,0.4405331,10.097546
1587563178908,-0.24899697,0.40342298,10.199299
1587563178918,-0.24899697,0.40342298,10.199299
1587563178929,-0.6739678,0.58418524,9.88925
1587563178941,-0.8367735,0.664391,9.707291
1587563178950,-0.8714894,0.7326257,9.652225
1587563178961,-0.8738836,0.7218518,9.600749
1587563178972,-0.9504981,0.760159,9.568427
1587563178983,-0.9900024,0.7577648,9.516952
1587563178992,-0.91219085,0.62608373,9.740809
1587563179004,-0.89184016,0.47884035,9.7803135
1587563179016,-1.0965444,0.5746084,9.878476
1587563179026,-0.9756372,-0.010773907,9.874885
1587563179037,-0.8595184,-0.0035913025,9.996989
1587563179048,-0.63087213,0.4249708,9.728839
1587563179059,-0.7781156,0.6835446,10.351331
1587563179071,-1.0845734,0.8511387,10.109517
1587563179080,-1.282095,1.0402806,9.783905
1587563179106,-1.4449008,1.2162545,9.375694
1587563179117,-1.4449008,1.2162545,9.375694
1587563179128,-1.6376339,1.1851299,9.576807
1587563179139,-1.5346833,0.91458505,9.776723
1587563179143,-1.5346833,0.91458505,9.776723
1587563179155,-1.1348516,0.93852705,9.706094
1587563179163,-1.1348516,0.93852705,9.706094
1587563179174,-0.93254155,0.93254155,9.7863
1587563179183,-0.8846575,0.9911995,9.76954
1587563179192,-0.80684596,0.973243,9.78989
1587563179202,-0.7314286,0.8858546,10.141838
1587563179213,-0.49919105,1.0139444,9.964667
1587563179224,-0.34117374,1.0606314,10.04607
1587563179236,-0.39145198,1.1719618,9.793482
1587563179246,-0.37948096,1.258153,9.860519
1587563179257,-0.2813187,1.2449849,9.731233
1587563179269,-0.2813187,1.2449849,9.731233
1587563179279,-0.7290344,1.2174516,9.08001
1587563179291,-0.81522566,1.1444284,9.372103
1587563179301,-0.6631939,1.2318168,9.467871
1587563179313,-0.62847793,1.2425907,9.449914
1587563179321,-0.40940848,1.1540052,9.56723
1587563179335,0.1388637,0.62847793,9.908403
1587563179346,0.5291186,0.51235914,9.987412
1587563179356,0.6536171,0.5446809,10.02572
1587563179366,0.6536171,0.5446809,10.02572
1587563179377,0.7062895,0.39743748,10.123882
1587563179389,0.521936,0.25139117,9.913192
1587563179399,0.3196259,0.2825158,9.871294
1587563179410,0.07182605,0.40581718,9.625888
1587563179421,-0.009576807,0.40821138,9.555259
1587563179430,0.107739076,0.46806642,9.619903
1587563179442,-0.04309563,0.8523358,10.68652
1587563179453,-0.022744916,1.3192052,10.419566
1587563179464,0.061052144,0.6859388,9.822212
1587563179475,-0.21188685,0.06703765,9.077616
1587563179486,-0.63206923,0.49200845,9.197326
1587563179497,-0.8295909,0.5374983,9.101558
1587563179509,-0.80804306,0.44651863,8.872911
1587563179521,-0.46208093,0.29927522,8.412027
1587563179531,-0.17238252,0.23942018,8.516175
1587563179543,-0.23343466,0.4225766,9.222465
1587563179554,-0.1376666,0.33518824,9.540894
1587563179564,0.07062895,0.023942016,9.716867
1587563179577,0.5374983,-0.1340753,10.752359
1587563179587,0.8379706,-0.1436521,10.739192
1587563179597,0.8379706,-0.1436521,10.739192
1587563179609,0.6751649,-0.19871874,10.418368
1587563179620,0.8523358,-0.0047884034,10.311827
1587563179631,0.88944596,0.046686932,10.500969
1587563179641,0.6536171,0.090979666,10.635044
1587563179653,1.3814543,0.039504327,9.94312
1587563179662,1.3024458,-0.034715924,9.791088
1587563179674,1.3012487,0.17836803,9.896433
1587563179685,1.2868834,0.32321724,9.636662
1587563179700,0.94930094,0.5303157,9.677363
1587563179709,0.6404489,0.7230489,9.702502
1587563179719,0.41060558,0.8714894,9.5971575
1587563179728,0.23463176,1.0450691,9.226056
1587563179738,0.19393034,1.13964,9.119514
1587563179749,0.19393034,1.13964,9.119514
1587563179758,-0.4417302,1.1827357,9.063251
1587563179769,-0.46686932,1.2497733,8.959103
1587563179780,-0.32561144,1.1180922,9.283517
1587563179790,-0.23463176,0.9923966,9.287108
1587563179805,-0.5374983,0.60573304,9.362526
1587563179815,-0.5374983,0.60573304,9.362526
1587563179826,-1.0845734,0.5674258,9.202114
1587563179836,-1.1887212,0.5374983,9.285912
1587563179848,-1.1887212,0.5374983,9.285912
1587563179858,-1.2497733,0.20231004,9.368511
1587563179871,-1.4676456,-0.059855044,9.203311
1587563179881,-2.0709844,0.427365,9.810242
1587563179891,-2.753332,0.8690952,10.080787
1587563179903,-2.7377696,1.4065934,9.79827
1587563179913,-2.907758,1.079785,9.64983
1587563179926,-3.3255463,1.2150574,9.515755
1587563179936,-3.1136594,1.1731589,9.925163
1587563179946,-3.1136594,1.1731589,9.925163
1587563179958,-2.1332338,0.33518824,11.062409
1587563179968,-1.7417817,0.61770403,10.803835
1587563179980,-1.7549498,0.7433996,10.092757
1587563179990,-1.7381904,0.82480246,9.404425
1587563180009,-0.9516952,0.90740246,8.822633
1587563180021,-0.664391,1.0642227,9.115923
1587563180028,-1.4101849,0.2789245,9.209297
1587563180037,-1.7465701,0.81761986,10.04607
1587563180046,-1.7465701,0.81761986,10.04607
1587563180056,-1.9273324,0.62249243,9.842564
1587563180066,-2.1667526,0.89423436,9.645041
1587563180077,-2.3678656,1.401805,9.443929
1587563180086,-2.3175871,1.4437037,9.143456
1587563180097,-2.3175871,1.4437037,9.143456
1587563180108,-2.1380222,1.0223241,9.006987
1587563180119,-2.0769699,0.8463503,9.463082
1587563180129,-1.9201498,0.8702923,10.006566
1587563180140,-1.5777789,0.78170687,10.238804
1587563180153,-1.3850456,0.61890113,10.335769
1587563180165,-1.2785037,0.8475474,10.3932295
1587563180175,-1.5502456,0.91338795,10.04607
1587563180187,-1.6903064,0.7469909,9.616311
1587563180195,-1.6903064,0.7469909,9.616311
1587563180207,-1.5897499,0.36032736,9.566033
1587563180220,-1.4089876,0.36870706,10.053253
1587563180230,-1.1408371,0.46208093,10.376471
1587563180240,-1.0630256,0.3866636,10.517728
1587563180253,-1.2330139,0.7637503,10.011354
1587563180263,-1.3036429,0.8463503,9.827001
1587563180273,-1.543063,0.973243,9.8042555
1587563180285,-1.7106571,1.2761095,9.54209
1587563180295,-1.7106571,1.2761095,9.54209
1587563180307,-1.851915,0.81163436,8.0445175
1587563180318,-2.042254,-0.050278235,8.000225
1587563180328,-1.2042835,-0.073023155,8.893262
1587563180340,-0.12808979,0.17477672,9.603143
1587563180350,0.46926352,-0.0047884034,9.782708
1587563180362,0.5793968,-0.38187516,9.755175
1587563180374,0.50397944,-0.5746084,9.7479925
1587563180384,0.44532153,-0.80684596,10.716447
1587563180393,0.44532153,-0.80684596,10.716447
1587563180405,0.59974754,-0.34356794,10.357317
1587563180412,0.59974754,-0.34356794,10.357317
1587563180423,0.20111294,-0.32202014,10.022128
1587563180434,-1.0510546,0.49799395,9.959879
1587563180445,-1.0510546,0.49799395,9.959879
1587563180456,-1.3144168,0.7505822,9.69532
1587563180467,-1.5179238,0.82719666,9.734824
1587563180478,-1.5658079,1.1312603,9.967062
1587563180490,-1.578976,1.1097125,9.203311
1587563180502,-1.9800048,1.1216835,8.701726
1587563180515,-2.1200657,1.271321,8.63828
1587563180521,-2.0123265,1.4077905,9.103952
1587563180533,-1.8710686,1.3383588,9.0237465
1587563180546,-1.7345991,1.1827357,8.831013
1587563180555,-1.4161704,0.9648633,8.868123
1587563180582,-1.5717934,0.61770403,8.901642
1587563180587,-1.7741034,0.60932434,9.015367
1587563180594,-1.7741034,0.60932434,9.015367
1587563180604,-1.8962077,0.427365,9.7958765
1587563180613,-1.3084313,0.61291564,9.222465
1587563180622,-1.055843,0.38187516,9.354146
1587563180636,-1.3850456,1.1420342,10.1621895
1587563180646,-1.3850456,1.1420342,10.1621895
1587563180656,-1.4664485,1.0259154,9.949105
1587563180669,-1.2330139,0.4429273,10.739192
1587563180678,-1.5334862,1.5023615,8.639477
1587563180693,-1.9740193,1.1348516,10.338163
1587563180703,-2.0961237,0.37110126,11.57836
1587563180714,-2.1140802,-0.076614454,10.332177
1587563180725,-1.8555063,-0.45130703,9.436746
1587563180735,-1.9117701,0.62728083,8.4347725
1587563180747,-1.9117701,0.62728083,8.4347725
1587563180757,-2.1930888,2.3774424,9.3026705
1587563180769,-2.3582888,2.610877,10.078392
1587563180779,-2.3582888,2.610877,10.078392
1587563180791,-2.5761611,2.4277205,9.190144
1587563180801,-2.7629087,1.8303672,8.175002
1587563180814,-2.7952304,1.3862427,7.3789296
1587563180827,-2.8491,1.1767502,7.273585
