@ HyperIMU -ianovir - 2018
@ Date:Wed Apr 22 15:45:01 GMT+02:00 2020, Sampling Rate:10ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1587563101913,0.0,0.0,0.0
1587563101928,0.15562311,1.9967642,9.800665
1587563101935,0.021547815,1.9369092,9.980229
1587563101946,0.045489833,1.9237411,9.88925
1587563101958,0.1436521,1.9285295,9.841366
1587563101967,0.2777274,1.9680338,9.782708
1587563101978,0.4141969,2.0027497,9.639056
1587563101988,0.46208093,1.9991584,9.53012
1587563101999,0.415394,1.8914193,9.595961
1587563102010,0.21667525,1.8614918,9.56723
1587563102021,0.15682021,1.8028339,9.604341
1587563102030,0.15682021,1.8028339,9.604341
1587563102041,0.12090719,1.7238252,9.569624
1587563102052,0.130484,1.7501614,9.562442
1587563102062,0.19871874,1.7369933,9.557653
1587563102073,0.2873042,1.6831238,9.454702
1587563102084,0.38067806,1.6723499,9.442732
1587563102095,0.45609543,1.7070658,9.464279
1587563102107,0.4441244,1.7489643,9.440337
1587563102118,0.35673606,1.7058687,9.588778
1587563102129,0.22984336,1.685518,9.568427
1587563102140,0.12808979,1.6771383,9.615114
1587563102150,0.09935937,1.661576,9.706094
1587563102161,0.19752164,1.7010803,9.776723
1587563102172,0.24301147,1.6531962,9.758766
1587563102183,0.25258827,1.6065093,9.668983
1587563102195,0.24420857,1.5873557,9.618706
1587563102204,0.2657564,1.5717934,9.528923
1587563102215,0.2777274,1.5634137,9.5492735
1587563102227,0.30166942,1.6436194,9.554062
1587563102238,0.25737667,1.6723499,9.618706
1587563102247,0.16639702,1.673547,9.619903
1587563102259,0.076614454,1.638831,9.651027
1587563102270,-0.005985504,1.6136919,9.668983
1587563102281,-0.11133038,1.5753847,9.662998
1587563102292,-0.15682021,1.5717934,9.700109
1587563102303,-0.17477672,1.5885528,9.613917
1587563102314,-0.17477672,1.5765818,9.510966
1587563102325,-0.16519992,1.553837,9.451111
1587563102336,-0.12090719,1.541866,9.445126
1587563102347,-0.11133038,1.5442601,9.464279
1587563102357,-0.1364695,1.5310919,9.425972
1587563102368,-0.18555063,1.4867992,9.448717
1587563102385,-0.23463176,1.3826514,9.494206
1587563102392,-0.12330139,1.3706805,9.595961
1587563102402,0.010773907,1.4077905,9.68694
1587563102411,0.1436521,1.411382,9.738416
1587563102423,0.19871874,1.3838485,9.7803135
1587563102434,0.22744916,1.3491327,9.813833
1587563102445,0.21547815,1.2952632,9.884461
1587563102456,0.15083471,1.2066777,9.877279
1587563102465,0.1400608,1.1671734,9.901221
1587563102476,0.14724341,1.1659763,9.94312
1587563102487,0.20590134,1.210269,9.932345
1587563102498,0.23822308,1.2282255,9.944317
1587563102509,0.22864626,1.2186487,9.967062
1587563102522,0.15562311,1.282095,9.836577
1587563102533,0.12330139,1.3215994,9.787497
1587563102542,0.10534488,1.3587095,9.715671
1587563102554,0.08738836,1.4077905,9.731233
1587563102565,0.08379706,1.4544775,9.694122
1587563102575,0.055066638,1.4939818,9.652225
1587563102586,0.06584055,1.4772224,9.54209
1587563102597,0.08738836,1.4652514,9.494206
1587563102608,0.11372458,1.4736311,9.451111
1587563102619,0.1352724,1.4856021,9.392453
1587563102631,0.24301147,1.4784195,9.414001
1587563102640,0.22864626,1.496376,9.38168
1587563102651,0.21308395,1.4820108,9.385271
1587563102662,0.17717093,1.4257472,9.409213
1587563102673,0.1412579,1.3515269,9.394848
1587563102682,0.15322891,1.2856863,9.485827
1587563102694,0.142455,1.2880806,9.55885
1587563102706,0.1376666,1.283292,9.646238
1587563102715,0.1316811,1.3144168,9.709685
1587563102727,0.055066638,1.365892,9.715671
1587563102738,-0.02633622,1.3994108,9.722853
1587563102750,-0.08738836,1.376666,9.755175
1587563102760,-0.11252748,1.3802572,9.805453
1587563102773,-0.25378537,1.4089876,9.78989
1587563102783,-0.2825158,1.4209588,9.7958765
1587563102795,-0.30166942,1.471237,9.719262
1587563102807,-0.3172317,1.471237,9.653421
1587563102816,-0.33399114,1.4496891,9.619903
1587563102828,-0.35673606,1.4281414,9.522937
1587563102841,-0.32561144,1.4568717,9.607931
1587563102851,-0.33039984,1.5011644,9.647436
1587563102860,-0.24061728,1.5167267,9.692925
1587563102871,-0.14844051,1.541866,9.703699
1587563102882,-0.093373865,1.555034,9.710882
1587563102893,-0.17238252,1.6591818,9.545682
1587563102902,0.22744916,1.3623008,10.089166
1587563102913,0.48602295,0.9540894,9.838972
1587563102926,0.6500258,0.9780314,9.822212
1587563102936,0.581791,1.1384429,9.718064
1587563102948,0.2753332,1.1923125,9.622296
1587563102959,0.2693477,0.8762778,9.714474
1587563102972,0.23582886,0.50996494,10.102334
1587563102982,0.2681506,0.7733272,10.022128
1587563102993,0.37588966,0.9576807,9.976639
1587563103004,0.50876784,1.0043676,10.296265
1587563103013,0.5746084,0.9516952,10.418368
1587563103025,0.62368953,0.82480246,10.453085
1587563103038,0.60214174,0.6584055,10.601525
1587563103048,0.5614403,0.48243165,10.497377
1587563103059,0.5434838,0.3878607,10.454282
1587563103070,0.04309563,0.50996494,10.506954
1587563103079,-0.045489833,0.36032736,10.723629
1587563103091,-0.08619126,1.1384429,8.736442
1587563103104,-0.23223756,1.1791444,9.100361
1587563103113,-0.23223756,0.8822633,10.06283
1587563103125,-0.25498247,0.50397944,10.2974615
1587563103137,-0.48123455,0.05267244,9.181764
1587563103146,-0.6655881,-0.02633622,9.78989
1587563103157,-0.6859388,0.8822633,9.223662
1587563103168,-0.4285621,1.2808979,9.48463
1587563103179,-0.23942018,0.9876082,9.689334
1587563103189,-0.05865794,0.7565677,9.762358
1587563103200,0.049081136,0.5542577,9.80665
1587563103212,-0.10654198,1.1312603,8.991425
1587563103224,-0.19512744,0.7469909,10.19451
1587563103232,-0.36631286,0.49679685,9.509769
1587563103246,-0.62249243,0.9911995,8.688558
1587563103256,-0.50038815,0.79726917,9.738416
1587563103266,-0.62249243,0.9720459,8.983045
1587563103278,-0.7529764,1.1180922,9.045294
1587563103288,-0.724246,1.4820108,9.232041
1587563103300,-0.60333884,1.0259154,10.047267
1587563103311,-0.4381389,1.021127,9.334992
1587563103321,-0.34117374,1.1324574,9.697714
1587563103332,-0.31004912,1.210269,9.728839
1587563103348,-0.2837129,1.2090719,9.673772
1587563103358,-0.25019407,1.2090719,9.688137
1587563103370,-0.19153613,0.94570965,9.7863
1587563103378,-0.01316811,1.5622166,9.296685
1587563103387,0.17477672,1.5634137,9.982624
1587563103396,0.110133275,1.0307038,9.856929
1587563103408,-0.089782566,1.0510546,9.526528
1587563103420,-0.21906945,0.63087213,10.3214035
1587563103430,-0.17717093,0.8822633,10.128671
1587563103442,-0.10534488,1.0654198,10.005369
1587563103451,-0.11492168,0.8726865,10.220847
1587563103463,-0.025139118,0.8583213,9.232041
1587563103473,-0.06943185,0.7541735,10.477027
1587563103484,0.02873042,0.89662856,10.357317
1587563103496,0.06464344,1.1827357,9.865308
1587563103505,0.30286652,1.0450691,10.048465
1587563103516,0.04189853,0.12689269,10.075998
1587563103527,0.46686932,0.50996494,9.494206
1587563103538,0.4321534,0.48362875,10.006566
1587563103549,0.6979098,0.34117374,9.883265
1587563103558,0.5650316,0.15562311,9.949105
1587563103573,0.48722005,0.15801731,9.782708
1587563103584,0.16639702,0.027533319,9.749189
1587563103594,0.06703765,0.19033903,8.947132
1587563103604,-0.16400282,0.5482722,8.7951
1587563103614,-0.4369418,0.7410054,8.724471
1587563103626,-0.49559975,0.6859388,8.839393
1587563103635,-0.48961425,0.63206923,9.068039
1587563103646,-0.44891283,0.700304,9.076419
