@ HyperIMU -ianovir - 2018
@ Date:Wed Apr 22 15:43:27 GMT+02:00 2020, Sampling Rate:10ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1587563007969,-0.12449849,2.0590134,9.332599
1587563007983,-0.039504327,2.087744,9.095572
1587563007990,-0.008379706,2.1823149,9.123106
1587563008002,-0.005985504,2.2290018,9.43076
1587563008014,-0.0023942017,1.7824832,10.168175
1587563008024,0.017956512,1.6316484,9.940725
1587563008041,0.051475335,1.6460136,9.428367
1587563008050,-0.093373865,1.5239093,9.288305
1587563008060,-0.09696517,1.1252748,9.02614
1587563008069,0.03232172,0.82001406,8.416816
1587563008078,-0.01436521,0.92535895,8.350976
1587563008091,-0.092176765,1.1647792,8.492233
1587563008101,-0.30286652,1.4508862,8.682572
1587563008113,-0.641646,1.9716251,10.012551
1587563008123,-0.641646,1.9716251,10.012551
1587563008136,-1.0007763,2.5115175,10.358514
1587563008146,-1.6304513,2.706645,10.000581
1587563008156,-1.5813702,2.4241292,9.744401
1587563008168,-1.3096284,1.9452889,9.144653
1587563008177,-0.93852705,1.661576,9.25359
1587563008188,-0.7457938,1.7561469,9.469068
1587563008198,-0.6368576,1.9213469,9.372103
1587563008209,-0.51355624,2.0242975,9.400833
1587563008220,-0.40462008,2.0458453,9.522937
1587563008231,-0.33638534,2.0458453,9.96347
1587563008242,-0.29448682,2.030283,9.710882
1587563008253,-0.31004912,1.9764135,9.555259
1587563008264,-0.21428105,1.8614918,9.560047
1587563008275,-0.19991584,1.8483237,9.537302
1587563008286,-0.25617957,1.9285295,9.544485
1587563008297,-0.36750996,2.0242975,9.498995
1587563008306,-0.40462008,2.0506337,9.459491
1587563008317,-0.34596214,2.0398598,9.544485
1587563008329,-0.19871874,2.0518308,9.668983
1587563008340,-0.035913024,2.0530279,9.7803135
1587563008352,0.022744916,2.0123265,9.671378
1587563008361,0.009576807,1.9357121,9.7479925
1587563008372,-0.07062895,1.8507179,9.722853
1587563008383,-0.427365,1.8291701,9.619903
1587563008394,-0.50876784,1.6867151,9.546879
1587563008405,-0.44651863,1.685518,9.640253
1587563008415,-0.33159694,1.7178397,9.721656
1587563008427,-0.2765303,1.7513585,9.667787
1587563008438,-0.19752164,1.7154455,9.623494
1587563008450,-0.107739076,1.6519991,9.731233
1587563008461,-0.1316811,1.602918,9.830592
1587563008471,-0.20590134,1.5849615,9.751583
1587563008482,-0.2801216,1.541866,9.703699
1587563008492,-0.37110126,1.4772224,9.694122
1587563008505,-0.30885202,1.3946224,9.582792
1587563008515,-0.21188685,1.4616601,9.692925
1587563008528,-0.16280572,1.5263035,9.743204
1587563008538,-0.17238252,1.5239093,9.627085
1587563008549,-0.23463176,1.4772224,9.568427
1587563008560,-0.30047232,1.4053963,9.55885
1587563008570,-0.36272156,1.3371617,9.503783
1587563008583,-0.3854665,1.3503298,9.509769
1587563008593,-0.39983168,1.3790601,9.603143
1587563008604,-0.4345476,1.4173675,9.749189
1587563008613,-0.4309563,1.4185646,10.004171
1587563008625,-0.4369418,1.328782,9.593566
1587563008633,-0.4369418,1.328782,9.593566
1587563008644,-0.49200845,1.1001357,9.715671
1587563008656,-0.51595044,1.1659763,9.758766
1587563008668,-0.5446809,1.2952632,9.762358
1587563008678,-0.5374983,1.3850456,9.751583
1587563008689,-0.5327099,1.4065934,9.752781
1587563008700,-0.5303157,1.3922282,9.720459
1587563008711,-0.50158525,1.376666,9.77792
1587563008723,-0.50038815,1.3479356,9.67018
1587563008736,-0.44891283,1.3156139,9.586384
1587563008745,-0.45848963,1.3180081,9.609129
1587563008755,-0.45848963,1.3180081,9.609129
1587563008768,-0.47884035,1.328782,9.625888
1587563008780,-0.4417302,1.3371617,9.627085
1587563008790,-0.4321534,1.3575124,9.682152
1587563008799,-0.4177882,1.328782,9.570822
1587563008812,-0.36990416,1.2761095,9.5385
1587563008822,-0.36272156,1.2557588,9.551667
1587563008833,-0.38187516,1.2665327,9.579201
1587563008844,-0.47644615,1.3323733,9.725247
1587563008854,-0.5650316,1.3467385,9.588778
1587563008868,-0.5746084,1.2976574,9.557653
1587563008883,-0.50038815,1.2641385,9.531317
1587563008892,-0.40821138,1.2856863,9.489418
1587563008902,-0.32202014,1.3275849,9.53012
1587563008912,-0.260968,1.3874398,9.527725
1587563008921,-0.260968,1.4030021,9.581595
1587563008931,-0.2753332,1.3467385,9.613917
1587563008944,-0.30645782,1.3180081,9.719262
1587563008953,-0.30645782,1.3180081,9.719262
1587563008966,-0.3184288,1.3084313,9.749189
1587563008976,-0.30645782,1.2437878,9.759963
1587563008987,-0.24779987,1.2054806,9.803059
1587563008998,-0.25977087,1.2294226,9.828198
1587563009010,-0.260968,1.2653356,9.676167
1587563009019,-0.2813187,1.271321,9.67856
1587563009029,-0.29688102,1.2617443,9.66659
1587563009040,-0.24181437,1.3060371,9.7084875
1587563009051,-0.19153613,1.3850456,9.660604
1587563009062,-0.18794483,1.4065934,9.601946
1587563009071,-0.2693477,1.3144168,9.498995
1587563009083,-0.33279404,1.3431472,9.554062
1587563009094,-0.5243302,1.435324,9.473856
1587563009105,-0.61052144,1.435324,9.481039
1587563009115,-0.6380547,1.4377182,9.566033
1587563009126,-0.581791,1.4640543,9.595961
1587563009137,-0.5231331,1.4652514,9.628283
1587563009148,-0.45250413,1.4041992,9.606734
1587563009159,-0.40701428,1.3323733,9.613917
1587563009172,-0.34476504,1.2880806,9.57561
1587563009178,-0.32800564,1.2665327,9.615114
1587563009189,-0.36870706,1.2569559,9.603143
1587563009204,-0.3842694,1.1803415,9.628283
1587563009217,-0.24660277,1.1994951,9.91439
1587563009233,-0.21906945,1.2366052,9.925163
1587563009240,-0.260968,1.2270284,9.768343
1587563009251,-0.3878607,1.1671734,9.698911
