@ HyperIMU -ianovir - 2018
@ Date:Wed Apr 22 13:01:12 GMT+02:00 2020, Sampling Rate:100ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1587553272733,0.0,0.0,0.0
1587553272845,-1.0905589,2.2589293,9.252393
1587553272934,-0.8678981,2.1068976,9.683349
1587553273035,-1.0821792,2.1511903,9.369708
1587553273136,-0.79846627,1.9955671,9.578004
1587553273237,-0.6667852,2.148796,9.445126
1587553273338,-0.8475474,2.1691468,9.537302
1587553273439,-0.8798691,2.0721815,9.321824
1587553273540,-0.8523358,2.2038627,9.344569
1587553273645,-0.8487445,2.1990743,9.506178
1587553273746,-0.79966336,2.0937295,9.572019
1587553273846,-0.81761986,2.1643584,9.455899
1587553273948,-0.92176765,2.2254105,9.228451
1587553274048,-0.82719666,2.2098482,9.531317
1587553274149,-0.79008657,2.2002714,9.660604
1587553274251,-0.8535329,2.0578163,9.498995
1587553274350,-0.8738836,2.2146366,9.388862
1587553274452,-1.0007763,2.3068132,9.441534
1587553274555,-0.78410107,2.2254105,9.269152
1587553274656,-0.91937345,2.1583729,8.823831
1587553274756,-0.7517793,2.4779987,8.704121
1587553274858,-1.6400281,2.9604304,6.7923503
1587553274958,-1.9009962,2.0171149,9.648633
1587553275060,-2.0111294,1.0582372,8.889671
1587553275160,-0.2908955,0.9684546,10.323798
1587553275262,0.2633622,1.1695676,10.577583
1587553275361,0.022744916,0.49559975,10.201694
1587553275463,1.70946,0.3842694,11.166556
1587553275565,1.5658079,-1.270124,9.481039
1587553275665,1.5251064,-1.0247183,9.846154
1587553275767,2.8502972,-1.9129672,9.861717
1587553275866,4.0940847,-1.4784195,10.411186
1587553275968,4.295198,-2.4313118,8.981848
1587553276068,0.7673417,-3.3327289,8.008605
1587553276170,6.4751186,-3.4883518,5.9052987
1587553276271,7.5764513,-3.8750155,5.4168816
1587553276372,7.8972745,-4.31076,3.7948096
1587553276472,9.379285,-3.3375173,2.705448
1587553276574,7.350199,-4.086902,1.9357121
1587553276673,9.983821,-7.074866,2.3068132
1587553276774,9.970653,-10.849325,0.23223756
1587553276874,7.265205,-7.8086886,2.9472623
1587553276976,5.819107,-5.031415,2.44448
1587553277076,8.503007,-9.081207,1.2521675
1587553277178,6.1746464,-6.7612257,-2.9520507
1587553277279,6.9360023,-7.2963295,-1.3634979
1587553277380,6.4404025,-7.2149267,-0.39504328
1587553277479,7.2831616,-7.6841903,1.9919758
1587553277582,5.5497594,-6.471527,2.9400797
1587553277682,5.4743423,-5.397728,1.1563994
1587553277783,4.709395,-8.659827,5.529409
1587553277882,5.3582234,-14.010868,0.36750996
1587553277984,6.302736,-9.7958765,0.045489833
1587553278086,2.1918917,-10.123882,0.41299978
1587553278186,0.6631939,-11.45027,-1.9357121
1587553278289,-0.038307227,-8.943541,-0.075417355
1587553278389,1.3718776,-10.87207,-0.81163436
1587553278490,0.19752164,-10.614694,-0.5386954
1587553278591,-0.049081136,-10.4171715,-0.62129533
1587553278691,0.25498247,-9.873688,-0.641646
1587553278793,0.8595184,-9.829395,0.17717093
1587553278891,1.033098,-9.884461,0.24540567
1587553278993,0.5686229,-9.785102,-0.20111294
1587553279095,-0.17597382,-9.807847,-0.22266077
1587553279194,-0.11611878,-9.872491,-0.18076223
1587553279296,0.2621651,-9.742006,-0.29328972
1587553279399,1.0498575,-9.837775,-0.18435353
1587553279499,0.46208093,-9.89763,-0.33997664
1587553279599,0.44651863,-9.904813,-1.6436194
1587553279701,0.59735334,-9.448717,-1.2593501
1587553279801,1.1791444,-9.865308,-0.8583213
1587553279904,1.22224,-9.697714,-0.24301147
1587553280003,1.0079589,-9.890448,-0.092176765
1587553280105,2.2170308,-10.896012,1.0402806
1587553280205,0.8678981,-10.779893,1.2246342
1587553280307,-0.79846627,-7.2592196,3.2800562
1587553280408,-0.40462008,-1.3000516,2.597709
1587553280508,-1.5239093,-4.6399627,5.5270147
1587553280610,2.385822,-12.606669,9.895236
1587553280710,-1.6879122,-13.514071,6.919243
1587553280813,3.228581,-9.628283,-6.3697734
1587553280908,2.8538885,-4.7907977,3.5972881
1587553281012,3.5889084,-9.192537,1.1384429
1587553281114,0.49320555,-8.429984,-0.23702596
1587553281215,1.5837644,-11.299435,0.6344634
1587553281316,4.5166616,-10.666168,-0.20350714
1587553281416,3.8355112,-12.41633,-1.7836803
1587553281518,-6.206968,-15.522807,0.9696517
1587553281618,5.397728,-10.049662,-0.7637503
1587553281720,1.1994951,-3.3806129,1.1851299
1587553281820,0.94092125,-5.187038,3.8654387
1587553281922,5.357026,-12.667721,6.7839704
1587553282022,0.073023155,-6.8988924,4.7560816
1587553282124,-3.108871,-5.5258174,-4.1575313
1587553282224,5.397728,-9.31943,3.4931402
1587553282326,0.90740246,-8.397662,-0.21308395
1587553282425,4.8817773,-9.131485,-0.664391
1587553282527,4.000711,-10.358514,-0.5770026
1587553282629,5.195418,-12.688072,1.0019734
1587553282729,-7.7811556,-16.209942,0.61890113
1587553282831,3.7373488,-10.703279,-2.6180596
1587553282929,1.2737153,-3.2968156,1.2569559
1587553283032,-0.878672,-3.6643257,4.5645456
1587553283133,5.081693,-11.92911,10.131064
1587553283236,6.408081,-33.570297,-4.914099
1587553283335,1.5514427,-20.752941,3.78643
1587553283435,2.4480712,-7.195773,3.6367924
1587553283537,-0.8643068,-9.977836,1.2210429
1587553283637,1.5526398,-11.911154,2.767697
1587553283739,4.5406036,-10.013748,0.91697925
1587553283839,4.134786,-12.449849,-0.34835634
1587553283941,-2.9747956,-15.740679,2.883816
1587553284041,-0.41060558,-7.5309615,-1.411382
1587553284143,-0.15562311,-4.9021277,0.15083471
1587553284243,4.1216183,-5.7760115,11.110293
1587553284345,-2.1511903,-4.9464207,3.5805287
1587553284445,-12.006922,-0.095768064,16.378735
1587553284547,7.3885064,-13.478158,-3.1675289
1587553284647,0.50517654,-8.049306,0.40821138
1587553284749,2.0578163,-9.428367,2.4001873
1587553284849,2.8574798,-10.753557,3.539827
1587553284951,3.1974564,-12.528857,-0.48123455
1587553285051,-3.9360676,-16.05432,-1.2988545
1587553285154,5.0146556,-12.988544,1.2557588
1587553285254,-0.11372458,-4.7441106,0.37110126
1587553285354,-1.3706805,-3.2728736,0.9684546
1587553285456,9.101558,-21.57894,14.513651
1587553285556,-3.819949,-16.627731,10.317812
1587553285657,-3.7948096,1.9297266,-11.1414175
1587553285759,4.5801077,-6.8665705,1.0307038
1587553285860,1.2605472,-9.232041,-1.1384429
1587553285960,0.8475474,-9.23683,0.47524905
1587553286062,2.778471,-10.8708725,0.34835634
1587553286162,4.724957,-12.384008,0.7038953
1587553286263,-5.3402667,-13.5930805,-1.7729063
1587553286364,5.746084,-12.265495,2.1547816
1587553286466,-1.1791444,-4.8841715,0.6584055
1587553286566,-1.1001357,-2.19668,-0.089782566
1587553286668,8.024167,-18.85793,20.740969
1587553286771,-1.6567876,-17.374722,9.55047
1587553286871,-12.076353,5.521029,-8.694544
1587553286973,4.2341456,-7.955932,3.004723
1587553287073,-0.050278235,-9.246407,1.1216835
1587553287175,2.5306711,-9.813833,-0.08738836
1587553287274,5.2648497,-10.779893,-0.053869538
1587553287376,2.7341783,-13.536817,-0.736217
1587553287478,-7.1502833,-14.632164,1.8794483
1587553287578,3.383007,-10.923545,-1.8543092
1587553287680,0.60453594,-3.58412,0.92895025
1587553287781,0.06823475,-3.0585926,2.373851
1587553287881,6.715736,-23.60563,9.150639
