@ HyperIMU -ianovir - 2018
@ Date:Wed Apr 22 12:59:32 GMT+02:00 2020, Sampling Rate:100ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z
1587553172674,0.0,0.0,0.0
1587553172779,-0.33638534,1.6879122,9.768343
1587553172876,0.051475335,1.4927847,9.864111
1587553172977,0.16639702,1.7561469,9.594764
1587553173078,-0.04070143,1.733402,9.55047
1587553173179,0.16160862,1.661576,9.586384
1587553173280,0.094570965,1.6579847,9.51336
1587553173381,-0.092176765,1.7022774,9.662998
1587553173483,-0.19632454,1.7046716,9.6845455
1587553173582,-0.14963761,1.7381904,9.540894
1587553173684,-0.14604631,1.7381904,9.594764
1587553173781,-0.25019407,1.673547,9.692925
1587553173882,-0.2777274,1.7429788,9.5732155
1587553173985,-0.14604631,1.7226281,9.604341
1587553174087,0.009576807,1.9261353,9.746795
1587553174188,0.05746084,2.0733786,9.627085
1587553174288,-0.38067806,2.147599,9.3421755
1587553174390,-1.2354081,1.7166426,9.385271
1587553174490,-0.6380547,1.7896658,9.607931
1587553174592,-0.78170687,1.5035586,9.581595
1587553174693,-0.35075054,1.352724,10.120291
1587553174795,-1.282095,1.5646108,8.707711
1587553174895,-0.31483752,1.2150574,10.0987425
1587553174995,-1.9991584,1.6962919,9.657013
1587553175100,-0.8750807,0.6679823,9.326612
1587553175200,-0.46686932,0.47285482,9.259575
1587553175301,-0.3196259,0.9552865,10.006566
1587553175401,-1.9440918,0.9804256,9.167398
1587553175500,-2.2876596,1.1994951,8.349778
1587553175601,-0.82121116,1.5263035,10.352529
1587553175702,-1.2389994,1.5717934,10.19451
1587553175801,-0.4213795,2.1667526,9.32781
1587553175902,-0.7445967,2.1631613,8.3868885
1587553176005,-0.47046062,2.1547816,8.67539
1587553176106,-0.20470424,2.7832594,8.7053175
1587553176206,0.61890113,3.2992098,11.823765
1587553176307,-1.0785879,0.40102878,13.087904
1587553176409,-1.3587095,-0.9636662,11.631032
1587553176510,-1.2533646,-0.3184288,8.183381
1587553176609,-0.6440403,-0.12569559,7.5309615
1587553176711,-0.5674258,1.9057846,6.265626
1587553176809,-0.7015011,2.4947581,9.599552
1587553176917,-0.035913024,2.0829554,12.004527
1587553177014,0.94211835,-0.050278235,13.227964
1587553177114,0.4177882,0.10295067,10.089166
1587553177215,0.14604631,0.08020575,7.4375877
1587553177315,0.34835634,1.5047557,6.38773
1587553177416,0.05865794,1.697489,9.734824
1587553177518,-0.45130703,1.8411411,11.306618
1587553177619,-1.8914193,1.0247183,12.624625
1587553177719,-1.0749966,-0.427365,11.18571
1587553177820,-0.6955156,0.557849,7.5704656
1587553177922,-0.07062895,0.92416185,7.327454
1587553178024,-1.4616601,1.4269443,8.963891
1587553178124,0.78290397,1.8698715,10.228029
1587553178225,2.099715,1.0127473,13.342886
1587553178325,0.80684596,0.16879122,10.583569
1587553178427,0.5351041,1.3251907,7.273585
1587553178526,0.28491,1.9919758,7.3178773
1587553178628,0.46806642,2.184709,8.876503
1587553178730,0.81402856,1.922544,11.786655
1587553178829,0.19153613,0.5638345,12.257115
1587553178931,-1.1121067,0.8379706,8.846576
1587553179032,-0.7625532,2.1428106,7.5680714
1587553179132,0.29807812,1.7848774,8.333019
