accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.094 -0.000 -0.5482722 1.9129672 8.913613
0.097 0.027 -0.8439561 1.7106571 7.410054
0.097 0.045 -0.997185 2.0745757 8.316259
0.097 0.073 -1.1623849 2.1535845 8.965088
0.097 0.093 -0.93972415 2.1787236 9.218874
0.114 0.113 -0.7410054 2.291251 9.4535055
0.142 0.133 -0.7350199 2.1583729 9.490616
0.191 0.153 -0.8714894 2.0769699 9.751583
0.191 0.173 -0.90381116 2.0446482 9.822212
0.193 0.193 -1.0319009 1.851915 9.770737
0.228 0.213 -0.9720459 1.875857 9.900024
0.234 0.233 -0.724246 1.8291701 9.606734
0.277 0.253 -0.6967127 1.7884687 9.369708
0.277 0.273 -1.0414777 1.6460136 9.281123
0.293 0.293 -0.94331545 2.1320367 9.572019
0.315 0.313 -0.7410054 1.9548657 9.591172
0.333 0.333 -0.6799533 1.733402 9.619903
0.353 0.353 -0.4369418 1.9237411 9.600749
0.373 0.373 -0.59376204 1.7274165 9.593566
0.393 0.393 -0.6332663 1.8686744 9.66659
0.414 0.413 -0.60573304 1.9021933 9.689334
0.433 0.433 -0.7398083 1.8746599 9.606734
0.453 0.453 -0.8810662 2.0087352 9.7563715
0.473 0.473 -0.92535895 2.030283 9.540894
0.493 0.493 -0.7673417 1.9812019 9.387665
0.513 0.513 -0.59735334 2.0015526 9.452309
0.533 0.533 -0.5446809 1.9285295 9.579201
0.553 0.553 -0.5506664 1.8112136 9.588778
0.573 0.573 -0.5662287 1.8471266 9.764751
0.594 0.593 -0.5674258 1.7525556 9.659407
0.618 0.613 -0.51235914 1.8124107 9.615114
0.633 0.633 -0.60932434 1.7860745 9.414001
0.653 0.653 -0.557849 1.7130513 9.635465
0.673 0.673 -0.58657944 1.7860745 9.605537
0.693 0.693 -0.6775591 1.8148049 9.639056
0.713 0.713 -0.61890113 1.7345991 9.704897
0.733 0.733 -0.62129533 1.8447324 9.685743
0.753 0.753 -0.58538234 1.8267759 9.605537
0.773 0.773 -0.59256494 1.7465701 9.507375
0.793 0.793 -0.52073884 1.7274165 9.43076
0.813 0.813 -0.5410896 1.6675615 9.569624
0.833 0.833 -0.62129533 1.6543933 9.621099
0.853 0.853 -0.6380547 1.5765818 9.810242
0.873 0.873 -0.59855044 1.532289 9.832987
