gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.098 0.074 -2.883125 1.1541321 -0.14509271
0.098 0.084 -0.32726496 -0.07798306 -0.043689083
0.098 0.094 -0.21608748 -0.1812193 -0.024752261
0.113 0.104 -0.26373494 -0.16961285 -0.0363587
0.130 0.114 -0.2985543 -0.13296093 -0.058960717
0.130 0.124 -0.2961108 -0.074317865 -0.086449645
0.142 0.134 -0.26556754 -0.07126354 -0.0785084
0.190 0.144 -0.22463958 -0.079815656 -0.057738986
0.190 0.154 -0.19165285 -0.079815656 -0.0363587
0.190 0.164 -0.16660738 -0.07492873 -0.021697935
0.190 0.174 -0.14644884 -0.07126354 -0.021087069
0.190 0.184 -0.12445769 -0.068209216 -0.015589282
0.194 0.194 -0.10246654 -0.073707 -0.0027611125
0.227 0.204 -0.088416636 -0.11830017 0.0033475403
0.227 0.214 -0.06947981 -0.16472593 -0.0058154385
0.227 0.224 -0.054819047 -0.13418266 -0.018032743
0.235 0.234 -0.054208174 -0.081648245 -0.05346293
0.244 0.244 -0.07253413 -0.060267966 -0.077897534
0.277 0.254 -0.09513615 -0.03949855 -0.109662525
0.277 0.264 -0.10796432 -0.026059512 -0.13287541
0.277 0.274 -0.13667499 8.1855804E-4 -0.067512825
0.286 0.284 -0.09819047 -0.08531344 -0.0033719772
0.295 0.294 -0.041990876 -0.113413244 0.03266907
0.304 0.304 0.0013805628 -0.09508729 0.050384164
0.315 0.314 0.034367282 -0.103028536 0.044886377
0.324 0.324 0.034367282 -0.103028536 0.030836474
0.334 0.334 0.01420873 -0.11219151 0.0064018657
0.344 0.344 -0.041990876 -0.105472 -0.07239975
0.354 0.354 -0.08047539 -0.10730459 -0.12493416
0.364 0.364 -0.100023076 -0.11830017 -0.14997964
0.374 0.374 -0.112240374 -0.14273478 -0.1560883
0.384 0.384 -0.10918605 -0.15006515 -0.17013818
0.394 0.394 -0.09574701 -0.13723698 -0.1786903
0.404 0.404 -0.08108625 -0.115245834 -0.17563598
0.414 0.414 -0.06031683 -0.085924305 -0.17013818
0.424 0.424 -0.03588222 -0.07126354 -0.16036434
0.434 0.434 -0.0096150115 -0.068820074 -0.12798849
0.444 0.444 0.034978148 -0.074317865 -0.07606494
0.454 0.454 0.094232075 -0.04805066 -0.007648034
0.464 0.464 0.099119 -0.03400076 0.022895228
0.474 0.474 0.094232075 -0.030946434 0.043664645
0.484 0.484 0.06979747 -0.043774605 0.046108108
0.494 0.494 0.04230853 -0.066987485 0.032058205
0.504 0.504 0.0050457492 -0.090200365 0.022284362
0.514 0.514 -0.04138001 -0.10608286 0.0027366756
0.524 0.524 -0.08169711 -0.103028536 -0.018643608
0.534 0.534 -0.11285125 -0.08470257 -0.026584856
0.544 0.544 -0.14095104 -0.06637662 -0.025363125
0.554 0.554 -0.1470597 -0.049272392 -0.02597399
0.571 0.564 -0.10979691 -0.01995086 -0.016811013
0.574 0.574 -0.055429906 0.004483752 -0.003982843
0.594 0.584 -0.0016737655 0.019755382 0.0064018657
0.594 0.594 0.02825863 0.024031438 0.020451766
0.604 0.604 0.023982573 0.022809707 0.025338687
0.618 0.614 1.5883148E-4 0.023420572 0.023506094
0.624 0.624 -0.036493085 0.013035864 0.022895228
0.634 0.634 -0.05848424 -0.015063938 0.029614747
0.644 0.644 -0.06642549 -0.020561725 0.029614747
0.654 0.654 -0.067036346 -0.0022357665 0.03266907
0.664 0.664 -0.05787337 0.008759808 0.030836474
0.674 0.674 -0.03588222 0.0020402893 0.02411696
0.684 0.684 -0.030995294 -0.0016249008 0.02411696
0.694 0.694 -0.019388862 2.0769238E-4 0.018008307
0.704 0.704 -0.0053389594 -0.0034574978 0.011288789
0.714 0.714 -0.012058474 -0.0059009586 0.010677923
0.724 0.724 -0.04871039 -0.023005186 0.0033475403
0.734 0.734 -0.101855665 -0.035833355 -0.003982843
0.744 0.744 -0.14156191 -0.029113838 -0.011313225
0.754 0.754 -0.1611096 -0.016285667 -0.014978417
0.764 0.764 -0.1470597 -0.0022357665 -0.0082589
0.774 0.774 -0.12506855 0.026474897 0.0033475403
0.784 0.784 -0.09147096 0.048466045 0.0027366756
0.794 0.794 -0.088416636 0.05762903 2.9321387E-4
0.804 0.804 -0.09391442 0.06679201 0.003958405
0.814 0.814 -0.1171273 0.075344115 0.010067058
0.824 0.824 -0.1470597 0.08206363 0.011899653
0.834 0.834 -0.16660738 0.07290065 0.011288789
0.845 0.844 -0.1714943 0.058850754 0.007623597
0.854 0.854 -0.16599652 0.04480086 0.0064018657
0.864 0.864 -0.15133575 0.035027016 0.005791002
0.874 0.874 -0.13789672 0.009370673 0.01373225
0.884 0.884 -0.12506855 -0.01078788 0.02411696
0.894 0.894 -0.11407298 -0.00712269 0.036945127
0.905 0.904 -0.100023076 0.011814132 0.035112534
0.915 0.914 -0.09635788 0.024642304 0.04061032
0.925 0.924 -0.10124481 0.027085762 0.033890802
0.935 0.934 -0.11590557 0.016701054 0.0198409
0.945 0.944 -0.13423152 0.011203267 0.0070127314
0.955 0.954 -0.13667499 0.019755382 0.005791002
0.965 0.964 -0.12506855 0.022809707 0.0051801363
0.975 0.974 -0.115294695 -0.019339994 9.040795E-4
0.985 0.984 -0.12445769 -0.06454402 -9.285165E-4
0.997 0.994 -0.13850757 -0.057824507 -0.003982843
1.005 1.004 -0.13545325 -0.057824507 0.008234463
1.015 1.014 -0.11895989 -0.006511824 0.018008307
1.025 1.024 -0.09208183 0.025864031 0.02900388
1.035 1.034 -0.052375585 0.023420572 0.04061032
1.045 1.044 -0.015112802 0.006316345 0.044886377
1.055 1.054 0.008710943 -0.012620477 0.04427551
1.065 1.064 0.016041327 -0.025448646 0.03633426
1.075 1.074 0.013597865 -0.027281243 0.029614747
1.085 1.084 -0.005949825 -0.029724702 0.016786575
1.095 1.094 -0.02855184 -0.021783456 0.011899653
1.105 1.104 -0.038325682 8.1855804E-4 0.003958405
1.115 1.114 -0.029162705 0.021587979 0.007623597
1.125 1.124 -0.0169454 0.019755382 0.008845328
1.135 1.134 -0.0096150115 -0.013842206 0.00212581
1.147 1.144 -0.018777996 -0.046218064 0.005791002
1.155 1.154 -0.038936548 -0.07126354 -0.0015393812
1.165 1.164 -0.0713124 -0.105472 -0.010091495
1.175 1.174 -0.100023076 -0.12746315 -0.018643608
1.185 1.184 -0.09696874 -0.10852632 -0.016200148
1.196 1.194 -0.06642549 -0.078593925 -0.0021502469
1.205 1.204 -0.024886645 -0.038887683 0.01617571
1.215 1.214 0.055136703 0.025864031 0.035112534
1.225 1.224 0.098508134 0.055796433 0.050384164
1.235 1.234 0.113168895 0.06923546 0.054049354
1.245 1.244 0.08873429 0.06068335 0.044886377
1.255 1.254 0.046584588 0.043579128 0.027171284
1.265 1.264 0.006878346 0.024031438 0.008234463
1.275 1.274 -0.017556265 0.01731192 -9.285165E-4
1.285 1.284 -0.0169454 0.016701054 -0.008869764
1.297 1.294 0.0013805628 0.023420572 -0.012534956
1.305 1.304 0.035589013 0.031361822 -0.012534956
1.315 1.314 0.06735401 0.049687777 -0.0058154385
1.325 1.324 0.07896045 0.045411725 0.011899653
1.335 1.334 0.04414113 0.029529225 0.010677923
