gyroscope.txt

All values are in radians/second. Factory calibration and temperature compensation are still applied to the rate of rotation (angular speeds).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-drift-x estimated-drift-y estimated-drift-z
0.098 0.074 -2.9584203 1.1911873 -0.13316862 -0.075295255 0.037055086 0.011924091
0.098 0.094 -0.29138273 -0.1441642 -0.01282817 -0.075295255 0.037055086 0.011924091
0.131 0.114 -0.37384954 -0.09590584 -0.047036625 -0.075295255 0.037055086 0.011924091
0.142 0.134 -0.3408628 -0.034208454 -0.06658431 -0.075295255 0.037055086 0.011924091
0.191 0.154 -0.2669481 -0.042760566 -0.02443461 -0.075295255 0.037055086 0.011924091
0.191 0.174 -0.22174409 -0.034208454 -0.009162978 -0.075295255 0.037055086 0.011924091
0.194 0.194 -0.1777618 -0.036651913 0.009162978 -0.075295255 0.037055086 0.011924091
0.228 0.214 -0.14477506 -0.12767084 0.0061086523 -0.075295255 0.037055086 0.011924091
0.235 0.234 -0.12950343 -0.044593163 -0.04153884 -0.075295255 0.037055086 0.011924091
0.277 0.254 -0.1704314 -0.002443461 -0.09773844 -0.075295255 0.037055086 0.011924091
0.277 0.274 -0.21197024 0.037873644 -0.055588737 -0.075295255 0.037055086 0.011924091
0.295 0.294 -0.11728613 -0.076358154 0.044593163 -0.075295255 0.037055086 0.011924091
0.315 0.314 -0.040927973 -0.065973446 0.05681047 -0.075295255 0.037055086 0.011924091
0.334 0.334 -0.061086524 -0.07513642 0.018325957 -0.075295255 0.037055086 0.011924091
0.354 0.354 -0.15577064 -0.070249505 -0.11301007 -0.075295255 0.037055086 0.011924091
0.374 0.374 -0.18753563 -0.10567969 -0.1441642 -0.075295255 0.037055086 0.011924091
0.394 0.394 -0.17104226 -0.1001819 -0.16676621 -0.075295255 0.037055086 0.011924091
0.414 0.414 -0.13561209 -0.04886922 -0.15821409 -0.075295255 0.037055086 0.011924091
0.434 0.434 -0.084910266 -0.03176499 -0.1160644 -0.075295255 0.037055086 0.011924091
0.454 0.454 0.018936822 -0.010995574 0.004276057 -0.075295255 0.037055086 0.011924091
0.474 0.474 0.018936822 0.0061086523 0.055588737 -0.075295255 0.037055086 0.011924091
0.494 0.494 -0.032986723 -0.029932396 0.043982297 -0.075295255 0.037055086 0.011924091
0.514 0.514 -0.116675265 -0.069027774 0.014660766 -0.075295255 0.037055086 0.011924091
0.534 0.534 -0.1881465 -0.047647487 -0.014660766 -0.075295255 0.037055086 0.011924091
