linear-acceleration.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.098 0.045 0.13610148 -0.28314996 -1.135046
0.098 0.073 0.064188 -0.11905098 -0.49541092
0.098 0.093 0.028350055 -0.065761805 -0.27825737
0.114 0.113 0.003927529 -0.012020588 -0.049672127
0.143 0.133 0.0034697056 -0.0101161 -0.044722557
0.191 0.153 -0.017592609 0.04183197 0.19650841
0.191 0.173 -0.023867786 0.05415845 0.2600975
0.193 0.193 -0.019757032 0.03545904 0.18708134
0.228 0.213 -0.030428588 0.058592916 0.30933666
0.235 0.233 1.3709068E-6 -1.06692314E-4 -5.340576E-4
0.277 0.253 0.01764828 -0.045228362 -0.23745728
0.277 0.273 0.035508156 -0.05612147 -0.31644058
0.293 0.293 -0.004326403 0.009787083 0.04391575
0.315 0.313 -7.452369E-4 0.0019469261 0.009496689
0.333 0.333 5.686283E-4 -0.0014467239 -0.008054733
0.353 0.353 2.4875998E-4 -0.001033783 -0.005212784
0.373 0.373 0.002482295 -0.0072010756 -0.04001999
0.393 0.393 -0.003805101 0.011227131 0.05804825
0.414 0.413 -0.005276799 0.016578078 0.08442402
0.433 0.433 -7.2181225E-4 0.0017571449 0.0090065
0.453 0.453 -0.016998291 0.038799405 0.18855476
0.473 0.473 8.2558393E-4 -0.001750946 -0.008106232
0.493 0.493 0.014475644 -0.037373304 -0.17708874
0.513 0.513 0.007798791 -0.026114225 -0.123324394
0.533 0.533 0.0010865927 -0.0038917065 -0.019667625
0.553 0.553 0.0018416047 -0.0061022043 -0.032162666
0.573 0.573 -0.00842458 0.027449012 0.14456367
0.595 0.593 -0.001550734 0.004760146 0.026371002
0.618 0.613 4.5335293E-4 -0.0016359091 -0.008640289
0.633 0.633 0.013080597 -0.038208365 -0.20135021
0.653 0.653 2.3168325E-4 -7.222891E-4 -0.004137039
0.673 0.673 0.0011339188 -0.0034524202 -0.018525124
0.693 0.693 -0.0017188787 0.0046355724 0.024644852
0.713 0.713 -0.0044623613 0.012526631 0.07020378
0.733 0.733 -0.0045778155 0.013637304 0.07131958
0.753 0.753 7.2801113E-4 -0.0020952225 -0.011222839
0.773 0.773 0.00750041 -0.02194047 -0.119810104
0.793 0.793 0.011041701 -0.03687036 -0.20121098
0.813 0.813 0.0043242574 -0.013353944 -0.076485634
0.833 0.833 0.0014226437 -0.0041531324 -0.024201393
0.853 0.853 -0.009608686 0.023746252 0.14772892
0.873 0.873 -0.009836793 0.025067687 0.1607542
0.893 0.893 -0.0050252676 0.014880538 0.09576225
0.914 0.913 8.8840723E-4 -0.0021425486 -0.01478672
0.934 0.933 0.015086234 -0.036417603 -0.22907352
0.954 0.953 0.016436934 -0.0339154 -0.22201443
0.974 0.973 0.021761894 -0.05120659 -0.3151188
0.997 0.993 0.008440375 -0.018441439 -0.12334633
1.014 1.013 0.0033550262 -0.0076925755 -0.052373886
1.034 1.033 0.007484138 -0.01691246 -0.11926651
1.054 1.053 0.03652501 -0.0039057732 -0.12478256
1.074 1.073 0.012425244 0.07288003 0.00587368
1.095 1.093 -0.005740106 0.07242513 0.21042633
1.114 1.113 0.028858006 0.023233056 0.20585155
1.134 1.133 -0.023721159 0.010386467 0.023569107
1.154 1.153 -0.09245998 0.037564635 -0.012954712
1.174 1.173 -0.017519891 0.017432332 -0.17331123
1.194 1.193 0.09821525 -0.05973041 -0.023934364
1.214 1.213 0.1459761 0.026169658 0.08440685
1.235 1.233 -9.4276667E-4 0.06526196 0.034280777
1.255 1.253 -0.05448419 0.09822142 -0.091462135
1.274 1.273 -0.055416882 0.04411173 -0.07825279
1.297 1.293 -0.015844762 0.013150573 -0.12029648
1.314 1.313 -0.017222226 0.0079340935 -0.026011467
1.334 1.333 -0.066333115 -0.03979516 -0.07968807
1.354 1.353 -0.04696721 0.01587069 -0.07382679
1.374 1.373 -0.057216287 -0.042004466 0.031365395
1.395 1.393 -0.04879278 -0.013630748 0.0027866364
1.415 1.413 -0.08255327 -0.055630088 -0.20968437
1.435 1.433 -0.009010434 -0.09388983 -0.16520023
1.454 1.453 -0.047449052 -0.0023483038 -0.27178764
1.474 1.473 0.0071098804 -0.013695002 -0.23887539
1.494 1.493 0.019835472 -0.005987644 -0.22215843
1.514 1.513 0.09580442 -0.07448959 -0.33424854
1.534 1.533 0.09870294 -0.073534966 -0.23924923
1.554 1.553 -0.012406915 -0.0031499863 -0.17610073
1.575 1.573 -0.05236292 -0.052943945 -0.21790504
1.594 1.593 0.0425089 -0.042097688 -0.20688057
1.614 1.613 -0.01370734 -0.08323848 -0.07120228
1.633 1.633 -0.079533726 -0.050537825 0.005722046
1.654 1.653 -0.025301784 -0.013721228 0.037653923
1.674 1.673 0.055677444 0.06985688 0.31142902
1.693 1.693 0.019715399 0.13140607 0.44706345
1.714 1.713 -0.11315188 0.079203606 0.50668335
1.734 1.733 -0.015147507 0.16422176 0.32610416
1.754 1.753 -0.0029970407 0.3612361 0.44674015
1.774 1.773 0.18504764 0.1911025 0.18612385
1.794 1.793 0.06337327 0.14835262 0.113921165
1.815 1.813 0.04054171 0.23780394 0.022221565
1.834 1.833 -0.0068220794 0.19175684 -0.12741661
1.854 1.853 -0.041464448 0.20954597 -0.20962715
1.878 1.873 -0.13532418 0.21986687 -0.00758934
1.895 1.893 -0.1063512 0.03222823 -0.035479546
1.915 1.913 -0.07150406 -0.066137195 -0.0721159
1.935 1.933 0.0349575 -0.074367404 -0.16741562
1.954 1.953 0.031354755 -0.1478008 -0.2310276
1.974 1.973 -0.028111756 -0.10085881 -0.2196598
1.995 1.993 -0.0014395714 -0.1448021 -0.1502924
2.015 2.013 -0.024169534 -0.2721119 -0.051514626
2.034 2.033 -0.06516707 -0.17885756 0.008991241
2.054 2.053 -0.1464034 -0.21297681 0.19463158
2.075 2.073 -0.41566062 -0.23793352 -0.58576965
2.093 2.093 0.8045247 -0.3876462 -0.22199726
2.113 2.113 -0.34419006 -0.04818082 0.39478588
2.134 2.133 -0.11464748 0.18943262 0.017660141
2.153 2.153 0.052540556 -0.077768445 -0.30296898
2.175 2.173 -0.054156244 0.20845664 -0.36243153
2.193 2.193 -0.10307932 0.29632437 -0.6752615
2.214 2.213 0.2617533 -0.25989723 -0.6003485
2.233 2.233 -0.043964222 0.2553619 -0.20044231
