magnetometer-calibrated.txt

All values are in micro-Tesla (uT).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.098 0.069 12.49 -29.1 -38.91
0.098 0.089 13.6 -28.78 -38.27
0.113 0.109 12.2 -28.899994 -38.600002
0.131 0.129 11.9 -28.899994 -38.600002
0.190 0.149 12.0 -28.699997 -38.400005
0.191 0.169 12.1 -28.699997 -38.499996
0.191 0.189 12.2 -28.399994 -38.499996
0.227 0.209 12.3 -28.300003 -38.499996
0.230 0.229 12.3 -28.199997 -38.7
0.277 0.249 12.2 -28.100006 -38.7
0.277 0.269 12.2 -28.0 -38.7
0.289 0.289 12.2 -27.899994 -38.8
0.309 0.309 12.1 -27.899994 -38.900005
0.331 0.329 12.2 -27.800003 -38.900005
0.349 0.349 12.3 -27.800003 -38.900005
0.369 0.369 12.3 -27.699997 -38.8
0.389 0.389 12.2 -27.699997 -38.8
0.409 0.409 12.3 -27.600006 -38.7
0.430 0.429 12.2 -27.600006 -38.8
0.449 0.449 12.2 -27.5 -38.8
0.469 0.469 12.2 -27.399994 -38.8
0.489 0.489 12.2 -27.399994 -38.8
0.509 0.509 12.3 -27.399994 -38.900005
0.530 0.529 12.3 -27.399994 -38.900005
0.549 0.549 12.2 -27.399994 -38.900005
0.571 0.569 12.2 -27.300003 -38.900005
0.594 0.589 12.2 -27.300003 -38.999996
0.609 0.609 12.2 -27.300003 -38.999996
0.629 0.629 12.2 -27.300003 -38.999996
0.649 0.649 12.2 -27.300003 -38.999996
0.669 0.669 12.2 -27.199997 -38.999996
0.689 0.689 12.2 -27.199997 -38.999996
0.709 0.709 12.2 -27.100006 -39.100002
0.729 0.729 12.2 -27.0 -39.100002
0.749 0.749 12.2 -27.0 -39.2
0.769 0.769 12.2 -26.899994 -39.3
0.789 0.789 12.2 -26.899994 -39.3
0.809 0.809 12.2 -26.800003 -39.400005
0.829 0.829 12.2 -26.800003 -39.400005
0.849 0.849 12.1 -26.699997 -39.400005
0.869 0.869 12.1 -26.600006 -39.499996
0.889 0.889 12.1 -26.600006 -39.499996
0.910 0.909 12.1 -26.5 -39.499996
0.931 0.929 12.1 -26.399994 -39.600002
0.950 0.949 12.1 -26.399994 -39.600002
0.970 0.969 12.1 -26.300003 -39.7
0.990 0.989 12.1 -26.300003 -39.8
1.010 1.009 12.1 -26.199997 -39.900005
1.030 1.029 12.1 -26.100006 -39.900005
1.050 1.049 12.1 -26.100006 -39.999996
1.070 1.069 12.1 -26.0 -40.100002
1.090 1.089 12.1 -26.0 -40.100002
1.110 1.109 12.1 -25.899994 -40.2
1.130 1.129 12.1 -25.800003 -40.2
1.150 1.149 12.1 -25.699997 -40.3
1.170 1.169 12.1 -25.699997 -40.3
1.190 1.189 12.1 -25.600006 -40.400005
1.213 1.210 12.1 -25.5 -40.400005
1.230 1.229 12.1 -25.399994 -40.400005
1.250 1.249 12.1 -25.399994 -40.499996
1.270 1.269 12.1 -25.300003 -40.499996
1.290 1.289 12.1 -25.300003 -40.499996
1.310 1.309 12.1 -25.300003 -40.499996
1.330 1.329 12.1 -25.199997 -40.499996
1.350 1.349 12.1 -25.199997 -40.499996
1.370 1.369 12.1 -25.100006 -40.499996
1.390 1.389 12.1 -25.100006 -40.499996
1.410 1.409 12.1 -25.0 -40.499996
1.430 1.430 12.1 -25.0 -40.499996
1.450 1.450 12.1 -25.0 -40.499996
1.470 1.470 12.1 -24.899994 -40.499996
1.490 1.489 12.1 -24.899994 -40.499996
1.513 1.509 12.1 -24.899994 -40.499996
1.530 1.529 12.1 -24.899994 -40.499996
1.550 1.549 12.1 -24.899994 -40.499996
1.570 1.569 12.1 -24.899994 -40.499996
1.590 1.589 12.0 -25.0 -40.400005
1.610 1.609 11.9 -25.0 -40.400005
1.630 1.629 11.9 -25.0 -40.400005
1.649 1.649 11.9 -25.0 -40.3
1.669 1.669 11.8 -25.0 -40.2
1.690 1.689 11.8 -25.0 -40.3
1.709 1.709 11.8 -25.100006 -40.3
1.730 1.729 11.8 -25.0 -40.3
1.751 1.750 11.8 -25.0 -40.3
1.770 1.769 11.7 -25.100006 -40.3
1.790 1.789 11.7 -25.100006 -40.3
1.811 1.809 11.7 -25.100006 -40.3
1.830 1.829 11.7 -25.100006 -40.3
1.850 1.849 11.7 -25.100006 -40.3
1.870 1.869 11.7 -25.100006 -40.3
1.890 1.889 11.7 -25.199997 -40.400005
1.910 1.909 11.7 -25.199997 -40.400005
1.930 1.929 11.6 -25.199997 -40.400005
1.950 1.949 11.6 -25.199997 -40.400005
1.970 1.969 11.6 -25.300003 -40.400005
1.990 1.990 11.6 -25.300003 -40.400005
2.010 2.009 11.6 -25.300003 -40.400005
2.030 2.029 11.6 -25.300003 -40.3
2.050 2.049 11.6 -25.300003 -40.400005
2.070 2.069 11.6 -25.300003 -40.3
2.090 2.089 11.6 -25.300003 -40.400005
2.109 2.109 11.5 -25.300003 -40.400005
2.129 2.129 11.5 -25.399994 -40.400005
2.149 2.149 11.5 -25.5 -40.400005
2.169 2.169 11.5 -25.5 -40.400005
2.190 2.189 11.5 -25.5 -40.400005
2.209 2.209 11.5 -25.5 -40.400005
2.230 2.229 11.5 -25.5 -40.499996
2.250 2.249 11.5 -25.5 -40.7
2.269 2.269 11.5 -25.600006 -40.7
2.290 2.289 11.4 -25.600006 -40.7
2.309 2.309 11.4 -25.600006 -40.600002
2.330 2.329 11.4 -25.600006 -40.600002
2.350 2.349 11.4 -25.600006 -40.600002
2.369 2.369 11.4 -25.600006 -40.600002
2.391 2.389 11.4 -25.600006 -40.7
2.409 2.409 11.4 -25.5 -40.7
2.430 2.429 11.3 -25.5 -40.8
2.450 2.449 11.3 -25.5 -40.8
2.469 2.469 11.3 -25.5 -40.8
2.490 2.489 11.3 -25.5 -40.8
2.510 2.509 11.3 -25.5 -40.8
2.530 2.529 11.3 -25.5 -40.8
2.550 2.549 11.3 -25.5 -40.8
2.570 2.569 11.3 -25.399994 -40.900005
2.590 2.589 11.3 -25.399994 -40.900005
2.610 2.609 11.2 -25.399994 -40.900005
2.630 2.629 11.2 -25.399994 -40.999996
2.650 2.649 11.2 -25.399994 -40.999996
2.670 2.669 11.2 -25.399994 -40.999996
2.690 2.689 11.2 -25.399994 -40.999996
2.710 2.709 11.3 -25.300003 -40.999996
2.730 2.729 11.3 -25.300003 -40.999996
2.750 2.749 11.3 -25.199997 -40.999996
2.770 2.769 11.3 -25.100006 -40.999996
2.790 2.789 11.4 -25.0 -40.999996
2.810 2.809 11.4 -25.0 -40.900005
2.830 2.829 11.5 -25.0 -40.900005
2.850 2.849 11.5 -24.899994 -40.7
2.870 2.869 11.6 -24.899994 -40.7
2.890 2.889 11.6 -24.899994 -40.7
2.910 2.909 11.6 -24.899994 -40.7
2.930 2.929 11.7 -24.800003 -40.600002
2.950 2.949 11.7 -24.899994 -40.600002
2.970 2.969 11.7 -24.899994 -40.600002
2.991 2.989 11.7 -24.899994 -40.499996
3.010 3.009 11.7 -24.899994 -40.499996
3.030 3.029 11.8 -25.0 -40.400005
3.050 3.049 11.8 -25.0 -40.400005
3.070 3.069 11.8 -25.0 -40.3
3.090 3.089 11.8 -25.0 -40.3
3.110 3.109 11.8 -24.899994 -40.3
3.130 3.129 11.9 -24.899994 -40.3
3.150 3.149 11.9 -25.0 -40.3
3.170 3.169 11.9 -25.0 -40.3
3.190 3.189 11.9 -24.899994 -40.400005
3.211 3.210 12.0 -25.0 -40.400005
3.230 3.229 12.0 -24.899994 -40.3
3.250 3.249 12.0 -24.899994 -40.2
3.270 3.270 12.1 -24.899994 -40.3
3.290 3.290 12.1 -24.899994 -40.3
3.310 3.310 12.1 -24.899994 -40.3
3.330 3.330 12.1 -24.899994 -40.3
3.350 3.349 12.1 -24.800003 -40.2
3.370 3.369 12.1 -24.800003 -40.2
3.390 3.389 12.1 -24.800003 -40.3
3.410 3.409 12.1 -24.800003 -40.3
3.430 3.429 12.1 -24.899994 -40.400005
3.450 3.449 12.1 -24.899994 -40.400005
3.470 3.469 12.1 -24.899994 -40.499996
3.490 3.489 12.1 -24.899994 -40.499996
3.510 3.509 12.1 -24.899994 -40.600002
3.532 3.529 12.1 -24.899994 -40.600002
3.550 3.549 12.1 -24.800003 -40.7
3.572 3.569 12.1 -24.800003 -40.600002
3.590 3.589 12.1 -24.800003 -40.7
3.610 3.609 12.1 -24.800003 -40.7
3.630 3.629 12.1 -24.699997 -40.7
3.650 3.649 12.2 -24.699997 -40.8
3.670 3.669 12.2 -24.699997 -40.8
3.690 3.689 12.2 -24.699997 -40.7
3.710 3.709 12.2 -24.699997 -40.7
3.730 3.729 12.2 -24.699997 -40.7
3.750 3.749 12.3 -24.600006 -40.7
3.770 3.769 12.3 -24.600006 -40.7
3.790 3.789 12.3 -24.600006 -40.600002
3.810 3.809 12.3 -24.600006 -40.600002
3.830 3.829 12.2 -24.600006 -40.600002
3.850 3.849 12.2 -24.600006 -40.7
3.871 3.869 12.2 -24.5 -40.7
3.890 3.889 12.2 -24.5 -40.7
3.910 3.909 12.2 -24.5 -40.8
3.930 3.929 12.2 -24.5 -40.8
3.950 3.949 12.2 -24.5 -40.900005
3.970 3.969 12.2 -24.5 -40.900005
3.990 3.989 12.2 -24.5 -40.900005
4.010 4.009 12.2 -24.5 -40.900005
4.030 4.029 12.2 -24.5 -40.900005
4.050 4.050 12.2 -24.5 -40.8
4.070 4.069 12.2 -24.5 -40.8
4.091 4.090 12.2 -24.399994 -40.8
4.110 4.109 12.2 -24.399994 -40.8
4.130 4.129 12.2 -24.399994 -40.7
4.150 4.149 12.2 -24.399994 -40.7
4.170 4.170 12.2 -24.399994 -40.7
4.190 4.190 12.2 -24.399994 -40.7
4.210 4.209 12.2 -24.399994 -40.7
4.230 4.229 12.2 -24.399994 -40.7
4.250 4.249 12.2 -24.399994 -40.7
4.270 4.269 12.1 -24.399994 -40.7
4.290 4.289 12.1 -24.399994 -40.7
4.310 4.310 12.1 -24.399994 -40.8
4.330 4.329 12.2 -24.399994 -40.8
4.350 4.349 12.2 -24.300003 -40.900005
4.370 4.369 12.1 -24.300003 -40.900005
4.390 4.389 12.1 -24.300003 -40.900005
4.410 4.409 12.1 -24.300003 -40.900005
4.430 4.429 12.1 -24.300003 -40.999996
4.450 4.449 12.2 -24.300003 -40.999996
4.470 4.469 12.2 -24.300003 -40.999996
4.490 4.489 12.2 -24.300003 -40.999996
4.510 4.509 12.2 -24.300003 -40.999996
4.530 4.529 12.2 -24.300003 -40.999996
4.550 4.549 12.3 -24.300003 -40.900005
4.570 4.569 12.3 -24.300003 -40.900005
4.590 4.589 12.3 -24.199997 -40.900005
4.610 4.609 12.3 -24.100006 -40.900005
4.630 4.629 12.3 -24.100006 -40.999996
4.650 4.649 12.3 -24.100006 -40.999996
4.669 4.669 12.3 -24.100006 -40.999996
4.689 4.689 12.3 -24.100006 -40.999996
4.709 4.709 12.4 -24.100006 -40.999996
4.729 4.729 12.4 -24.0 -40.999996
4.751 4.749 12.4 -24.0 -40.999996
4.770 4.769 12.4 -24.0 -41.100002
4.790 4.789 12.4 -24.0 -41.100002
4.810 4.809 12.4 -24.0 -41.100002
4.830 4.829 12.4 -23.899994 -41.100002
4.850 4.849 12.4 -23.899994 -41.2
4.870 4.869 12.4 -23.899994 -41.2
4.890 4.890 12.4 -23.899994 -41.2
4.910 4.909 12.4 -23.899994 -41.3
4.930 4.929 12.3 -23.899994 -41.2
4.950 4.949 12.3 -23.899994 -41.2
4.970 4.969 12.3 -23.899994 -41.3
4.990 4.989 12.3 -23.800003 -41.3
5.010 5.009 12.3 -23.800003 -41.400005
5.030 5.029 12.3 -23.800003 -41.3
5.051 5.050 12.3 -23.800003 -41.3
5.070 5.069 12.3 -23.699997 -41.2
5.090 5.090 12.3 -23.699997 -41.3
5.110 5.110 12.3 -23.699997 -41.3
5.134 5.129 12.3 -23.699997 -41.3
5.150 5.149 12.3 -23.699997 -41.400005
5.170 5.169 12.2 -23.600006 -41.499996
5.190 5.189 12.2 -23.699997 -41.499996
5.210 5.209 12.1 -23.699997 -41.600002
5.230 5.229 12.1 -23.699997 -41.600002
5.250 5.249 12.1 -23.600006 -41.7
5.270 5.269 12.1 -23.600006 -41.7
5.289 5.289 12.1 -23.600006 -41.8
5.309 5.309 12.1 -23.600006 -41.8
5.330 5.329 12.1 -23.600006 -41.8
5.350 5.349 12.1 -23.600006 -41.8
5.370 5.369 12.0 -23.600006 -41.900005
5.390 5.389 12.0 -23.5 -41.900005
5.410 5.409 12.0 -23.5 -41.900005
5.431 5.430 12.0 -23.5 -41.999996
5.452 5.449 12.0 -23.399994 -41.900005
5.470 5.469 12.0 -23.399994 -41.900005
5.490 5.489 12.0 -23.399994 -41.999996
5.510 5.509 12.0 -23.399994 -41.999996
5.530 5.529 12.0 -23.399994 -41.999996
5.549 5.549 12.0 -23.399994 -41.999996
5.569 5.569 12.0 -23.399994 -41.999996
5.589 5.589 12.0 -23.5 -41.999996
5.610 5.609 12.0 -23.5 -41.999996
5.630 5.629 11.9 -23.5 -41.999996
5.650 5.649 11.9 -23.5 -41.999996
5.670 5.669 11.9 -23.600006 -41.999996
5.690 5.689 11.9 -23.5 -41.999996
5.710 5.709 11.9 -23.5 -41.999996
5.730 5.729 11.9 -23.5 -41.999996
5.750 5.749 11.8 -23.5 -41.999996
5.769 5.769 11.8 -23.600006 -41.900005
5.789 5.789 11.9 -23.600006 -41.900005
5.809 5.809 11.8 -23.600006 -41.8
5.830 5.829 11.8 -23.600006 -41.8
5.849 5.849 11.7 -23.699997 -41.7
5.869 5.869 11.7 -23.699997 -41.7
5.889 5.889 11.7 -23.699997 -41.7
5.910 5.909 11.7 -23.699997 -41.7
5.930 5.929 11.7 -23.699997 -41.7
5.950 5.949 11.6 -23.699997 -41.7
5.970 5.969 11.6 -23.699997 -41.7
5.990 5.989 11.6 -23.699997 -41.7
6.010 6.009 11.6 -23.699997 -41.7
6.030 6.029 11.6 -23.699997 -41.600002
6.050 6.049 11.6 -23.699997 -41.600002
6.070 6.069 11.7 -23.699997 -41.600002
6.090 6.089 11.7 -23.699997 -41.600002
6.110 6.109 11.7 -23.699997 -41.499996
6.129 6.129 11.7 -23.699997 -41.600002
6.150 6.149 11.7 -23.699997 -41.499996
6.170 6.169 11.7 -23.699997 -41.499996
6.190 6.189 11.6 -23.699997 -41.499996
6.211 6.209 11.6 -23.699997 -41.499996
6.230 6.229 11.6 -23.699997 -41.499996
6.249 6.249 11.6 -23.699997 -41.499996
6.270 6.269 11.6 -23.800003 -41.499996
6.290 6.289 11.6 -23.800003 -41.499996
6.311 6.309 11.6 -23.800003 -41.600002
6.330 6.329 11.6 -23.800003 -41.499996
6.350 6.349 11.6 -23.800003 -41.600002
6.370 6.369 11.6 -23.800003 -41.600002
6.390 6.389 11.7 -23.899994 -41.600002
6.410 6.409 11.7 -23.800003 -41.600002
6.430 6.429 11.7 -23.899994 -41.600002
6.450 6.449 11.7 -23.899994 -41.600002
6.470 6.469 11.8 -23.899994 -41.499996
6.490 6.489 11.8 -23.899994 -41.499996
6.510 6.509 11.8 -24.0 -41.499996
6.530 6.529 11.8 -24.0 -41.499996
6.550 6.549 11.8 -24.100006 -41.499996
6.570 6.569 11.8 -24.100006 -41.400005
6.590 6.589 11.8 -24.199997 -41.400005
6.610 6.609 11.8 -24.199997 -41.400005
6.630 6.629 11.8 -24.300003 -41.400005
6.650 6.649 11.8 -24.300003 -41.400005
6.670 6.669 11.8 -24.399994 -41.400005
6.690 6.689 11.8 -24.399994 -41.400005
6.710 6.709 11.7 -24.5 -41.3
6.730 6.729 11.7 -24.5 -41.3
6.750 6.749 11.7 -24.600006 -41.3
6.770 6.769 11.6 -24.699997 -41.2
6.790 6.789 11.6 -24.800003 -41.2
6.810 6.809 11.5 -24.899994 -41.100002
6.830 6.829 11.4 -25.100006 -40.999996
