magnetometer.txt

All values are in micro-Tesla (uT). Factory calibration and temperature compensation are applied to this measurement
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z estimated-bias-x estimated-bias-y estimated-bias-z
0.098 0.069 -2.1000004 -245.5 -22.900002 -12.6 -206.7 -49.7
0.098 0.089 -2.1000004 -245.5 -22.900002 -12.6 -206.7 -49.7
0.114 0.109 -0.40000057 -235.59999 -88.3 -12.6 -206.7 -49.7
0.131 0.129 -0.70000076 -235.59999 -88.3 -12.6 -206.7 -49.7
0.191 0.149 -0.6000004 -235.4 -88.100006 -12.6 -206.7 -49.7
0.191 0.169 -0.5 -235.4 -88.2 -12.6 -206.7 -49.7
0.191 0.189 -0.40000057 -235.09999 -88.2 -12.6 -206.7 -49.7
0.227 0.209 -0.3000002 -235.0 -88.2 -12.6 -206.7 -49.7
0.230 0.229 -0.3000002 -234.9 -88.4 -12.6 -206.7 -49.7
0.277 0.249 -0.40000057 -234.8 -88.4 -12.6 -206.7 -49.7
0.277 0.269 -0.40000057 -234.7 -88.4 -12.6 -206.7 -49.7
0.290 0.289 -0.40000057 -234.59999 -88.5 -12.6 -206.7 -49.7
0.309 0.309 -0.5 -234.59999 -88.600006 -12.6 -206.7 -49.7
0.331 0.329 -0.40000057 -234.5 -88.600006 -12.6 -206.7 -49.7
0.349 0.349 -0.3000002 -234.5 -88.600006 -12.6 -206.7 -49.7
0.369 0.369 -0.3000002 -234.4 -88.5 -12.6 -206.7 -49.7
0.389 0.389 -0.40000057 -234.4 -88.5 -12.6 -206.7 -49.7
0.409 0.409 -0.3000002 -234.3 -88.4 -12.6 -206.7 -49.7
0.430 0.429 -0.40000057 -234.3 -88.5 -12.6 -206.7 -49.7
0.449 0.449 -0.40000057 -234.2 -88.5 -12.6 -206.7 -49.7
0.469 0.469 -0.40000057 -234.09999 -88.5 -12.6 -206.7 -49.7
0.489 0.489 -0.40000057 -234.09999 -88.5 -12.6 -206.7 -49.7
0.509 0.509 -0.3000002 -234.09999 -88.600006 -12.6 -206.7 -49.7
0.530 0.529 -0.3000002 -234.09999 -88.600006 -12.6 -206.7 -49.7
0.550 0.549 -0.40000057 -234.09999 -88.600006 -12.6 -206.7 -49.7
0.571 0.569 -0.40000057 -234.0 -88.600006 -12.6 -206.7 -49.7
0.594 0.589 -0.40000057 -234.0 -88.7 -12.6 -206.7 -49.7
0.609 0.609 -0.40000057 -234.0 -88.7 -12.6 -206.7 -49.7
0.629 0.629 -0.40000057 -234.0 -88.7 -12.6 -206.7 -49.7
0.649 0.649 -0.40000057 -234.0 -88.7 -12.6 -206.7 -49.7
0.669 0.669 -0.40000057 -233.9 -88.7 -12.6 -206.7 -49.7
0.689 0.689 -0.40000057 -233.9 -88.7 -12.6 -206.7 -49.7
0.709 0.709 -0.40000057 -233.8 -88.8 -12.6 -206.7 -49.7
0.729 0.729 -0.40000057 -233.7 -88.8 -12.6 -206.7 -49.7
0.749 0.749 -0.40000057 -233.7 -88.9 -12.6 -206.7 -49.7
0.769 0.769 -0.40000057 -233.59999 -89.0 -12.6 -206.7 -49.7
0.789 0.789 -0.40000057 -233.59999 -89.0 -12.6 -206.7 -49.7
0.809 0.809 -0.40000057 -233.5 -89.100006 -12.6 -206.7 -49.7
0.829 0.829 -0.40000057 -233.5 -89.100006 -12.6 -206.7 -49.7
0.849 0.849 -0.5 -233.4 -89.100006 -12.6 -206.7 -49.7
0.869 0.869 -0.5 -233.3 -89.2 -12.6 -206.7 -49.7
0.889 0.889 -0.5 -233.3 -89.2 -12.6 -206.7 -49.7
0.910 0.909 -0.5 -233.2 -89.2 -12.6 -206.7 -49.7
0.931 0.929 -0.5 -233.09999 -89.3 -12.6 -206.7 -49.7
0.950 0.949 -0.5 -233.09999 -89.3 -12.6 -206.7 -49.7
0.970 0.969 -0.5 -233.0 -89.4 -12.6 -206.7 -49.7
0.990 0.989 -0.5 -233.0 -89.5 -12.6 -206.7 -49.7
1.010 1.009 -0.5 -232.9 -89.600006 -12.6 -206.7 -49.7
1.030 1.029 -0.5 -232.8 -89.600006 -12.6 -206.7 -49.7
1.050 1.049 -0.5 -232.8 -89.7 -12.6 -206.7 -49.7
1.070 1.069 -0.5 -232.7 -89.8 -12.6 -206.7 -49.7
1.090 1.089 -0.5 -232.7 -89.8 -12.6 -206.7 -49.7
1.110 1.109 -0.5 -232.59999 -89.9 -12.6 -206.7 -49.7
1.130 1.129 -0.5 -232.5 -89.9 -12.6 -206.7 -49.7
1.150 1.149 -0.5 -232.4 -90.0 -12.6 -206.7 -49.7
1.170 1.169 -0.5 -232.4 -90.0 -12.6 -206.7 -49.7
1.190 1.189 -0.5 -232.3 -90.100006 -12.6 -206.7 -49.7
1.213 1.210 -0.5 -232.2 -90.100006 -12.6 -206.7 -49.7
1.230 1.229 -0.5 -232.09999 -90.100006 -12.6 -206.7 -49.7
1.250 1.249 -0.5 -232.09999 -90.2 -12.6 -206.7 -49.7
1.271 1.269 -0.5 -232.0 -90.2 -12.6 -206.7 -49.7
1.290 1.289 -0.5 -232.0 -90.2 -12.6 -206.7 -49.7
1.310 1.309 -0.5 -232.0 -90.2 -12.6 -206.7 -49.7
1.330 1.329 -0.5 -231.9 -90.2 -12.6 -206.7 -49.7
1.350 1.349 -0.5 -231.9 -90.2 -12.6 -206.7 -49.7
1.370 1.369 -0.5 -231.8 -90.2 -12.6 -206.7 -49.7
1.390 1.389 -0.5 -231.8 -90.2 -12.6 -206.7 -49.7
1.410 1.409 -0.5 -231.7 -90.2 -12.6 -206.7 -49.7
1.430 1.430 -0.5 -231.7 -90.2 -12.6 -206.7 -49.7
1.451 1.450 -0.5 -231.7 -90.2 -12.6 -206.7 -49.7
1.470 1.470 -0.5 -231.59999 -90.2 -12.6 -206.7 -49.7
1.490 1.489 -0.5 -231.59999 -90.2 -12.6 -206.7 -49.7
1.513 1.509 -0.5 -231.59999 -90.2 -12.6 -206.7 -49.7
1.530 1.529 -0.5 -231.59999 -90.2 -12.6 -206.7 -49.7
1.551 1.549 -0.5 -231.59999 -90.2 -12.6 -206.7 -49.7
1.570 1.569 -0.5 -231.59999 -90.2 -12.6 -206.7 -49.7
1.590 1.589 -0.6000004 -231.7 -90.100006 -12.6 -206.7 -49.7
1.610 1.609 -0.70000076 -231.7 -90.100006 -12.6 -206.7 -49.7
1.630 1.629 -0.70000076 -231.7 -90.100006 -12.6 -206.7 -49.7
1.649 1.649 -0.70000076 -231.7 -90.0 -12.6 -206.7 -49.7
1.670 1.669 -0.8000002 -231.7 -89.9 -12.6 -206.7 -49.7
1.690 1.689 -0.8000002 -231.7 -90.0 -12.6 -206.7 -49.7
1.709 1.709 -0.8000002 -231.8 -90.0 -12.6 -206.7 -49.7
1.730 1.729 -0.8000002 -231.7 -90.0 -12.6 -206.7 -49.7
1.751 1.750 -0.8000002 -231.7 -90.0 -12.6 -206.7 -49.7
1.770 1.769 -0.9000006 -231.8 -90.0 -12.6 -206.7 -49.7
1.790 1.789 -0.9000006 -231.8 -90.0 -12.6 -206.7 -49.7
1.811 1.809 -0.9000006 -231.8 -90.0 -12.6 -206.7 -49.7
1.830 1.829 -0.9000006 -231.8 -90.0 -12.6 -206.7 -49.7
1.850 1.849 -0.9000006 -231.8 -90.0 -12.6 -206.7 -49.7
1.870 1.869 -0.9000006 -231.8 -90.0 -12.6 -206.7 -49.7
1.891 1.889 -0.9000006 -231.9 -90.100006 -12.6 -206.7 -49.7
1.910 1.909 -0.9000006 -231.9 -90.100006 -12.6 -206.7 -49.7
1.930 1.929 -1.0 -231.9 -90.100006 -12.6 -206.7 -49.7
1.950 1.949 -1.0 -231.9 -90.100006 -12.6 -206.7 -49.7
1.970 1.969 -1.0 -232.0 -90.100006 -12.6 -206.7 -49.7
1.990 1.990 -1.0 -232.0 -90.100006 -12.6 -206.7 -49.7
2.010 2.009 -1.0 -232.0 -90.100006 -12.6 -206.7 -49.7
2.030 2.029 -1.0 -232.0 -90.0 -12.6 -206.7 -49.7
2.050 2.049 -1.0 -232.0 -90.100006 -12.6 -206.7 -49.7
2.070 2.069 -1.0 -232.0 -90.0 -12.6 -206.7 -49.7
2.090 2.089 -1.0 -232.0 -90.100006 -12.6 -206.7 -49.7
2.110 2.109 -1.1000004 -232.0 -90.100006 -12.6 -206.7 -49.7
2.130 2.129 -1.1000004 -232.09999 -90.100006 -12.6 -206.7 -49.7
2.150 2.149 -1.1000004 -232.2 -90.100006 -12.6 -206.7 -49.7
2.169 2.169 -1.1000004 -232.2 -90.100006 -12.6 -206.7 -49.7
2.190 2.189 -1.1000004 -232.2 -90.100006 -12.6 -206.7 -49.7
2.210 2.209 -1.1000004 -232.2 -90.100006 -12.6 -206.7 -49.7
2.230 2.229 -1.1000004 -232.2 -90.2 -12.6 -206.7 -49.7
2.250 2.249 -1.1000004 -232.2 -90.4 -12.6 -206.7 -49.7
2.270 2.269 -1.1000004 -232.3 -90.4 -12.6 -206.7 -49.7
2.290 2.289 -1.2000008 -232.3 -90.4 -12.6 -206.7 -49.7
2.310 2.309 -1.2000008 -232.3 -90.3 -12.6 -206.7 -49.7
2.330 2.329 -1.2000008 -232.3 -90.3 -12.6 -206.7 -49.7
2.350 2.349 -1.2000008 -232.3 -90.3 -12.6 -206.7 -49.7
2.370 2.369 -1.2000008 -232.3 -90.3 -12.6 -206.7 -49.7
2.391 2.389 -1.2000008 -232.3 -90.4 -12.6 -206.7 -49.7
2.410 2.409 -1.2000008 -232.2 -90.4 -12.6 -206.7 -49.7
2.430 2.429 -1.3000002 -232.2 -90.5 -12.6 -206.7 -49.7
2.450 2.449 -1.3000002 -232.2 -90.5 -12.6 -206.7 -49.7
2.470 2.469 -1.3000002 -232.2 -90.5 -12.6 -206.7 -49.7
2.490 2.489 -1.3000002 -232.2 -90.5 -12.6 -206.7 -49.7
2.510 2.509 -1.3000002 -232.2 -90.5 -12.6 -206.7 -49.7
2.530 2.529 -1.3000002 -232.2 -90.5 -12.6 -206.7 -49.7
2.550 2.549 -1.3000002 -232.2 -90.5 -12.6 -206.7 -49.7
